city,distance,through
KAB. ACEH BARAT,947.9147865661181,"[33, 39, 43, 52, 51]"
KAB. ACEH BARAT DAYA,1067.6065831992862,"[33, 39, 43, 52, 51, 0]"
KAB. ACEH BESAR,832.760784045841,"[33, 39, 38]"
KAB. ACEH JAYA,909.0642573829398,"[33, 39, 38, 2]"
KAB. ACEH SELATAN,843.198784669872,"[33, 34, 62]"
KAB. ACEH SINGKIL,761.0580348273415,"[33, 39, 38, 6]"
KAB. ACEH TAMIANG,552.1742736366917,"[33, 39, 38]"
KAB. ACEH TENGAH,683.851798872469,"[33, 39, 38, 6]"
KAB. ACEH TENGGARA,729.6276433959271,"[33, 10, 9]"
KAB. ACEH TIMUR,594.349471723635,"[33, 10]"
KAB. ACEH UTARA,527.7593376351474,[33]
KAB. BENER MERIAH,566.8805393346481,"[33, 10]"
KAB. BIREUEN,617.8757129082697,"[33, 10, 11]"
KAB. GAYO LUES,749.7762198282041,"[33, 39, 38, 25, 14]"
KAB. NAGAN RAYA,652.6813827431854,"[33, 39, 38, 25]"
KAB. PIDIE,752.9114956303865,"[33, 34, 35, 49, 22]"
KAB. PIDIE JAYA,782.442892262967,"[33, 34, 35, 49, 22, 15]"
KAB. SIMEULUE,895.6738015317758,"[33, 39, 38, 25, 28, 55]"
KOTA BANDA ACEH,748.2574958903814,"[33, 39]"
KOTA LANGSA,705.9299799928925,"[33, 34, 35, 36, 37]"
KOTA LHOKSEUMAWE,700.1394252686058,"[33, 39, 38, 25, 28]"
KOTA SABANG,866.5735843754132,"[33, 34, 35, 49, 22]"
KOTA SUBULUSSALAM,410.89185558752035,"[33, 34, 35, 49]"
KAB. ASAHAN,595.0764281825425,"[33, 39, 38, 25, 24]"
KAB. BATUBARA,552.7438503821884,"[33, 39, 38, 25]"
KAB. DAIRI,411.38367896885507,"[33, 39, 38]"
KAB. DELI SERDANG,489.8140711164167,"[33, 39, 38, 25]"
KAB. HUMBANG HASUNDUTAN,472.0315948842252,"[33, 39, 38, 29]"
KAB. KARO,437.8147130322667,"[33, 39, 38, 25]"
KAB. LABUHANBATU,293.7280665939811,"[33, 39, 38]"
KAB. LABUHANBATU SELATAN,345.3336320497208,"[33, 39, 38, 29]"
KAB. LABUHANBATU UTARA,410.7078277365156,"[33, 39, 38, 29, 30]"
KAB. LANGKAT,366.54654284064884,[33]
KAB. MANDAILING NATAL,0.0,[]
KAB. NIAS,184.7316597873195,[33]
KAB. NIAS BARAT,214.85778028616556,"[33, 34]"
KAB. NIAS SELATAN,266.0955284260304,"[33, 34, 35]"
KAB. NIAS UTARA,349.13507620937406,"[33, 34, 35, 36]"
KAB. PADANG LAWAS,151.79615208455456,"[33, 39]"
KAB. PADANG LAWAS UTARA,97.2266670820788,[33]
KAB. PAKPAK BHARAT,285.68523672837534,"[33, 39]"
KAB. SAMOSIR,350.35484889833606,"[33, 39, 40]"
KAB. SERDANG BEDAGAI,304.9660893729978,"[33, 39, 43]"
KAB. SIMALUNGUN,258.0800237602107,"[33, 39]"
KAB. TAPANULI SELATAN,413.83075751124414,"[33, 39, 43]"
KAB. TAPANULI TENGAH,484.4749692378678,"[33, 39, 43, 44]"
KAB. TAPANULI UTARA,533.4693533893823,"[33, 39, 43, 44, 45]"
KAB. TOBA SAMOSIR,541.4663443091426,"[33, 39, 43, 52, 48]"
KOTA BINJAI,376.66497379031085,"[33, 39, 43, 52]"
KOTA GUNUNGSITOLI,248.2290356656092,"[33, 34, 35]"
KOTA MEDAN,531.1532963706296,"[33, 34, 35, 49]"
KOTA PADANGSIDEMPUAN,460.5803072179432,"[33, 39, 43, 52]"
KOTA PEMATANGSIANTAR,281.46170990110704,"[33, 39, 43]"
KOTA SIBOLGA,422.1481046678176,"[33, 39, 43, 52]"
KOTA TANJUNGBALAI,599.2462459011315,"[33, 39, 43, 52, 53]"
KOTA TEBING TINGGI,539.8047051566613,"[33, 39, 38, 25, 28]"
KAB. AGAM,841.5701855964568,"[33, 39, 43, 52, 48]"
KAB. DHARMASRAYA,794.5370966412659,"[33, 63, 74, 80, 81]"
KAB. KEPULAUAN MENTAWAI,532.9014459384434,"[33, 34, 35, 36]"
KAB. LIMA PULUH KOTA,517.0344569720776,"[33, 34, 62]"
KAB. PADANG PARIAMAN,562.120275323748,"[33, 34, 62, 61]"
KAB. PASAMAN,475.73310054267245,"[33, 34, 62]"
KAB. PASAMAN BARAT,416.11080821798384,"[33, 34]"
KAB. PESISIR SELATAN,322.22923609405376,[33]
KAB. SIJUNJUNG,441.53613006585,"[33, 63]"
KAB. SOLOK,406.5038709979648,"[33, 63]"
KAB. SOLOK SELATAN,470.83673007261683,"[33, 63, 65]"
KAB. TANAH DATAR,472.45720405868263,"[33, 63, 74, 73]"
KOTA BUKITTINGGI,501.33003548060356,"[33, 63, 74, 73, 67]"
