city,distance,through
KAB. ACEH BARAT,4228.27294565313,"[506, 505, 373, 374, 364, 359, 323]"
KAB. ACEH BARAT DAYA,4179.422376886769,"[506, 507, 452, 412, 363, 357]"
KAB. ACEH BESAR,4244.256019082174,"[506, 507]"
KAB. ACEH JAYA,4244.901017588187,"[506, 507, 467, 89]"
KAB. ACEH SELATAN,4036.798146595648,"[506, 507, 347]"
KAB. ACEH SINGKIL,4047.717639959382,"[506, 505, 373, 372, 371]"
KAB. ACEH TAMIANG,4005.351562366858,"[506, 505, 373, 374, 325]"
KAB. ACEH TENGAH,4125.350490064819,"[506, 507, 8]"
KAB. ACEH TENGGARA,3966.5424645832372,"[506, 507]"
KAB. ACEH TIMUR,4001.7491061749074,"[506, 505, 373, 374, 375]"
KAB. ACEH UTARA,4043.1268241323005,"[506, 505, 373, 374]"
KAB. BENER MERIAH,4077.7198203847365,"[506, 505, 373, 374, 375]"
KAB. BIREUEN,4128.714993958358,"[506, 505, 373, 374, 375, 11]"
KAB. GAYO LUES,4120.3773902335315,"[506, 507, 467, 385]"
KAB. NAGAN RAYA,4098.425862144995,[506]
KAB. PIDIE,4220.4512242291785,"[506, 14]"
KAB. PIDIE JAYA,4249.982620861759,"[506, 14, 15]"
KAB. SIMEULUE,4201.047317462874,"[506, 507, 467, 396]"
KOTA BANDA ACEH,4257.821804031567,"[506, 505, 373, 97, 19]"
KOTA LANGSA,3940.6621484654606,"[506, 505, 373, 97]"
KOTA LHOKSEUMAWE,4062.1333699458373,"[506, 505, 373, 97, 19]"
KOTA SABANG,4278.2809097145155,"[506, 505, 373, 97, 19, 20]"
KOTA SUBULUSSALAM,3953.1154418099404,"[506, 507, 467, 328]"
KAB. ASAHAN,3841.2238930181024,"[506, 507, 467, 385]"
KAB. BATUBARA,3856.700789240598,"[506, 507, 452]"
KAB. DAIRI,3943.6637795073093,"[506, 507, 467, 96, 29]"
KAB. DELI SERDANG,3930.1271766719665,"[506, 505, 84, 30]"
KAB. HUMBANG HASUNDUTAN,3901.995895136678,"[506, 505, 84, 85]"
KAB. KARO,3945.501014894888,"[506, 505, 84, 30]"
KAB. LABUHANBATU,3724.1723390857032,"[506, 507, 467, 96]"
KAB. LABUHANBATU SELATAN,3693.787841935258,"[506, 505, 84]"
KAB. LABUHANBATU UTARA,3759.1620376220526,"[506, 505, 84, 30]"
KAB. LANGKAT,3992.64979807202,"[506, 505, 84]"
KAB. MANDAILING NATAL,3776.204123858408,"[506, 505, 373, 374, 375]"
KAB. NIAS,3954.0256952439754,"[506, 507, 62]"
KAB. NIAS BARAT,3984.1518157428213,"[506, 507, 62, 34]"
KAB. NIAS SELATAN,3972.004117689671,"[506, 408, 447, 446]"
KAB. NIAS UTARA,3969.347677688941,"[506, 505]"
KAB. PADANG LAWAS,3699.7378125876344,"[506, 505]"
KAB. PADANG LAWAS UTARA,3722.950434878202,[506]
KAB. PAKPAK BHARAT,3911.4090045244984,"[506, 39]"
KAB. SAMOSIR,3922.4027722886062,"[506, 505, 373, 374, 43, 42]"
KAB. SERDANG BEDAGAI,3838.173279457369,"[506, 505, 373, 374, 43]"
KAB. SIMALUNGUN,3791.287213844582,"[506, 505, 373, 374]"
KAB. TAPANULI SELATAN,3784.7962988268405,"[506, 507, 347]"
KAB. TAPANULI TENGAH,3835.0363065318024,"[506, 505, 46]"
KAB. TAPANULI UTARA,3786.041922380288,"[506, 505]"
KAB. TOBA SAMOSIR,3797.2710112854725,"[506, 507, 467]"
KOTA BINJAI,3909.7082993308845,"[506, 505, 373, 374, 52]"
KOTA GUNUNGSITOLI,4017.523071122265,"[506, 507, 62, 34, 35]"
KOTA MEDAN,3978.636708861537,"[506, 507, 467, 385, 23]"
KOTA PADANGSIDEMPUAN,3906.345208329527,"[506, 507, 322, 74]"
KOTA PEMATANGSIANTAR,3814.505035441681,"[506, 505, 373, 374]"
KOTA SIBOLGA,3877.8373216953764,"[506, 507, 467, 78]"
KOTA TANJUNGBALAI,3935.262421684307,"[506, 505, 373, 374, 325, 55]"
KOTA TEBING TINGGI,3853.525674012749,"[506, 505, 373, 374, 325]"
KAB. AGAM,3694.0909984510326,"[506, 408]"
KAB. DHARMASRAYA,3522.2932348990107,"[506, 408, 447]"
KAB. KEPULAUAN MENTAWAI,3798.228990186441,"[506, 507, 347]"
KAB. LIMA PULUH KOTA,3626.701602100743,"[506, 507, 322]"
KAB. PADANG PARIAMAN,3680.2286939558,"[506, 507, 467, 396]"
KAB. PASAMAN,3669.8893189887076,"[506, 507, 322, 59]"
KAB. PASAMAN BARAT,3722.646546813311,"[506, 507]"
KAB. PESISIR SELATAN,3606.0851733728086,"[506, 505, 373, 345]"
KAB. SIJUNJUNG,3590.005824078781,"[506, 505, 373, 374]"
KAB. SOLOK,3605.6941086361094,"[506, 505, 373, 345]"
KAB. SOLOK SELATAN,3570.560449267469,"[506, 408, 340, 341]"
KAB. TANAH DATAR,3607.8493196922655,"[506, 505]"
KOTA BUKITTINGGI,3636.7221511141865,"[506, 505, 67]"
KOTA PADANG,3643.871026842907,"[506, 507, 448, 107]"
KOTA PADANGPANJANG,3680.3955085319567,"[506, 408, 340]"
KOTA PARIAMAN,3696.97878966564,"[506, 408, 447, 446]"
KOTA PAYAKUMBUH,3649.0544554778644,"[506, 507, 448, 107]"
KOTA SAWAHLUNTO,3635.59493853864,"[506, 507, 322, 74]"
KOTA SOLOK,3621.150866678363,"[506, 507, 322]"
KAB. BENGKALIS,3606.082758971427,"[506, 505, 373, 374, 325, 76]"
KAB. INDRAGIRI HILIR,3374.9863433982537,"[506, 505, 373, 374, 325]"
KAB. INDRAGIRI HULU,3472.2919470166753,"[506, 408, 340]"
KAB. KAMPAR,3559.913995401291,"[506, 507, 467]"
KAB. KEPULAUAN MERANTI,3491.762898169235,"[506, 507, 452, 412, 348]"
KAB. KUANTAN SINGINGI,3598.735537458252,"[506, 505, 373, 374, 364, 359]"
KAB. PELALAWAN,3648.7256166136794,"[506, 507, 467, 396, 397]"
KAB. ROKAN HILIR,3639.43887871959,"[506, 505, 373, 374, 325, 88]"
KAB. ROKAN HULU,3630.5091253978967,"[506, 505, 84]"
KAB. SIAK,3477.357472173175,"[506, 505]"
KOTA DUMAI,3582.1807340106666,"[506, 505, 84]"
KOTA PEKANBARU,3560.163959791579,"[506, 505, 373, 345, 321]"
KAB. BINTAN,3321.3906974906276,"[506, 505, 373, 374, 375, 349, 350]"
KAB. KARIMUN,3333.8898232497136,"[506, 505, 373, 374, 325]"
KAB. KEPULAUAN ANAMBAS,3119.1164555738374,"[506, 507, 467]"
