city,distance,through
KAB. ACEH BARAT,5121.205064502513,"[487, 488, 326, 325, 324, 323]"
KAB. ACEH BARAT DAYA,5110.625963328939,"[487, 488, 415, 414, 413, 357]"
KAB. ACEH BESAR,5158.700031792259,"[487, 97, 19, 20, 21]"
KAB. ACEH JAYA,5161.842703890092,"[487, 488, 489]"
KAB. ACEH SELATAN,4934.355543771292,"[487, 488, 326, 325]"
KAB. ACEH SINGKIL,4899.734957236786,"[487, 292, 108, 107, 72]"
KAB. ACEH TAMIANG,4892.776828602955,"[487, 488, 326, 325]"
KAB. ACEH TENGAH,4979.050707349191,"[487, 97, 19, 20]"
KAB. ACEH TENGGARA,4914.271493088653,"[487, 488, 489, 514]"
KAB. ACEH TIMUR,4946.3828752628515,"[487, 488, 376, 375]"
KAB. ACEH UTARA,5012.973009351339,"[487, 488, 376, 375, 9]"
KAB. BENER MERIAH,5013.542458466408,"[487, 488, 326]"
KAB. BIREUEN,5019.099148331515,"[487, 44]"
KAB. GAYO LUES,5019.2824655463755,"[487, 488, 489, 514, 385]"
KAB. NAGAN RAYA,5063.334452395238,"[487, 488, 376]"
KAB. PIDIE,5152.642175694648,"[487, 488, 26, 16]"
KAB. PIDIE JAYA,5123.110779062068,"[487, 488, 26]"
KAB. SIMEULUE,5094.66578398344,"[487, 488, 326, 54, 55]"
KOTA BANDA ACEH,5086.464163286258,"[487, 97, 19]"
KOTA LANGSA,4769.304507720151,"[487, 97]"
KOTA LHOKSEUMAWE,4890.775729200528,"[487, 97, 19]"
KOTA SABANG,5106.923268969206,"[487, 97, 19, 20]"
KOTA SUBULUSSALAM,4866.977694473272,"[487, 488, 326, 85, 27]"
KAB. ASAHAN,4694.365504938634,"[487, 488, 489, 514, 430]"
KAB. BATUBARA,4721.1533222325415,"[487, 488, 376, 425]"
KAB. DAIRI,4862.513493645875,"[487, 488, 376, 425, 24]"
KAB. DELI SERDANG,4784.591312548925,"[487, 488]"
KAB. HUMBANG HASUNDUTAN,4774.382197933693,"[487, 488, 326, 85]"
KAB. KARO,4840.786679732721,"[487, 488, 326, 54, 55]"
KAB. LABUHANBATU,4645.937859825571,"[487, 488, 351, 30]"
KAB. LABUHANBATU SELATAN,4594.332294369831,"[487, 488, 351]"
KAB. LABUHANBATU UTARA,4659.706490056626,"[487, 488, 351, 30]"
KAB. LANGKAT,4829.930066294542,"[487, 44, 45]"
KAB. MANDAILING NATAL,4644.899076514555,"[487, 144]"
KAB. NIAS,4829.630736301875,"[487, 144, 33]"
KAB. NIAS BARAT,4825.226522410446,"[487, 144]"
KAB. NIAS SELATAN,4840.776471263753,"[487, 292, 282, 281, 242, 269, 268, 229]"
KAB. NIAS UTARA,4887.811661962474,"[487, 292, 99, 100]"
KAB. PADANG LAWAS,4645.562389150771,"[487, 488, 381, 341]"
KAB. PADANG LAWAS UTARA,4646.194340829851,"[487, 488]"
KAB. PAKPAK BHARAT,4829.197051913681,"[487, 488, 326, 325, 88]"
KAB. SAMOSIR,4817.714441582678,"[487, 44, 43, 42]"
KAB. SERDANG BEDAGAI,4733.48494875144,"[487, 44, 43]"
KAB. SIMALUNGUN,4686.598883138653,"[487, 44]"
KAB. TAPANULI SELATAN,4530.84814938762,[487]
KAB. TAPANULI TENGAH,4601.492361114243,"[487, 44]"
KAB. TAPANULI UTARA,4650.486745265757,"[487, 44, 45]"
KAB. TOBA SAMOSIR,4690.160617482462,"[487, 44, 45, 46]"
KOTA BINJAI,4805.183833168754,"[487, 44, 43, 52]"
KOTA GUNUNGSITOLI,4851.408293937187,"[487, 144, 145, 66, 65]"
KOTA MEDAN,4831.778320782069,"[487, 488, 489, 514, 430, 23]"
KOTA PADANGSIDEMPUAN,4707.050943838332,"[487, 488, 489, 418, 419]"
KOTA PEMATANGSIANTAR,4709.98056927955,"[487, 44, 43]"
KOTA SIBOLGA,4780.93027457481,"[487, 144, 77, 78]"
KOTA TANJUNGBALAI,4657.0599399367675,"[487, 488, 326]"
KOTA TEBING TINGGI,4738.796687608326,"[487, 488, 326, 54]"
KAB. AGAM,4547.424883897651,"[487, 292, 226]"
KAB. DHARMASRAYA,4376.539764289831,"[487, 292, 282, 204, 213]"
KAB. KEPULAUAN MENTAWAI,4599.021221139365,"[487, 292, 282, 153]"
KAB. LIMA PULUH KOTA,4550.267450831306,"[487, 488, 326, 325, 88]"
KAB. PADANG PARIAMAN,4553.003557459007,"[487, 292, 177, 176, 133]"
KAB. PASAMAN,4561.861698426435,"[487, 292, 282]"
KAB. PASAMAN BARAT,4600.265646383717,"[487, 292, 108, 107]"
KAB. PESISIR SELATAN,4353.056871435585,"[487, 144, 145]"
KAB. SIJUNJUNG,4408.715492554842,"[487, 292]"
KAB. SOLOK,4409.869538157293,"[487, 144, 145, 66]"
KAB. SOLOK SELATAN,4345.536679082641,"[487, 144, 145]"
KAB. TANAH DATAR,4472.510257787347,"[487, 144, 145]"
KOTA BUKITTINGGI,4501.383089209267,"[487, 144, 145, 67]"
KOTA PADANG,4473.948427318115,"[487, 292, 108, 107]"
KOTA PADANGPANJANG,4519.4739099951,"[487, 292, 226, 125]"
KOTA PARIAMAN,4528.617018939442,"[487, 292, 282, 281, 242]"
KOTA PAYAKUMBUH,4479.131855953072,"[487, 292, 108, 107]"
KOTA SAWAHLUNTO,4474.578870645019,"[487, 144, 145, 63, 74]"
KOTA SOLOK,4460.134798784742,"[487, 144, 145, 63]"
KAB. BENGKALIS,4493.508025207524,"[487, 488, 326, 325, 76]"
KAB. INDRAGIRI HILIR,4262.4116096343505,"[487, 488, 326, 325]"
KAB. INDRAGIRI HULU,4306.77320130752,"[487, 144]"
KAB. KAMPAR,4463.006948280724,"[487, 144, 77]"
KAB. KEPULAUAN MERANTI,4330.7171678479,"[487, 488, 489, 514, 430]"
KAB. KUANTAN SINGINGI,4399.303231041771,"[487, 292, 282, 258]"
KAB. PELALAWAN,4386.798802942552,"[487, 488, 489, 407]"
KAB. ROKAN HILIR,4526.864144955686,"[487, 488, 326, 325, 88]"
KAB. ROKAN HULU,4552.366162955611,"[487, 488, 326, 325, 88]"
KAB. SIAK,4443.58358307912,"[487, 488, 489, 418, 426, 321]"
KOTA DUMAI,4454.567036807681,"[487, 488, 326]"
KOTA PEKANBARU,4461.441024624113,"[487, 292, 282, 258]"
KAB. BINTAN,4169.589935275834,"[487, 488, 489, 407]"
KAB. KARIMUN,4221.31508948581,"[487, 488, 326, 325]"
KAB. KEPULAUAN ANAMBAS,4147.42649302646,"[487, 488, 489, 511, 447]"
KAB. LINGGA,4136.201716137513,"[487, 488, 489, 407]"
KAB. NATUNA,3932.325690864942,"[487, 488, 489, 491, 372, 371]"
KOTA BATAM,4175.2870379005135,"[487, 488, 489, 93]"
KOTA TANJUNG PINANG,4123.639137836525,"[487, 488, 489]"
PULAU TAMBELAN KAB. BINTAN,3851.7703481357353,"[487, 488, 381, 339]"
PEKAJANG KAB. LINGGA,4100.940447172668,"[487, 488, 489, 418]"
PULAU SERASAN KAB. NATUNA,3661.004989789857,"[487, 488, 351]"
PULAU MIDAI KAB. NATUNA,3669.6627664326274,[487]
PULAU LAUT KAB. NATUNA,3861.3041969685464,"[487, 97]"
KAB. BATANGHARI,4156.896250251601,"[487, 292]"
KAB. BUNGO,4289.668082866281,"[487, 292, 99]"
KAB. KERINCI,4334.355203782054,"[487, 292, 282, 281, 242, 149, 102]"
KAB. MERANGIN,4264.879353778142,"[487, 292, 282, 281, 242, 149]"
KAB. MUARO JAMBI,4139.841529855119,"[487, 488, 381, 137, 138]"
KAB. SAROLANGUN,4179.710700160184,"[487, 292, 282, 281]"
KAB. TANJUNG JABUNG BARAT,4229.64734590439,"[487, 292, 282, 281, 242, 269]"
KAB. TANJUNG JABUNG TIMUR,4214.495898233016,"[487, 292, 282, 281, 215]"
KAB. TEBO,4256.679900042538,"[487, 292, 108]"
KOTA JAMBI,4110.570501839982,"[487, 292]"
KOTA SUNGAI PENUH,4322.362278207881,"[487, 292, 226, 125, 126]"
KAB. BENGKULU SELATAN,4044.7560565272215,"[487, 292]"
KAB. BENGKULU TENGAH,4143.693860817336,"[487, 292, 226, 221]"
KAB. BENGKULU UTARA,4205.675138786074,"[487, 292, 282]"
KAB. KAUR,4026.81042355787,"[487, 292, 282, 204, 169, 187]"
KAB. KEPAHIANG,4144.675869702588,"[487, 292, 282, 281, 230, 165, 164]"
KAB. LEBONG,4187.693353619716,"[487, 292, 282]"
KAB. MUKOMUKO,4290.200590888561,"[487, 292, 282, 115]"
KAB. REJANG LEBONG,4127.294634943909,"[487, 292, 282]"
KAB. SELUMA,4104.545577623014,"[487, 292, 282, 281, 251, 198]"
KOTA BENGKULU,4162.332597797214,"[487, 292, 282, 281, 251, 198, 118]"
KAB. BANYUASIN,3963.2132205183134,"[487, 292, 282]"
KAB. EMPAT LAWANG,4104.415593924691,"[487, 292, 282, 153, 123, 122]"
KAB. LAHAT,4052.6155029277616,"[487, 292, 282, 153, 123]"
KAB. MUARA ENIM,3979.9755452538425,"[487, 292, 282, 153]"
KAB. MUSI BANYUASIN,4113.389693269902,"[487, 292, 282, 153, 123]"
KAB. MUSI RAWAS,4101.830598453185,"[487, 292, 226]"
KAB. MUSI RAWAS UTARA,4155.168210572165,"[487, 292, 226, 125]"
KAB. OGAN ILIR,4072.789891637215,"[487, 292, 282, 204, 213, 222, 175]"
KAB. OGAN KOMERING ILIR,4014.663135106943,"[487, 292, 282, 204, 213, 222]"
KAB. OGAN KOMERING ULU,3977.823330961036,"[487, 292, 282, 281, 242, 200]"
KAB. OGAN KOMERING ULU SELATAN,3956.8453312095603,"[487, 292, 226, 185]"
KAB. OGAN KOMERING ULU TIMUR,4028.605228658245,"[487, 256, 172, 160]"
KAB. PENUKAL ABAB LEMATANG ILIR,4064.4406791427873,"[487, 292, 282, 281, 242, 269, 171]"
KOTA LUBUKLINGGAU,4129.506958762446,"[487, 292, 177, 176]"
KOTA PAGAR ALAM,4043.4846857543903,"[487, 292, 226, 221]"
KOTA PALEMBANG,3952.918326185104,"[487, 144]"
KOTA PRABUMULIH,4014.6186914348164,"[487, 256, 168]"
KAB. BANGKA,3903.397515172657,"[487, 488, 381]"
KAB. BANGKA BARAT,3950.5028616660284,"[487, 488, 381, 137]"
KAB. BANGKA SELATAN,3846.610821571173,"[487, 486, 340]"
KAB. BANGKA TENGAH,3892.6128204738056,"[487, 486, 340, 139]"
KAB. BELITUNG,3716.546734211265,"[487, 488, 415]"
KAB. BELITUNG TIMUR,3682.871459634371,"[487, 488, 489, 338]"
KOTA PANGKAL PINANG,3880.3616315121562,"[487, 292, 282, 261]"
KAB. LAMPUNG TENGAH,3741.434546651242,[487]
KAB. LAMPUNG UTARA,3803.61126195281,"[487, 144]"
KAB. LAMPUNG SELATAN,3905.0392506484723,"[487, 292, 282, 281, 280, 279, 278]"
KAB. LAMPUNG BARAT,3964.2892696550416,"[487, 292, 282, 258, 259]"
KAB. LAMPUNG TIMUR,3910.943688471841,"[487, 488]"
KAB. MESUJI,3842.6464591480944,"[487, 292, 282, 281, 242]"
KAB. PESAWARAN,3998.499540867949,"[487, 486, 275]"
KAB. PESISIR BARAT,3903.1111053510967,"[487, 292, 226, 221, 152]"
KAB. PRINGSEWU,3807.545615622944,"[487, 292, 226, 221]"
KAB. TULANG BAWANG,3801.1419798096226,"[487, 292, 282]"
KAB. TULANG BAWANG BARAT,3836.690303290393,"[487, 292, 282, 204, 203]"
KAB. TANGGAMUS,3856.1398445113937,"[487, 292, 177, 194]"
KAB. WAY KANAN,3933.887512287953,"[487, 292, 282, 281, 242, 241, 219]"
KOTA BANDAR LAMPUNG,3816.0706589313068,"[487, 256, 172]"
KOTA METRO,3830.0368257697373,"[487, 292, 226, 159]"
KAB. LEBAK,3638.2073118429334,"[487, 292, 226]"
KAB. PANDEGLANG,3690.7961721294087,"[487, 256, 172]"
KAB. SERANG,3680.336136976288,"[487, 292, 282, 281, 251]"
KAB. TANGERANG,3631.1708334062237,"[487, 292, 282, 281, 251]"
KOTA CILEGON,3687.7275053712597,"[487, 292, 282, 281, 251, 162]"
KOTA SERANG,3668.0655415926285,"[487, 292, 282, 281, 230, 165]"
KOTA TANGERANG,3613.078007895138,"[487, 292, 282, 281, 230]"
KOTA TANGERANG SELATAN,3604.676968940857,"[487, 292, 282, 281, 251, 198]"
KAB. BANDUNG,3498.096797113494,"[487, 292, 282, 281, 230]"
KAB. BANDUNG BARAT,3489.251632286619,"[487, 256]"
KAB. BEKASI,3554.848931780722,"[487, 292, 282, 204]"
KAB. BOGOR,3602.8567708827586,"[487, 292, 177, 182]"
KAB. CIAMIS,3402.5505519123,"[487, 292, 282, 281, 242, 269]"
KAB. CIANJUR,3511.1551985865435,"[487, 256]"
KAB. CIREBON,3405.2716488991778,"[487, 292, 282, 281, 242, 200]"
KAB. GARUT,3451.7599454376436,"[487, 292]"
KAB. INDRAMAYU,3549.3298540051615,"[487, 292, 282, 204, 213, 222]"
KAB. KARAWANG,3530.011465497763,"[487, 292, 177]"
KAB. KUNINGAN,3373.6976215797354,"[487, 292]"
KAB. MAJALENGKA,3410.1983920955195,"[487, 292]"
KAB. PANGANDARAN,3369.7479942790856,"[487, 292]"
KAB. PURWAKARTA,3535.5437290227633,"[487, 292, 179]"
KAB. SUBANG,3579.340439654123,"[487, 292, 179, 180]"
KAB. SUKABUMI,3552.893897715857,"[487, 292, 177]"
KAB. SUMEDANG,3460.429919962826,"[487, 292, 282, 281, 242, 243]"
KAB. TASIKMALAYA,3447.52515420447,"[487, 292, 226]"
KOTA BANDUNG,3485.47172718417,"[487, 292, 226]"
KOTA BANJAR,3412.5704744420564,"[487, 292, 282, 281, 242, 200, 201]"
KOTA BEKASI,3573.9872934154882,"[487, 292, 282, 204, 169]"
KOTA BOGOR,3591.2914152538383,"[487, 292, 282, 204, 203]"
KOTA CIMAHI,3549.058968976169,"[487, 292, 282, 281, 251, 267]"
KOTA CIREBON,3598.6658212250827,"[487, 488]"
KOTA DEPOK,3597.0991927882287,"[487, 292, 282, 281, 242, 243, 183]"
KOTA SUKABUMI,3569.1350761287754,"[487, 292, 282, 281, 242, 200, 201]"
KOTA TASIKMALAYA,3495.3261693937143,"[487, 292, 282, 261]"
KOTA JAKARTA,3583.8643872553635,"[487, 292, 177]"
KAB. ADMINISTRASI KEPULAUAN SERIBU,3652.2028231485774,"[487, 292, 177, 194]"
