city,distance,through
KAB. ACEH BARAT,3130.567317666414,"[414, 413, 400, 336, 342]"
KAB. ACEH BARAT DAYA,3048.96729584188,"[414, 413, 357]"
KAB. ACEH BESAR,3285.8746991053567,"[414, 413, 400, 347, 4, 3]"
KAB. ACEH JAYA,3209.571225768258,"[414, 413, 400, 347, 4]"
KAB. ACEH SELATAN,2959.10604400862,"[414, 413, 400, 347]"
KAB. ACEH SINGKIL,2953.8847070972015,"[414, 413, 338, 142, 141, 73, 72]"
KAB. ACEH TAMIANG,2931.9531833148176,"[414, 413, 400, 315]"
KAB. ACEH TENGAH,3057.2606558652597,"[414, 413, 400, 332, 352]"
KAB. ACEH TENGGARA,2915.985233088845,"[414, 413]"
KAB. ACEH TIMUR,2982.3034352695695,"[414, 413, 400, 315]"
KAB. ACEH UTARA,3027.8055701904786,[414]
KAB. BENER MERIAH,3066.9267718899796,"[414, 10]"
KAB. BIREUEN,3094.9512915842097,"[414, 413, 400, 332]"
KAB. GAYO LUES,3012.175556357238,"[414, 413, 411]"
KAB. NAGAN RAYA,3092.4023746358707,"[414, 413, 400, 336, 25]"
KAB. PIDIE,3167.6590687064772,"[414, 413, 400, 332]"
KAB. PIDIE JAYA,3141.151529552729,[414]
KAB. SIMEULUE,3127.5458931604576,"[414, 413, 400, 332, 352, 55]"
KOTA BANDA ACEH,3249.1618204220026,"[414, 413, 400, 347, 19]"
KOTA LANGSA,2932.0021648558964,"[414, 413, 400, 347]"
KOTA LHOKSEUMAWE,3053.473386336273,"[414, 413, 400, 347, 19]"
KOTA SABANG,3269.620926104951,"[414, 413, 400, 347, 19, 20]"
KOTA SUBULUSSALAM,2903.833150561155,"[414, 413, 400, 332, 331, 85, 27]"
KAB. ASAHAN,2741.3724288779667,"[414, 413, 357]"
KAB. BATUBARA,2763.8154776811407,"[414, 413, 411, 93, 92]"
KAB. DAIRI,2851.1046708615404,"[414, 413, 400, 336]"
KAB. DELI SERDANG,2860.4899991222296,"[414, 413, 400, 332, 355, 321, 30]"
KAB. HUMBANG HASUNDUTAN,2811.2376540215755,"[414, 413, 400, 332, 331, 85]"
KAB. KARO,2850.127396267705,"[414, 413, 400, 332, 355]"
KAB. LABUHANBATU,2660.4161162214878,"[414, 413, 411]"
KAB. LABUHANBATU SELATAN,2624.150664385521,"[414, 413, 400, 332, 355, 321]"
KAB. LABUHANBATU UTARA,2689.5248600723157,"[414, 413, 400, 332, 355, 321, 30]"
KAB. LANGKAT,2927.00076213073,"[414, 413, 400, 332, 355, 321, 30, 31]"
KAB. MANDAILING NATAL,2721.42235305546,"[414, 413, 338, 353, 87, 88]"
KAB. NIAS,2897.9106637992586,"[414, 413, 338, 353, 87]"
KAB. NIAS BARAT,2904.9407092420447,"[414, 413, 77, 49]"
KAB. NIAS SELATAN,2929.911089355193,"[414, 413, 338, 66, 58]"
KAB. NIAS UTARA,2886.999476196644,"[414, 413]"
KAB. PADANG LAWAS,2684.383042966304,"[414, 413, 400, 332, 333]"
KAB. PADANG LAWAS UTARA,2653.9195381421214,"[414, 413]"
KAB. PAKPAK BHARAT,2842.3781077884178,"[414, 413, 39]"
KAB. SAMOSIR,2890.3952205350392,"[414, 413, 400, 332, 355, 321, 320, 43, 42]"
KAB. SERDANG BEDAGAI,2806.165727703802,"[414, 413, 400, 332, 355, 321, 320, 43]"
KAB. SIMALUNGUN,2759.279662091015,"[414, 413, 400, 332, 355, 321, 320]"
KAB. TAPANULI SELATAN,2707.104196239812,"[414, 413, 400, 347]"
KAB. TAPANULI TENGAH,2777.748407966436,"[414, 413, 400, 347, 44]"
KAB. TAPANULI UTARA,2737.3586647756115,"[414, 413, 338]"
KAB. TOBA SAMOSIR,2777.032536992316,"[414, 413, 338, 46]"
KOTA BINJAI,2861.6371093065036,"[414, 413, 400, 332, 352, 52]"
KOTA GUNUNGSITOLI,2871.569453862601,"[414, 413, 77]"
KOTA MEDAN,2878.7852447214013,"[414, 413, 357, 23]"
KOTA PADANGSIDEMPUAN,2780.3428003203608,"[414, 413, 400, 332, 355, 74]"
KOTA PEMATANGSIANTAR,2766.4338454173,"[414, 413, 400, 332, 352]"
KOTA SIBOLGA,2770.000342737992,"[414, 413, 400, 332, 331]"
KOTA TANJUNGBALAI,2803.049309264832,"[414, 413, 411, 382]"
KOTA TEBING TINGGI,2771.676796785343,"[414, 413, 400, 332, 352]"
KAB. AGAM,2562.6749371474198,"[414, 413, 338, 142, 57]"
KAB. DHARMASRAYA,2373.860097160311,"[414, 413, 338, 142]"
KAB. KEPULAUAN MENTAWAI,2663.10517184278,"[414, 413, 338, 66]"
KAB. LIMA PULUH KOTA,2578.2333858508628,"[414, 413, 400, 332, 355, 321, 322]"
KAB. PADANG PARIAMAN,2631.5426109285854,"[414, 413, 412, 348]"
KAB. PASAMAN,2621.4211027388274,"[414, 413, 400, 332, 355, 321, 322, 59]"
KAB. PASAMAN BARAT,2679.1570346049566,"[414, 413, 400, 332, 355, 321, 322, 59]"
KAB. PESISIR SELATAN,2438.45160926678,"[414, 413]"
KAB. SIJUNJUNG,2507.588719854035,"[414, 413, 338, 66, 65]"
KAB. SOLOK,2468.664426069729,"[414, 413, 338, 66]"
KAB. SOLOK SELATAN,2404.331566995077,"[414, 413, 338]"
KAB. TANAH DATAR,2499.22172035515,"[414, 413, 338]"
KOTA BUKITTINGGI,2524.3508893519374,"[414, 413, 400]"
KOTA PADANG,2595.969553906143,"[414, 413, 400, 68]"
