city,distance,through
KAB. ACEH BARAT,1356.0596134234265,"[127, 126, 109, 59, 62]"
KAB. ACEH BARAT DAYA,1460.752117277813,"[127, 128, 140]"
KAB. ACEH BESAR,1500.7473455077388,"[127, 126, 109, 59, 62, 4, 3]"
KAB. ACEH JAYA,1424.4438721706401,"[127, 126, 109, 59, 62, 4]"
KAB. ACEH SELATAN,1173.9786904110017,"[127, 126, 109, 59, 62]"
KAB. ACEH SINGKIL,1138.7776748501,"[127, 126, 125, 107, 72]"
KAB. ACEH TAMIANG,1186.9944089547166,"[127, 126, 109, 59]"
KAB. ACEH TENGAH,1318.6719341904939,"[127, 126, 109, 59, 6]"
KAB. ACEH TENGGARA,1295.536789154947,"[127, 128, 129, 66, 67]"
KAB. ACEH TIMUR,1234.016283669769,"[127, 126, 109]"
KAB. ACEH UTARA,1300.6064177582568,"[127, 126, 109, 9]"
KAB. BENER MERIAH,1339.7276194577576,"[127, 126, 109, 9, 10]"
KAB. BIREUEN,1390.722793031379,"[127, 126, 109, 9, 10, 11]"
KAB. GAYO LUES,1290.3373559463062,"[127, 126, 125, 70]"
KAB. NAGAN RAYA,1387.432193031325,"[127, 126, 125, 70, 13]"
KAB. PIDIE,1478.256115539171,"[127, 17, 16]"
KAB. PIDIE JAYA,1448.7247189065906,"[127, 17]"
KAB. SIMEULUE,1168.9040749633623,[127]
KOTA BANDA ACEH,1501.0934451479413,"[127, 17]"
KOTA LANGSA,1290.702122021024,"[127, 126, 125]"
KOTA LHOKSEUMAWE,1406.9469123391566,"[127, 126, 109, 59, 6, 7]"
KOTA SABANG,1552.5241083307924,"[127, 126, 109, 59, 62, 4, 3, 2]"
KOTA SUBULUSSALAM,1204.4300581899788,"[127, 126, 109, 59, 62, 34, 35, 49]"
KAB. ASAHAN,1357.9247881876433,"[127, 126, 109, 56, 55, 28, 25, 24]"
KAB. BATUBARA,1315.5922103872892,"[127, 126, 109, 56, 55, 28, 25]"
KAB. DAIRI,1174.232038973956,"[127, 126, 109, 56, 55, 28]"
KAB. DELI SERDANG,1154.9872951732332,"[127, 126, 125, 107]"
KAB. HUMBANG HASUNDUTAN,1185.4282785181185,"[127, 126, 125, 70, 30, 29]"
KAB. KARO,1147.8010049105442,"[127, 126, 109, 56, 55]"
KAB. LABUHANBATU,1007.1247502278743,"[127, 126, 125, 70, 30]"
KAB. LABUHANBATU SELATAN,955.5191847721346,"[127, 126, 125, 70]"
KAB. LABUHANBATU UTARA,1020.8933804589294,"[127, 126, 125, 70, 30]"
KAB. LANGKAT,1186.6239836397492,"[127, 128]"
KAB. MANDAILING NATAL,1109.0404790544562,"[127, 128, 129, 66, 65, 63]"
KAB. NIAS,978.2698623897779,"[127, 126, 109, 59, 62]"
KAB. NIAS BARAT,1008.395982888624,"[127, 126, 109, 59, 62, 34]"
KAB. NIAS SELATAN,1059.6337310284887,"[127, 126, 109, 59, 62, 34, 35]"
KAB. NIAS UTARA,1142.6732788118325,"[127, 126, 109, 59, 62, 34, 35, 36]"
KAB. PADANG LAWAS,1149.0566647373007,"[127, 126, 125, 70, 30, 29]"
KAB. PADANG LAWAS UTARA,1203.6261497397766,"[127, 126, 125, 70, 30, 29, 38]"
KAB. PAKPAK BHARAT,1160.6162186713395,"[127, 126, 125, 107, 72, 41]"
KAB. SAMOSIR,1095.9466065013787,"[127, 126, 125, 107, 72]"
KAB. SERDANG BEDAGAI,1087.0903335827886,"[127, 128]"
KAB. SIMALUNGUN,1116.0610807249736,"[127, 126, 125, 107, 44]"
KAB. TAPANULI SELATAN,960.3103469739401,"[127, 126, 125, 107]"
KAB. TAPANULI TENGAH,1030.9545587005637,"[127, 126, 125, 107, 44]"
KAB. TAPANULI UTARA,1079.948942852078,"[127, 126, 125, 107, 44, 45]"
KAB. TOBA SAMOSIR,1119.6228150687825,"[127, 126, 125, 107, 44, 45, 46]"
KOTA BINJAI,1099.4989846398294,"[127, 126, 109, 59]"
KOTA GUNUNGSITOLI,1041.7672382680676,"[127, 126, 109, 59, 62, 34, 35]"
KOTA MEDAN,1285.0156708521906,"[127, 128, 129, 66, 65, 64]"
KOTA PADANGSIDEMPUAN,1069.5717759974586,"[127, 126, 125, 107, 72, 73, 74]"
