city,distance,through
KAB. ACEH BARAT,850.6881194840394,"[39, 43, 52, 51]"
KAB. ACEH BARAT DAYA,970.3799161172076,"[39, 43, 52, 51, 0]"
KAB. ACEH BESAR,735.5341169637621,"[39, 38]"
KAB. ACEH JAYA,811.8375903008609,"[39, 38, 2]"
KAB. ACEH SELATAN,784.5020926858441,"[39, 38, 6, 5]"
KAB. ACEH SINGKIL,663.8313677452627,"[39, 38, 6]"
KAB. ACEH TAMIANG,454.9476065546129,"[39, 38]"
KAB. ACEH TENGAH,586.6251317903901,"[39, 38, 6]"
KAB. ACEH TENGGARA,730.1870109429169,"[39, 43, 42, 11, 10, 9]"
KAB. ACEH TIMUR,594.9088392706249,"[39, 43, 42, 11, 10]"
KAB. ACEH UTARA,528.3187051821373,"[39, 43, 42, 11]"
KAB. BENER MERIAH,489.19750348263653,"[39, 43, 42]"
KAB. BIREUEN,540.1926770562582,"[39, 43, 42, 11]"
KAB. GAYO LUES,652.5495527461254,"[39, 38, 25, 14]"
KAB. NAGAN RAYA,555.4547156611067,"[39, 38, 25]"
KAB. PIDIE,677.4800777452901,"[39, 38, 25, 14]"
KAB. PIDIE JAYA,707.0114743778706,"[39, 38, 25, 14, 15]"
KAB. SIMEULUE,798.4471344496969,"[39, 38, 25, 28, 55]"
KOTA BANDA ACEH,651.0308288083025,[39]
KOTA LANGSA,681.0277576139987,"[39, 38, 37]"
KOTA LHOKSEUMAWE,602.9127581865271,"[39, 38, 25, 28]"
KOTA SABANG,787.3108797868157,"[39, 38, 2]"
KOTA SUBULUSSALAM,467.4004243417256,"[39, 38, 29, 27]"
KAB. ASAHAN,497.8497611004637,"[39, 38, 25, 24]"
KAB. BATUBARA,455.51718330010965,"[39, 38, 25]"
KAB. DAIRI,314.1570118867763,"[39, 38]"
KAB. DELI SERDANG,392.5874040343379,"[39, 38, 25]"
KAB. HUMBANG HASUNDUTAN,374.8049278021464,"[39, 38, 29]"
KAB. KARO,340.5880459501879,"[39, 38, 25]"
KAB. LABUHANBATU,196.50139951190226,"[39, 38]"
KAB. LABUHANBATU SELATAN,248.10696496764194,"[39, 38, 29]"
KAB. LABUHANBATU UTARA,313.48116065443674,"[39, 38, 29, 30]"
KAB. LANGKAT,463.77320992272763,"[39, 33]"
KAB. MANDAILING NATAL,97.2266670820788,[39]
KAB. NIAS,281.9583268693983,"[39, 33]"
KAB. NIAS BARAT,312.08444736824435,"[39, 33, 34]"
KAB. NIAS SELATAN,363.3221955081092,"[39, 33, 34, 35]"
KAB. NIAS UTARA,324.2328538304802,"[39, 38]"
KAB. PADANG LAWAS,54.56948500247575,[39]
KAB. PADANG LAWAS UTARA,0.0,[]
KAB. PAKPAK BHARAT,188.45856964629655,[39]
KAB. SAMOSIR,253.1281818162573,"[39, 40]"
KAB. SERDANG BEDAGAI,207.73942229091907,"[39, 43]"
KAB. SIMALUNGUN,160.8533566781319,[39]
KAB. TAPANULI SELATAN,316.60409042916535,"[39, 43]"
KAB. TAPANULI TENGAH,387.248302155789,"[39, 43, 44]"
KAB. TAPANULI UTARA,436.2426863073034,"[39, 43, 44, 45]"
KAB. TOBA SAMOSIR,444.2396772270639,"[39, 43, 52, 48]"
KOTA BINJAI,279.43830670823206,"[39, 43, 52]"
KOTA GUNUNGSITOLI,345.45570274768795,"[39, 33, 34, 35]"
