city,distance,through
KAB. ACEH BARAT,755.1783665700771,"[60, 61, 62]"
KAB. ACEH BARAT DAYA,874.8701632032453,"[60, 61, 62, 0]"
KAB. ACEH BESAR,899.8660986543894,"[60, 61, 62, 4, 3]"
KAB. ACEH JAYA,823.5626253172907,"[60, 61, 62, 4]"
KAB. ACEH SELATAN,573.0974435576524,"[60, 61, 62]"
KAB. ACEH SINGKIL,693.7681684982338,"[60, 61, 62, 4]"
KAB. ACEH TAMIANG,619.1297480758482,"[60, 59]"
KAB. ACEH TENGAH,750.8072733116254,"[60, 59, 6]"
KAB. ACEH TENGGARA,909.6152987932069,"[60, 59, 6, 7]"
KAB. ACEH TIMUR,838.6642847481711,"[60, 42, 11, 10]"
KAB. ACEH UTARA,772.0741506596835,"[60, 42, 11]"
KAB. BENER MERIAH,732.9529489601828,"[60, 42]"
KAB. BIREUEN,783.9481225338044,"[60, 42, 11]"
KAB. GAYO LUES,933.1552832336964,"[60, 42, 11, 12]"
KAB. NAGAN RAYA,872.8862483292363,"[60, 61, 62, 34, 35, 49, 25]"
KAB. PIDIE,945.5684513794954,"[60, 61, 62, 34, 35, 49, 22]"
KAB. PIDIE JAYA,934.4146633447024,"[60, 59, 17]"
KAB. SIMEULUE,654.5940194014739,"[60, 59]"
KOTA BANDA ACEH,950.0230748059557,"[60, 59, 6]"
KOTA LANGSA,898.5869357420015,"[60, 61, 62, 34, 35, 36, 37]"
KOTA LHOKSEUMAWE,839.082251460288,"[60, 59, 6, 7]"
KOTA SABANG,951.6428614774429,"[60, 61, 62, 4, 3, 2]"
KOTA SUBULUSSALAM,603.5488113366293,"[60, 61, 62, 34, 35, 49]"
KAB. ASAHAN,794.7632162282846,"[60, 61, 62, 34, 35, 49, 22]"
KAB. BATUBARA,772.9487159682393,"[60, 61, 62, 34, 35, 49, 25]"
KAB. DAIRI,631.588544554906,"[60, 61, 62, 34, 35, 49]"
KAB. DELI SERDANG,710.0189367024676,"[60, 61, 62, 34, 35, 49, 25]"
KAB. HUMBANG HASUNDUTAN,696.1443078762086,"[60, 61, 62, 34, 35, 49, 22]"
KAB. KARO,658.0195786183176,"[60, 61, 62, 34, 35, 49, 25]"
KAB. LABUHANBATU,790.5912788753159,"[60, 61, 62, 81, 30]"
KAB. LABUHANBATU SELATAN,738.9857134195762,"[60, 61, 62, 81]"
KAB. LABUHANBATU UTARA,804.359909106371,"[60, 61, 62, 81, 30]"
KAB. LANGKAT,928.6668181643969,"[60, 61, 62, 34, 33]"
KAB. MANDAILING NATAL,562.120275323748,"[60, 61, 62, 34]"
KAB. NIAS,377.3886155364286,"[60, 61, 62]"
KAB. NIAS BARAT,407.5147360352746,"[60, 61, 62, 34]"
KAB. NIAS SELATAN,458.75248417513944,"[60, 61, 62, 34, 35]"
KAB. NIAS UTARA,541.7920319584831,"[60, 61, 62, 34, 35, 36]"
KAB. PADANG LAWAS,713.80377506186,"[60, 42, 43, 39]"
KAB. PADANG LAWAS UTARA,659.2342900593843,"[60, 42, 43]"
KAB. PAKPAK BHARAT,600.3939727696634,"[60, 42, 41]"
KAB. SAMOSIR,535.7243605997027,"[60, 42]"
KAB. SERDANG BEDAGAI,451.49486776846527,[60]
KAB. SIMALUNGUN,498.3809333812524,"[60, 42]"
KAB. TAPANULI SELATAN,654.1316671322859,"[60, 42, 43]"
KAB. TAPANULI TENGAH,724.7758788589096,"[60, 42, 43, 44]"
KAB. TAPANULI UTARA,736.1095664964971,"[60, 59, 48, 47]"
KAB. TOBA SAMOSIR,696.4356942797926,"[60, 59, 48]"
KOTA BINJAI,531.6343237609608,"[60, 59]"
KOTA GUNUNGSITOLI,440.8859914147182,"[60, 61, 62, 34, 35]"
KOTA MEDAN,723.8102521197386,"[60, 61, 62, 34, 35, 49]"
KOTA PADANGSIDEMPUAN,685.1731925517843,"[60, 42, 41]"
