city,distance,through
KAB. ACEH BARAT,701.4529234702172,"[40, 41, 51]"
KAB. ACEH BARAT DAYA,821.1447201033855,"[40, 41, 51, 0]"
KAB. ACEH BESAR,923.9926866100586,"[40, 39, 38]"
KAB. ACEH JAYA,1000.2961599471573,"[40, 39, 38, 2]"
KAB. ACEH SELATAN,972.9606623321405,"[40, 39, 38, 6, 5]"
KAB. ACEH SINGKIL,852.2899373915591,"[40, 39, 38, 6]"
KAB. ACEH TAMIANG,643.4061762009094,"[40, 39, 38]"
KAB. ACEH TENGAH,687.2121235946971,"[40, 41, 51, 26]"
KAB. ACEH TENGGARA,671.346693653196,"[40, 41, 42, 11, 10, 9]"
KAB. ACEH TIMUR,536.0685219809039,"[40, 41, 42, 11, 10]"
KAB. ACEH UTARA,469.4783878924163,"[40, 41, 42, 11]"
KAB. BENER MERIAH,430.3571861929156,"[40, 41, 42]"
KAB. BIREUEN,481.35235976653723,"[40, 41, 42, 11]"
KAB. GAYO LUES,630.5595204664293,"[40, 41, 42, 11, 12]"
KAB. NAGAN RAYA,727.654357551448,"[40, 41, 42, 11, 12, 13]"
KAB. PIDIE,818.5036771939454,"[40, 41, 51, 26, 16]"
KAB. PIDIE JAYA,788.9722805613649,"[40, 41, 51, 26]"
KAB. SIMEULUE,974.5572368015787,"[40, 41, 42, 43, 52, 53, 54, 55]"
KOTA BANDA ACEH,839.489398454599,"[40, 39]"
KOTA LANGSA,869.4863272602952,"[40, 39, 38, 37]"
KOTA LHOKSEUMAWE,775.4871017433597,"[40, 41, 51, 26, 7]"
KOTA SABANG,975.7694494331122,"[40, 39, 38, 2]"
KOTA SUBULUSSALAM,655.8589939880221,"[40, 39, 38, 29, 27]"
KAB. ASAHAN,607.5686874481293,"[40, 41, 51, 50]"
KAB. BATUBARA,643.9757529464061,"[40, 39, 38, 25]"
KAB. DAIRI,502.6155815330728,"[40, 39, 38]"
KAB. DELI SERDANG,450.4528140482222,"[40, 41, 51]"
KAB. HUMBANG HASUNDUTAN,563.2634974484429,"[40, 39, 38, 29]"
KAB. KARO,529.0466155964845,"[40, 39, 38, 25]"
KAB. LABUHANBATU,384.9599691581988,"[40, 39, 38]"
KAB. LABUHANBATU SELATAN,436.5655346139385,"[40, 39, 38, 29]"
KAB. LABUHANBATU UTARA,501.9397303007333,"[40, 39, 38, 29, 30]"
KAB. LANGKAT,650.6178212719408,"[40, 41, 42, 43, 44, 45]"
KAB. MANDAILING NATAL,285.68523672837534,"[40, 39]"
KAB. NIAS,466.6969719723054,"[40, 41, 42, 43]"
KAB. NIAS BARAT,496.8230924711514,"[40, 41, 42, 43, 34]"
KAB. NIAS SELATAN,548.0608406110163,"[40, 41, 42, 43, 34, 35]"
KAB. NIAS UTARA,512.6914234767768,"[40, 39, 38]"
KAB. PADANG LAWAS,243.0280546487723,"[40, 39]"
KAB. PADANG LAWAS UTARA,188.45856964629655,[40]
KAB. PAKPAK BHARAT,0.0,[]
KAB. SAMOSIR,64.66961216996074,[40]
KAB. SERDANG BEDAGAI,148.8991050011981,"[40, 41]"
KAB. SIMALUNGUN,195.7851706139853,"[40, 41, 42]"
KAB. TAPANULI SELATAN,351.5359043650187,"[40, 41, 42, 43]"
KAB. TAPANULI TENGAH,422.1801160916424,"[40, 41, 42, 43, 44]"
KAB. TAPANULI UTARA,471.1745002431568,"[40, 41, 42, 43, 44, 45]"
