city,distance,through
KAB. ACEH BARAT,4232.078751015253,"[508, 509, 359, 323]"
KAB. ACEH BARAT DAYA,4238.408094157012,"[508, 509, 359, 358, 357]"
KAB. ACEH BESAR,4315.551761487015,"[508, 507]"
KAB. ACEH JAYA,4316.196759993028,"[508, 507, 467, 89]"
KAB. ACEH SELATAN,4108.093889000489,"[508, 507, 347]"
KAB. ACEH SINGKIL,4003.709103664371,[508]
KAB. ACEH TAMIANG,4027.5357012564064,"[508, 315]"
KAB. ACEH TENGAH,4148.016681523581,"[508, 509, 359]"
KAB. ACEH TENGGARA,4037.838206988078,"[508, 507]"
KAB. ACEH TIMUR,4077.8859532111583,"[508, 315]"
KAB. ACEH UTARA,4144.476087299646,"[508, 315, 9]"
KAB. BENER MERIAH,4180.752215224633,"[508, 507, 467, 328]"
KAB. BIREUEN,4231.747388798254,"[508, 507, 467, 328, 11]"
KAB. GAYO LUES,4191.673132638372,"[508, 507, 467, 385]"
KAB. NAGAN RAYA,4216.841060461821,"[508, 371, 24, 25]"
KAB. PIDIE,4338.866422546004,"[508, 371, 24, 25, 14]"
KAB. PIDIE JAYA,4336.017425701209,"[508, 507, 467, 96, 29]"
KAB. SIMEULUE,4272.343059867715,"[508, 507, 467, 396]"
KOTA BANDA ACEH,4342.358830409418,"[508, 507, 97, 19]"
KOTA LANGSA,4025.199174843312,"[508, 507, 97]"
KOTA LHOKSEUMAWE,4122.6872027331165,[508]
KOTA SABANG,4338.834742501795,"[508, 20]"
KOTA SUBULUSSALAM,4003.820865603763,"[508, 315]"
KAB. ASAHAN,3815.5656700907543,"[508, 509]"
KAB. BATUBARA,3834.1831852741575,"[508, 371]"
KAB. DAIRI,3975.543356687491,"[508, 371, 24]"
KAB. DELI SERDANG,4021.780162389226,"[508, 509, 359, 351, 30]"
KAB. HUMBANG HASUNDUTAN,3973.7716097807884,"[508, 507, 467, 96, 29]"
KAB. KARO,4001.9743907509023,"[508, 371, 24, 25]"
KAB. LABUHANBATU,3795.468081490544,"[508, 507, 467, 96]"
KAB. LABUHANBATU SELATAN,3785.4408276525173,"[508, 509, 359, 351]"
KAB. LABUHANBATU UTARA,3850.815023339312,"[508, 509, 359, 351, 30]"
KAB. LANGKAT,4088.2909253977264,"[508, 509, 359, 351, 30, 31]"
KAB. MANDAILING NATAL,3838.670627320271,"[508, 509, 359, 323]"
KAB. NIAS,4023.4022871075904,"[508, 509, 359, 323, 33]"
KAB. NIAS BARAT,4053.5284076064363,"[508, 509, 359, 323, 33, 34]"
KAB. NIAS SELATAN,4045.4644050153947,"[508, 507, 408, 447, 446]"
KAB. NIAS UTARA,4055.6820345719816,"[508, 509, 359, 323]"
KAB. PADANG LAWAS,3847.1318258893825,"[508, 507, 467, 96]"
KAB. PADANG LAWAS UTARA,3882.351519720884,"[508, 507, 452, 345, 321, 84]"
KAB. PAKPAK BHARAT,3970.2231913559744,"[508, 509, 359, 360]"
KAB. SAMOSIR,3985.045850883659,"[508, 370, 369, 368]"
KAB. SERDANG BEDAGAI,3917.352344827181,"[508, 507, 320, 43]"
KAB. SIMALUNGUN,3870.4662792143936,"[508, 507, 320]"
