city,distance,through
KAB. ACEH BARAT,1993.4627182718173,"[213, 214, 221, 153, 123, 62]"
KAB. ACEH BARAT DAYA,1948.682754105288,"[213, 198, 166, 165]"
KAB. ACEH BESAR,2102.2075759973036,"[213, 214]"
KAB. ACEH JAYA,2042.7804230524746,"[213, 214, 221, 153]"
KAB. ACEH SELATAN,1799.1732698040778,"[213, 214, 221, 153, 5]"
KAB. ACEH SINGKIL,1678.5025448634965,"[213, 214, 221, 153]"
KAB. ACEH TAMIANG,1806.1653314919404,"[213, 214, 86]"
KAB. ACEH TENGAH,1933.2756217963545,"[213, 214, 221, 153, 67, 8]"
KAB. ACEH TENGGARA,1774.467596314773,"[213, 214, 221, 153, 67]"
KAB. ACEH TIMUR,1909.745767987065,"[213, 214, 221, 153, 67, 8]"
KAB. ACEH UTARA,1976.3359020755527,"[213, 214, 221, 153, 67, 8, 9]"
KAB. BENER MERIAH,1970.3192724355115,"[213, 214, 71]"
KAB. BIREUEN,2021.314446009133,"[213, 214, 71, 11]"
KAB. GAYO LUES,1904.816291754868,"[213, 214, 221, 111, 112]"
KAB. NAGAN RAYA,1923.9590264932212,"[213, 214, 86, 25]"
KAB. PIDIE,2045.9843885774046,"[213, 214, 86, 25, 14]"
KAB. PIDIE JAYA,2075.515785209985,"[213, 214, 86, 25, 14, 15]"
KAB. SIMEULUE,1883.9281101519296,"[213, 214, 221, 111, 112]"
KOTA BANDA ACEH,2137.058658222048,"[213, 214, 86, 6]"
KOTA LANGSA,1887.2473040910743,"[213, 214, 221, 168, 169]"
KOTA LHOKSEUMAWE,1971.4170690186418,"[213, 214, 86, 25, 28]"
KOTA SABANG,2153.984338820357,"[213, 214, 2]"
KOTA SUBULUSSALAM,1746.030898552106,"[213, 214, 221, 168, 136]"
KAB. ASAHAN,1771.4770566515317,"[213, 214, 221, 152, 157, 24]"
KAB. BATUBARA,1729.1444788511776,"[213, 214, 221, 152, 157]"
KAB. DAIRI,1682.661322718891,"[213, 214, 86]"
KAB. DELI SERDANG,1761.0917148664525,"[213, 214, 86, 25]"
