city,distance,through
KAB. ACEH BARAT,2448.205076582705,"[362, 363, 357, 1]"
KAB. ACEH BARAT DAYA,2328.513279949537,"[362, 363, 357]"
KAB. ACEH BESAR,2578.8081221530674,"[362, 363, 357, 1]"
KAB. ACEH JAYA,2598.2734933583706,"[362, 363, 320, 319, 4]"
KAB. ACEH SELATAN,2347.8083115987324,"[362, 363, 320, 319]"
KAB. ACEH SINGKIL,2275.8584871417247,"[362, 361, 66]"
KAB. ACEH TAMIANG,2358.577702989527,"[362, 39, 38]"
KAB. ACEH TENGAH,2311.7753795039102,"[362, 8]"
KAB. ACEH TENGGARA,2152.967354022329,[362]
KAB. ACEH TIMUR,2288.245525694621,"[362, 8]"
KAB. ACEH UTARA,2325.7025431092857,"[362, 363]"
KAB. BENER MERIAH,2347.991135904434,"[362, 52, 43, 42]"
KAB. BIREUEN,2398.986309478056,"[362, 52, 43, 42, 11]"
KAB. GAYO LUES,2294.990243230415,"[362, 363, 357]"
KAB. NAGAN RAYA,2304.778427801968,[362]
KAB. PIDIE,2426.8037898861517,"[362, 14]"
KAB. PIDIE JAYA,2456.3351865187324,"[362, 14, 15]"
KAB. SIMEULUE,2425.3369052950716,"[362, 363, 55]"
KOTA BANDA ACEH,2554.6609252432163,"[362, 39]"
KOTA LANGSA,2429.6896248757366,"[362, 363, 332, 333, 346, 347]"
KOTA LHOKSEUMAWE,2340.9489243284474,"[362, 363]"
KOTA SABANG,2557.0964640971256,"[362, 363, 20]"
KOTA SUBULUSSALAM,2212.132817877279,"[362, 363, 357, 23]"
KAB. ASAHAN,2020.9184129856237,"[362, 363, 357]"
KAB. BATUBARA,2063.2509907859776,"[362, 363, 357, 23]"
KAB. DAIRI,2172.337137661355,"[362, 363, 357, 29]"
KAB. DELI SERDANG,2240.7905974321975,"[362, 363, 357, 29, 30]"
KAB. HUMBANG HASUNDUTAN,2131.149225529993,"[362, 363, 357, 29]"
KAB. KARO,2171.4578010443515,"[362, 363, 55]"
KAB. LABUHANBATU,1952.845697239749,"[362, 363, 357]"
KAB. LABUHANBATU SELATAN,2004.4512626954886,"[362, 363, 357, 29]"
KAB. LABUHANBATU UTARA,2055.485607557565,"[362, 363, 320, 319]"
KAB. LANGKAT,2292.961509615979,"[362, 363, 320, 319, 31]"
KAB. MANDAILING NATAL,2000.8567635169927,"[362, 39]"
