city,distance,through
KAB. ACEH BARAT,1062.1883157874972,"[16, 26, 51]"
KAB. ACEH BARAT DAYA,1129.3043704899235,"[16, 15, 22, 21, 2]"
KAB. ACEH BESAR,879.0095282863931,"[16, 15, 22, 21]"
KAB. ACEH JAYA,955.3130016234918,"[16, 15, 22, 21, 2]"
KAB. ACEH SELATAN,1036.510787426626,"[16, 26, 7, 6, 5]"
KAB. ACEH SINGKIL,915.8400624860444,"[16, 26, 7, 6]"
KAB. ACEH TAMIANG,706.9563012953947,"[16, 26, 7]"
KAB. ACEH TENGAH,575.2787760596175,"[16, 26]"
KAB. ACEH TENGGARA,689.8434375355768,"[16, 15, 14, 13, 12, 11, 10, 9]"
KAB. ACEH TIMUR,554.5652658632847,"[16, 15, 14, 13, 12, 11, 10]"
KAB. ACEH UTARA,487.9751317747971,"[16, 15, 14, 13, 12, 11]"
KAB. BENER MERIAH,448.8539300752964,"[16, 15, 14, 13, 12]"
KAB. BIREUEN,397.85875650167475,"[16, 15, 14, 13]"
KAB. GAYO LUES,248.65159580178272,"[16, 15, 14]"
KAB. NAGAN RAYA,151.55675871676397,"[16, 15]"
KAB. PIDIE,29.531396632580538,[16]
KAB. PIDIE JAYA,0.0,[]
KAB. SIMEULUE,279.82064394322845,[16]
KOTA BANDA ACEH,612.0100141278075,"[16, 17]"
KOTA LANGSA,785.024975688657,"[16, 26, 7, 20]"
KOTA LHOKSEUMAWE,663.5537542082802,"[16, 26, 7]"
KOTA SABANG,827.2327654633395,"[16, 15, 22]"
KOTA SUBULUSSALAM,371.55103667544665,"[16, 15]"
KAB. ASAHAN,562.7654415671019,"[16, 15, 22]"
KAB. BATUBARA,534.2146339044276,"[16, 15, 14, 25]"
KAB. DAIRI,392.8544624910943,"[16, 15, 14]"
KAB. DELI SERDANG,338.5194665131426,[16]
KAB. HUMBANG HASUNDUTAN,464.1465332150259,"[16, 15, 22]"
KAB. KARO,419.2854965545059,"[16, 15, 14, 25]"
KAB. LABUHANBATU,540.5493442106647,[16]
KAB. LABUHANBATU SELATAN,574.8588012498514,"[16, 26]"
KAB. LABUHANBATU UTARA,640.2329969366461,"[16, 26, 30]"
KAB. LANGKAT,877.7088989950605,"[16, 26, 30, 31]"
KAB. MANDAILING NATAL,782.4428922629669,"[16, 15, 22, 49, 35, 34]"
KAB. NIAS,597.7112324756474,"[16, 15, 22, 49, 35]"
KAB. NIAS BARAT,567.5851119768014,"[16, 15, 22, 49]"
KAB. NIAS SELATAN,560.4919844728605,"[16, 15, 37]"
KAB. NIAS UTARA,477.4524366895168,"[16, 15]"
KAB. PADANG LAWAS,652.4419893753948,"[16, 15, 14, 25]"
