city,distance,through
KAB. ACEH BARAT,1091.719712420078,"[15, 16, 26, 51]"
KAB. ACEH BARAT DAYA,1099.772973857343,"[15, 22, 21, 2]"
KAB. ACEH BESAR,849.4781316538126,"[15, 22, 21]"
KAB. ACEH JAYA,925.7816049909113,"[15, 22, 21, 2]"
KAB. ACEH SELATAN,1066.0421840592066,"[15, 16, 26, 7, 6, 5]"
KAB. ACEH SINGKIL,945.3714591186251,"[15, 16, 26, 7, 6]"
KAB. ACEH TAMIANG,736.4876979279753,"[15, 16, 26, 7]"
KAB. ACEH TENGAH,604.8101726921981,"[15, 16, 26]"
KAB. ACEH TENGGARA,660.3120409029962,"[15, 14, 13, 12, 11, 10, 9]"
KAB. ACEH TIMUR,525.0338692307041,"[15, 14, 13, 12, 11, 10]"
KAB. ACEH UTARA,458.4437351422165,"[15, 14, 13, 12, 11]"
KAB. BENER MERIAH,419.3225334427158,"[15, 14, 13, 12]"
KAB. BIREUEN,368.32735986909415,"[15, 14, 13]"
KAB. GAYO LUES,219.12019916920218,"[15, 14]"
KAB. NAGAN RAYA,122.02536208418343,[15]
KAB. PIDIE,0.0,[]
KAB. PIDIE JAYA,29.531396632580538,[15]
KAB. SIMEULUE,309.352040575809,"[15, 16]"
KOTA BANDA ACEH,641.5414107603881,"[15, 16, 17]"
KOTA LANGSA,773.5500336386414,"[15, 14, 25, 28, 20]"
KOTA LHOKSEUMAWE,652.0788121582646,"[15, 14, 25, 28]"
KOTA SABANG,797.7013688307591,"[15, 22]"
KOTA SUBULUSSALAM,342.0196400428661,[15]
KAB. ASAHAN,533.2340449345214,"[15, 22]"
KAB. BATUBARA,504.68323727184713,"[15, 14, 25]"
KAB. DAIRI,363.3230658585138,"[15, 14]"
KAB. DELI SERDANG,368.05086314572316,"[15, 16]"
KAB. HUMBANG HASUNDUTAN,434.6151365824454,"[15, 22]"
KAB. KARO,389.75409992192544,"[15, 14, 25]"
KAB. LABUHANBATU,570.0807408432452,"[15, 16]"
KAB. LABUHANBATU SELATAN,588.6054578391823,[15]
