city,distance,through
KAB. ACEH BARAT,2257.6442619480395,"[256, 168, 112]"
KAB. ACEH BARAT DAYA,2178.494377748783,"[256, 168, 167, 166, 165]"
KAB. ACEH BESAR,2363.950118872611,"[256, 168]"
KAB. ACEH JAYA,2303.9794496189884,"[256, 168, 149, 4]"
KAB. ACEH SELATAN,2053.51426785935,"[256, 168, 149]"
KAB. ACEH SINGKIL,1954.4725871865098,"[256, 168, 124, 66]"
KAB. ACEH TAMIANG,2076.201021362207,"[256, 168, 124, 86]"
KAB. ACEH TENGAH,2188.128938760716,"[256, 168, 169, 187, 8]"
KAB. ACEH TENGGARA,2029.3209132791346,"[256, 168, 169, 187]"
KAB. ACEH TIMUR,2164.5990849514264,"[256, 168, 169, 187, 8]"
KAB. ACEH UTARA,2130.100541240347,[256]
KAB. BENER MERIAH,2169.221742939848,"[256, 10]"
KAB. BIREUEN,2220.2169165134696,"[256, 10, 11]"
KAB. GAYO LUES,2135.950152539886,"[256, 168, 112]"
KAB. NAGAN RAYA,2179.8485247588733,"[256, 168]"
KAB. PIDIE,2299.565855251731,"[256, 168, 136, 22]"
KAB. PIDIE JAYA,2312.7445166252523,"[256, 168, 124, 66, 53]"
KAB. SIMEULUE,2115.0619709369475,"[256, 168, 112]"
KOTA BANDA ACEH,2387.596074094892,"[256, 168, 149]"
KOTA LANGSA,2098.7626207478334,"[256, 168, 169]"
KOTA LHOKSEUMAWE,2220.23384222821,"[256, 168, 169, 19]"
KOTA SABANG,2410.9606590568164,"[256, 168, 136]"
KOTA SUBULUSSALAM,1957.546215208865,"[256, 168, 136]"
KAB. ASAHAN,1969.9283422993583,"[256, 172, 157, 24]"
KAB. BATUBARA,1927.5957644990042,"[256, 172, 157]"
KAB. DAIRI,1952.697012589158,"[256, 168, 124, 86]"
KAB. DELI SERDANG,2018.7124900544775,"[256, 172, 130, 125, 107]"
KAB. HUMBANG HASUNDUTAN,1910.2446039655188,"[256, 172, 130]"
KAB. KARO,1979.1280466525698,"[256, 168, 124, 86, 25]"
KAB. LABUHANBATU,1805.3700580678296,"[256, 172]"
KAB. LABUHANBATU SELATAN,1799.2057892928651,"[256, 168, 167, 166, 84]"
KAB. LABUHANBATU UTARA,1864.57998497966,"[256, 168, 167, 166, 84, 30]"
KAB. LANGKAT,2062.124475770608,"[256, 168, 124, 44, 45]"
KAB. MANDAILING NATAL,1741.0521020185288,"[256, 168, 169, 170]"
KAB. NIAS,1883.0615760645023,"[256, 172, 157]"
KAB. NIAS BARAT,1909.1902291275192,"[256, 168, 169, 187, 58, 36]"
KAB. NIAS SELATAN,1857.9524809876543,"[256, 168, 169, 187, 58]"
KAB. NIAS UTARA,1940.992028770998,"[256, 168, 169, 187, 58, 36]"
KAB. PADANG LAWAS,1796.0154489764575,"[256, 168, 169, 187, 39]"
KAB. PADANG LAWAS UTARA,1741.4459639739816,"[256, 168, 169, 187]"
KAB. PAKPAK BHARAT,1929.9045336202782,"[256, 168, 169, 187, 39]"
KAB. SAMOSIR,1943.81152593233,"[256, 168, 169, 187, 113, 51]"
KAB. SERDANG BEDAGAI,1923.914770272633,"[256, 168, 149]"
KAB. SIMALUNGUN,1902.2993206521135,"[256, 168, 169, 187, 39]"
KAB. TAPANULI SELATAN,1763.0425588636858,"[256, 168, 124]"
KAB. TAPANULI TENGAH,1833.6867705903096,"[256, 168, 124, 44]"
KAB. TAPANULI UTARA,1873.4568551318662,"[256, 168, 169, 170, 77, 78]"
KAB. TOBA SAMOSIR,1859.955865292039,"[256, 168, 149, 102]"
KOTA BINJAI,2020.8842706822136,"[256, 168, 169, 187, 39, 43, 52]"
KOTA GUNUNGSITOLI,1896.9857815527012,"[256, 168, 124, 66, 65]"
KOTA MEDAN,1972.7825413540443,"[256, 168]"
KOTA PADANGSIDEMPUAN,1794.3626939802484,"[256, 168, 169, 187, 113]"
KOTA PEMATANGSIANTAR,1925.6810067930098,"[256, 168, 169, 187, 39, 43]"
KOTA SIBOLGA,1836.2306915251324,"[256, 168, 124, 66]"
KOTA TANJUNGBALAI,1908.0599633718966,"[256, 172, 130, 125, 107]"
KOTA TEBING TINGGI,1963.3131156782047,"[256, 172, 157, 156]"
KAB. AGAM,1559.0665582525053,"[256, 168, 169, 187]"
KAB. DHARMASRAYA,1426.5116270312415,"[256, 172, 160]"
KAB. KEPULAUAN MENTAWAI,1591.1465634752412,"[256, 168, 169, 187]"
KAB. LIMA PULUH KOTA,1616.3674843242234,"[256, 172, 130, 125, 126, 109]"
KAB. PADANG PARIAMAN,1650.6239912416681,"[256, 172, 160, 131, 132, 133]"
KAB. PASAMAN,1630.1405600362089,"[256, 172, 130, 125]"
KAB. PASAMAN BARAT,1667.8286568239841,"[256, 168, 169, 187, 113, 114, 115]"
KAB. PESISIR SELATAN,1474.8020796051778,"[256, 168, 167, 166, 165, 164, 144, 145]"
KAB. SIJUNJUNG,1494.3713195571138,"[256, 168, 124, 66, 65]"
KAB. SOLOK,1455.4470257728076,"[256, 168, 124, 66]"
KAB. SOLOK SELATAN,1391.1141666981555,"[256, 168, 124]"
KAB. TANAH DATAR,1519.6091753593091,"[256, 168, 124, 66]"
KOTA BUKITTINGGI,1548.48200678123,"[256, 168, 124, 66, 67]"
KOTA PADANG,1519.1278532321944,"[256, 168, 169, 187, 113, 114, 115, 116]"
KOTA PADANGPANJANG,1557.1512994605853,"[256, 172, 130, 125]"
KOTA PARIAMAN,1591.7823283548971,"[256, 168, 169, 187, 113, 74, 73]"
KOTA PAYAKUMBUH,1575.5171654012402,"[256, 168, 169, 187, 113, 74, 73]"
KOTA SAWAHLUNTO,1523.7583764816086,"[256, 168, 169, 187, 113, 74]"
KOTA SOLOK,1509.3143046213318,"[256, 168, 169, 187, 113]"
KAB. BENGKALIS,1741.9871310019885,"[256, 168, 169, 170, 77, 76]"
KAB. INDRAGIRI HILIR,1510.890715428815,"[256, 168, 169, 170, 77]"
KAB. INDRAGIRI HULU,1406.080047409413,"[256, 168, 169, 170]"
KAB. KAMPAR,1562.3137943826166,"[256, 168, 169, 170, 77]"
KAB. KEPULAUAN MERANTI,1541.9311073615427,"[256, 168, 167, 166]"
