city,distance,through
KAB. ACEH BARAT,1533.7960640817532,"[152, 157, 115, 62]"
KAB. ACEH BARAT DAYA,1653.4878607149215,"[152, 157, 115, 62, 0]"
KAB. ACEH BESAR,1676.0149227490772,"[152, 151, 107, 72, 5, 4, 3]"
KAB. ACEH JAYA,1599.7114494119785,"[152, 151, 107, 72, 5, 4]"
KAB. ACEH SELATAN,1349.24626765234,"[152, 151, 107, 72, 5]"
KAB. ACEH SINGKIL,1228.5755427117585,"[152, 151, 107, 72]"
KAB. ACEH TAMIANG,1322.9613755652813,"[152, 86]"
KAB. ACEH TENGAH,1447.7516491383683,"[152, 151, 8]"
KAB. ACEH TENGGARA,1288.9436236567867,"[152, 151]"
KAB. ACEH TIMUR,1424.2217953290788,"[152, 151, 8]"
KAB. ACEH UTARA,1490.8119294175665,"[152, 151, 8, 9]"
KAB. BENER MERIAH,1524.5020764794426,"[152, 157, 115, 116, 69, 70]"
KAB. BIREUEN,1538.3592137794933,"[152, 151, 107, 44]"
KAB. GAYO LUES,1426.3632032247742,"[152, 157, 115, 116, 69, 70]"
KAB. NAGAN RAYA,1440.7550705665622,"[152, 86, 25]"
KAB. PIDIE,1562.7804326507455,"[152, 86, 25, 14]"
KAB. PIDIE JAYA,1553.1773470070668,"[152, 151]"
KAB. SIMEULUE,1409.1233973911355,"[152, 157, 156, 112]"
KOTA BANDA ACEH,1653.854702295389,"[152, 86, 6]"
KOTA LANGSA,1548.1440722527025,"[152, 153, 123, 124, 125]"
KOTA LHOKSEUMAWE,1488.2131130919827,"[152, 86, 25, 28]"
KOTA SABANG,1704.3606528606608,"[152, 86, 25, 28, 20]"
KOTA SUBULUSSALAM,1300.4387523252256,"[152, 86, 85, 27]"
KAB. ASAHAN,1222.5389445150522,"[152, 157, 24]"
KAB. BATUBARA,1180.206366714698,"[152, 157]"
KAB. DAIRI,1199.4573667922318,"[152, 86]"
KAB. DELI SERDANG,1244.7851630348919,"[152, 151, 107]"
KAB. HUMBANG HASUNDUTAN,1207.8432557856463,"[152, 86, 85]"
KAB. KARO,1225.8884008556436,"[152, 86, 25]"
KAB. LABUHANBATU,1143.1505975063424,"[152, 157, 115, 116, 69, 70, 30]"
KAB. LABUHANBATU SELATAN,1091.5450320506027,"[152, 157, 115, 116, 69, 70]"
KAB. LABUHANBATU UTARA,1070.6912678716906,"[152, 151]"
KAB. LANGKAT,1308.167169930105,"[152, 151, 31]"
KAB. MANDAILING NATAL,1212.0501048328663,"[152, 153, 123, 124, 66, 65, 63]"
KAB. NIAS,1135.6721782801962,"[152, 157]"
KAB. NIAS BARAT,1165.7982987790424,"[152, 157, 34]"
KAB. NIAS SELATAN,1129.624290880631,"[152, 157, 58]"
KAB. NIAS UTARA,1212.6638386639747,"[152, 157, 58, 36]"
KAB. PADANG LAWAS,1210.3379547683355,"[152, 157, 156, 155, 132, 133]"
KAB. PADANG LAWAS UTARA,1174.545157712808,"[152, 153, 123, 122, 84]"
KAB. PAKPAK BHARAT,1250.414086532998,"[152, 151, 107, 72, 41]"
KAB. SAMOSIR,1185.7444743630372,"[152, 151, 107, 72]"
KAB. SERDANG BEDAGAI,1252.7450141994193,"[152, 151, 107, 44, 43]"
KAB. SIMALUNGUN,1205.858948586632,"[152, 151, 107, 44]"
KAB. TAPANULI SELATAN,1050.1082148355986,"[152, 151, 107]"
KAB. TAPANULI TENGAH,1120.7524265622224,"[152, 151, 107, 44]"
KAB. TAPANULI UTARA,1129.2204430817444,"[152, 153]"
KAB. TOBA SAMOSIR,1160.0092453132306,"[152, 153, 123]"
KOTA BINJAI,1324.2347275658044,"[152, 153, 123, 52]"
KOTA GUNUNGSITOLI,1199.169554158486,"[152, 157, 34, 35]"
