city,distance,through
KAB. ACEH BARAT,2396.6883109119008,"[257, 204, 100]"
KAB. ACEH BARAT DAYA,2340.693978404614,"[257, 258, 241, 219, 218]"
KAB. ACEH BESAR,2539.6547590365913,"[257, 204, 213, 214]"
KAB. ACEH JAYA,2480.227606091762,"[257, 204, 213, 214, 221, 153]"
KAB. ACEH SELATAN,2230.5880591037635,"[257, 200, 62]"
KAB. ACEH SINGKIL,2115.949727902784,"[257, 204, 213, 214, 221, 153]"
KAB. ACEH TAMIANG,2214.236566699563,"[257, 258, 86]"
KAB. ACEH TENGAH,2332.968511065674,"[257, 204, 205, 85]"
KAB. ACEH TENGGARA,2190.3773098858705,"[257, 258, 241]"
KAB. ACEH TIMUR,2255.079314148992,"[257, 258]"
KAB. ACEH UTARA,2321.6694482374796,"[257, 258, 9]"
KAB. BENER MERIAH,2329.2543156740057,"[257, 258, 42]"
KAB. BIREUEN,2380.2494892476275,"[257, 258, 42, 11]"
KAB. GAYO LUES,2261.9177289410172,"[257, 258, 80]"
KAB. NAGAN RAYA,2332.030261700844,"[257, 258, 86, 25]"
KAB. PIDIE,2453.35345804477,"[257, 204, 203, 16]"
KAB. PIDIE JAYA,2423.822061412189,"[257, 204, 203]"
KAB. SIMEULUE,2307.2382190080643,"[257, 204, 203, 112]"
KOTA BANDA ACEH,2545.1298934296706,"[257, 258, 86, 6]"
KOTA LANGSA,2245.647949785731,"[257, 200]"
KOTA LHOKSEUMAWE,2367.1191712661075,"[257, 200, 19]"
KOTA SABANG,2578.197884531708,"[257, 200, 22]"
KOTA SUBULUSSALAM,2122.516155743815,"[257, 200]"
KAB. ASAHAN,2085.3729648485064,"[257, 200, 224, 24]"
KAB. BATUBARA,2043.0403870481523,"[257, 200, 224]"
KAB. DAIRI,2090.732557926514,"[257, 258, 86]"
KAB. DELI SERDANG,2111.344646253821,"[257, 258, 241, 84, 30]"
KAB. HUMBANG HASUNDUTAN,2044.7814454570403,"[257, 200, 224]"
KAB. KARO,2117.1635919899254,"[257, 258, 86, 25]"
KAB. LABUHANBATU,1926.6108769728517,"[257, 258, 241, 84, 30]"
