city,distance,through
KAB. ACEH BARAT,3354.424259191899,"[470, 419, 51]"
KAB. ACEH BARAT DAYA,3368.048688336864,"[470, 419, 418, 332, 331, 139, 140]"
KAB. ACEH BESAR,3458.813716325621,"[470, 419, 418, 347, 4, 3]"
KAB. ACEH JAYA,3382.5102429885224,"[470, 419, 418, 347, 4]"
KAB. ACEH SELATAN,3132.045061228884,"[470, 419, 418, 347]"
KAB. ACEH SINGKIL,3203.007412790549,"[470, 419, 418, 426, 448, 107, 72]"
KAB. ACEH TAMIANG,3089.9671414046165,"[470, 419, 418, 426]"
KAB. ACEH TENGAH,3221.6446666403936,"[470, 419, 418, 426, 6]"
KAB. ACEH TENGGARA,3238.4658096636795,"[470, 419, 418, 386, 387, 449, 329, 328]"
KAB. ACEH TIMUR,3255.7392009980667,"[470, 419, 418, 386, 346, 345]"
KAB. ACEH UTARA,3236.0599962154597,"[470, 42, 11]"
KAB. BENER MERIAH,3196.9387945159588,"[470, 42]"
KAB. BIREUEN,3247.9339680895805,"[470, 42, 11]"
KAB. GAYO LUES,3299.7293930949318,"[470, 419, 418, 386, 385]"
KAB. NAGAN RAYA,3300.1181701294627,"[470, 84, 30, 29, 25]"
KAB. PIDIE,3376.328918316969,"[470, 84, 30]"
KAB. PIDIE JAYA,3362.582261727638,"[470, 84, 30, 26]"
KAB. SIMEULUE,3234.224753096191,[470]
KOTA BANDA ACEH,3420.860468134724,"[470, 419, 418, 426, 6]"
KOTA LANGSA,3104.9411820761607,"[470, 419, 418, 347]"
KOTA LHOKSEUMAWE,3210.309937641453,"[470, 419, 418, 426, 427]"
KOTA SABANG,3426.457477410131,"[470, 419, 418, 426, 427, 20]"
KOTA SUBULUSSALAM,3060.8995681014626,"[470, 84, 83]"
KAB. ASAHAN,3020.575895879503,"[470, 419, 418, 386, 385]"
KAB. BATUBARA,3062.9084736798573,"[470, 419, 418, 386, 385, 23]"
KAB. DAIRI,3058.8204663551323,"[470, 84, 30, 29]"
KAB. DELI SERDANG,3024.0627952144955,"[470, 84, 30]"
KAB. HUMBANG HASUNDUTAN,2980.945542976945,"[470, 419, 418, 426]"
KAB. KARO,3033.343192492143,"[470, 419, 418, 426]"
KAB. LABUHANBATU,2839.3290259335263,"[470, 84, 30]"
KAB. LABUHANBATU SELATAN,2787.723460477787,"[470, 84]"
KAB. LABUHANBATU UTARA,2853.0976561645816,"[470, 84, 30]"
KAB. LANGKAT,3086.585416614549,"[470, 84]"
KAB. MANDAILING NATAL,2923.6401956238915,"[470, 84, 39]"
KAB. NIAS,3066.6660301131515,"[470, 419, 418, 426, 61, 62]"
KAB. NIAS BARAT,3096.7921506119974,"[470, 419, 418, 426, 61, 62, 34]"
KAB. NIAS SELATAN,3142.5093729538926,"[470, 419, 418, 426, 448, 447, 446]"
KAB. NIAS UTARA,3150.646382372293,"[470, 84, 39, 38]"
KAB. PADANG LAWAS,2880.9830135442885,"[470, 84, 39]"
KAB. PADANG LAWAS UTARA,2826.413528541813,"[470, 84]"
KAB. PAKPAK BHARAT,3014.8720981881092,"[470, 84, 39]"
KAB. SAMOSIR,2999.7102061554783,"[470, 42]"
KAB. SERDANG BEDAGAI,2915.480713324241,[470]
KAB. SIMALUNGUN,2938.595107673329,"[470, 419, 418, 426, 321, 320]"
KAB. TAPANULI SELATAN,2880.0432134600765,"[470, 419, 418, 347]"
KAB. TAPANULI TENGAH,2950.6874251867002,"[470, 419, 418, 347, 44]"
KAB. TAPANULI UTARA,2974.097129958603,"[470, 138]"
KAB. TOBA SAMOSIR,2994.92732893012,"[470, 419, 418, 386, 387]"
KOTA BINJAI,3053.2917938847527,"[470, 84, 52]"
KOTA GUNUNGSITOLI,3104.598741173144,"[470, 419, 418, 426, 427, 77]"
KOTA MEDAN,3123.1272073263763,"[470, 419, 51]"
KOTA PADANGSIDEMPUAN,2867.089779843724,"[470, 419]"
KOTA PEMATANGSIANTAR,2958.088529995549,"[470, 84]"
KOTA SIBOLGA,2949.2928756213564,"[470, 419, 418, 426]"
KOTA TANJUNGBALAI,2971.1110625044553,"[470, 138]"
KOTA TEBING TINGGI,2954.203567261459,"[470, 419, 418, 426, 321]"
KAB. AGAM,2881.6133301503414,"[470, 419, 418, 426, 448, 447, 57]"
KAB. DHARMASRAYA,2692.7984901632326,"[470, 419, 418, 426, 448, 447]"
KAB. KEPULAUAN MENTAWAI,2893.475904819677,"[470, 419, 418, 347]"
KAB. LIMA PULUH KOTA,2757.5488314331774,"[470, 419, 418, 426, 321, 322]"
KAB. PADANG PARIAMAN,2835.6512357593288,"[470, 419, 418, 426, 321, 322, 59]"
KAB. PASAMAN,2775.6645893577984,"[470, 419, 418, 426]"
KAB. PASAMAN BARAT,2835.286881682487,"[470, 419, 418, 426, 61]"
KAB. PESISIR SELATAN,2747.9861560332065,"[470, 138, 103, 65]"
KAB. SIJUNJUNG,2702.6358149136013,"[470, 138, 103, 65]"
KAB. SOLOK,2663.7115211292953,"[470, 138, 103]"
KAB. SOLOK SELATAN,2684.0917697881023,"[470, 419, 418, 332, 124]"
KAB. TANAH DATAR,2787.7898559579776,"[470, 419, 418, 332, 355, 74, 73]"
KOTA BUKITTINGGI,2816.6626873798987,"[470, 419, 418, 332, 355, 74, 73, 67]"
KOTA PADANG,2777.2208828718776,"[470, 419, 418, 426, 448, 107]"
KOTA PADANGPANJANG,2729.672747678979,"[470, 419, 418]"
KOTA PARIAMAN,2755.219174064689,"[470, 138, 103]"
KOTA PAYAKUMBUH,2782.404311506835,"[470, 419, 418, 426, 448, 107]"
KOTA SAWAHLUNTO,2759.083887202783,"[470, 419, 418, 332, 355, 74]"
KOTA SOLOK,2744.639815342506,"[470, 419, 418, 332, 355]"
KAB. BENGKALIS,2834.1198127070634,"[470, 419, 418, 332, 331, 330, 341, 76]"
KAB. INDRAGIRI HILIR,2603.02339713389,"[470, 419, 418, 332, 331, 330, 341]"
KAB. INDRAGIRI HULU,2542.05247094303,"[470, 419, 418, 426, 427]"
KAB. KAMPAR,2673.648962845836,"[470, 84]"
KAB. KEPULAUAN MERANTI,2635.6300132394717,"[470, 419, 418, 347, 348]"
KAB. KUANTAN SINGINGI,2756.9367383136514,"[470, 419, 418, 386, 387, 449, 329, 336]"
