city,distance,through
KAB. ACEH BARAT,4738.826100904351,"[493, 460, 459, 396, 323]"
KAB. ACEH BARAT DAYA,4641.7995716315745,"[493, 412, 363, 357]"
KAB. ACEH BESAR,4858.711122177801,"[493, 465, 370]"
KAB. ACEH JAYA,4854.147277058684,"[493, 460, 461, 5, 4]"
KAB. ACEH SELATAN,4603.682095299046,"[493, 460, 461, 5]"
KAB. ACEH SINGKIL,4483.011370358464,"[493, 460, 461]"
KAB. ACEH TAMIANG,4612.9104557642895,"[493, 460, 459, 321, 86]"
KAB. ACEH TENGAH,4660.551584637492,"[493, 412]"
KAB. ACEH TENGGARA,4541.263099148935,"[493, 412, 399, 362]"
KAB. ACEH TIMUR,4571.231990582231,"[493, 345]"
KAB. ACEH UTARA,4629.122874283189,"[493, 345]"
KAB. BENER MERIAH,4668.2440759826895,"[493, 345, 10]"
KAB. BIREUEN,4679.197451274136,"[493, 460, 94]"
KAB. GAYO LUES,4608.276534912453,"[493, 412, 363, 357]"
KAB. NAGAN RAYA,4686.777177649325,"[493, 412]"
KAB. PIDIE,4803.202393565873,"[493, 460, 459, 351, 30]"
KAB. PIDIE JAYA,4789.4557369765425,"[493, 460, 459, 351, 30, 26]"
KAB. SIMEULUE,4693.708903662449,"[493, 460, 459, 396]"
KOTA BANDA ACEH,4823.019447517164,"[493, 460]"
KOTA LANGSA,4532.327985029855,"[493, 460, 459, 351, 96, 97]"
KOTA LHOKSEUMAWE,4617.099553061002,"[493, 427]"
KOTA SABANG,4833.24709282968,"[493, 427, 20]"
KOTA SUBULUSSALAM,4504.498326917905,"[493, 460, 459, 321, 84, 83]"
KAB. ASAHAN,4334.204704667661,"[493, 412, 363, 357]"
KAB. BATUBARA,4340.192936886471,"[493, 460, 94, 93, 92]"
KAB. DAIRI,4481.553108299805,"[493, 460, 94, 93, 92, 24]"
KAB. DELI SERDANG,4450.9362704633995,"[493, 460, 459, 351, 30]"
KAB. HUMBANG HASUNDUTAN,4439.530272495649,"[493, 460, 459, 321, 84, 85]"
KAB. KARO,4466.310108686321,"[493, 460, 459, 351, 30]"
KAB. LABUHANBATU,4266.131988921787,"[493, 412, 363, 357]"
KAB. LABUHANBATU SELATAN,4214.59693572669,"[493, 460, 459, 351]"
KAB. LABUHANBATU UTARA,4279.971131413485,"[493, 460, 459, 351, 30]"
KAB. LANGKAT,4517.447033471899,"[493, 460, 459, 351, 30, 31]"
KAB. MANDAILING NATAL,4287.536960918509,"[493, 460, 459, 396]"
KAB. NIAS,4472.268620705829,"[493, 460, 459, 396, 33]"
KAB. NIAS BARAT,4500.529149771999,"[493, 36]"
KAB. NIAS SELATAN,4449.291401632135,[493]
KAB. NIAS UTARA,4532.330949415478,"[493, 36]"
KAB. PADANG LAWAS,4319.754121120457,"[493, 460, 459, 351, 96]"
KAB. PADANG LAWAS UTARA,4270.012287358254,"[493, 460, 459, 321, 84]"
KAB. PAKPAK BHARAT,4458.47085700455,"[493, 460, 459, 321, 84, 39]"
KAB. SAMOSIR,4480.980096564987,"[493, 460, 459, 321, 320, 43, 42]"
KAB. SERDANG BEDAGAI,4396.75060373375,"[493, 460, 459, 321, 320, 43]"
KAB. SIMALUNGUN,4349.864538120963,"[493, 460, 459, 321, 320]"
KAB. TAPANULI SELATAN,4337.335565584345,"[493, 348, 79]"
KAB. TAPANULI TENGAH,4372.656237001723,"[493, 460, 459]"
KAB. TAPANULI UTARA,4416.218894085032,"[493, 427, 77, 78]"
KAB. TOBA SAMOSIR,4415.002096797911,"[493, 465]"
KOTA BINJAI,4445.4677267427915,"[493, 460, 459, 361]"
KOTA GUNUNGSITOLI,4511.388356592693,"[493, 427, 77]"
KOTA MEDAN,4426.84927390825,"[493, 460, 459, 361]"
KOTA PADANGSIDEMPUAN,4404.2604861604705,"[493, 460, 74]"
KOTA PEMATANGSIANTAR,4373.246224261859,"[493, 460, 459, 321, 320, 43]"
KOTA SIBOLGA,4422.999159629869,"[493, 427, 77, 78]"
KOTA TANJUNGBALAI,4447.209745380651,"[493, 460, 459, 321, 55]"
KOTA TEBING TINGGI,4365.472997709093,"[493, 460, 459, 321]"
KAB. AGAM,4200.158880947998,"[493, 412, 57]"
KAB. DHARMASRAYA,4011.3440409608893,"[493, 412]"
KAB. KEPULAUAN MENTAWAI,4310.566118182989,"[493, 460, 459, 361, 66]"
KAB. LIMA PULUH KOTA,4168.818261880811,"[493, 460, 459, 321, 322]"
KAB. PADANG PARIAMAN,4170.9398257873345,"[493, 460, 459]"
KAB. PASAMAN,4212.005978768776,"[493, 460, 459, 321, 322, 59]"
KAB. PASAMAN BARAT,4250.236446989057,"[493, 412]"
KAB. PESISIR SELATAN,4095.9347068354,"[493, 345]"
KAB. SIJUNJUNG,4134.467935883007,"[493, 345, 65]"
KAB. SOLOK,4095.5436420987007,"[493, 345]"
KAB. SOLOK SELATAN,4051.7925133352865,"[493, 460, 459, 361]"
KAB. TANAH DATAR,4162.216185124778,"[493, 460, 74, 73]"
KOTA BUKITTINGGI,4191.089016546699,"[493, 460, 74, 73, 67]"
KOTA PADANG,4209.545204617412,"[493, 460, 461, 70]"
KOTA PADANGPANJANG,4156.019613785254,"[493, 460, 461]"
KOTA PARIAMAN,4180.354215040485,"[493, 460, 459]"
KOTA PAYAKUMBUH,4185.269005289216,"[493, 460, 74, 73]"
KOTA SAWAHLUNTO,4133.510216369584,"[493, 460, 74]"
KOTA SOLOK,4119.0661445093065,"[493, 460]"
KAB. BENGKALIS,4126.683172053052,"[493, 460, 459, 421]"
KAB. INDRAGIRI HILIR,4024.8963144034606,"[493, 412, 399, 449, 329, 330, 341]"
KAB. INDRAGIRI HULU,3948.842086362579,"[493, 427]"
KAB. KAMPAR,4105.075833335783,"[493, 427, 77]"
KAB. KEPULAUAN MERANTI,3953.57839497269,"[493, 348]"
KAB. KUANTAN SINGINGI,4133.72697928258,"[493, 412, 399, 449, 329, 336]"
KAB. PELALAWAN,4141.387202813255,"[493, 460, 459, 396, 397]"
KAB. ROKAN HILIR,4246.36543781705,"[493, 460, 459, 321, 84, 83]"
KAB. ROKAN HULU,4168.043502756867,"[493, 460, 459, 321, 84]"
KAB. SIAK,4014.891849532146,"[493, 460, 459, 321]"
KOTA DUMAI,4119.715111369637,"[493, 460, 459, 321, 84]"
KOTA PEKANBARU,4048.938103816581,"[493, 460, 459, 321]"
KAB. BINTAN,3832.1497343332694,"[493, 460, 459, 351, 350]"
KAB. KARIMUN,3960.192932859347,"[493, 460, 459, 351, 350, 87]"
KAB. KEPULAUAN ANAMBAS,3811.8916219213597,"[493, 483, 443]"
KAB. LINGGA,3735.331359321489,"[493, 412, 399, 362]"
KAB. NATUNA,3594.4114899066035,"[493, 483, 490, 491, 372, 371]"
KOTA BATAM,3785.666527021208,"[493, 460, 94, 93]"
KOTA TANJUNG PINANG,3734.0186269572196,"[493, 460, 94]"
PULAU TAMBELAN KAB. BINTAN,3415.31804480593,"[493, 460]"
PEKAJANG KAB. LINGGA,3743.2326429061277,"[493, 460, 94]"
PULAU SERASAN KAB. NATUNA,3281.2696311467153,"[493, 460, 459, 351]"
PULAU MIDAI KAB. NATUNA,3432.6862437423315,"[493, 460, 459, 351, 96]"
PULAU LAUT KAB. NATUNA,3548.5203083294805,"[493, 412, 399, 362]"
KAB. BATANGHARI,4033.400341060152,"[493, 460, 461, 404, 405]"
KAB. BUNGO,3996.752104868766,"[493, 460, 459, 321]"
KAB. KERINCI,4053.54656691006,"[493, 460, 459, 321, 100]"
KAB. MERANGIN,4004.400024337863,"[493, 149]"
KAB. MUARO JAMBI,3838.3457124250167,"[493, 494]"
KAB. SAROLANGUN,3916.1692462938076,"[493, 460, 459, 321]"
KAB. TANJUNG JABUNG BARAT,3849.240324366321,"[493, 460, 459, 396]"
KAB. TANJUNG JABUNG TIMUR,3830.7839454156633,"[493, 412, 399, 449, 329]"
KAB. TEBO,3995.709188674532,"[493, 412, 399, 449, 329, 106]"
KOTA JAMBI,3861.0785862256303,"[493, 494, 448]"
KOTA SUNGAI PENUH,4028.7647607924155,"[493, 460, 461]"
KAB. BENGKULU SELATAN,3904.6154521982494,"[493, 460, 217]"
KAB. BENGKULU TENGAH,3908.0309818967776,"[493, 149]"
KAB. BENGKULU UTARA,3974.160198354568,"[493, 149, 111]"
KAB. KAUR,3814.591495875072,"[493, 412]"
KAB. KEPAHIANG,3935.491873533689,"[493, 412, 113]"
KAB. LEBONG,3965.2538478831066,"[493, 345]"
KAB. MUKOMUKO,4067.761085151952,"[493, 345, 115]"
KAB. REJANG LEBONG,3946.5235536430628,"[493, 412, 363]"
KAB. SELUMA,3941.8062831567204,"[493, 412, 399, 400]"
KOTA BENGKULU,3999.59330333092,"[493, 412, 399, 400, 118]"
KAB. BANYUASIN,3851.783316825958,"[493, 460, 208]"
KAB. EMPAT LAWANG,3851.908134020192,"[493, 149]"
KAB. LAHAT,3835.2112064002513,"[493, 460, 459, 361]"
KAB. MUARA ENIM,3782.4031735751787,"[493, 345]"
KAB. MUSI BANYUASIN,3850.79357584798,"[493, 412, 399, 400, 332]"
KAB. MUSI RAWAS,3904.7612648984596,"[493, 412, 399, 400]"
KAB. MUSI RAWAS UTARA,3958.0988770174395,"[493, 412, 399, 400, 125]"
KAB. OGAN ILIR,3741.6242548112386,"[493, 494]"
KAB. OGAN KOMERING ILIR,3752.930851588704,"[493, 483]"
KAB. OGAN KOMERING ULU,3843.2857123976783,"[493, 460, 162, 161]"
KAB. OGAN KOMERING ULU SELATAN,3827.819558367662,"[493, 460, 217, 226, 185]"
KAB. OGAN KOMERING ULU TIMUR,3750.2828898563075,"[493, 460, 461, 236]"
KAB. PENUKAL ABAB LEMATANG ILIR,3857.713199381181,"[493, 460, 461, 236, 131]"
KOTA LUBUKLINGGAU,3946.310705053007,"[493, 412, 399, 362, 352]"
KOTA PAGAR ALAM,3899.9674542080625,"[493, 460, 461, 404, 135]"
KOTA PALEMBANG,3691.2922367163887,"[493, 460, 461, 404]"
KOTA PRABUMULIH,3714.1793356934486,"[493, 348]"
KAB. BANGKA,3612.053147250682,"[493, 412, 363, 357]"
KAB. BANGKA BARAT,3659.158493744053,"[493, 412, 363, 357, 137]"
KAB. BANGKA SELATAN,3558.413414694296,"[493, 412, 399, 400, 332, 331]"
KAB. BANGKA TENGAH,3599.0862856284293,"[493, 460, 461, 404, 414, 413]"
