city,distance,through
KAB. ACEH BARAT,1131.736883152164,"[83, 82, 67, 73, 74, 51]"
KAB. ACEH BARAT DAYA,1094.2081579755138,"[83, 22, 21, 2]"
KAB. ACEH BESAR,843.9133157719833,"[83, 22, 21]"
KAB. ACEH JAYA,920.2167891090821,"[83, 22, 21, 2]"
KAB. ACEH SELATAN,806.0643621143574,"[83, 84, 78]"
KAB. ACEH SINGKIL,802.1630236339241,"[83, 69, 70, 71, 72]"
KAB. ACEH TAMIANG,861.0017925406462,"[83, 69, 70]"
KAB. ACEH TENGAH,802.4009623662524,"[83, 22, 27, 26]"
KAB. ACEH TENGGARA,844.8960530493075,"[83, 82, 67]"
KAB. ACEH TIMUR,980.1742247215996,"[83, 82, 67, 8]"
KAB. ACEH UTARA,930.7941271494681,"[83, 84, 52, 43, 42, 11]"
KAB. BENER MERIAH,891.6729254499674,"[83, 84, 52, 43, 42]"
KAB. BIREUEN,942.668099023589,"[83, 84, 52, 43, 42, 11]"
KAB. GAYO LUES,871.5287501026344,"[83, 69, 70]"
KAB. NAGAN RAYA,800.4998262880863,"[83, 22, 15]"
KAB. PIDIE,678.4744642039029,"[83, 22]"
KAB. PIDIE JAYA,708.0058608364834,"[83, 22, 15]"
KAB. SIMEULUE,987.8265047797119,"[83, 22, 15, 16]"
KOTA BANDA ACEH,1059.3029198591325,"[83, 84, 39]"
KOTA LANGSA,919.2456923764291,"[83, 22, 27, 28, 20]"
KOTA LHOKSEUMAWE,797.7744708960523,"[83, 22, 27, 28]"
KOTA SABANG,792.1365529489298,"[83, 22]"
KOTA SUBULUSSALAM,336.45482416103687,[83]
KAB. ASAHAN,527.6692290526921,"[83, 22]"
KAB. BATUBARA,570.0018068530462,"[83, 22, 23]"
KAB. DAIRI,561.8807927231248,"[83, 22, 27, 28]"
KAB. DELI SERDANG,565.6416528197775,"[83, 22, 27]"
KAB. HUMBANG HASUNDUTAN,429.0503207006161,"[83, 22]"
KAB. KARO,535.4497586597132,"[83, 22, 27]"
KAB. LABUHANBATU,421.1875884425436,"[83, 84, 30]"
KAB. LABUHANBATU SELATAN,369.5820229868039,"[83, 84]"
KAB. LABUHANBATU UTARA,434.9562186735987,"[83, 84, 30]"
KAB. LANGKAT,668.4439791235664,"[83, 84]"
KAB. MANDAILING NATAL,505.4987581329088,"[83, 84, 39]"
KAB. NIAS,562.6150199612376,"[83, 22, 49, 35]"
KAB. NIAS BARAT,532.4888994623916,"[83, 22, 49]"
KAB. NIAS SELATAN,583.7266476022564,"[83, 22, 49, 35]"
KAB. NIAS UTARA,666.7661953856001,"[83, 22, 49, 35, 36]"
KAB. PADANG LAWAS,462.84157605330574,"[83, 84, 39]"
KAB. PADANG LAWAS UTARA,408.27209105083,"[83, 84]"
KAB. PAKPAK BHARAT,596.7306606971265,"[83, 84, 39]"
KAB. SAMOSIR,661.4002728670872,"[83, 84, 39, 40]"
KAB. SERDANG BEDAGAI,610.2148442582499,"[83, 84, 52, 43]"
KAB. SIMALUNGUN,563.3287786454626,"[83, 84, 52]"
KAB. TAPANULI SELATAN,686.2891819822408,"[83, 84, 78, 46, 45]"
KAB. TAPANULI TENGAH,615.6449702556172,"[83, 84, 78, 46]"
KAB. TAPANULI UTARA,566.6505861041028,"[83, 84, 78]"
KAB. TOBA SAMOSIR,606.3244583208073,"[83, 84, 78, 46]"
KOTA BINJAI,635.15035639377,"[83, 84, 52]"
KOTA GUNUNGSITOLI,499.117644082948,"[83, 22]"
KOTA MEDAN,665.0820448961268,"[83, 22, 23]"
KOTA PADANGSIDEMPUAN,644.402403803989,"[83, 82, 67, 73, 74]"
KOTA PEMATANGSIANTAR,539.9470925045663,"[83, 84]"
