city,distance,through
KAB. ACEH BARAT,1497.9626153868078,[323]
KAB. ACEH BARAT DAYA,1617.654412019976,"[323, 0]"
KAB. ACEH BESAR,1771.4877129318688,"[323, 96, 97, 19, 20, 21]"
KAB. ACEH JAYA,1838.719090134224,"[323, 107, 72, 5, 4]"
KAB. ACEH SELATAN,1588.2539083745855,"[323, 107, 72, 5]"
KAB. ACEH SINGKIL,1467.583183434004,"[323, 107, 72]"
KAB. ACEH TAMIANG,1569.8964465024999,"[323, 96, 38]"
KAB. ACEH TENGAH,1591.8383884887999,"[323, 96, 97, 19, 20]"
KAB. ACEH TENGGARA,1633.8806660316416,"[323, 322, 74, 73, 67]"
KAB. ACEH TIMUR,1698.9039634154603,"[323, 33, 10]"
KAB. ACEH UTARA,1632.3138293269726,"[323, 33]"
KAB. BENER MERIAH,1671.4350310264733,"[323, 33, 10]"
KAB. BIREUEN,1722.4302046000948,"[323, 33, 10, 11]"
KAB. GAYO LUES,1675.7385618324795,"[323, 96, 29, 25, 14]"
KAB. NAGAN RAYA,1578.6437247474607,"[323, 96, 29, 25]"
KAB. PIDIE,1687.9353213947697,"[323, 96, 29, 16]"
KAB. PIDIE JAYA,1658.4039247621893,"[323, 96, 29]"
KAB. SIMEULUE,1643.934944401919,"[323, 322, 59]"
KOTA BANDA ACEH,1699.2518444258667,"[323, 96, 97, 19]"
KOTA LANGSA,1382.0921888597604,"[323, 96, 97]"
KOTA LHOKSEUMAWE,1503.5634103401371,"[323, 96, 97, 19]"
KOTA SABANG,1719.7109501088153,"[323, 96, 97, 19, 20]"
KOTA SUBULUSSALAM,1388.753605381348,"[323, 96, 29, 27]"
KAB. ASAHAN,1521.0387701868178,"[323, 96, 29, 25, 24]"
KAB. BATUBARA,1478.7061923864637,"[323, 96, 29, 25]"
KAB. DAIRI,1337.3460209731304,"[323, 96, 29]"
KAB. DELI SERDANG,1405.799480743973,"[323, 96, 29, 30]"
KAB. HUMBANG HASUNDUTAN,1296.1581088417688,"[323, 96, 29]"
KAB. KARO,1345.7664287637863,"[323, 96, 29]"
KAB. LABUHANBATU,1117.8545805515246,"[323, 96]"
KAB. LABUHANBATU SELATAN,1169.4601460072643,"[323, 96, 29]"
KAB. LABUHANBATU UTARA,1234.834341694059,"[323, 96, 29, 30]"
KAB. LANGKAT,1471.101034532474,"[323, 33]"
KAB. MANDAILING NATAL,1104.5544916918252,[323]
KAB. NIAS,1289.2861514791448,"[323, 33]"
KAB. NIAS BARAT,1319.412271977991,"[323, 33, 34]"
KAB. NIAS SELATAN,1370.6500201178558,"[323, 33, 34, 35]"
KAB. NIAS UTARA,1321.565898943536,[323]
KAB. PADANG LAWAS,1169.5183249503627,"[323, 96]"
KAB. PADANG LAWAS UTARA,1201.781158773904,"[323, 33]"
KAB. PAKPAK BHARAT,1390.2397284202007,"[323, 33, 39]"
KAB. SAMOSIR,1424.7521150852826,"[323, 107, 72]"
KAB. SERDANG BEDAGAI,1409.520581064823,"[323, 33, 39, 43]"
KAB. SIMALUNGUN,1362.6345154520359,"[323, 33, 39]"
KAB. TAPANULI SELATAN,1289.1158555578443,"[323, 107]"
KAB. TAPANULI TENGAH,1359.7600672844678,"[323, 107, 44]"
KAB. TAPANULI UTARA,1383.1837185051031,"[323, 138]"
KAB. TOBA SAMOSIR,1422.8575907218076,"[323, 138, 46]"
KOTA BINJAI,1481.219465482136,"[323, 33, 39, 43, 52]"
KOTA GUNUNGSITOLI,1352.7835273574347,"[323, 33, 34, 35]"
KOTA MEDAN,1603.1243630380325,"[323, 322, 74, 51]"
KOTA PADANGSIDEMPUAN,1347.0869355553803,"[323, 322, 74]"
KOTA PEMATANGSIANTAR,1386.0162015929322,"[323, 33, 39, 43]"
KOTA SIBOLGA,1491.205901002737,"[323, 138, 137, 78]"
KOTA TANJUNGBALAI,1373.1402770745563,"[323, 107]"
KOTA TEBING TINGGI,1438.6103651283825,"[323, 56]"
KAB. AGAM,1028.4091339022643,[323]
KAB. DHARMASRAYA,1217.223973889373,"[323, 56]"
KAB. KEPULAUAN MENTAWAI,1293.591253873006,"[323, 322, 74, 73]"
KAB. LIMA PULUH KOTA,1067.4433293265963,"[323, 322]"
KAB. PADANG PARIAMAN,1145.5457336527477,"[323, 322, 59]"
KAB. PASAMAN,1110.631046214561,"[323, 322, 59]"
KAB. PASAMAN BARAT,1168.1138725809346,"[323, 107]"
KAB. PESISIR SELATAN,1157.0727445797063,"[323, 138, 103, 65]"
KAB. SIJUNJUNG,1111.7224034601015,"[323, 138, 103, 65]"
KAB. SOLOK,1072.7981096757953,"[323, 138, 103]"
KAB. SOLOK SELATAN,1119.8411673151145,"[323, 138, 137]"
KAB. TANAH DATAR,1105.0426345196877,"[323, 322, 74, 73]"
KOTA BUKITTINGGI,1113.4153180695384,"[323, 107, 69]"
KOTA PADANG,1041.7966535153328,"[323, 107]"
KOTA PADANGPANJANG,1095.3222443474913,"[323, 107, 69]"
KOTA PARIAMAN,1118.558803843929,"[323, 107, 72]"
KOTA PAYAKUMBUH,1046.98008215029,"[323, 107]"
KOTA SAWAHLUNTO,1076.336665764493,"[323, 322, 74]"
KOTA SOLOK,1061.8925939042163,"[323, 322]"
KAB. BENGKALIS,1329.0743872450457,"[323, 322, 74]"
KAB. INDRAGIRI HILIR,1141.9836070413344,"[323, 324, 325]"
KAB. INDRAGIRI HULU,1246.7942750607363,"[323, 324, 325, 76]"
KAB. KAMPAR,1173.2825747086513,"[323, 138, 137]"
KAB. KEPULAUAN MERANTI,1271.064600433744,"[323, 107, 108]"
KAB. KUANTAN SINGINGI,1166.0294710368808,"[323, 322, 74]"
KAB. PELALAWAN,1268.1994133546473,"[323, 138, 103, 102, 101]"
KAB. ROKAN HILIR,1180.4181475411299,"[323, 96, 83]"
KAB. ROKAN HULU,1102.096212480947,"[323, 96]"
KAB. SIAK,1231.2399697594274,"[323, 135]"
KOTA DUMAI,1290.8751786370183,"[323, 138, 137, 86]"
KOTA PEKANBARU,1161.836107594957,"[323, 138, 137]"
KAB. BINTAN,1169.5747235811746,"[323, 138, 139]"
KAB. KARIMUN,1079.004985971358,"[323, 107]"
KAB. KEPULAUAN ANAMBAS,1439.4225769470274,"[323, 107, 88]"
KAB. LINGGA,1288.8628203570004,"[323, 138, 139, 149]"
KAB. NATUNA,1488.9411842742993,"[323, 138, 139, 140]"
KOTA BATAM,1092.9608502909273,"[323, 120]"
KOTA TANJUNG PINANG,1144.6087503549159,"[323, 120, 92]"
PULAU TAMBELAN KAB. BINTAN,1028.7116855371535,"[323, 96, 95]"
PEKAJANG KAB. LINGGA,700.7970874369562,"[323, 96]"
PULAU SERASAN KAB. NATUNA,131.0338349766208,[323]
PULAU MIDAI KAB. NATUNA,282.45044757223684,"[323, 96]"
PULAU LAUT KAB. NATUNA,474.09187810815575,"[323, 96, 97]"
KAB. BATANGHARI,1215.5142996629854,"[323, 138, 103, 102, 101, 100]"
KAB. BUNGO,1082.7424670483053,"[323, 138, 103, 102, 101]"
KAB. KERINCI,1025.9480050070115,"[323, 138, 103, 102]"
KAB. MERANGIN,956.4721550030997,"[323, 138, 103]"
KAB. MUARO JAMBI,740.4444643087131,"[323, 138]"
KAB. SAROLANGUN,890.4855345657878,"[323, 138, 103]"
KAB. TANJUNG JABUNG BARAT,1031.8865843173076,"[323, 138, 103, 104]"
KAB. TANJUNG JABUNG TIMUR,989.4533694986247,"[323, 107]"
KAB. TEBO,824.5281262397559,[323]
KOTA JAMBI,970.6375244423114,"[323, 107]"
KOTA SUNGAI PENUH,1031.0890578366389,"[323, 126]"
KAB. BENGKULU SELATAN,969.9437882811433,"[323, 322, 132]"
KAB. BENGKULU TENGAH,1069.8461311541491,"[323, 322, 132, 110]"
KAB. BENGKULU UTARA,1062.6936780372862,"[323, 138, 137]"
KAB. KAUR,936.0810866930037,"[323, 135, 136]"
KAB. KEPAHIANG,1056.981464351621,"[323, 135, 136, 113]"
KAB. LEBONG,1129.7388375225046,"[323, 135, 136, 113, 114]"
KAB. MUKOMUKO,1193.0617148841038,"[323, 135, 131, 117]"
KAB. REJANG LEBONG,1029.1248053741224,"[323, 135, 131]"
KAB. SELUMA,1030.9351978316274,"[323, 126, 125]"
KOTA BENGKULU,976.2033723293891,"[323, 120]"
KAB. BANYUASIN,669.9232392998856,[323]
KAB. EMPAT LAWANG,910.5023807024977,"[323, 120]"
KAB. LAHAT,902.988639960149,"[323, 322]"
KAB. MUARA ENIM,975.6285976340682,"[323, 322, 122]"
KAB. MUSI BANYUASIN,1011.7073277916238,"[323, 126, 125]"
KAB. MUSI RAWAS,917.2326023199023,"[323, 126]"
KAB. MUSI RAWAS UTARA,863.8949902009226,[323]
KAB. OGAN ILIR,969.7618404171756,"[323, 138, 139, 140, 128]"
KAB. OGAN KOMERING ILIR,902.2640730149186,"[323, 138, 139, 140]"
KAB. OGAN KOMERING ULU,987.0083905095053,"[323, 135, 131, 130]"
KAB. OGAN KOMERING ULU SELATAN,915.8547569496521,"[323, 135, 131]"
KAB. OGAN KOMERING ULU TIMUR,793.5316842034058,"[323, 135]"
KAB. PENUKAL ABAB LEMATANG ILIR,808.159880256763,"[323, 322]"
KOTA LUBUKLINGGAU,935.9989196352279,"[323, 322, 132]"
KOTA PAGAR ALAM,904.2433861911597,"[323, 135]"
KOTA PALEMBANG,695.568168699486,[323]
KOTA PRABUMULIH,772.6155264859528,"[323, 135]"
KAB. BANGKA,598.2111426129939,"[323, 138]"
KAB. BANGKA BARAT,551.1057961196226,[323]
KAB. BANGKA SELATAN,695.8061619994082,"[323, 138]"
KAB. BANGKA TENGAH,741.8081609020411,"[323, 138, 139]"
KAB. BELITUNG,918.571092767877,"[323, 138, 139, 140]"
KAB. BELITUNG TIMUR,963.7211067094293,"[323, 138, 139, 140, 141]"
KOTA PANGKAL PINANG,1203.2113614080215,"[323, 138, 139, 140, 141, 142]"
KAB. LAMPUNG TENGAH,907.0519482333482,"[323, 135]"
KAB. LAMPUNG UTARA,969.2286635349164,"[323, 135, 144]"
KAB. LAMPUNG SELATAN,1090.4348422443181,"[323, 135, 144, 145]"
KAB. LAMPUNG BARAT,1184.8243378148484,"[323, 138, 139, 149, 148]"
KAB. LAMPUNG TIMUR,1014.0873954397367,"[323, 138, 139, 149]"
KAB. MESUJI,883.9519095301519,"[323, 138, 139]"
KAB. PESAWARAN,1051.5062929330165,"[323, 138, 139, 149]"
KAB. PESISIR BARAT,1099.2919583786127,"[323, 120, 153, 152]"
KAB. PRINGSEWU,1003.7264686504599,"[323, 120, 153]"
KAB. TULANG BAWANG,877.2241643133559,"[323, 120]"
