city,distance,through
KAB. ACEH BARAT,1749.3698386481524,"[325, 324, 323]"
KAB. ACEH BARAT DAYA,1869.0616352813206,"[325, 324, 323, 0]"
KAB. ACEH BESAR,1889.2889730136685,"[325, 4, 3]"
KAB. ACEH JAYA,1812.9854996765698,"[325, 4]"
KAB. ACEH SELATAN,1562.5203179169314,[325]
KAB. ACEH SINGKIL,1683.191042857513,"[325, 4]"
KAB. ACEH TAMIANG,1520.941602748594,[325]
KAB. ACEH TENGAH,1652.6191279843713,"[325, 6]"
KAB. ACEH TENGGARA,1751.624204907659,"[325, 88, 9]"
KAB. ACEH TIMUR,1616.346033235367,"[325, 88]"
KAB. ACEH UTARA,1682.9361673238548,"[325, 88, 9]"
KAB. BENER MERIAH,1722.0573690233555,"[325, 88, 9, 10]"
KAB. BIREUEN,1773.052542596977,"[325, 88, 9, 10, 11]"
KAB. GAYO LUES,1835.92928144164,"[325, 55, 28, 25, 14]"
KAB. NAGAN RAYA,1738.8344443566211,"[325, 55, 28, 25]"
KAB. PIDIE,1859.0054013051538,"[325, 88, 83, 22]"
KAB. PIDIE JAYA,1853.1232469381016,"[325, 76, 75]"
KAB. SIMEULUE,1724.9848107695989,"[325, 55]"
KOTA BANDA ACEH,1851.8349294787017,"[325, 6]"
KOTA LANGSA,1633.4994121211053,"[325, 324, 323, 96, 97]"
KOTA LHOKSEUMAWE,1733.4304187552182,"[325, 55, 28]"
KOTA SABANG,1941.065735836722,"[325, 4, 3, 2]"
KOTA SUBULUSSALAM,1516.9857612622877,"[325, 88, 83]"
KAB. ASAHAN,1681.2294897959782,"[325, 55, 28, 25, 24]"
KAB. BATUBARA,1638.8969119956241,"[325, 55, 28, 25]"
KAB. DAIRI,1497.5367405822908,"[325, 55, 28]"
KAB. DELI SERDANG,1575.9671327298524,"[325, 55, 28, 25]"
KAB. HUMBANG HASUNDUTAN,1547.5653321031132,"[325, 324, 323, 96, 29]"
KAB. KARO,1471.105706518879,"[325, 55]"
KAB. LABUHANBATU,1369.2618038128692,"[325, 324, 323, 96]"
KAB. LABUHANBATU SELATAN,1420.8673692686089,"[325, 324, 323, 96, 29]"
KAB. LABUHANBATU UTARA,1486.2415649554036,"[325, 324, 323, 96, 29, 30]"
KAB. LANGKAT,1664.957632724796,"[325, 88, 33]"
KAB. MANDAILING NATAL,1298.411089884147,"[325, 88]"
KAB. NIAS,1483.1427496714666,"[325, 88, 33]"
KAB. NIAS BARAT,1513.2688701703128,"[325, 88, 33, 34]"
KAB. NIAS SELATAN,1564.5066183101776,"[325, 88, 33, 34, 35]"
KAB. NIAS UTARA,1572.9731222048806,"[325, 324, 323]"
KAB. PADANG LAWAS,1420.9255482117073,"[325, 324, 323, 96]"
KAB. PADANG LAWAS UTARA,1395.6377569662259,"[325, 88, 33]"
KAB. PAKPAK BHARAT,1457.361826059321,"[325, 88]"
KAB. SAMOSIR,1522.0314382292818,"[325, 88, 40]"
KAB. SERDANG BEDAGAI,1603.377179257145,"[325, 88, 33, 39, 43]"
KAB. SIMALUNGUN,1556.4911136443577,"[325, 88, 33, 39]"
KAB. TAPANULI SELATAN,1540.5230788191889,"[325, 324, 323, 107]"
KAB. TAPANULI TENGAH,1511.758243673359,"[325, 76, 77, 78, 46]"
KAB. TAPANULI UTARA,1462.7638595218446,"[325, 76, 77, 78]"
KAB. TOBA SAMOSIR,1502.437731738549,"[325, 76, 77, 78, 46]"
KOTA BINJAI,1631.9641444117542,"[325, 88, 59]"
KOTA GUNUNGSITOLI,1546.6401255497565,"[325, 88, 33, 34, 35]"
KOTA MEDAN,1818.6423056394128,"[325, 55, 28, 25, 24, 23]"
