city,distance,through
KAB. ACEH BARAT,3918.5000023075054,"[460, 459, 396, 323]"
KAB. ACEH BARAT DAYA,3984.4010316607264,"[460, 461, 404, 414, 413, 357]"
KAB. ACEH BESAR,4086.133697802896,"[460, 459, 421, 429, 370]"
KAB. ACEH JAYA,4033.8211784618375,"[460, 461, 5, 4]"
KAB. ACEH SELATAN,3783.3559967021993,"[460, 461, 5]"
KAB. ACEH SINGKIL,3662.685271761618,"[460, 461]"
KAB. ACEH TAMIANG,3792.5843571674436,"[460, 459, 321, 86]"
KAB. ACEH TENGAH,3867.3694814130286,"[460, 459, 351, 30, 26]"
KAB. ACEH TENGGARA,3829.5909352814506,"[460, 459, 361, 362]"
KAB. ACEH TIMUR,3751.908365273335,"[460, 345]"
KAB. ACEH UTARA,3809.799248974293,"[460, 345]"
KAB. BENER MERIAH,3848.9204506737938,"[460, 345, 10]"
KAB. BIREUEN,3858.871352677291,"[460, 94]"
KAB. GAYO LUES,3932.604766555373,"[460, 461, 70]"
KAB. NAGAN RAYA,3902.5247134772894,"[460, 94, 93, 92, 24, 25]"
KAB. PIDIE,3982.876294969027,"[460, 459, 351, 30]"
KAB. PIDIE JAYA,3969.129638379696,"[460, 459, 351, 30, 26]"
KAB. SIMEULUE,3873.382805065604,"[460, 459, 396]"
KOTA BANDA ACEH,4002.6933489203184,[460]
KOTA LANGSA,3712.0018864330095,"[460, 459, 351, 96, 97]"
KOTA LHOKSEUMAWE,3826.1385288298334,"[460, 345]"
KOTA SABANG,4042.2860685985115,"[460, 345, 20]"
KOTA SUBULUSSALAM,3684.172228321059,"[460, 459, 321, 84, 83]"
KAB. ASAHAN,3562.19941608998,"[460, 94, 93, 92, 24]"
KAB. BATUBARA,3519.866838289626,"[460, 94, 93, 92]"
KAB. DAIRI,3661.227009702959,"[460, 94, 93, 92, 24]"
KAB. DELI SERDANG,3630.6101718665536,"[460, 459, 351, 30]"
KAB. HUMBANG HASUNDUTAN,3619.2041738988037,"[460, 459, 321, 84, 85]"
KAB. KARO,3645.9840100894753,"[460, 459, 351, 30]"
KAB. LABUHANBATU,3445.8764025855844,"[460, 459, 351, 30]"
KAB. LABUHANBATU SELATAN,3394.270837129845,"[460, 459, 351]"
KAB. LABUHANBATU UTARA,3459.6450328166397,"[460, 459, 351, 30]"
KAB. LANGKAT,3697.120934875054,"[460, 459, 351, 30, 31]"
KAB. MANDAILING NATAL,3467.2108623216636,"[460, 459, 396]"
KAB. NIAS,3651.942522108983,"[460, 459, 396, 33]"
KAB. NIAS BARAT,3681.904792680286,"[460, 459, 351]"
KAB. NIAS SELATAN,3733.1425408201508,"[460, 459, 351, 35]"
