city,distance,through
KAB. ACEH BARAT,721.0128041314938,"[42, 41, 51]"
KAB. ACEH BARAT DAYA,840.704600764662,"[42, 41, 51, 0]"
KAB. ACEH BESAR,943.2735392546813,"[42, 43, 39, 38]"
KAB. ACEH JAYA,1019.57701259178,"[42, 43, 39, 38, 2]"
KAB. ACEH SELATAN,976.2649918536598,"[42, 43, 34, 62]"
KAB. ACEH SINGKIL,871.5707900361817,"[42, 43, 39, 38, 6]"
KAB. ACEH TAMIANG,662.687028845532,"[42, 43, 39, 38]"
KAB. ACEH TENGAH,681.2556141335793,"[42, 11, 10, 9, 8]"
KAB. ACEH TENGGARA,522.4475886519979,"[42, 11, 10, 9]"
KAB. ACEH TIMUR,387.1694169797059,"[42, 11, 10]"
KAB. ACEH UTARA,320.5792828912182,"[42, 11]"
KAB. BENER MERIAH,281.4580811917175,[42]
KAB. BIREUEN,332.4532547653391,"[42, 11]"
KAB. GAYO LUES,481.66041546523115,"[42, 11, 12]"
KAB. NAGAN RAYA,578.7552525502499,"[42, 11, 12, 13]"
KAB. PIDIE,700.7806146344333,"[42, 11, 12, 13, 14]"
KAB. PIDIE JAYA,687.4679716205139,"[42, 43, 52, 53]"
KAB. SIMEULUE,825.6581318003807,"[42, 43, 52, 53, 54, 55]"
KOTA BANDA ACEH,858.7702510992216,"[42, 43, 39]"
KOTA LANGSA,803.8230218903662,"[42, 43, 44, 45, 20]"
KOTA LHOKSEUMAWE,682.3518004099894,"[42, 43, 44, 45]"
KOTA SABANG,898.4993401786675,"[42, 43, 44, 45, 20]"
KOTA SUBULUSSALAM,543.958062771308,"[42, 43, 34, 35, 49]"
KAB. ASAHAN,627.1285681094059,"[42, 41, 51, 50]"
KAB. BATUBARA,663.2566055910287,"[42, 43, 39, 38, 25]"
KAB. DAIRI,521.8964341776954,"[42, 43, 39, 38]"
KAB. DELI SERDANG,470.01269470949876,"[42, 41, 51]"
KAB. HUMBANG HASUNDUTAN,582.5443500930655,"[42, 43, 39, 38, 29]"
KAB. KARO,548.327468241107,"[42, 43, 39, 38, 25]"
KAB. LABUHANBATU,404.24082180282136,"[42, 43, 39, 38]"
KAB. LABUHANBATU SELATAN,455.84638725856104,"[42, 43, 39, 38, 29]"
KAB. LABUHANBATU UTARA,521.2205829453558,"[42, 43, 39, 38, 29, 30]"
KAB. LANGKAT,501.7187162707426,"[42, 43, 44, 45]"
KAB. MANDAILING NATAL,304.9660893729979,"[42, 43, 39]"
KAB. NIAS,317.7978669711073,"[42, 43]"
KAB. NIAS BARAT,347.9239874699533,"[42, 43, 34]"
KAB. NIAS SELATAN,399.16173560981815,"[42, 43, 34, 35]"
KAB. NIAS UTARA,482.2012833931618,"[42, 43, 34, 35, 36]"
KAB. PADANG LAWAS,262.30890729339484,"[42, 43, 39]"
KAB. PADANG LAWAS UTARA,207.73942229091907,"[42, 43]"
KAB. PAKPAK BHARAT,148.8991050011981,"[42, 41]"
KAB. SAMOSIR,84.22949283123735,[42]
KAB. SERDANG BEDAGAI,0.0,[]
KAB. SIMALUNGUN,46.88606561278717,[42]
KAB. TAPANULI SELATAN,202.63679936382064,"[42, 43]"
KAB. TAPANULI TENGAH,273.2810110904443,"[42, 43, 44]"
KAB. TAPANULI UTARA,322.2753952419587,"[42, 43, 44, 45]"
KAB. TOBA SAMOSIR,330.27238616171917,"[42, 43, 52, 48]"
KOTA BINJAI,165.47101564288735,"[42, 43, 52]"
KOTA GUNUNGSITOLI,381.2952428493969,"[42, 43, 34, 35]"
KOTA MEDAN,489.7157522659712,"[42, 41, 51]"
KOTA PADANGSIDEMPUAN,233.67832478331894,"[42, 41]"
KOTA PEMATANGSIANTAR,70.26775175368356,"[42, 43]"
KOTA SIBOLGA,210.9541465203941,"[42, 43, 52]"
KOTA TANJUNGBALAI,388.052287753708,"[42, 43, 52, 53]"
KOTA TEBING TINGGI,469.78903542526626,"[42, 43, 52, 53, 54]"
KAB. AGAM,630.3762274490333,"[42, 43, 52, 48]"
KAB. DHARMASRAYA,819.1910674361419,"[42, 43, 52, 48, 56]"
KAB. KEPULAUAN MENTAWAI,665.9676531222311,"[42, 43, 34, 35, 36]"
KAB. LIMA PULUH KOTA,529.5972720946165,"[42, 60]"
KAB. PADANG PARIAMAN,451.49486776846527,[42]
KAB. PASAMAN,537.8820425495409,"[42, 60]"
KAB. PASAMAN BARAT,549.1770154017717,"[42, 43, 34]"
KAB. PESISIR SELATAN,621.9210958667747,"[42, 41, 51]"
KAB. SIJUNJUNG,741.2279898385709,"[42, 41, 51, 63]"
KAB. SOLOK,706.1957307706858,"[42, 41, 51, 63]"
KAB. SOLOK SELATAN,656.070671347371,"[42, 43, 52, 53]"
KAB. TANAH DATAR,542.466283441056,"[42, 41, 72, 73]"
