city,distance,through
KAB. ACEH BARAT,2805.0293639241418,[391]
KAB. ACEH BARAT DAYA,2774.2811435982767,"[391, 140]"
KAB. ACEH BESAR,2966.104031309248,"[391, 4, 3]"
KAB. ACEH JAYA,2889.8005579721494,"[391, 4]"
KAB. ACEH SELATAN,2639.335376212511,[391]
KAB. ACEH SINGKIL,2719.280959807451,"[391, 390, 389]"
KAB. ACEH TAMIANG,2603.186377921805,[391]
KAB. ACEH TENGAH,2734.863903157582,"[391, 6]"
KAB. ACEH TENGGARA,2772.4197968185827,"[391, 390, 389]"
KAB. ACEH TIMUR,2881.6256676644725,"[391, 390, 139, 87, 88]"
KAB. ACEH UTARA,2877.26555501604,"[391, 390, 33]"
KAB. BENER MERIAH,2916.3867567155407,"[391, 390, 33, 10]"
KAB. BIREUEN,2957.993048487699,"[391, 390, 385, 13]"
KAB. GAYO LUES,2808.785887787807,"[391, 390, 385]"
KAB. NAGAN RAYA,2871.2433049537026,"[391, 390, 139, 29, 25]"
KAB. PIDIE,2856.218692208361,"[391, 390, 16]"
KAB. PIDIE JAYA,2826.6872955757804,"[391, 390]"
KAB. SIMEULUE,2909.8306337907616,"[391, 109, 59]"
KOTA BANDA ACEH,2934.079704651913,"[391, 6]"
KOTA LANGSA,2791.5483798275845,"[391, 390, 389]"
KOTA LHOKSEUMAWE,2823.138881306245,"[391, 6, 7]"
KOTA SABANG,3017.8807941323016,"[391, 4, 3, 2]"
KOTA SUBULUSSALAM,2577.350147226131,"[391, 83]"
KAB. ASAHAN,2529.632390572378,"[391, 390, 385]"
KAB. BATUBARA,2571.964968372732,"[391, 390, 385, 23]"
KAB. DAIRI,2629.9456011793723,"[391, 390, 139, 29]"
KAB. DELI SERDANG,2696.6598515201167,"[391, 390, 389, 30]"
KAB. HUMBANG HASUNDUTAN,2588.7576890480104,"[391, 390, 139, 29]"
KAB. KARO,2638.366008970028,"[391, 390, 139, 29]"
KAB. LABUHANBATU,2410.454160757766,"[391, 390, 139]"
KAB. LABUHANBATU SELATAN,2460.320516783408,"[391, 390, 389]"
KAB. LABUHANBATU UTARA,2525.694712470203,"[391, 390, 389, 30]"
KAB. LANGKAT,2557.5984205858113,[391]
KAB. MANDAILING NATAL,2349.5062173808924,"[391, 390]"
KAB. NIAS,2534.237877168212,"[391, 390, 33]"
KAB. NIAS BARAT,2564.363997667058,"[391, 390, 33, 34]"
