city,distance,through
KAB. ACEH BARAT,2286.810982241676,"[259, 141, 140, 1]"
KAB. ACEH BARAT DAYA,2167.119185608508,"[259, 141, 140]"
KAB. ACEH BESAR,2417.4140278120385,"[259, 141, 140, 1]"
KAB. ACEH JAYA,2350.4075611057588,"[259, 107, 72, 5, 4]"
KAB. ACEH SELATAN,2099.9423793461206,"[259, 107, 72, 5]"
KAB. ACEH SINGKIL,1979.2716544055393,"[259, 107, 72]"
KAB. ACEH TAMIANG,2153.793287228973,"[259, 195, 86]"
KAB. ACEH TENGAH,2228.290691768263,"[259, 107, 72]"
KAB. ACEH TENGGARA,2109.7766714952695,"[259, 195, 73, 67]"
KAB. ACEH TIMUR,2238.2696276619063,"[259, 258]"
KAB. ACEH UTARA,2297.485080356336,"[259, 266, 267, 268]"
KAB. BENER MERIAH,2284.8992070849176,"[259, 107, 44, 43, 42]"
KAB. BIREUEN,2289.0553254732745,"[259, 107, 44]"
KAB. GAYO LUES,2203.9219666859917,"[259, 107, 69, 70]"
KAB. NAGAN RAYA,2264.0708415615895,"[259, 195, 38, 25]"
KAB. PIDIE,2332.347779105097,"[259, 22]"
KAB. PIDIE JAYA,2334.0007412418154,"[259, 107, 26]"
KAB. SIMEULUE,2242.883758809903,"[259, 195, 153, 58]"
KOTA BANDA ACEH,2468.785924713737,"[259, 195, 38, 39]"
KOTA LANGSA,2251.871120395473,"[259, 266, 125]"
KOTA LHOKSEUMAWE,2224.1819630710706,[259]
KOTA SABANG,2440.329502839749,"[259, 20]"
KOTA SUBULUSSALAM,1990.3281390622308,[259]
KAB. ASAHAN,1948.9173360103064,"[259, 92, 24]"
KAB. BATUBARA,1906.5847582099523,"[259, 92]"
KAB. DAIRI,2022.7731377872592,"[259, 195, 38]"
KAB. DELI SERDANG,1995.4812747286726,"[259, 107]"
KAB. HUMBANG HASUNDUTAN,2038.675167449338,"[259, 195, 86, 85]"
KAB. KARO,2049.2041718506707,"[259, 195, 38, 25]"
KAB. LABUHANBATU,1872.540930967981,"[259, 266, 267, 251, 252, 137]"
KAB. LABUHANBATU SELATAN,1822.6168348804458,"[259, 266, 267, 81]"
KAB. LABUHANBATU UTARA,1887.9910305672406,"[259, 266, 267, 81, 30]"
KAB. LANGKAT,2099.886243436302,"[259, 107, 44, 45]"
KAB. MANDAILING NATAL,1832.9648235505247,"[259, 266, 144]"
KAB. NIAS,1911.181491983134,"[259, 107, 62]"
KAB. NIAS BARAT,1941.3076124819802,"[259, 107, 62, 34]"
KAB. NIAS SELATAN,1954.1150807887284,"[259, 195, 153, 58]"
KAB. NIAS UTARA,2023.8281339410328,"[259, 195, 153, 120]"
KAB. PADANG LAWAS,1763.1856109029586,"[259, 195]"
KAB. PADANG LAWAS UTARA,1817.7550959054345,"[259, 195, 38]"
KAB. PAKPAK BHARAT,1949.8501842871426,[259]
KAB. SAMOSIR,1936.440586056818,"[259, 107, 72]"
KAB. SERDANG BEDAGAI,2003.4411258932003,"[259, 107, 44, 43]"
KAB. SIMALUNGUN,1956.555060280413,"[259, 107, 44]"
KAB. TAPANULI SELATAN,1800.8043265293795,"[259, 107]"
KAB. TAPANULI TENGAH,1871.4485382560033,"[259, 107, 44]"
KAB. TAPANULI UTARA,1892.148060691214,"[259, 195, 153]"
KAB. TOBA SAMOSIR,1903.031490824795,"[259, 195]"
KOTA BINJAI,2067.832861343627,"[259, 195, 47]"
KOTA GUNUNGSITOLI,1954.5837908810288,"[259, 103, 65]"
KOTA MEDAN,2086.330151853741,"[259, 92, 24, 23]"
KOTA PADANGSIDEMPUAN,1851.871084739562,"[259, 195, 73, 74]"
KOTA PEMATANGSIANTAR,1979.9367464213094,"[259, 107, 44, 43]"
KOTA SIBOLGA,1939.0015391461748,"[259, 266, 267, 251, 78]"
KOTA TANJUNGBALAI,1884.8287480460917,"[259, 107]"
KOTA TEBING TINGGI,1966.56549571765,"[259, 107, 54]"
KAB. AGAM,1694.5095494336172,"[259, 266, 267, 213, 57]"
KAB. DHARMASRAYA,1505.6947094465086,"[259, 266, 267, 213]"
KAB. KEPULAUAN MENTAWAI,1687.3091632763153,"[259, 195, 153]"
KAB. LIMA PULUH KOTA,1713.811287817428,"[259, 266, 125, 126, 109]"
KAB. PADANG PARIAMAN,1700.1776648329774,"[259, 266, 267, 213, 214, 134, 133]"
KAB. PASAMAN,1695.443221652776,"[259, 195, 153, 120]"
KAB. PASAMAN BARAT,1679.8023435524697,"[259, 107]"
KAB. PESISIR SELATAN,1541.1226184715547,"[259, 266, 144, 145]"
KAB. SIJUNJUNG,1551.9693288854414,"[259, 103, 65]"
KAB. SOLOK,1513.0450351011352,"[259, 103]"
KAB. SOLOK SELATAN,1504.140992369719,"[259, 195, 153, 123, 124]"
KAB. TANAH DATAR,1580.9386399833159,"[259, 195, 73]"
KOTA BUKITTINGGI,1609.8114714052367,"[259, 195, 73, 67]"
KOTA PADANG,1553.485124486868,"[259, 107]"
