city,distance,through
KAB. ACEH BARAT,985.7952997934063,"[64, 63, 62]"
KAB. ACEH BARAT DAYA,1105.4870964265745,"[64, 63, 62, 0]"
KAB. ACEH BESAR,980.3657627338625,"[64, 65, 3]"
KAB. ACEH JAYA,904.0622893967637,"[64, 65]"
KAB. ACEH SELATAN,787.2862982878938,"[64, 65, 66, 5]"
KAB. ACEH SINGKIL,666.6155733473124,"[64, 65, 66]"
KAB. ACEH TAMIANG,875.4993345379621,"[64, 65, 66, 5]"
KAB. ACEH TENGAH,919.3982185136471,"[64, 65, 66, 67, 8]"
KAB. ACEH TENGGARA,760.5901930320656,"[64, 65, 66, 67]"
KAB. ACEH TIMUR,895.8683647043576,"[64, 65, 66, 67, 8]"
KAB. ACEH UTARA,962.4584987928453,"[64, 65, 66, 67, 8, 9]"
KAB. BENER MERIAH,1001.579700492346,"[64, 65, 66, 67, 8, 9, 10]"
KAB. BIREUEN,1052.5748740659676,"[64, 65, 66, 67, 8, 9, 10, 11]"
KAB. GAYO LUES,941.1277983423863,"[64, 63, 74, 73, 71, 70]"
KAB. NAGAN RAYA,912.4633064787179,"[64, 65, 49, 25]"
KAB. PIDIE,985.1455095289771,"[64, 65, 49, 22]"
KAB. PIDIE JAYA,1014.6769061615576,"[64, 65, 49, 22, 15]"
KAB. SIMEULUE,917.6053532402486,"[64, 65, 66, 58]"
KOTA BANDA ACEH,1189.7936259562314,"[64, 63, 33, 39]"
KOTA LANGSA,1004.9065046503704,"[64, 65, 49, 35, 36, 37]"
KOTA LHOKSEUMAWE,959.9213490041383,"[64, 65, 49, 25, 28]"
KOTA SABANG,1032.142525556916,"[64, 65, 3, 2]"
KOTA SUBULUSSALAM,643.1258694861109,"[64, 65, 49]"
KAB. ASAHAN,680.9675848548277,"[64, 50]"
KAB. BATUBARA,685.2498907341542,"[64, 63]"
KAB. DAIRI,671.1656027043875,"[64, 65, 49]"
KAB. DELI SERDANG,743.8840349814318,"[64, 63, 51]"
KAB. HUMBANG HASUNDUTAN,735.7213660256901,"[64, 65, 49, 22]"
KAB. KARO,697.5966367677992,"[64, 65, 49, 25]"
KAB. LABUHANBATU,657.9151926239545,"[64, 63, 74, 73, 71, 70, 30]"
KAB. LABUHANBATU SELATAN,606.3096271682148,"[64, 63, 74, 73, 71, 70]"
KAB. LABUHANBATU UTARA,671.6838228550096,"[64, 63, 74, 73, 71, 70, 30]"
KAB. LANGKAT,808.0826729064988,"[64, 63, 33]"
KAB. MANDAILING NATAL,441.53613006585,"[64, 63]"
KAB. NIAS,543.9604254424894,"[64, 65, 49, 35]"
KAB. NIAS BARAT,513.8343049436434,"[64, 65, 49]"
KAB. NIAS SELATAN,565.0720530835082,"[64, 65, 49, 35]"
KAB. NIAS UTARA,648.1116008668519,"[64, 65, 49, 35, 36]"
KAB. PADANG LAWAS,593.3322821504046,"[64, 63, 33, 39]"
KAB. PADANG LAWAS UTARA,538.7627971479288,"[64, 63, 33]"
KAB. PAKPAK BHARAT,721.6681091772942,"[64, 63, 51, 41]"
KAB. SAMOSIR,656.9984970073335,"[64, 63, 51]"
KAB. SERDANG BEDAGAI,741.2279898385709,"[64, 63, 51, 41]"
KAB. SIMALUNGUN,699.6161538260608,"[64, 63, 33, 39]"
KAB. TAPANULI SELATAN,713.5482746216252,"[64, 63, 74, 73, 46, 45]"
KAB. TAPANULI TENGAH,642.9040628950015,"[64, 63, 74, 73, 46]"
KAB. TAPANULI UTARA,593.9096787434871,"[64, 63, 74, 73]"
KAB. TOBA SAMOSIR,633.5835509601916,"[64, 63, 74, 73, 46]"
KOTA BINJAI,757.9947994155716,"[64, 65, 49]"
KOTA GUNUNGSITOLI,480.46304956419976,"[64, 65]"
KOTA MEDAN,543.554769011393,[64]
KOTA PADANGSIDEMPUAN,507.5496650552519,"[64, 63]"
KOTA PEMATANGSIANTAR,686.6682623720881,"[64, 63, 51]"
KOTA SIBOLGA,548.373677685935,"[64, 65, 66]"
KOTA TANJUNGBALAI,725.4718189192489,"[64, 65, 66, 53]"
KOTA TEBING TINGGI,799.5866288921937,"[64, 65, 49, 25, 28]"
KAB. AGAM,780.4295945061169,"[64, 63, 74, 80, 81, 57]"
KAB. DHARMASRAYA,591.6147545190083,"[64, 63, 74, 80, 81]"
KAB. KEPULAUAN MENTAWAI,362.0307577066607,"[64, 65, 66]"
KAB. LIMA PULUH KOTA,392.92010805923576,"[64, 63, 61]"
KAB. PADANG PARIAMAN,436.1195659523469,"[64, 63, 61]"
