city,distance,through
KAB. ACEH BARAT,1951.0191722514844,"[326, 325, 324, 323]"
KAB. ACEH BARAT DAYA,2055.7937773924587,"[326, 142, 141, 140]"
KAB. ACEH BESAR,2090.9383066170008,"[326, 325, 4, 3]"
KAB. ACEH JAYA,2014.6348332799018,"[326, 325, 4]"
KAB. ACEH SELATAN,1764.1696515202634,"[326, 325]"
KAB. ACEH SINGKIL,1884.8403764608447,"[326, 325, 4]"
KAB. ACEH TAMIANG,1722.590936351926,"[326, 325]"
KAB. ACEH TENGAH,1854.2684615877033,"[326, 325, 6]"
KAB. ACEH TENGGARA,1779.2506517184668,"[326, 327, 328]"
KAB. ACEH TIMUR,1817.9953668386993,"[326, 325, 88]"
KAB. ACEH UTARA,1882.4777679148797,"[326, 11]"
KAB. BENER MERIAH,1843.356566215379,[326]
KAB. BIREUEN,1894.3517397890005,"[326, 11]"
KAB. GAYO LUES,1970.134429412944,"[326, 327, 137]"
KAB. NAGAN RAYA,1938.329525319433,"[326, 54, 55, 28, 25]"
KAB. PIDIE,2038.8114422651083,"[326, 85, 27, 22]"
KAB. PIDIE JAYA,2054.7725805414334,"[326, 325, 76, 75]"
KAB. SIMEULUE,1924.4798917324108,"[326, 54, 55]"
KOTA BANDA ACEH,2053.4842630820335,"[326, 325, 6]"
KOTA LANGSA,1835.148745724437,"[326, 325, 324, 323, 96, 97]"
KOTA LHOKSEUMAWE,1932.92549971803,"[326, 54, 55, 28]"
KOTA SABANG,2142.7150694400543,"[326, 325, 4, 3, 2]"
KOTA SUBULUSSALAM,1696.7918022222423,"[326, 85, 27]"
KAB. ASAHAN,1880.7245707587902,"[326, 54, 55, 28, 25, 24]"
KAB. BATUBARA,1838.391992958436,"[326, 54, 55, 28, 25]"
KAB. DAIRI,1697.0318215451027,"[326, 54, 55, 28]"
KAB. DELI SERDANG,1740.7876378018245,"[326, 85, 27]"
KAB. HUMBANG HASUNDUTAN,1604.196305682663,"[326, 85]"
KAB. KARO,1670.600787481691,"[326, 54, 55]"
KAB. LABUHANBATU,1570.9111374162012,"[326, 325, 324, 323, 96]"
KAB. LABUHANBATU SELATAN,1605.6347761562251,"[326, 85, 84]"
KAB. LABUHANBATU UTARA,1671.00897184302,"[326, 85, 84, 30]"
KAB. LANGKAT,1820.6605024852004,"[326, 46, 45]"
KAB. MANDAILING NATAL,1500.060423487479,"[326, 325, 88]"
KAB. NIAS,1684.7920832747986,"[326, 325, 88, 33]"
KAB. NIAS BARAT,1714.9182037736448,"[326, 325, 88, 33, 34]"
KAB. NIAS SELATAN,1766.1559519135096,"[326, 325, 88, 33, 34, 35]"
KAB. NIAS UTARA,1774.6224558082126,"[326, 325, 324, 323]"
KAB. PADANG LAWAS,1622.5748818150396,"[326, 325, 324, 323, 96]"
KAB. PADANG LAWAS UTARA,1597.287090569558,"[326, 325, 88, 33]"
KAB. PAKPAK BHARAT,1659.011159662653,"[326, 325, 88]"
KAB. SAMOSIR,1720.529566502387,"[326, 52, 43, 42]"
KAB. SERDANG BEDAGAI,1636.3000736711497,"[326, 52, 43]"
KAB. SIMALUNGUN,1589.4140080583625,"[326, 52]"
KAB. TAPANULI SELATAN,1578.639912949751,"[326, 327, 328]"
KAB. TAPANULI TENGAH,1592.222797304902,"[326, 46]"
KAB. TAPANULI UTARA,1543.2284131533877,[326]
KAB. TOBA SAMOSIR,1582.9022853700922,"[326, 46]"
KOTA BINJAI,1661.2355858066699,"[326, 52]"
KOTA GUNUNGSITOLI,1748.2894591530885,"[326, 325, 88, 33, 34, 35]"
