city,distance,through
KAB. ACEH BARAT,2091.8225196422036,"[234, 235]"
KAB. ACEH BARAT DAYA,2119.290936867339,"[234, 233, 232, 231, 230, 165]"
KAB. ACEH BESAR,2226.9300381680237,"[234, 233]"
KAB. ACEH JAYA,2165.897711127263,"[234, 233, 153]"
KAB. ACEH SELATAN,1922.2905578788664,"[234, 233, 153, 5]"
KAB. ACEH SINGKIL,1801.619832938285,"[234, 233, 153]"
KAB. ACEH TAMIANG,1934.2708551791275,"[234, 235, 124, 86]"
KAB. ACEH TENGAH,2041.8926552828152,"[234, 235, 26]"
KAB. ACEH TENGGARA,1897.5848843895615,"[234, 233, 153, 67]"
KAB. ACEH TIMUR,2032.8630560618535,"[234, 233, 153, 67, 8]"
KAB. ACEH UTARA,2033.6122161018575,[234]
KAB. BENER MERIAH,2072.7334178013584,"[234, 10]"
KAB. BIREUEN,2106.1120334921548,"[234, 235, 99, 13]"
KAB. GAYO LUES,1956.9048727922627,"[234, 235, 99]"
KAB. NAGAN RAYA,2052.0645501804083,"[234, 235, 124, 86, 25]"
KAB. PIDIE,2173.1842088820636,"[234, 235, 26, 16]"
KAB. PIDIE JAYA,2143.652812249483,"[234, 235, 26]"
KAB. SIMEULUE,2002.7452750361472,"[234, 235, 155]"
KOTA BANDA ACEH,2265.164181909235,"[234, 235, 124, 86, 6]"
KOTA LANGSA,2056.1146980075287,"[234, 235, 124, 125]"
KOTA LHOKSEUMAWE,2099.522592705829,"[234, 235, 124, 86, 25, 28]"
KOTA SABANG,2278.706800991077,"[234, 233, 2]"
KOTA SUBULUSSALAM,1887.0173298801321,"[234, 235, 99, 29, 27]"
KAB. ASAHAN,1819.5388800545861,"[234, 235, 92, 24]"
KAB. BATUBARA,1777.206302254232,"[234, 235, 92]"
KAB. DAIRI,1810.766846406078,"[234, 235, 124, 86]"
KAB. DELI SERDANG,1805.1333457363403,"[234, 235]"
KAB. HUMBANG HASUNDUTAN,1794.421833340553,"[234, 235, 99, 29]"
KAB. KARO,1837.1978804694897,"[234, 235, 124, 86, 25]"
KAB. LABUHANBATU,1616.1183050503087,"[234, 235, 99]"
KAB. LABUHANBATU SELATAN,1632.4129996383472,"[234, 159]"
KAB. LABUHANBATU UTARA,1697.787195325142,"[234, 159, 30]"
KAB. LANGKAT,1885.7685421587562,"[234, 233, 153]"
KAB. MANDAILING NATAL,1684.6951962992316,"[234, 159, 160, 161]"
KAB. NIAS,1738.790255312957,"[234, 233, 153, 123, 62]"
KAB. NIAS BARAT,1768.9163758118032,"[234, 233, 153, 123, 62, 34]"
KAB. NIAS SELATAN,1726.9524704926198,"[234, 235, 58]"
KAB. NIAS UTARA,1792.2280506239583,"[234, 235, 99, 100]"
KAB. PADANG LAWAS,1668.359764980703,"[234, 235, 155, 132, 133]"
KAB. PADANG LAWAS UTARA,1722.8843746589796,"[234, 233, 153, 123, 122, 84]"
KAB. PAKPAK BHARAT,1879.35867983464,"[234, 159, 104, 107, 72, 41]"
KAB. SAMOSIR,1814.6890676646792,"[234, 159, 104, 107, 72]"
KAB. SERDANG BEDAGAI,1823.749192044427,"[234, 235, 124, 44, 43]"
KAB. SIMALUNGUN,1776.8631264316398,"[234, 235, 124, 44]"
KAB. TAPANULI SELATAN,1621.1123926806063,"[234, 235, 124]"
KAB. TAPANULI TENGAH,1691.75660440723,"[234, 235, 124, 44]"
KAB. TAPANULI UTARA,1677.559660027916,"[234, 233, 153]"
KAB. TOBA SAMOSIR,1708.3484622594024,"[234, 233, 153, 123]"
KOTA BINJAI,1872.573944511976,"[234, 233, 153, 123, 52]"
KOTA GUNUNGSITOLI,1755.0556153696214,"[234, 235, 124, 66, 65]"
KOTA MEDAN,1856.717817455301,"[234, 235, 99, 64]"
KOTA PADANGSIDEMPUAN,1668.9183867743254,"[234, 233, 110, 111, 74]"
KOTA PEMATANGSIANTAR,1777.3706806227722,"[234, 233, 153, 123]"
KOTA SIBOLGA,1694.3005253420527,"[234, 235, 124, 66]"
KOTA TANJUNGBALAI,1763.077229653953,"[234, 159, 104, 107]"
KOTA TEBING TINGGI,1844.8139773255114,"[234, 159, 104, 107, 54]"
KAB. AGAM,1463.7608409645268,"[234, 233, 110, 109]"
KAB. DHARMASRAYA,1313.9745590133775,"[234, 159, 160]"
KAB. KEPULAUAN MENTAWAI,1460.1465529802067,"[234, 235]"
KAB. LIMA PULUH KOTA,1474.1181246095152,"[234, 233, 110, 109]"
KAB. PADANG PARIAMAN,1495.2915201424357,"[234, 235, 155, 132, 133]"
KAB. PASAMAN,1480.854820989478,"[234, 233, 153, 120]"
KAB. PASAMAN BARAT,1507.4111068822926,"[234, 233, 153, 123]"
KAB. PESISIR SELATAN,1369.4941413833553,"[234, 159, 160, 131]"
KAB. SIJUNJUNG,1313.1630484439079,"[234, 235, 99]"
KAB. SOLOK,1313.5168595897278,"[234, 235, 124, 66]"
KAB. SOLOK SELATAN,1249.1840005150757,"[234, 235, 124]"
KAB. TANAH DATAR,1368.7468528776076,"[234, 233, 153]"
KOTA BUKITTINGGI,1397.6196842995284,"[234, 233, 153, 67]"
KOTA PADANG,1431.7336060947293,"[234, 159, 104, 107]"
KOTA PADANGPANJANG,1458.8386805658458,"[234, 235, 124, 125]"
KOTA PARIAMAN,1465.4767735060907,"[234, 233, 153, 67, 73]"
KOTA PAYAKUMBUH,1436.9170347296865,"[234, 159, 104, 107]"
KOTA SAWAHLUNTO,1397.4528216328022,"[234, 233, 153, 67]"
KOTA SOLOK,1383.7240451231614,"[234, 233, 110, 111]"
KAB. BENGKALIS,1535.1734949703377,"[234, 233, 232, 231, 230, 76]"
KAB. INDRAGIRI HILIR,1304.0770793971642,"[234, 233, 232, 231, 230]"
KAB. INDRAGIRI HULU,1369.314968595669,"[234, 233, 232, 231, 230, 165, 164, 144]"
KAB. KAMPAR,1411.8454802237698,"[234, 159]"
KAB. KEPULAUAN MERANTI,1357.2821600604984,"[234, 235, 99]"
KAB. KUANTAN SINGINGI,1487.860922255826,"[234, 233, 110, 111, 74]"
KAB. PELALAWAN,1467.6651535497012,"[234, 159, 102, 101]"
KAB. ROKAN HILIR,1606.4829393547784,"[234, 233, 153, 67]"
KAB. ROKAN HULU,1620.9155900575925,"[234, 233, 153, 123, 122, 84]"
KAB. SIAK,1467.763936832871,"[234, 233, 153, 123, 122]"
KOTA DUMAI,1499.3375742734809,"[234, 235, 124, 86]"
KOTA PEKANBARU,1370.2985032314195,"[234, 235, 124]"
KAB. BINTAN,1408.3290129046482,"[234, 235, 99]"
KAB. KARIMUN,1415.1152126426614,"[234, 159, 160, 131]"
KAB. KEPULAUAN ANAMBAS,1555.6749380090455,"[234, 235, 251]"
KAB. LINGGA,1253.453509582453,"[234, 233, 232, 215, 142, 143]"
KAB. NATUNA,1719.6292268064649,"[234, 233, 232, 215, 142, 141, 140]"
KOTA BATAM,1222.6798923889687,"[234, 235]"
KOTA TANJUNG PINANG,1274.3277924529573,"[234, 235, 92]"
PULAU TAMBELAN KAB. BINTAN,1338.0664496733334,"[234, 233, 232, 215, 216]"
PEKAJANG KAB. LINGGA,1401.0106848862363,"[234, 233, 232, 263]"
PULAU SERASAN KAB. NATUNA,1282.2864090960527,"[234, 233, 232, 231, 323]"
PULAU MIDAI KAB. NATUNA,1397.322243232419,"[234, 233, 232, 215]"
PULAU LAUT KAB. NATUNA,1588.963673768338,"[234, 233, 232, 215, 97]"
KAB. BATANGHARI,1061.3126389130848,"[234, 235]"
KAB. BUNGO,1194.084471527765,"[234, 235, 99]"
KAB. KERINCI,1225.4137452020655,"[234, 159, 102]"
KAB. MERANGIN,1155.9378951981537,"[234, 159]"
KAB. MUARO JAMBI,1239.389147037385,"[234, 159, 104]"
KAB. SAROLANGUN,1089.3480767803103,"[234, 159]"
KAB. TANJUNG JABUNG BARAT,1221.8129891456786,"[234, 233, 232, 215]"
KAB. TANJUNG JABUNG TIMUR,1165.3196215674275,"[234, 233, 232, 215]"
KAB. TEBO,1214.4650788191525,"[234, 159, 104]"
KOTA JAMBI,1179.0114683669112,"[234, 159, 194]"
KOTA SUNGAI PENUH,1217.7903079586579,"[234, 233, 110]"
KAB. BENGKULU SELATAN,907.2776364772557,"[234, 233]"
KAB. BENGKULU TENGAH,1007.1799793502615,"[234, 233, 110]"
