city,distance,through
KAB. ACEH BARAT,4087.823721540456,"[511, 510, 509, 359, 323]"
KAB. ACEH BARAT DAYA,4094.153064682215,"[511, 510, 509, 359, 358, 357]"
KAB. ACEH BESAR,4252.336224945218,"[511, 385]"
KAB. ACEH JAYA,4217.40763488819,"[511, 447, 89]"
KAB. ACEH SELATAN,3981.6294476010557,"[511, 447, 446, 346, 347]"
KAB. ACEH SINGKIL,3965.4545195813507,"[511, 510, 441, 442, 443]"
KAB. ACEH TAMIANG,3969.476544868559,"[511, 391]"
KAB. ACEH TENGAH,4003.7616520487845,"[511, 510, 509, 359]"
KAB. ACEH TENGGARA,3871.40231997121,[511]
KAB. ACEH TIMUR,3996.39210131685,"[511, 447, 446, 346, 345]"
KAB. ACEH UTARA,4049.708653355145,"[511, 447, 89]"
KAB. BENER MERIAH,4040.7638688789834,"[511, 510, 43, 42]"
KAB. BIREUEN,4091.759042452605,"[511, 510, 43, 42, 11]"
KAB. GAYO LUES,4003.145315717429,"[511, 385]"
KAB. NAGAN RAYA,4096.3010936039755,"[511, 510, 509, 23, 24, 25]"
KAB. PIDIE,4134.283222101127,"[511, 510, 441, 16]"
KAB. PIDIE JAYA,4104.7518254685465,"[511, 510, 441]"
KAB. SIMEULUE,4111.904912062671,"[511, 459, 396]"
KOTA BANDA ACEH,4267.683648996184,"[511, 459, 351, 96, 97, 19]"
KOTA LANGSA,3950.523993430078,"[511, 459, 351, 96, 97]"
KOTA LHOKSEUMAWE,4023.0785209673622,"[511, 510, 427]"
KOTA SABANG,4239.22606073604,"[511, 510, 427, 20]"
KOTA SUBULUSSALAM,3852.25890282345,"[511, 27]"
KAB. ASAHAN,3671.3106406159577,"[511, 510, 509]"
KAB. BATUBARA,3713.643218416312,"[511, 510, 509, 23]"
KAB. DAIRI,3855.003389829645,"[511, 510, 509, 23, 24]"
KAB. DELI SERDANG,3869.132278863621,"[511, 459, 351, 30]"
KAB. HUMBANG HASUNDUTAN,3759.6634062838707,[511]
KAB. KARO,3866.062844242968,"[511, 27]"
KAB. LABUHANBATU,3684.398509582652,"[511, 459, 351, 30]"
KAB. LABUHANBATU SELATAN,3632.7929441269125,"[511, 459, 351]"
KAB. LABUHANBATU UTARA,3684.565464043454,"[511, 447, 446]"
KAB. LANGKAT,3922.0413661018683,"[511, 447, 446, 31]"
KAB. MANDAILING NATAL,3694.4155978454737,"[511, 510, 509, 359, 323]"
KAB. NIAS,3871.363865646455,"[511, 447]"
KAB. NIAS BARAT,3901.489986145301,"[511, 447, 34]"
KAB. NIAS SELATAN,3859.080888757686,"[511, 447, 446]"
KAB. NIAS UTARA,3903.629973165507,"[511, 510, 38]"
KAB. PADANG LAWAS,3633.9666043375028,"[511, 510]"
KAB. PADANG LAWAS UTARA,3688.2082957584767,"[511, 459, 321, 84]"
KAB. PAKPAK BHARAT,3825.9681618811774,"[511, 510, 509, 359, 360]"
KAB. SAMOSIR,3843.535280518503,"[511, 510, 43, 42]"
KAB. SERDANG BEDAGAI,3759.305787687266,"[511, 510, 43]"
KAB. SIMALUNGUN,3712.4197220744786,"[511, 510]"
KAB. TAPANULI SELATAN,3729.627599832248,"[511, 447, 446, 346, 347]"
KAB. TAPANULI TENGAH,3790.852245401945,"[511, 459]"
KAB. TAPANULI UTARA,3800.885758322414,"[511, 338]"
KAB. TOBA SAMOSIR,3840.5596305391186,"[511, 338, 46]"
KOTA BINJAI,3831.0046721045787,"[511, 510, 43, 52]"
KOTA GUNUNGSITOLI,3917.367324499053,"[511, 510, 427, 77]"
KOTA MEDAN,3808.7234564593923,"[511, 510, 509, 23]"
KOTA PADANGSIDEMPUAN,3831.4959044341576,"[511, 510, 509, 322, 74]"
KOTA PEMATANGSIANTAR,3735.801408215375,"[511, 510, 43]"
KOTA SIBOLGA,3828.9781275362284,"[511, 510, 427, 77, 78]"
KOTA TANJUNGBALAI,3848.3932177387333,"[511, 510, 441, 442, 443, 428]"
KOTA TEBING TINGGI,3783.669006109315,"[511, 459, 321]"
KAB. AGAM,3598.1848459541343,"[511, 447, 57]"
KAB. DHARMASRAYA,3409.3700059670255,"[511, 447]"
KAB. KEPULAUAN MENTAWAI,3694.0994586941342,"[511, 66]"
KAB. LIMA PULUH KOTA,3551.8522982053737,"[511, 510, 509, 322]"
KAB. PADANG PARIAMAN,3589.1358341875566,"[511, 459]"
KAB. PASAMAN,3595.0400150933383,"[511, 510, 509, 322, 59]"
KAB. PASAMAN BARAT,3647.5519353950103,"[511, 447]"
KAB. PESISIR SELATAN,3521.0948175700187,"[511, 447, 446, 346, 345]"
KAB. SIJUNJUNG,3538.5830067053894,"[511, 66, 65]"
KAB. SOLOK,3499.6587129210834,"[511, 66]"
KAB. SOLOK SELATAN,3435.3258538464315,[511]
KAB. TANAH DATAR,3562.7488139019524,"[511, 338]"
KOTA BUKITTINGGI,3591.6216453238735,"[511, 338, 67]"
KOTA PADANG,3565.724806369163,"[511, 510, 108, 107]"
KOTA PADANGPANJANG,3619.250397201322,"[511, 510, 108, 107, 69]"
KOTA PARIAMAN,3584.055560733655,"[511, 447, 446]"
KOTA PAYAKUMBUH,3570.9082350041203,"[511, 510, 108, 107]"
KOTA SAWAHLUNTO,3537.6760887166297,"[511, 385, 142, 141]"
KOTA SOLOK,3546.3015627829936,"[511, 510, 509, 322]"
KAB. BENGKALIS,3544.8791804532743,"[511, 459, 421]"
KAB. INDRAGIRI HILIR,3342.715986121845,"[511, 510, 381, 341]"
KAB. INDRAGIRI HULU,3354.8210542689394,"[511, 510, 427]"
KAB. KAMPAR,3511.0548012421427,"[511, 510, 427, 77]"
KAB. KEPULAUAN MERANTI,3415.908992813936,"[511, 405, 393]"
KAB. KUANTAN SINGINGI,3458.2863133455785,"[511, 510, 509, 359]"
KAB. PELALAWAN,3523.3088934674747,"[511, 405, 406, 407]"
KAB. ROKAN HILIR,3612.632149756961,"[511, 352, 353, 87, 88]"
KAB. ROKAN HULU,3576.1246543715397,"[511, 447]"
KAB. SIAK,3433.087857932368,"[511, 459, 321]"
KOTA DUMAI,3537.9111197698594,"[511, 459, 321, 84]"
KOTA PEKANBARU,3423.6457024195915,[511]
KAB. BINTAN,3179.0398957610073,"[511, 352, 353]"
KAB. KARIMUN,3307.083094287085,"[511, 352, 353, 87]"
KAB. KEPULAUAN ANAMBAS,3091.623072873841,"[511, 447]"
KAB. LINGGA,3181.7559288019747,"[511, 385, 142, 143]"
KAB. NATUNA,3075.174705240119,"[511, 385, 386]"
KOTA BATAM,3261.010439425402,"[511, 510, 381, 339]"
KOTA TANJUNG PINANG,3246.043124206775,"[511, 510, 381, 339, 94]"
PULAU TAMBELAN KAB. BINTAN,2927.3425420554854,"[511, 510, 381, 339]"
PEKAJANG KAB. LINGGA,3066.094442848527,[511]
PULAU SERASAN KAB. NATUNA,2699.4656395469383,"[511, 459, 351]"
PULAU MIDAI KAB. NATUNA,2850.8822521425545,"[511, 459, 351, 96]"
PULAU LAUT KAB. NATUNA,2951.0562318815028,"[511, 447]"
KAB. BATANGHARI,3303.772481896579,"[511, 405]"
KAB. BUNGO,3393.8429546843645,"[511, 338]"
KAB. KERINCI,3429.8337156983494,"[511, 385]"
KAB. MERANGIN,3390.7211819429067,"[511, 510, 120]"
KAB. MUARO JAMBI,3179.1059596633213,"[511, 510]"
KAB. SAROLANGUN,3329.147029920396,"[511, 510, 103]"
KAB. TANJUNG JABUNG BARAT,3256.8086639497965,"[511, 385]"
KAB. TANJUNG JABUNG TIMUR,3296.136846911973,"[511, 447, 448, 449, 329]"
KAB. TEBO,3348.456279093586,"[511, 510, 108]"
KOTA JAMBI,3202.3468808910307,"[511, 510]"
KOTA SUNGAI PENUH,3433.86678290931,"[511, 385, 142]"
KAB. BENGKULU SELATAN,3268.347059329266,"[511, 385, 142]"
KAB. BENGKULU TENGAH,3364.2890068421975,"[511, 510, 381, 341, 149]"
KAB. BENGKULU UTARA,3377.926244380372,"[511, 391, 390, 139]"
KAB. KAUR,3276.1060956932006,"[511, 338, 136]"
KAB. KEPAHIANG,3397.006473351818,"[511, 338, 136, 113]"
KAB. LEBONG,3390.4139586177253,"[511, 447, 446, 346, 345]"
KAB. MUKOMUKO,3435.4451300859146,"[511, 391, 390, 139]"
KAB. REJANG LEBONG,3295.869493374499,"[511, 391, 131]"
KAB. SELUMA,3280.3123728407586,"[511, 447, 446]"
KOTA BENGKULU,3331.7643608573535,"[511, 338]"
KAB. BANYUASIN,3079.0388553900784,"[511, 510]"
KAB. EMPAT LAWANG,3266.794532622408,"[511, 391, 131, 122]"
KAB. LAHAT,3214.994441625479,"[511, 391, 131]"
KAB. MUARA ENIM,3185.0423602117107,"[511, 385, 142, 141, 140]"
KAB. MUSI BANYUASIN,3312.8919443513237,"[511, 510, 381, 341, 330, 331]"
KAB. MUSI RAWAS,3236.7504144123227,"[511, 447, 446]"
KAB. MUSI RAWAS UTARA,3290.0880265313026,"[511, 447, 446, 125]"
KAB. OGAN ILIR,3128.7523021688635,"[511, 385, 142, 141, 140, 128]"
KAB. OGAN KOMERING ILIR,3061.2545347666064,"[511, 385, 142, 141, 140]"
KAB. OGAN KOMERING ULU,3135.9675775693568,[511]
KAB. OGAN KOMERING ULU SELATAN,3179.511569627791,"[511, 385, 142]"
KAB. OGAN KOMERING ULU TIMUR,3060.2763722037826,"[511, 391]"
KAB. PENUKAL ABAB LEMATANG ILIR,3134.0358157038336,"[511, 447, 446]"
KOTA LUBUKLINGGAU,3259.242194890172,"[511, 352]"
KOTA PAGAR ALAM,3254.3575585143653,"[511, 352, 353, 135]"
KOTA PALEMBANG,3045.6823410226916,"[511, 352, 353]"
KOTA PRABUMULIH,3112.64053548615,"[511, 338]"
KAB. BANGKA,2978.9697090924074,"[511, 510, 381]"
KAB. BANGKA BARAT,3023.938270779251,"[511, 391, 390, 139]"
KAB. BANGKA SELATAN,2879.2379048994653,"[511, 391, 390]"
KAB. BANGKA TENGAH,2900.7986226537287,"[511, 385, 142, 141]"
KAB. BELITUNG,2724.0356907878927,"[511, 385, 142]"
KAB. BELITUNG TIMUR,2678.88567684634,"[511, 385]"
KOTA PANGKAL PINANG,2918.3759315449324,"[511, 385, 142]"
KAB. LAMPUNG TENGAH,3020.959536777388,"[511, 459, 396]"
KAB. LAMPUNG UTARA,3063.161143165902,"[511, 391]"
KAB. LAMPUNG SELATAN,2982.758288030729,"[511, 385]"
KAB. LAMPUNG BARAT,3130.88044346104,"[511, 338]"
KAB. LAMPUNG TIMUR,3031.317529470179,"[511, 405, 217]"
KAB. MESUJI,3038.425154653235,"[511, 510, 381, 341]"
KAB. PESAWARAN,3110.782706380817,"[511, 447, 446, 346]"
KAB. PESISIR BARAT,3139.9949732195228,"[511, 447, 446, 152]"
KAB. PRINGSEWU,3044.42948349137,"[511, 447, 446]"
KAB. TULANG BAWANG,3074.895829985957,"[511, 447, 446, 154]"
KAB. TULANG BAWANG BARAT,3022.7661287586434,"[511, 447, 446]"
KAB. TANGGAMUS,3119.6146746381482,"[511, 194]"
KAB. WAY KANAN,3095.9989984679178,"[511, 352, 353]"
