city,distance,through
KAB. ACEH BARAT,1805.166533592766,"[181, 180, 144, 77]"
KAB. ACEH BARAT DAYA,1847.1469425353462,"[181, 182, 139, 140]"
KAB. ACEH BESAR,1948.3944182658877,"[181, 180, 144, 77, 78, 4, 3]"
KAB. ACEH JAYA,1872.090944928789,"[181, 180, 144, 77, 78, 4]"
KAB. ACEH SELATAN,1621.6257631691506,"[181, 180, 144, 77, 78]"
KAB. ACEH SINGKIL,1516.2444243805558,"[181, 180, 104, 107, 72]"
KAB. ACEH TAMIANG,1706.0979158390787,"[181, 182, 194, 195, 86]"
KAB. ACEH TENGAH,1765.2634617432798,"[181, 180, 104, 107, 72]"
KAB. ACEH TENGGARA,1609.4102674282226,"[181, 180, 144, 145, 67]"
KAB. ACEH TIMUR,1744.6884391005146,"[181, 180, 144, 145, 67, 8]"
KAB. ACEH UTARA,1763.616060776717,"[181, 180, 104]"
KAB. BENER MERIAH,1798.4177247515017,"[181, 180, 144, 145, 42]"
KAB. BIREUEN,1826.0280954482907,"[181, 180, 104, 107, 44]"
KAB. GAYO LUES,1729.3813408882995,"[181, 182, 194, 99]"
KAB. NAGAN RAYA,1764.2498697197716,"[181, 180, 144, 145]"
KAB. PIDIE,1826.3745445749103,[181]
KAB. PIDIE JAYA,1853.9919567086788,"[181, 180, 144, 77]"
KAB. SIMEULUE,1715.723164885172,"[181, 159, 158, 112]"
KOTA BANDA ACEH,1998.5826776034974,"[181, 182, 39]"
KOTA LANGSA,1790.6661710712397,"[181, 182, 170, 169]"
KOTA LHOKSEUMAWE,1817.492097550565,"[181, 180, 104, 107, 44, 45]"
KOTA SABANG,1976.0091002334584,"[181, 180, 22]"
KOTA SUBULUSSALAM,1520.3273714455656,"[181, 180]"
KAB. ASAHAN,1569.3944241272197,"[181, 180, 144, 145, 63, 24]"
KAB. BATUBARA,1527.0618463268656,"[181, 180, 144, 145, 63]"
KAB. DAIRI,1533.5135492790887,"[181, 180, 144, 135]"
KAB. DELI SERDANG,1532.454044703689,"[181, 180, 104, 107]"
KAB. HUMBANG HASUNDUTAN,1514.5262192784016,"[181, 182, 194, 117]"
KAB. KARO,1559.9445833425004,"[181, 180, 144, 135, 25]"
KAB. LABUHANBATU,1364.6880405917896,"[181, 180, 144, 135, 84, 30]"
KAB. LABUHANBATU SELATAN,1313.0824751360499,"[181, 180, 144, 135, 84]"
KAB. LABUHANBATU UTARA,1346.6219700548797,"[181, 180]"
KAB. LANGKAT,1584.0978721132942,"[181, 180, 31]"
KAB. MANDAILING NATAL,1252.9610546434776,"[181, 180, 144]"
KAB. NIAS,1437.6927144307972,"[181, 180, 144, 33]"
KAB. NIAS BARAT,1433.288500539368,"[181, 180, 144]"
KAB. NIAS SELATAN,1479.1781795716788,"[181, 180, 144, 145, 66, 58]"
KAB. NIAS UTARA,1548.1920230557682,"[181, 159, 160, 57]"
KAB. PADANG LAWAS,1315.4902395130644,"[181, 182, 194, 195]"
KAB. PADANG LAWAS UTARA,1347.551848795195,"[181, 182]"
KAB. PAKPAK BHARAT,1529.9631602283482,"[181, 182]"
KAB. SAMOSIR,1472.2973095744526,"[181, 180, 144, 135]"
KAB. SERDANG BEDAGAI,1516.9596435597841,"[181, 180, 144, 145]"
KAB. SIMALUNGUN,1493.5278302554295,"[181, 180, 104, 107, 44]"
KAB. TAPANULI SELATAN,1337.777096504396,"[181, 180, 104, 107]"
KAB. TAPANULI TENGAH,1408.4213082310198,"[181, 180, 104, 107, 44]"
KAB. TAPANULI UTARA,1382.2119871588957,"[181, 180, 144, 77, 78]"
KAB. TOBA SAMOSIR,1421.8858593756001,"[181, 180, 144, 77, 78, 46]"
KOTA BINJAI,1578.650808543016,"[181, 180, 144, 135, 84, 52]"
KOTA GUNUNGSITOLI,1459.470272066109,"[181, 180, 144, 145, 66, 65]"
KOTA MEDAN,1588.2242042611488,"[181, 159, 102]"
KOTA PADANGSIDEMPUAN,1349.3616206479633,"[181, 180, 144, 145, 63]"
KOTA PEMATANGSIANTAR,1483.4475446538122,"[181, 180, 144, 135, 84]"
KOTA SIBOLGA,1388.992252703732,"[181, 180, 144, 77, 78]"
KOTA TANJUNGBALAI,1421.8015180211082,"[181, 180, 104, 107]"
KOTA TEBING TINGGI,1503.5382656926665,"[181, 180, 104, 107, 54]"
KAB. AGAM,1195.5451603256495,"[181, 159, 160, 57]"
KAB. DHARMASRAYA,1006.7303203385408,"[181, 159, 160]"
KAB. KEPULAUAN MENTAWAI,1212.372262059266,"[181, 180, 144, 145, 66]"
KAB. LIMA PULUH KOTA,1206.3285321799085,"[181, 180, 144, 135, 109]"
KAB. PADANG PARIAMAN,1230.842684548967,"[181, 159, 160, 131, 132, 133]"
