city,distance,through
KAB. ACEH BARAT,4517.973494364334,"[496, 474]"
KAB. ACEH BARAT DAYA,4520.840222801621,"[496, 356, 357]"
KAB. ACEH BESAR,4565.626993941427,"[496, 367, 3]"
KAB. ACEH JAYA,4489.323520604328,"[496, 367]"
KAB. ACEH SELATAN,4294.010122724203,"[496, 367]"
KAB. ACEH SINGKIL,4305.922650201817,"[496, 474, 371]"
KAB. ACEH TAMIANG,4328.631147235941,"[496, 474, 315]"
KAB. ACEH TENGAH,4446.093106908736,"[496, 474, 359]"
KAB. ACEH TENGGARA,4420.960715707455,"[496, 474, 371, 327, 328]"
KAB. ACEH TIMUR,4378.981399190693,"[496, 474, 315]"
KAB. ACEH UTARA,4445.571533279181,"[496, 474, 315, 9]"
KAB. BENER MERIAH,4473.432918846761,"[496, 333, 334, 42]"
KAB. BIREUEN,4510.962188414837,"[496, 333, 334, 94]"
KAB. GAYO LUES,4487.3171860825,"[496, 356, 357]"
KAB. NAGAN RAYA,4426.501854763938,"[496, 356, 29, 25]"
KAB. PIDIE,4535.793451411248,"[496, 356, 29, 16]"
KAB. PIDIE JAYA,4506.262054778667,"[496, 356, 29]"
KAB. SIMEULUE,4535.159912654224,"[496, 474, 54, 55]"
KOTA BANDA ACEH,4659.524473966048,"[496, 474, 315, 6]"
KOTA LANGSA,4352.2869952100245,"[496, 447, 446, 346, 347]"
KOTA LHOKSEUMAWE,4455.949271016603,"[496, 356, 29, 28]"
KOTA SABANG,4617.40375676448,"[496, 367, 3, 2]"
KOTA SUBULUSSALAM,4236.611735397826,"[496, 356, 29, 27]"
KAB. ASAHAN,4175.240101938521,"[496, 474, 371, 24]"
KAB. BATUBARA,4132.907524138167,"[496, 474, 371]"
KAB. DAIRI,4185.204150989608,"[496, 356, 29]"
KAB. DELI SERDANG,4253.6576107604515,"[496, 356, 29, 30]"
KAB. HUMBANG HASUNDUTAN,4144.016238858247,"[496, 356, 29]"
KAB. KARO,4193.624558780264,"[496, 356, 29]"
KAB. LABUHANBATU,3965.7127105680024,"[496, 356]"
KAB. LABUHANBATU SELATAN,4017.3182760237423,"[496, 356, 29]"
KAB. LABUHANBATU UTARA,4023.2331107986442,"[496, 367]"
KAB. LANGKAT,4179.486341570595,[496]
KAB. MANDAILING NATAL,4136.747052705426,"[496, 474, 359, 323]"
KAB. NIAS,4269.125292408147,"[496, 447]"
KAB. NIAS BARAT,4299.251412906993,"[496, 447, 34]"
KAB. NIAS SELATAN,4256.842315519378,"[496, 447, 446]"
KAB. NIAS UTARA,4310.303436409901,"[496, 333, 38]"
KAB. PADANG LAWAS,4040.640067581897,"[496, 333]"
KAB. PADANG LAWAS UTARA,4089.355092647955,"[496, 333, 334, 321, 84]"
KAB. PAKPAK BHARAT,4268.299616741129,"[496, 474, 359, 360]"
KAB. SAMOSIR,4276.204330486281,"[496, 333, 334, 42]"
KAB. SERDANG BEDAGAI,4191.974837655043,"[496, 333, 334]"
KAB. SIMALUNGUN,4169.207343410664,"[496, 333, 334, 321, 320]"
KAB. TAPANULI SELATAN,4127.38902659394,"[496, 447, 446, 346, 347]"
KAB. TAPANULI TENGAH,4194.9318406850225,"[496, 78, 46]"
KAB. TAPANULI UTARA,4145.937456533508,"[496, 78]"
KAB. TOBA SAMOSIR,4185.611328750213,"[496, 78, 46]"
KOTA BINJAI,4268.84934244824,"[496, 447, 52]"
KOTA GUNUNGSITOLI,4304.343647987847,"[496, 333, 332, 77]"
KOTA MEDAN,4312.652917781956,"[496, 474, 371, 24, 23]"
KOTA PADANGSIDEMPUAN,4155.361091277237,"[496, 397, 335]"
KOTA PEMATANGSIANTAR,4173.646078559036,"[496, 447]"
KOTA SIBOLGA,4152.717722078345,"[496, 78]"
KOTA TANJUNGBALAI,4097.554068607552,"[496, 474]"
KOTA TEBING TINGGI,4179.29081627911,"[496, 474, 54]"
KAB. AGAM,3995.946272715826,"[496, 447, 57]"
KAB. DHARMASRAYA,3807.1314327287173,"[496, 447]"
KAB. KEPULAUAN MENTAWAI,4108.125044221019,"[496, 333, 332, 124]"
KAB. LIMA PULUH KOTA,3988.161067170512,"[496, 333, 334, 321, 322]"
KAB. PADANG PARIAMAN,4066.2634714966634,"[496, 333, 334, 321, 322, 59]"
KAB. PASAMAN,4031.3487840584767,"[496, 333, 334, 321, 322, 59]"
KAB. PASAMAN BARAT,4045.313362156702,"[496, 447]"
KAB. PESISIR SELATAN,3918.8562443317105,"[496, 447, 446, 346, 345]"
KAB. SIJUNJUNG,3941.268035722867,"[496, 333, 332, 331, 103, 65]"
KAB. SOLOK,3902.343741938561,"[496, 333, 332, 331, 103]"
KAB. SOLOK SELATAN,3862.4054937639203,"[496, 333, 332, 124]"
KAB. TANAH DATAR,3966.1035799337947,"[496, 333, 332, 355, 74, 73]"
KOTA BUKITTINGGI,3993.546818363029,"[496, 397]"
KOTA PADANG,3983.6202091007376,"[496, 397, 106, 107]"
KOTA PADANGPANJANG,4017.1806894162487,"[496, 447, 446, 71]"
KOTA PARIAMAN,3981.816987495347,"[496, 447, 446]"
KOTA PAYAKUMBUH,3988.803637735695,"[496, 397, 106, 107]"
KOTA SAWAHLUNTO,3937.3976111786,"[496, 333, 332, 355, 74]"
KOTA SOLOK,3922.9535393183232,"[496, 333, 332, 355]"
KAB. BENGKALIS,4008.886506218175,"[496, 474, 341, 76]"
KAB. INDRAGIRI HILIR,3777.7900906450013,"[496, 474, 341]"
KAB. INDRAGIRI HULU,3741.7973777577336,"[496, 333, 332]"
KAB. KAMPAR,3834.794395784259,[496]
KAB. KEPULAUAN MERANTI,3848.654284511046,"[496, 356, 357]"
KAB. KUANTAN SINGINGI,3900.6177682055304,"[496, 474, 359]"
KAB. PELALAWAN,3800.6556854322384,"[496, 397]"
KAB. ROKAN HILIR,4011.7267357970964,"[496, 333, 332, 352, 353, 87, 88]"
KAB. ROKAN HULU,3973.8860811332315,"[496, 447]"
KAB. SIAK,3834.2346548218466,"[496, 333, 334, 321]"
KOTA DUMAI,3919.22757354469,"[496, 333, 332, 331]"
KOTA PEKANBARU,3852.269801837684,"[496, 447]"
KAB. BINTAN,3578.1344818011426,"[496, 333, 332, 352, 353]"
KAB. KARIMUN,3706.17768032722,"[496, 333, 332, 352, 353, 87]"
KAB. KEPULAUAN ANAMBAS,3489.384499635533,"[496, 447]"
KAB. LINGGA,3621.755474211939,"[496, 397, 335, 336, 342]"
KAB. NATUNA,3183.0925525009748,"[496, 474]"
KOTA BATAM,3617.431264161909,"[496, 333, 334, 94, 93]"
KOTA TANJUNG PINANG,3565.78336409792,"[496, 333, 334, 94]"
PULAU TAMBELAN KAB. BINTAN,3247.082781946631,"[496, 333, 334]"
PEKAJANG KAB. LINGGA,3574.997380046828,"[496, 333, 334, 94]"
PULAU SERASAN KAB. NATUNA,3150.189948457697,"[496, 474, 359, 351]"
PULAU MIDAI KAB. NATUNA,3301.6065610533133,"[496, 474, 359, 351, 96]"
PULAU LAUT KAB. NATUNA,3227.683812027541,"[496, 474]"
KAB. BATANGHARI,3873.8394191672232,"[496, 404, 405]"
