city,distance,through
KAB. ACEH BARAT,4200.343012354476,"[512, 511, 510, 509, 359, 323]"
KAB. ACEH BARAT DAYA,4206.672355496234,"[512, 511, 510, 509, 359, 358, 357]"
KAB. ACEH BESAR,4364.855515759238,"[512, 511, 385]"
KAB. ACEH JAYA,4329.92692570221,"[512, 511, 447, 89]"
KAB. ACEH SELATAN,4094.1487384150746,"[512, 511, 447, 446, 346, 347]"
KAB. ACEH SINGKIL,4077.9738103953696,"[512, 511, 510, 441, 442, 443]"
KAB. ACEH TAMIANG,4081.995835682578,"[512, 511, 391]"
KAB. ACEH TENGAH,4116.280942862803,"[512, 511, 510, 509, 359]"
KAB. ACEH TENGGARA,3983.9216107852294,"[512, 511]"
KAB. ACEH TIMUR,4108.911392130869,"[512, 511, 447, 446, 346, 345]"
KAB. ACEH UTARA,4162.227944169164,"[512, 511, 447, 89]"
KAB. BENER MERIAH,4153.283159693003,"[512, 511, 510, 43, 42]"
KAB. BIREUEN,4204.278333266624,"[512, 511, 510, 43, 42, 11]"
KAB. GAYO LUES,4115.664606531449,"[512, 511, 385]"
KAB. NAGAN RAYA,4208.820384417995,"[512, 511, 510, 509, 23, 24, 25]"
KAB. PIDIE,4246.802512915146,"[512, 511, 510, 441, 16]"
KAB. PIDIE JAYA,4217.271116282565,"[512, 511, 510, 441]"
KAB. SIMEULUE,4224.424202876691,"[512, 511, 459, 396]"
KOTA BANDA ACEH,4380.202939810203,"[512, 511, 459, 351, 96, 97, 19]"
KOTA LANGSA,4063.043284244097,"[512, 511, 459, 351, 96, 97]"
KOTA LHOKSEUMAWE,4135.597811781381,"[512, 511, 510, 427]"
KOTA SABANG,4351.745351550059,"[512, 511, 510, 427, 20]"
KOTA SUBULUSSALAM,3964.7781936374695,"[512, 511, 27]"
KAB. ASAHAN,3783.829931429977,"[512, 511, 510, 509]"
KAB. BATUBARA,3826.162509230331,"[512, 511, 510, 509, 23]"
KAB. DAIRI,3967.5226806436644,"[512, 511, 510, 509, 23, 24]"
KAB. DELI SERDANG,3981.651569677641,"[512, 511, 459, 351, 30]"
KAB. HUMBANG HASUNDUTAN,3872.18269709789,"[512, 511]"
KAB. KARO,3978.582135056987,"[512, 511, 27]"
KAB. LABUHANBATU,3796.9178003966717,"[512, 511, 459, 351, 30]"
KAB. LABUHANBATU SELATAN,3745.3122349409323,"[512, 511, 459, 351]"
KAB. LABUHANBATU UTARA,3797.0847548574734,"[512, 511, 447, 446]"
KAB. LANGKAT,4034.5606569158876,"[512, 511, 447, 446, 31]"
KAB. MANDAILING NATAL,3806.934888659493,"[512, 511, 510, 509, 359, 323]"
KAB. NIAS,3917.159636477666,"[512, 35]"
KAB. NIAS BARAT,3887.03351597882,[512]
KAB. NIAS SELATAN,3938.271264118685,"[512, 35]"
KAB. NIAS UTARA,4016.1492639795265,"[512, 511, 510, 38]"
KAB. PADANG LAWAS,3746.485895151522,"[512, 511, 510]"
KAB. PADANG LAWAS UTARA,3800.7275865724964,"[512, 511, 459, 321, 84]"
KAB. PAKPAK BHARAT,3938.487452695196,"[512, 511, 510, 509, 359, 360]"
KAB. SAMOSIR,3956.0545713325223,"[512, 511, 510, 43, 42]"
