city,distance,through
KAB. ACEH BARAT,2575.9401375726134,"[369, 368, 324, 323]"
KAB. ACEH BARAT DAYA,2695.6319342057814,"[369, 368, 324, 323, 0]"
KAB. ACEH BESAR,2522.1768464900333,"[369, 370]"
KAB. ACEH JAYA,2477.6506502101083,"[369, 368, 367]"
KAB. ACEH SELATAN,2282.337252329984,"[369, 368, 367]"
KAB. ACEH SINGKIL,2403.0079772705653,"[369, 368, 367, 4]"
KAB. ACEH TAMIANG,2463.3698354766166,"[369, 368, 324, 325]"
KAB. ACEH TENGAH,2550.0330803744027,"[369, 368, 367, 31, 30, 26]"
KAB. ACEH TENGGARA,2431.705086351065,"[369, 368, 10, 9]"
KAB. ACEH TIMUR,2296.426914678773,"[369, 368, 10]"
KAB. ACEH UTARA,2229.8367805902853,"[369, 368]"
KAB. BENER MERIAH,2268.9579822897863,"[369, 368, 10]"
KAB. BIREUEN,2319.953155863408,"[369, 368, 10, 11]"
KAB. GAYO LUES,2469.1603165633,"[369, 368, 10, 11, 12]"
KAB. NAGAN RAYA,2566.255153648319,"[369, 368, 10, 11, 12, 13]"
KAB. PIDIE,2647.253921840546,"[369, 52, 53, 16]"
KAB. PIDIE JAYA,2617.722525207965,"[369, 52, 53]"
KAB. SIMEULUE,2534.7526970885556,"[369, 61, 59]"
KOTA BANDA ACEH,2777.229366611672,"[369, 368, 324, 323, 96, 97, 19]"
KOTA LANGSA,2460.069711045566,"[369, 368, 324, 323, 96, 97]"
KOTA LHOKSEUMAWE,2581.5409325259425,"[369, 368, 324, 323, 96, 97, 19]"
KOTA SABANG,2573.953609313087,"[369, 370, 2]"
KOTA SUBULUSSALAM,2399.4390263767823,"[369, 368, 367, 31, 30, 29, 27]"
KAB. ASAHAN,2484.3058842062464,"[369, 368, 359, 358, 357]"
KAB. BATUBARA,2473.8824766446214,"[369, 368, 367, 344, 93, 92]"
KAB. DAIRI,2348.0314419685646,"[369, 368, 367, 31, 30, 29]"
KAB. DELI SERDANG,2313.273770827928,"[369, 368, 367, 31, 30]"
KAB. HUMBANG HASUNDUTAN,2306.843529837203,"[369, 368, 367, 31, 30, 29]"
KAB. KARO,2328.6476090508495,"[369, 368, 367, 31, 30]"
KAB. LABUHANBATU,2128.5400015469586,"[369, 368, 367, 31, 30]"
KAB. LABUHANBATU SELATAN,2076.934436091219,"[369, 368, 367, 31]"
KAB. LABUHANBATU UTARA,2011.5602404044246,"[369, 368, 367]"
KAB. LANGKAT,2249.036142462839,"[369, 368, 367, 31]"
KAB. MANDAILING NATAL,2182.5320138776306,"[369, 368, 324, 323]"
KAB. NIAS,2206.074805880621,"[369, 61, 62]"
KAB. NIAS BARAT,2236.200926379467,"[369, 61, 62, 34]"
KAB. NIAS SELATAN,2287.438674519332,"[369, 61, 62, 34, 35]"
KAB. NIAS UTARA,2336.612237742914,"[369, 57]"
KAB. PADANG LAWAS,2221.2830098192535,"[369, 368, 43, 39]"
KAB. PADANG LAWAS UTARA,2166.713524816778,"[369, 368, 43]"
KAB. PAKPAK BHARAT,2127.5424496285377,"[369, 368, 41]"
KAB. SAMOSIR,2062.872837458577,"[369, 368]"
KAB. SERDANG BEDAGAI,2052.746233751433,"[369, 368, 43]"
KAB. SIMALUNGUN,2005.860168138646,"[369, 368]"
KAB. TAPANULI SELATAN,2161.6109018896796,"[369, 368, 43]"
KAB. TAPANULI TENGAH,2232.2551136163033,"[369, 368, 43, 44]"
