city,distance,through
KAB. ACEH BARAT,2321.180869629006,"[338, 142, 141, 140, 1]"
KAB. ACEH BARAT DAYA,2201.489072995838,"[338, 142, 141, 140]"
KAB. ACEH BESAR,2451.7839151993685,"[338, 142, 141, 140, 1]"
KAB. ACEH JAYA,2424.981010222641,"[338, 67]"
KAB. ACEH SELATAN,2198.6007164399875,"[338, 142, 141, 73, 72, 5]"
KAB. ACEH SINGKIL,2077.9299914994062,"[338, 142, 141, 73, 72]"
KAB. ACEH TAMIANG,2144.2099558647633,"[338, 142, 86]"
KAB. ACEH TENGAH,2271.281180155717,"[338, 321, 30, 26]"
KAB. ACEH TENGGARA,2152.105036269308,"[338, 67]"
KAB. ACEH TIMUR,2163.4025808088845,"[338, 353, 87, 88]"
KAB. ACEH UTARA,2188.2235722966907,"[338, 353, 87]"
KAB. BENER MERIAH,2227.3447739961916,"[338, 353, 87, 10]"
KAB. BIREUEN,2278.3399475698134,"[338, 353, 87, 10, 11]"
KAB. GAYO LUES,2270.821480604147,"[338, 339, 137]"
KAB. NAGAN RAYA,2262.003650866044,"[338, 142, 86, 25]"
KAB. PIDIE,2322.8886357261167,"[338, 16]"
KAB. PIDIE JAYA,2293.357239093536,[338]
KAB. SIMEULUE,2301.9803876257847,"[338, 353, 87, 88, 59]"
KOTA BANDA ACEH,2404.3835626897426,"[338, 353, 87]"
KOTA LANGSA,2285.5728173803964,"[338, 321, 322, 323, 96, 97]"
KOTA LHOKSEUMAWE,2309.461693391465,"[338, 142, 86, 25, 28]"
KOTA SABANG,2500.810940132502,"[338, 142, 143, 22]"
KOTA SUBULUSSALAM,2045.1292113446088,"[338, 142, 143]"
KAB. ASAHAN,1997.5620984211973,"[338, 339, 92, 24]"
KAB. BATUBARA,1955.2295206208432,"[338, 339, 92]"
KAB. DAIRI,2020.7059470917138,"[338, 142, 86]"
KAB. DELI SERDANG,2034.521870609242,"[338, 321, 30]"
KAB. HUMBANG HASUNDUTAN,2022.977267952713,"[338, 321, 84, 85]"
KAB. KARO,2047.1369811551256,"[338, 142, 86, 25]"
KAB. LABUHANBATU,1849.788101328273,"[338, 321, 30]"
KAB. LABUHANBATU SELATAN,1798.1825358725332,"[338, 321]"
KAB. LABUHANBATU UTARA,1863.556731559328,"[338, 321, 30]"
KAB. LANGKAT,2101.0326336177422,"[338, 321, 30, 31]"
KAB. MANDAILING NATAL,1845.4676374576643,"[338, 353, 87, 88]"
KAB. NIAS,2021.955948201463,"[338, 353, 87]"
KAB. NIAS BARAT,2052.082068700309,"[338, 353, 87, 34]"
KAB. NIAS SELATAN,2053.9563737573962,"[338, 66, 58]"
KAB. NIAS UTARA,2039.3670842797424,"[338, 142, 57]"
KAB. PADANG LAWAS,1842.7232092715174,"[338, 39]"
KAB. PADANG LAWAS UTARA,1788.1537242690415,[338]
KAB. PAKPAK BHARAT,1976.6122939153381,"[338, 39]"
KAB. SAMOSIR,2035.0989231506846,"[338, 142, 141, 73, 72]"
KAB. SERDANG BEDAGAI,1980.1975991908143,"[338, 321, 320, 43]"
KAB. SIMALUNGUN,1933.3115335780271,"[338, 321, 320]"
KAB. TAPANULI SELATAN,1853.845800080987,"[338, 353, 87]"
KAB. TAPANULI TENGAH,1910.39833332933,"[338, 46]"
KAB. TAPANULI UTARA,1861.4039491778155,[338]
KAB. TOBA SAMOSIR,1901.07782139452,"[338, 46]"
KOTA BINJAI,2051.8964836081273,"[338, 321, 320, 43, 52]"
KOTA GUNUNGSITOLI,2034.2484662518266,"[338, 66, 65]"
KOTA MEDAN,2134.974914264632,"[338, 339, 92, 24, 23]"
KOTA PADANGSIDEMPUAN,1905.2065148075012,"[338, 142, 141, 73, 74]"
KOTA PEMATANGSIANTAR,1956.6932197189235,"[338, 321, 320, 43]"
KOTA SIBOLGA,1973.4933762242579,"[338, 66]"
KOTA TANJUNGBALAI,1988.4848549469107,"[338, 142, 141, 140, 139, 138]"
KOTA TEBING TINGGI,1948.9199931661567,"[338, 321]"
KAB. AGAM,1686.7202215496236,"[338, 142, 57]"
KAB. DHARMASRAYA,1497.905381562515,"[338, 142]"
KAB. KEPULAUAN MENTAWAI,1787.1504562449834,"[338, 66]"
KAB. LIMA PULUH KOTA,1725.4887725504623,"[338, 353, 87, 88]"
KAB. PADANG PARIAMAN,1803.5911768766136,"[338, 353, 87, 88, 59]"
KAB. PASAMAN,1768.6764894384269,"[338, 353, 87, 88, 59]"
KAB. PASAMAN BARAT,1826.412421304556,"[338, 353, 87, 88, 59]"
KAB. PESISIR SELATAN,1676.984345375844,"[338, 66, 65]"
KAB. SIJUNJUNG,1631.6340042562392,"[338, 66, 65]"
KAB. SOLOK,1592.709710471933,"[338, 66]"
KAB. SOLOK SELATAN,1528.376851397281,[338]
KAB. TANAH DATAR,1623.2670047573542,[338]
KOTA BUKITTINGGI,1652.139836179275,"[338, 67]"
KOTA PADANG,1723.7585007334806,"[338, 67, 68]"
KOTA PADANGPANJANG,1708.955755090251,"[338, 142, 141, 73, 71]"
KOTA PARIAMAN,1673.592053169349,"[338, 142, 141, 73]"
KOTA PAYAKUMBUH,1657.326890215692,"[338, 142, 141, 73]"
KOTA SAWAHLUNTO,1605.5681012960604,"[338, 142, 141]"
KOTA SOLOK,1620.0121731563372,"[338, 142, 141, 73]"
KAB. BENGKALIS,1760.7256981192065,"[338, 339, 340, 341, 76]"
KAB. INDRAGIRI HILIR,1529.629282546033,"[338, 339, 340, 341]"
KAB. INDRAGIRI HULU,1591.5830231423217,"[338, 339, 340]"
KAB. KAMPAR,1693.7367566803896,"[338, 339, 137]"
KAB. KEPULAUAN MERANTI,1867.7925334511594,"[338, 142, 144, 145]"
KAB. KUANTAN SINGINGI,1724.1490502890017,"[338, 142, 141, 73, 74]"
KAB. PELALAWAN,1654.8180427968211,"[338, 142, 57]"
