city,distance,through
KAB. ACEH BARAT,1117.6798890643604,"[106, 107, 62]"
KAB. ACEH BARAT DAYA,1237.3716856975286,"[106, 107, 62, 0]"
KAB. ACEH BESAR,1255.4196804904354,"[106, 107, 72, 5, 4, 3]"
KAB. ACEH JAYA,1179.1162071533367,"[106, 107, 72, 5, 4]"
KAB. ACEH SELATAN,928.6510253936984,"[106, 107, 72, 5]"
KAB. ACEH SINGKIL,807.980300453117,"[106, 107, 72]"
KAB. ACEH TAMIANG,1016.8640616437667,"[106, 107, 72, 5]"
KAB. ACEH TENGAH,1056.999337815841,"[106, 107, 72]"
KAB. ACEH TENGGARA,996.679988356183,"[106, 107, 72, 73, 67]"
KAB. ACEH TIMUR,1131.958160028475,"[106, 107, 72, 73, 67, 8]"
KAB. ACEH UTARA,1147.6457912513192,"[106, 71, 11]"
KAB. BENER MERIAH,1108.5245895518185,"[106, 71]"
KAB. BIREUEN,1117.7639715208518,"[106, 107, 44]"
KAB. GAYO LUES,1032.6306127335695,"[106, 107, 69, 70]"
KAB. NAGAN RAYA,1129.7254498185882,"[106, 107, 69, 70, 13]"
KAB. PIDIE,1192.2407839219734,"[106, 107, 26, 16]"
KAB. PIDIE JAYA,1162.709387289393,"[106, 107, 26]"
KAB. SIMEULUE,1151.143238140342,"[106, 107, 54, 55]"
KOTA BANDA ACEH,1347.7573883738744,"[106, 107, 72, 5, 6]"
KOTA LANGSA,1230.6991951035025,"[106, 107, 44, 45, 20]"
KOTA LHOKSEUMAWE,1109.2279736231258,"[106, 107, 44, 45]"
KOTA SABANG,1307.196443313489,"[106, 107, 72, 5, 4, 3, 2]"
KOTA SUBULUSSALAM,939.7405025989931,"[106, 107, 69, 83]"
KAB. ASAHAN,1086.3130621374994,"[106, 107, 26, 25, 24]"
KAB. BATUBARA,1043.9804843371453,"[106, 107, 26, 25]"
KAB. DAIRI,902.6203129238119,"[106, 107, 26]"
KAB. DELI SERDANG,824.1899207762502,"[106, 107]"
KAB. HUMBANG HASUNDUTAN,927.7215353053816,"[106, 107, 69, 70, 30, 29]"
KAB. KARO,897.2641338896221,"[106, 107, 54, 55]"
KAB. LABUHANBATU,749.4180070151375,"[106, 107, 69, 70, 30]"
KAB. LABUHANBATU SELATAN,697.8124415593978,"[106, 107, 69, 70]"
KAB. LABUHANBATU UTARA,763.1866372461926,"[106, 107, 69, 70, 30]"
KAB. LANGKAT,928.5948894838791,"[106, 107, 44, 45]"
KAB. MANDAILING NATAL,868.3333292431687,"[106, 107, 88]"
KAB. NIAS,739.8901380307118,"[106, 107, 62]"
KAB. NIAS BARAT,770.0162585295578,"[106, 107, 62, 34]"
KAB. NIAS SELATAN,821.2540066694227,"[106, 107, 62, 34, 35]"
KAB. NIAS UTARA,904.2935544527663,"[106, 107, 62, 34, 35, 36]"
KAB. PADANG LAWAS,891.349921524564,"[106, 107, 69, 70, 30, 29]"
KAB. PADANG LAWAS UTARA,915.1222106884475,"[106, 71, 84]"
KAB. PAKPAK BHARAT,829.8188442743564,"[106, 107, 72, 41]"
KAB. SAMOSIR,765.1492321043957,"[106, 107, 72]"
KAB. SERDANG BEDAGAI,832.1497719407778,"[106, 107, 44, 43]"
KAB. SIMALUNGUN,785.2637063279906,"[106, 107, 44]"
KAB. TAPANULI SELATAN,629.512972576957,"[106, 107]"
KAB. TAPANULI TENGAH,700.1571843035807,"[106, 107, 44]"
KAB. TAPANULI UTARA,749.1515684550951,"[106, 107, 44, 45]"
