city,distance,through
KAB. ACEH BARAT,2375.9361443009084,"[339, 107, 62]"
KAB. ACEH BARAT DAYA,2277.14246960681,"[339, 340, 139, 140]"
KAB. ACEH BESAR,2472.591015025934,"[339, 137, 78, 4, 3]"
KAB. ACEH JAYA,2396.2875416888355,"[339, 137, 78, 4]"
KAB. ACEH SELATAN,2145.8223599291973,"[339, 137, 78]"
KAB. ACEH SINGKIL,2066.2365556896652,"[339, 107, 72]"
KAB. ACEH TAMIANG,2147.7914080037067,"[339, 137, 86]"
KAB. ACEH TENGAH,2237.7067731039815,"[339, 328, 8]"
KAB. ACEH TENGGARA,2078.8987476224,"[339, 328]"
KAB. ACEH TIMUR,2214.176919294692,"[339, 328, 8]"
KAB. ACEH UTARA,2238.593578965932,"[339, 328, 11]"
KAB. BENER MERIAH,2199.472377266431,"[339, 328]"
KAB. BIREUEN,2232.443386343173,"[339, 94]"
KAB. GAYO LUES,2172.3502470934504,"[339, 137]"
KAB. NAGAN RAYA,2239.4161622978104,"[339, 92, 24, 25]"
KAB. PIDIE,2357.0136067518984,"[339, 94, 30]"
KAB. PIDIE JAYA,2343.2669501625674,"[339, 94, 30, 26]"
KAB. SIMEULUE,2333.9971365454126,"[339, 137, 138, 54, 55]"
KOTA BANDA ACEH,2478.6847347338144,"[339, 137, 86, 6]"
KOTA LANGSA,2384.044050891093,"[339, 338, 321, 322, 323, 96, 97]"
KOTA LHOKSEUMAWE,2282.446034108686,"[339, 94, 30, 28]"
KOTA SABANG,2498.593573877364,"[339, 94, 30, 28, 20]"
KOTA SUBULUSSALAM,2043.1313462565793,"[339, 328]"
KAB. ASAHAN,1899.0908649105008,"[339, 92, 24]"
KAB. BATUBARA,1856.7582871101467,"[339, 92]"
KAB. DAIRI,1998.11845852348,"[339, 92, 24]"
KAB. DELI SERDANG,2004.7474836494248,"[339, 94, 30]"
KAB. HUMBANG HASUNDUTAN,1991.5919009207014,"[339, 137, 29]"
KAB. KARO,2020.1213218723467,"[339, 94, 30]"
KAB. LABUHANBATU,1813.2883726304572,"[339, 137]"
KAB. LABUHANBATU SELATAN,1768.4081489127161,"[339, 94]"
KAB. LABUHANBATU UTARA,1833.782344599511,"[339, 94, 30]"
KAB. LANGKAT,2071.258246657925,"[339, 94, 30, 31]"
KAB. MANDAILING NATAL,1943.9388709683603,"[339, 338, 353, 87, 88]"
KAB. NIAS,1998.14639326726,"[339, 107, 62]"
KAB. NIAS BARAT,2028.2725137661062,"[339, 107, 62, 34]"
KAB. NIAS SELATAN,2067.4036381362716,"[339, 137, 66, 58]"
KAB. NIAS UTARA,2072.707723892332,"[339, 340]"
KAB. PADANG LAWAS,1808.4529366160157,"[339, 340]"
KAB. PADANG LAWAS UTARA,1863.0224216184915,"[339, 340, 38]"
KAB. PAKPAK BHARAT,2051.480991264788,"[339, 340, 38, 39]"
KAB. SAMOSIR,2023.4054873409439,"[339, 107, 72]"
KAB. SERDANG BEDAGAI,1992.5794179410182,"[339, 328, 52, 43]"
KAB. SIMALUNGUN,1945.693352328231,"[339, 328, 52]"
KAB. TAPANULI SELATAN,1878.2880088536847,"[339, 328]"
KAB. TAPANULI TENGAH,1948.371744104402,"[339, 137, 138, 46]"
KAB. TAPANULI UTARA,1899.3773599528877,"[339, 137, 138]"
KAB. TOBA SAMOSIR,1939.0512321695921,"[339, 137, 138, 46]"
KOTA BINJAI,2017.5149300765383,"[339, 328, 52]"
KOTA GUNUNGSITOLI,2030.5305069034732,"[339, 137, 138, 103, 65]"
KOTA MEDAN,2036.5036807539354,"[339, 92, 24, 23]"
KOTA PADANGSIDEMPUAN,1997.0306568370236,"[339, 107, 72, 73, 74]"
KOTA PEMATANGSIANTAR,1922.3116661873346,"[339, 328]"
