city,distance,through
KAB. ACEH BARAT,1930.525490014164,"[221, 153, 123, 62]"
KAB. ACEH BARAT DAYA,1904.0418328343703,"[221, 168, 167, 166, 165]"
KAB. ACEH BESAR,2044.1871468302816,"[221, 153]"
KAB. ACEH JAYA,1979.8431947948213,"[221, 153]"
KAB. ACEH SELATAN,1736.2360415464245,"[221, 153, 5]"
KAB. ACEH SINGKIL,1615.5653166058432,"[221, 153]"
KAB. ACEH TAMIANG,1788.584930038031,"[221, 153, 123, 124, 86]"
KAB. ACEH TENGAH,1870.3383935387012,"[221, 153, 67, 8]"
KAB. ACEH TENGGARA,1711.5303680571196,"[221, 153, 67]"
KAB. ACEH TIMUR,1846.8085397294117,"[221, 153, 67, 8]"
KAB. ACEH UTARA,1913.3986738178994,"[221, 153, 67, 8, 9]"
KAB. BENER MERIAH,1924.0126699199036,"[221, 134, 133]"
KAB. BIREUEN,1963.6774664834045,"[221, 153, 123, 124, 44]"
KAB. GAYO LUES,1841.8790634972147,"[221, 111, 112]"
KAB. NAGAN RAYA,1881.224368765397,"[221, 153, 120, 25]"
KAB. PIDIE,2003.2497308495804,"[221, 153, 120, 25, 14]"
KAB. PIDIE JAYA,2024.5859944406923,"[221, 111, 74]"
KAB. SIMEULUE,1820.9908818942763,"[221, 111, 112]"
KOTA BANDA ACEH,2113.1435291804796,"[221, 168, 149]"
KOTA LANGSA,1824.310075833421,"[221, 168, 169]"
KOTA LHOKSEUMAWE,1928.6824112908175,"[221, 153, 120, 25, 28]"
KOTA SABANG,2095.963909653335,"[221, 153, 2]"
KOTA SUBULUSSALAM,1683.0936702944527,"[221, 168, 136]"
KAB. ASAHAN,1708.5398283938785,"[221, 152, 157, 24]"
KAB. BATUBARA,1666.2072505935243,"[221, 152, 157]"
KAB. DAIRI,1639.9266649910667,"[221, 153, 120]"
KAB. DELI SERDANG,1718.3570571386283,"[221, 153, 120, 25]"
KAB. HUMBANG HASUNDUTAN,1673.466810258396,"[221, 153, 123, 124, 86, 85]"
KAB. KARO,1666.3576990544784,"[221, 153, 120, 25]"
KAB. LABUHANBATU,1549.7453557182514,"[221, 153, 123, 122, 84, 30]"
KAB. LABUHANBATU SELATAN,1498.1397902625117,"[221, 153, 123, 122, 84]"
KAB. LABUHANBATU UTARA,1556.6921517505168,"[221, 152, 151]"
KAB. LANGKAT,1699.7140258263144,"[221, 153]"
KAB. MANDAILING NATAL,1466.5995571041162,"[221, 168, 169, 170]"
KAB. NIAS,1552.7357389805154,"[221, 153, 123, 62]"
KAB. NIAS BARAT,1582.8618594793616,"[221, 153, 123, 62, 34]"
KAB. NIAS SELATAN,1553.4721637929888,"[221, 153, 58]"
