city,distance,through
KAB. ACEH BARAT,4357.895192785943,"[514, 515, 440]"
KAB. ACEH BARAT DAYA,4344.950144239379,"[514, 411, 412, 363, 357]"
KAB. ACEH BESAR,4482.063366108914,"[514, 385]"
KAB. ACEH JAYA,4406.664700575951,"[514, 367]"
KAB. ACEH SELATAN,4206.322229157288,"[514, 513, 325]"
KAB. ACEH SINGKIL,4148.60269504248,"[514, 410]"
KAB. ACEH TAMIANG,4164.743513988951,"[514, 513, 325]"
KAB. ACEH TENGAH,4286.669509904985,"[514, 8]"
KAB. ACEH TENGGARA,4127.861484423403,[514]
KAB. ACEH TIMUR,4186.639108021235,"[514, 513, 375]"
KAB. ACEH UTARA,4253.229242109723,"[514, 513, 375, 9]"
KAB. BENER MERIAH,4262.609822231065,"[514, 513, 375]"
KAB. BIREUEN,4283.50689558437,"[514, 430]"
KAB. GAYO LUES,4232.872456881125,"[514, 385]"
KAB. NAGAN RAYA,4324.863356672551,"[514, 399, 362]"
KAB. PIDIE,4402.750342224756,"[514, 515, 441, 16]"
KAB. PIDIE JAYA,4373.218945592176,"[514, 515, 441]"
KAB. SIMEULUE,4368.786722009955,"[514, 513, 325, 55]"
KOTA BANDA ACEH,4450.375697082936,"[514, 430, 96, 97, 19]"
KOTA LANGSA,4133.21604151683,"[514, 430, 96, 97]"
KOTA LHOKSEUMAWE,4254.687262997207,"[514, 430, 96, 97, 19]"
KOTA SABANG,4448.761685402596,"[514, 430]"
KOTA SUBULUSSALAM,4099.16990116504,"[514, 430, 23]"
KAB. ASAHAN,3907.9554962733846,"[514, 430]"
KAB. BATUBARA,3950.2880740737387,"[514, 430, 23]"
KAB. DAIRI,4088.4698736302003,"[514, 430, 96, 29]"
KAB. DELI SERDANG,4091.5885214712225,"[514, 410]"
KAB. HUMBANG HASUNDUTAN,4043.6618619904953,"[514, 513, 511]"
KAB. KARO,4096.890281420856,"[514, 430, 96, 29]"
KAB. LABUHANBATU,3868.978433208594,"[514, 430, 96]"
KAB. LABUHANBATU SELATAN,3873.482653824286,"[514, 446, 346, 345, 321]"
KAB. LABUHANBATU UTARA,3917.0770772800624,"[514, 446]"
KAB. LANGKAT,4154.552979338477,"[514, 446, 31]"
KAB. MANDAILING NATAL,3942.2130011245035,"[514, 513, 325, 88]"
KAB. NIAS,4105.767960054305,"[514, 430, 62]"
KAB. NIAS BARAT,4135.894080553151,"[514, 430, 62, 34]"
KAB. NIAS SELATAN,4091.5925019942943,"[514, 446]"
KAB. NIAS UTARA,4174.632049777638,"[514, 446, 36]"
KAB. PADANG LAWAS,3917.9650600441273,"[514, 513, 511, 510]"
KAB. PADANG LAWAS UTARA,3923.7150253054974,"[514, 399, 362]"
KAB. PAKPAK BHARAT,4101.163737299677,"[514, 513, 325, 88]"
KAB. SAMOSIR,4084.71142829608,"[514, 320, 43, 42]"
KAB. SERDANG BEDAGAI,4000.481935464843,"[514, 320, 43]"
KAB. SIMALUNGUN,3953.595869852056,"[514, 320]"
KAB. TAPANULI SELATAN,3928.0643297943056,"[514, 430, 79]"
KAB. TAPANULI TENGAH,3998.7085415209294,"[514, 430, 79, 44]"
KAB. TAPANULI UTARA,4023.360306571134,"[514, 410, 409, 408, 319]"
KAB. TOBA SAMOSIR,4063.0341787878388,"[514, 410, 409, 408, 319, 46]"
KOTA BINJAI,4072.180819882156,"[514, 320, 43, 52]"
KOTA GUNUNGSITOLI,4169.265335932595,"[514, 430, 62, 34, 35]"
KOTA MEDAN,4045.368312116819,"[514, 430, 23]"
KOTA PADANGSIDEMPUAN,4040.569892074373,"[514, 73, 74]"
KOTA PEMATANGSIANTAR,3976.977555992952,"[514, 320, 43]"
KOTA SIBOLGA,4050.5045156772626,"[514, 430, 79, 78]"
KOTA TANJUNGBALAI,3944.879163766141,"[514, 515, 428]"
KOTA TEBING TINGGI,4012.917625634841,"[514, 513, 325]"
KAB. AGAM,3848.5553501338886,"[514, 385, 142, 57]"
KAB. DHARMASRAYA,3659.74051014678,"[514, 385, 142]"
KAB. KEPULAUAN MENTAWAI,3958.186066671445,"[514, 73]"
KAB. LIMA PULUH KOTA,3822.2341362173015,"[514, 513, 325, 88]"
KAB. PADANG PARIAMAN,3873.134289894181,"[514, 513, 511, 459]"
KAB. PASAMAN,3832.6819445241185,"[514, 430, 79]"
KAB. PASAMAN BARAT,3874.3888116236412,"[514, 430]"
KAB. PESISIR SELATAN,3753.606430806628,"[514, 446, 346, 345]"
KAB. SIJUNJUNG,3786.7604149813114,"[514, 410, 381, 137, 138, 103, 65]"
KAB. SOLOK,3747.8361211970055,"[514, 410, 381, 137, 138, 103]"
KAB. SOLOK SELATAN,3700.668485849582,"[514, 410, 381, 137]"
KAB. TANAH DATAR,3769.6374473181268,"[514, 73]"
KOTA BUKITTINGGI,3798.510278740048,"[514, 73, 67]"
KOTA PADANG,3799.2973400065666,"[514, 410, 381, 339, 107]"
KOTA PADANGPANJANG,3844.3191323571223,"[514, 73, 71]"
KOTA PARIAMAN,3808.9554304362205,"[514, 73]"
KOTA PAYAKUMBUH,3792.6902674825637,"[514, 73]"
KOTA SAWAHLUNTO,3740.931478562932,[514]
KOTA SOLOK,3755.375550423209,"[514, 73]"
KAB. BENGKALIS,3765.47471059352,"[514, 513, 325, 76]"
KAB. INDRAGIRI HILIR,3534.3782950203463,"[514, 513, 325]"
KAB. INDRAGIRI HULU,3634.361261149854,"[514, 515, 428, 427]"
KAB. KAMPAR,3732.581189383177,"[514, 430, 79]"
