city,distance,through
KAB. ACEH BARAT,4887.685148597323,"[497, 470, 419, 51]"
KAB. ACEH BARAT DAYA,4800.765574276423,"[497, 498, 463, 357]"
KAB. ACEH BESAR,4878.066058092324,[497]
KAB. ACEH JAYA,4876.306682534418,"[497, 464, 445, 89]"
KAB. ACEH SELATAN,4665.305950634309,"[497, 470, 419, 418, 347]"
KAB. ACEH SINGKIL,4602.016540423059,"[497, 464, 371]"
KAB. ACEH TAMIANG,4623.228030810041,"[497, 470, 419, 418, 426]"
KAB. ACEH TENGAH,4754.905556045818,"[497, 470, 419, 418, 426, 6]"
KAB. ACEH TENGGARA,4647.366749324576,"[497, 498, 505, 506, 507]"
KAB. ACEH TIMUR,4630.66568537804,"[497, 375]"
KAB. ACEH UTARA,4678.450647734046,[497]
KAB. BENER MERIAH,4706.636399587868,"[497, 375]"
KAB. BIREUEN,4757.6315731614895,"[497, 375, 11]"
KAB. GAYO LUES,4706.164645213254,"[497, 498, 463]"
KAB. NAGAN RAYA,4779.250146886334,"[497, 498, 505, 506]"
KAB. PIDIE,4823.391177442411,"[497, 16]"
KAB. PIDIE JAYA,4793.859780809831,[497]
KAB. SIMEULUE,4767.485642501615,"[497, 470]"
KOTA BANDA ACEH,4938.646088772905,"[497, 498, 505, 373, 97, 19]"
KOTA LANGSA,4621.486433206799,"[497, 498, 505, 373, 97]"
KOTA LHOKSEUMAWE,4713.609067025722,"[497, 464, 471]"
KOTA SABANG,4929.7566067944,"[497, 464, 471, 20]"
KOTA SUBULUSSALAM,4594.160457506887,"[497, 470, 84, 83]"
KAB. ASAHAN,4422.363368307568,"[497, 502, 430]"
KAB. BATUBARA,4429.001414359407,"[497, 464, 371]"
KAB. DAIRI,4570.361585772741,"[497, 464, 371, 24]"
KAB. DELI SERDANG,4533.82651205604,"[497, 464, 445, 434]"
KAB. HUMBANG HASUNDUTAN,4514.20643238237,"[497, 470, 419, 418, 426]"
KAB. KARO,4566.604081897567,"[497, 470, 419, 418, 426]"
KAB. LABUHANBATU,4366.44895714349,"[497, 464, 471, 472]"
KAB. LABUHANBATU SELATAN,4320.9843498832115,"[497, 470, 84]"
KAB. LABUHANBATU UTARA,4386.358545570006,"[497, 470, 84, 30]"
KAB. LANGKAT,4619.031254345858,"[497, 496]"
KAB. MANDAILING NATAL,4405.12070306154,"[497, 375]"
KAB. NIAS,4589.852362848859,"[497, 375, 33]"
KAB. NIAS BARAT,4619.978483347705,"[497, 375, 33, 34]"
KAB. NIAS SELATAN,4652.82840243101,"[497, 498, 505, 506, 408, 447, 446]"
KAB. NIAS UTARA,4650.17196243028,"[497, 498, 505]"
KAB. PADANG LAWAS,4380.562097328973,"[497, 498, 505]"
KAB. PADANG LAWAS UTARA,4359.674417947237,"[497, 470, 84]"
KAB. PAKPAK BHARAT,4548.1329875935335,"[497, 470, 84, 39]"
KAB. SAMOSIR,4532.971095560903,"[497, 470, 42]"
KAB. SERDANG BEDAGAI,4448.741602729666,"[497, 470]"
KAB. SIMALUNGUN,4471.855997078754,"[497, 470, 419, 418, 426, 321, 320]"
KAB. TAPANULI SELATAN,4413.304102865501,"[497, 470, 419, 418, 347]"
KAB. TAPANULI TENGAH,4483.948314592124,"[497, 470, 419, 418, 347, 44]"
KAB. TAPANULI UTARA,4463.415473297379,"[497, 502]"
KAB. TOBA SAMOSIR,4478.095296026811,"[497, 498, 505, 506, 507, 467]"
KOTA BINJAI,4586.552683290178,"[497, 470, 84, 52]"
KOTA GUNUNGSITOLI,4637.859630578569,"[497, 470, 419, 418, 426, 427, 77]"
KOTA MEDAN,4559.776184151003,"[497, 502, 430, 23]"
KOTA PADANGSIDEMPUAN,4400.350669249148,"[497, 470, 419]"
KOTA PEMATANGSIANTAR,4491.349419400974,"[497, 470, 84]"
KOTA SIBOLGA,4482.553765026781,"[497, 470, 419, 418, 426]"
KOTA TANJUNGBALAI,4504.3719519098795,"[497, 470, 138]"
KOTA TEBING TINGGI,4487.464456666883,"[497, 470, 419, 418, 426, 321]"
KAB. AGAM,4308.503593180181,"[497, 142, 57]"
KAB. DHARMASRAYA,4119.688753193072,"[497, 142]"
KAB. KEPULAUAN MENTAWAI,4420.903009995314,"[497, 142, 57]"
KAB. LIMA PULUH KOTA,4290.809720838602,"[497, 470, 419, 418, 426, 321, 322]"
KAB. PADANG PARIAMAN,4358.145837650402,"[497, 502, 503]"
KAB. PASAMAN,4308.925478763223,"[497, 470, 419, 418, 426]"
KAB. PASAMAN BARAT,4368.547771087911,"[497, 470, 419, 418, 426, 61]"
KAB. PESISIR SELATAN,4281.24704543863,"[497, 470, 138, 103, 65]"
KAB. SIJUNJUNG,4235.896704319026,"[497, 470, 138, 103, 65]"
KAB. SOLOK,4196.9724105347195,"[497, 470, 138, 103]"
KAB. SOLOK SELATAN,4217.352659193527,"[497, 470, 419, 418, 332, 124]"
KAB. TANAH DATAR,4256.057441681813,"[497, 142, 141, 73]"
KOTA BUKITTINGGI,4284.930273103733,"[497, 142, 141, 73, 67]"
KOTA PADANG,4310.481772277301,"[497, 470, 419, 418, 426, 448, 107]"
KOTA PADANGPANJANG,4262.933637084403,"[497, 470, 419, 418]"
KOTA PARIAMAN,4288.480063470113,"[497, 470, 138, 103]"
KOTA PAYAKUMBUH,4279.11026184625,"[497, 142, 141, 73]"
KOTA SAWAHLUNTO,4227.351472926618,"[497, 142, 141]"
KOTA SOLOK,4241.795544786895,"[497, 142, 141, 73]"
KAB. BENGKALIS,4286.907043712766,"[497, 498, 505, 373, 374, 325, 76]"
KAB. INDRAGIRI HILIR,4055.810628139592,"[497, 498, 505, 373, 374, 325]"
KAB. INDRAGIRI HULU,4075.313360348455,"[497, 470, 419, 418, 426, 427]"
KAB. KAMPAR,4166.513810195248,[497]
KAB. KEPULAUAN MERANTI,4058.7150312168337,"[497, 502, 430]"
KAB. KUANTAN SINGINGI,4256.417729972084,"[497, 502, 430, 79]"
KAB. PELALAWAN,4240.200598207501,"[497, 496, 397]"
KAB. ROKAN HILIR,4226.347976382307,[497]
KAB. ROKAN HULU,4257.70563334585,"[497, 470, 84]"
KAB. SIAK,4104.553980121129,"[497, 470]"
KOTA DUMAI,4209.37724195862,"[497, 470, 84]"
KOTA PEKANBARU,4170.929562774371,"[497, 470, 419, 418, 426, 321]"
KAB. BINTAN,3933.0816472307497,"[497, 470, 419, 418, 332, 352, 353]"
KAB. KARIMUN,4014.714107991052,"[497, 498, 505, 373, 374, 325]"
KAB. KEPULAUAN ANAMBAS,3750.5221205200687,"[497, 464, 445]"
KAB. LINGGA,3800.381661727479,"[497, 470]"
KAB. NATUNA,3483.967216714471,"[497, 464, 371]"
KOTA BATAM,3998.0562144532087,"[497, 375, 349, 93]"
KOTA TANJUNG PINANG,3946.40831438922,"[497, 375, 349]"
PULAU TAMBELAN KAB. BINTAN,3673.5780034097716,"[497, 470, 419, 418, 332, 333, 334]"
PEKAJANG KAB. LINGGA,3794.240172583485,"[497, 470, 419, 418]"
PULAU SERASAN KAB. NATUNA,3396.5655596678744,"[497, 502, 430]"
PULAU MIDAI KAB. NATUNA,3521.8446919192756,"[497, 498, 505, 373]"
PULAU LAUT KAB. NATUNA,3540.3676898671865,"[497, 498, 505, 373]"
KAB. BATANGHARI,4216.109494981565,"[497, 269, 251, 235]"
KAB. BUNGO,4118.743563826556,"[497, 470, 419, 418, 426, 321]"
KAB. KERINCI,4150.122305865936,"[497, 470, 138, 103, 102]"
KAB. MERANGIN,4080.646455862024,"[497, 470, 138, 103]"
KAB. MUARO JAMBI,3864.6187651676373,"[497, 470, 138]"
KAB. SAROLANGUN,4014.659835424712,"[497, 470, 138, 103]"
KAB. TANJUNG JABUNG BARAT,3963.8605514739743,"[497, 470, 419, 418]"
KAB. TANJUNG JABUNG TIMUR,3968.5922118856643,"[497, 470, 419, 418, 386]"
KAB. TEBO,4093.2132450017248,"[497, 470, 419, 418, 426, 448]"
KOTA JAMBI,3950.054152125827,"[497, 470, 419, 418, 426, 448]"
KOTA SUNGAI PENUH,4123.542167119299,"[497, 142]"
KAB. BENGKULU SELATAN,3958.0224435392547,"[497, 142]"
KAB. BENGKULU TENGAH,4057.9247864122603,"[497, 142, 110]"
KAB. BENGKULU UTARA,4121.197480557883,"[497, 470, 419, 418, 332, 331, 139]"
KAB. KAUR,4009.9599656371443,"[497, 269, 251, 198, 169, 187]"
KAB. KEPAHIANG,4121.777910701995,"[497, 269, 165, 164]"
KAB. LEBONG,4122.496619177535,"[497, 502, 503]"
KAB. MUKOMUKO,4178.716366263427,"[497, 470, 419, 418, 332, 331, 139]"
KAB. REJANG LEBONG,4107.482615549051,"[497, 464, 471]"
KAB. SELUMA,4074.0598865140823,"[497, 498, 505, 506, 408, 447, 446]"
KOTA BENGKULU,4096.083210880075,"[497, 498, 338]"
KAB. BANYUASIN,3936.576896424588,"[497, 470, 419, 153]"
KAB. EMPAT LAWANG,3972.007850239026,"[497, 470]"
KAB. LAHAT,3947.3577020956186,"[497, 142, 141, 140, 123]"
KAB. MUARA ENIM,3874.7177444216995,"[497, 142, 141, 140]"
KAB. MUSI BANYUASIN,3914.88930223066,"[497, 470, 419, 418, 332]"
KAB. MUSI RAWAS,4000.29923845561,"[497, 470, 419, 418, 317]"
KAB. MUSI RAWAS UTARA,3981.198469143544,"[497, 127]"
KAB. OGAN ILIR,3758.753288225098,[497]
KAB. OGAN KOMERING ILIR,3750.929918976595,"[497, 142, 141, 140]"
KAB. OGAN KOMERING ULU,3889.7351664278785,"[497, 470, 419, 418, 426]"
KAB. OGAN KOMERING ULU SELATAN,3869.1869538377796,"[497, 142]"
KAB. OGAN KOMERING ULU TIMUR,3885.1891759921073,"[497, 470, 419, 135]"
KAB. PENUKAL ABAB LEMATANG ILIR,3927.7833293771573,"[497, 498, 505, 506, 408, 447, 446]"
KOTA LUBUKLINGGAU,4013.2839463599144,"[497, 470, 419, 418, 332, 352]"
KOTA PAGAR ALAM,3995.9008779798614,"[497, 470, 419, 135]"
KOTA PALEMBANG,3787.2256604881877,"[497, 470, 419]"
KOTA PRABUMULIH,3864.2730182746545,"[497, 470, 419, 135]"
KAB. BANGKA,3699.3905251351325,"[497, 375]"
KAB. BANGKA BARAT,3675.2800969785467,"[497, 470]"
KAB. BANGKA SELATAN,3622.509141076977,"[497, 470, 419, 418, 332, 331]"
KAB. BANGKA TENGAH,3590.4740068637175,"[497, 142, 141]"
KAB. BELITUNG,3413.7110749978815,"[497, 142]"
KAB. BELITUNG TIMUR,3368.561061056329,[497]
KOTA PANGKAL PINANG,3608.0513157549212,"[497, 142]"
KAB. LAMPUNG TENGAH,3749.030952293876,"[497, 142]"
KAB. LAMPUNG UTARA,3811.207667595444,"[497, 142, 144]"
KAB. LAMPUNG SELATAN,3767.0500321526742,"[497, 470, 419, 418, 426, 448]"
KAB. LAMPUNG BARAT,3895.1992934837613,"[497, 498, 338]"
KAB. LAMPUNG TIMUR,3727.744375474805,"[497, 470, 419, 418, 426]"
KAB. MESUJI,3781.1918259178883,"[497, 498, 505, 506, 408, 340]"
KAB. PESAWARAN,3840.0535212064124,"[497, 498, 505, 379]"
KAB. PESISIR BARAT,3889.5636176475027,"[497, 269, 268, 229]"
KAB. PRINGSEWU,3801.8912676685723,"[497, 269, 251, 198, 213, 214, 221]"
KAB. TULANG BAWANG,3729.275971411118,"[497, 470, 419]"
KAB. TULANG BAWANG BARAT,3781.4056726384315,"[497, 470, 419, 153]"
KAB. TANGGAMUS,3844.299039664792,"[497, 269, 251, 252, 201]"
KAB. WAY KANAN,3850.04074993766,"[497, 470, 419, 418, 332, 352, 353]"
KOTA BANDAR LAMPUNG,3811.261868717894,"[497, 269, 171, 172]"
KOTA METRO,3833.3123386273387,"[497, 498, 190]"
KAB. LEBAK,3646.541834747248,"[497, 269, 251, 235, 234]"
KAB. PANDEGLANG,3680.77210029044,"[497, 269, 268]"
KAB. SERANG,3659.3243909198827,"[497, 269, 251]"
KAB. TANGERANG,3610.1590873498185,"[497, 269, 251]"
KOTA CILEGON,3665.898970751312,"[497, 269, 165, 164]"
KOTA SERANG,3645.167582592035,"[497, 269, 165]"
KOTA TANGERANG,3590.1800488945446,"[497, 269]"
KOTA TANGERANG SELATAN,3583.665222884452,"[497, 269, 251, 198]"
KAB. BANDUNG,3478.0256478473584,"[497, 269, 268, 229, 230]"
KAB. BANDUNG BARAT,3493.942286145475,"[497, 269, 251, 198, 213, 214, 221]"
KAB. BEKASI,3537.9984738599965,"[497, 269, 251, 198]"
KAB. BOGOR,3587.850771667002,"[497, 269, 171]"
KAB. CIAMIS,3379.091975348734,"[497, 269]"
KAB. CIANJUR,3506.3464083731305,"[497, 269, 171]"
KAB. CIREBON,3384.6110277779385,"[497, 269, 247, 248]"
KAB. GARUT,3504.2015147913344,"[497, 269, 247, 248, 173]"
KAB. INDRAMAYU,3483.6925867700315,"[497, 458, 291, 222]"
KAB. KARAWANG,3531.5573221606155,"[497, 224, 207]"
KAB. KUNINGAN,3435.159003594543,"[497, 502]"
KAB. MAJALENGKA,3468.1884270726005,"[497, 458, 291]"
KAB. PANGANDARAN,3435.0375168983132,"[497, 458, 291, 292]"
KAB. PURWAKARTA,3600.833251641991,"[497, 458, 291, 292, 179]"
KAB. SUBANG,3597.5890218963555,"[497, 498, 276]"
KAB. SUKABUMI,3574.6413399616467,"[497, 269, 251, 209, 208, 183]"
KAB. SUMEDANG,3464.226722946321,"[497, 269, 251, 209, 208]"
KAB. TASIKMALAYA,3456.5164694878927,"[497, 269, 251, 209, 226]"
KOTA BANDUNG,3494.463042467593,"[497, 269, 251, 209, 226]"
KOTA BANJAR,3391.848941060212,"[497, 269, 251, 252, 201]"
KOTA BEKASI,3557.1368354947626,"[497, 269, 251, 198, 169]"
KOTA BOGOR,3601.2157902755634,"[497, 269, 251, 198, 169, 187]"
KOTA CIMAHI,3528.047222919764,"[497, 269, 251, 267]"
KOTA CIREBON,3432.0430735122422,"[497, 498]"
KOTA DEPOK,3600.895995771724,"[497, 269, 251, 209, 208, 183]"
KOTA SUKABUMI,3548.413542746931,"[497, 269, 251, 252, 201]"
KOTA TASIKMALAYA,3521.409965002387,"[497, 498, 505, 400]"
KOTA JAKARTA,3645.325769270171,"[497, 502, 177]"
KAB. ADMINISTRASI KEPULAUAN SERIBU,3706.4621840464183,"[497, 269, 251, 252, 253, 196]"
KAB. BANJARNEGARA,3321.225016791004,"[497, 269, 251, 252, 253]"
KAB. BANYUMAS,3318.8325940155255,"[497, 269, 251, 198]"
KAB. BATANG,3221.3829957032526,"[497, 269, 251]"
KAB. BLORA,3150.214380938673,"[497, 458, 291, 280]"
KAB. BOYOLALI,3209.2424919157584,"[497, 458, 291, 280, 281, 242]"
KAB. BREBES,3330.640055823829,"[497, 269, 251, 252]"
KAB. CILACAP,3403.873034511935,"[497, 269, 251, 252, 201]"
KAB. DEMAK,3228.962388102956,"[497, 458, 291, 292, 282, 204]"
KAB. GROBOGAN,3188.3097364504174,"[497, 458, 291, 292, 282]"
KAB. JEPARA,3236.037231265982,"[497, 498, 505, 506, 507]"
KAB. KARANGANYAR,3152.915263727493,"[497, 458, 291]"
KAB. KEBUMEN,3235.4964928115296,"[497, 224]"
KAB. KENDAL,3216.6174102268706,"[497, 269, 251, 209]"
KAB. KLATEN,3128.9075727854665,"[497, 269, 251]"
KAB. KUDUS,3230.15234553827,"[497, 269, 251, 209]"
KAB. MAGELANG,3257.5692575268304,"[497, 498]"
KAB. PATI,3199.3945296107513,"[497, 458, 291, 244]"
KAB. PEKALONGAN,3252.9531555320928,"[497, 269, 251, 198]"
KAB. PEMALANG,3273.9841122144694,"[497, 269, 251, 198, 213]"
KAB. PURBALINGGA,3301.338064169031,"[497, 269, 251, 198, 213, 214]"
KAB. PURWOREJO,3263.391680314735,"[497, 224, 225]"
KAB. REMBANG,3215.0524233968627,"[497, 498, 505, 506, 507, 452, 412, 399]"
KAB. SEMARANG,3231.5532749424024,"[497, 498]"
