city,distance,through
KAB. ACEH BARAT,2326.7685393766515,"[262, 212, 213, 214, 221, 153, 123, 62]"
KAB. ACEH BARAT DAYA,2281.9885752101227,"[262, 212, 213, 198, 166, 165]"
KAB. ACEH BESAR,2435.5133971021382,"[262, 212, 213, 214]"
KAB. ACEH JAYA,2372.4359058627274,"[262, 212, 64, 65]"
KAB. ACEH SELATAN,2132.479090908912,"[262, 212, 213, 214, 221, 153, 5]"
KAB. ACEH SINGKIL,2011.8083659683307,"[262, 212, 213, 214, 221, 153]"
KAB. ACEH TAMIANG,2138.8165348883203,"[262, 263]"
KAB. ACEH TENGAH,2266.5814429011884,"[262, 212, 213, 214, 221, 153, 67, 8]"
KAB. ACEH TENGGARA,2107.773417419607,"[262, 212, 213, 214, 221, 153, 67]"
KAB. ACEH TIMUR,2241.1351834727334,"[262, 212, 211, 88]"
KAB. ACEH UTARA,2301.405640601522,"[262, 243, 268]"
KAB. BENER MERIAH,2303.625093540346,"[262, 212, 213, 214, 71]"
KAB. BIREUEN,2334.3395186093494,"[262, 243]"
KAB. GAYO LUES,2221.870372710334,"[262, 263, 70]"
KAB. NAGAN RAYA,2257.2648475980554,"[262, 212, 213, 214, 86, 25]"
KAB. PIDIE,2379.290209682239,"[262, 212, 213, 214, 86, 25, 14]"
KAB. PIDIE JAYA,2386.026101455279,"[262, 243, 77]"
KAB. SIMEULUE,2217.233931256764,"[262, 212, 213, 214, 221, 111, 112]"
KOTA BANDA ACEH,2469.709861618428,"[262, 263, 6]"
KOTA LANGSA,2157.829234877923,"[262, 263]"
KOTA LHOKSEUMAWE,2279.3004563583,"[262, 263, 19]"
KOTA SABANG,2487.290159925192,"[262, 212, 213, 214, 2]"
KOTA SUBULUSSALAM,2051.562665677592,"[262, 263, 143]"
KAB. ASAHAN,2074.0059757875424,"[262, 243, 244, 224, 24]"
KAB. BATUBARA,2031.6733979871883,"[262, 243, 244, 224]"
KAB. DAIRI,2015.967143823725,"[262, 212, 213, 214, 86]"
KAB. DELI SERDANG,2079.6922142266244,"[262, 243, 268, 229, 30]"
KAB. HUMBANG HASUNDUTAN,2024.3530328171396,"[262, 212, 213, 214, 86, 85]"
KAB. KARO,2042.3981778871369,"[262, 212, 213, 214, 86, 25]"
KAB. LABUHANBATU,1880.3837245499162,"[262, 243, 268, 229, 228]"
KAB. LABUHANBATU SELATAN,1843.3528794899157,"[262, 243, 268, 229]"
KAB. LABUHANBATU UTARA,1895.54826023922,"[262, 212, 213, 198]"
KAB. LANGKAT,2095.957075188802,"[262, 212, 213, 214, 221, 153]"
KAB. MANDAILING NATAL,1838.2052667568692,"[262, 243, 268, 229, 228]"
KAB. NIAS,1948.978788343003,"[262, 212, 213, 214, 221, 153, 123, 62]"
KAB. NIAS BARAT,1979.1049088418492,"[262, 212, 213, 214, 221, 153, 123, 62, 34]"
KAB. NIAS SELATAN,1949.7152131554762,"[262, 212, 213, 214, 221, 153, 58]"
KAB. NIAS UTARA,1980.6068884722686,"[262, 212, 213, 57]"
KAB. PADANG LAWAS,1806.696385979777,"[262, 212, 213, 214, 134, 133]"
KAB. PADANG LAWAS UTARA,1861.2658709822529,"[262, 212, 213, 214, 134, 133, 38]"
KAB. PAKPAK BHARAT,2016.8094211162813,"[262, 212, 213, 214, 41]"
KAB. SAMOSIR,1952.1398089463205,"[262, 212, 213, 214]"
KAB. SERDANG BEDAGAI,2033.5681694264395,"[262, 245, 205, 43]"
KAB. SIMALUNGUN,1986.6821038136522,"[262, 245, 205]"
KAB. TAPANULI SELATAN,1863.6714300381086,"[262, 263, 124]"
KAB. TAPANULI TENGAH,1926.2219627982788,"[262, 212, 213, 46]"
KAB. TAPANULI UTARA,1877.2275786467644,"[262, 212, 213]"
KAB. TOBA SAMOSIR,1916.9014508634689,"[262, 212, 213, 46]"
KOTA BINJAI,2081.7028213823005,"[262, 212, 213, 46, 47]"
KOTA GUNUNGSITOLI,1948.8366660301633,"[262, 212, 64, 65]"
KOTA MEDAN,2011.9283854773566,"[262, 212, 64]"
KOTA PADANGSIDEMPUAN,1852.8988216447037,"[262, 243]"
KOTA PEMATANGSIANTAR,1987.559213652818,"[262, 212, 213, 214, 221, 153, 123]"
KOTA SIBOLGA,1921.0263974503323,"[262, 243, 77, 78]"
KOTA TANJUNGBALAI,1985.3618995695947,"[262, 212, 213, 214, 134]"
KOTA TEBING TINGGI,2028.222171726524,"[262, 212, 213, 214, 215, 76, 75]"
KAB. AGAM,1627.9600257421496,"[262, 212, 213, 57]"
KAB. DHARMASRAYA,1439.145185755041,"[262, 212, 213]"
KAB. KEPULAUAN MENTAWAI,1682.9092956430632,"[262, 212, 213, 214, 221, 153]"
KAB. LIMA PULUH KOTA,1711.7305454676612,"[262, 212, 213, 214, 134, 133, 60]"
KAB. PADANG PARIAMAN,1633.6281411415098,"[262, 212, 213, 214, 134, 133]"
KAB. PASAMAN,1685.4035328481214,"[262, 263, 120]"
KAB. PASAMAN BARAT,1717.5996399123387,"[262, 212, 213, 214, 221, 153, 123]"
KAB. PESISIR SELATAN,1553.1476054486695,"[262, 243, 244]"
KAB. SIJUNJUNG,1468.3736164659636,"[262, 212]"
KAB. SOLOK,1507.2979102502698,"[262, 212, 64]"
KAB. SOLOK SELATAN,1491.2860268953557,"[262, 263]"
KAB. TANAH DATAR,1578.9353859076532,"[262, 212, 213, 214, 221, 153]"
KOTA BUKITTINGGI,1607.808217329574,"[262, 212, 213, 214, 221, 153, 67]"
KOTA PADANG,1640.9183576802698,"[262, 212, 213, 214, 221, 168, 169, 187, 113, 114, 115, 116]"
KOTA PADANGPANJANG,1624.9591213433685,"[262, 263]"
KOTA PARIAMAN,1609.6872569124612,"[262, 212, 213, 214]"
KOTA PAYAKUMBUH,1659.4001435824794,"[262, 212, 213, 214, 221, 153, 67, 73]"
KOTA SAWAHLUNTO,1607.6413546628478,"[262, 212, 213, 214, 221, 153, 67]"
KOTA SOLOK,1594.9362442086058,"[262, 212, 213, 214, 221, 111]"
KAB. BENGKALIS,1682.0228809195828,"[262, 212, 213, 214, 215, 76]"
KAB. INDRAGIRI HILIR,1450.9264653464093,"[262, 212, 213, 214, 215]"
KAB. INDRAGIRI HULU,1446.8693241830429,"[262, 243]"
KAB. KAMPAR,1603.1030711562464,"[262, 243, 77]"
KAB. KEPULAUAN MERANTI,1645.4253048228823,"[262, 212, 213, 198, 166]"
KAB. KUANTAN SINGINGI,1568.6665859940595,"[262, 243, 244]"
KAB. PELALAWAN,1596.0578469893471,"[262, 212, 213, 57]"
KAB. ROKAN HILIR,1779.818069338692,"[262, 212, 211, 88]"
KAB. ROKAN HULU,1781.6583273422575,"[262, 243, 268, 135, 84]"
KAB. SIAK,1628.506674117536,"[262, 243, 268, 135]"
KOTA DUMAI,1704.537871691128,"[262, 212, 213, 214, 86]"
KOTA PEKANBARU,1575.4988006490667,"[262, 212, 213, 214]"
KAB. BINTAN,1587.0385164960448,"[262, 212, 211, 142, 141, 140, 139]"
KAB. KARIMUN,1474.2690138688158,"[262, 212, 211]"
KAB. KEPULAUAN ANAMBAS,1650.3862547478288,"[262, 243, 268, 267, 251]"
KAB. LINGGA,1256.0813957143891,"[262, 263, 143]"
KAB. NATUNA,1814.4009793839039,"[262, 212, 211, 142, 141, 140]"
KOTA BATAM,1509.7287691464307,"[262, 263, 120]"
KOTA TANJUNG PINANG,1486.6631896197114,"[262, 245, 247, 248]"
PULAU TAMBELAN KAB. BINTAN,1291.3318690592596,"[262, 212, 211]"
PEKAJANG KAB. LINGGA,1267.5967417561494,"[262, 263]"
PULAU SERASAN KAB. NATUNA,1292.0395735221823,"[262, 243, 322, 323]"
PULAU MIDAI KAB. NATUNA,1347.2643952748292,"[262, 263]"
PULAU LAUT KAB. NATUNA,1538.9058258107482,"[262, 263, 97]"
KAB. BATANGHARI,1422.872056192385,"[262, 243, 183, 182, 194]"
KAB. BUNGO,1449.860168531382,"[262, 245]"
KAB. KERINCI,1464.3860575616939,"[262, 263, 120]"
KAB. MERANGIN,1395.7100627424372,"[262, 212, 213, 214, 221, 168, 149]"
KAB. MUARO JAMBI,1357.9935764822587,"[262, 212, 211, 210]"
KAB. SAROLANGUN,1333.5255947138692,"[262, 245]"
KAB. TANJUNG JABUNG BARAT,1366.4561828052128,"[262, 212, 213, 214, 215]"
