city,distance,through
KAB. ACEH BARAT,2204.084011054549,"[263, 120, 61, 62]"
KAB. ACEH BARAT DAYA,2146.2363392365514,"[263, 166, 165]"
KAB. ACEH BESAR,2341.1537325985405,"[263, 70, 4, 3]"
KAB. ACEH JAYA,2264.850259261442,"[263, 70, 4]"
KAB. ACEH SELATAN,2014.3850775018036,"[263, 70]"
KAB. ACEH SINGKIL,1904.5337338011363,"[263, 66]"
KAB. ACEH TAMIANG,1988.7058213057467,[263]
KAB. ACEH TENGAH,2120.3833465415237,"[263, 6]"
KAB. ACEH TENGGARA,1998.5083534858898,"[263, 66, 67]"
KAB. ACEH TIMUR,2133.7865251581816,"[263, 66, 67, 8]"
KAB. ACEH UTARA,2200.376659246669,"[263, 66, 67, 8, 9]"
KAB. BENER MERIAH,2169.8985323824286,"[263, 70]"
KAB. BIREUEN,2201.81171539943,"[263, 124, 44]"
KAB. GAYO LUES,2071.75965912776,"[263, 70]"
KAB. NAGAN RAYA,2121.7168833739083,"[263, 120, 25]"
KAB. PIDIE,2243.4715921378847,"[263, 143, 22]"
KAB. PIDIE JAYA,2262.805663239879,"[263, 66, 53]"
KAB. SIMEULUE,2142.9264702806922,"[263, 124, 58]"
KOTA BANDA ACEH,2319.5991480358543,"[263, 6]"
KOTA LANGSA,2007.7185212953498,[263]
KOTA LHOKSEUMAWE,2129.1897427757267,"[263, 19]"
KOTA SABANG,2345.337282544405,"[263, 19, 20]"
KOTA SUBULUSSALAM,1901.4519520950187,"[263, 143]"
KAB. ASAHAN,1956.477043229475,"[263, 120, 92, 24]"
KAB. BATUBARA,1914.1444654291208,"[263, 120, 92]"
KAB. DAIRI,1880.419179599578,"[263, 120]"
KAB. DELI SERDANG,1958.8495717471396,"[263, 120, 25]"
KAB. HUMBANG HASUNDUTAN,1911.6010591744214,"[263, 124, 86, 85]"
KAB. KARO,1906.8502136629897,"[263, 120, 25]"
KAB. LABUHANBATU,1788.5470534093283,"[263, 70, 30]"
KAB. LABUHANBATU SELATAN,1736.9414879535886,"[263, 70]"
KAB. LABUHANBATU UTARA,1802.3156836403834,"[263, 70, 30]"
KAB. LANGKAT,2012.642633362457,"[263, 124, 44, 45]"
KAB. MANDAILING NATAL,1734.3862461719164,"[263, 166, 165, 164, 144]"
KAB. NIAS,1826.2942600209005,"[263, 120, 61, 62]"
KAB. NIAS BARAT,1856.4203805197467,"[263, 120, 61, 62, 34]"
KAB. NIAS SELATAN,1854.1577922595175,"[263, 124, 58]"
KAB. NIAS UTARA,1863.1038513971407,[263]
KAB. PADANG LAWAS,1805.125202026179,"[263, 232, 176, 133]"
KAB. PADANG LAWAS UTARA,1778.2389711480819,"[263, 166, 165, 164]"
KAB. PAKPAK BHARAT,1966.6975407943785,"[263, 166, 165, 164, 39]"
KAB. SAMOSIR,1927.9071125837547,"[263, 66, 67, 73, 72]"
KAB. SERDANG BEDAGAI,1916.1975158193557,"[263, 124, 44, 43]"
KAB. SIMALUNGUN,1869.3114502065685,"[263, 124, 44]"
KAB. TAPANULI SELATAN,1713.560716455535,"[263, 124]"
KAB. TAPANULI TENGAH,1784.2049281821587,"[263, 124, 44]"
KAB. TAPANULI UTARA,1833.199312333673,"[263, 124, 44, 45]"
KAB. TOBA SAMOSIR,1834.2990781233207,"[263, 120, 102]"
KOTA BINJAI,1987.8964002366686,"[263, 124, 44, 43, 52]"
KOTA GUNUNGSITOLI,1847.046928167328,"[263, 66, 65]"
KOTA MEDAN,1987.7933188634752,"[263, 120, 102]"
KOTA PADANGSIDEMPUAN,1798.0147042405713,"[263, 66, 67, 73, 74]"
KOTA PEMATANGSIANTAR,1892.6931363474648,"[263, 124, 44, 43]"
KOTA SIBOLGA,1786.2918381397592,"[263, 66]"
KOTA TANJUNGBALAI,1902.1956682520859,"[263, 124, 125, 107]"
KOTA TEBING TINGGI,1983.9324159236442,"[263, 124, 125, 107, 54]"
KAB. AGAM,1600.1459055594244,"[263, 124, 125, 126, 109]"
KAB. DHARMASRAYA,1508.7132947938376,"[263, 232, 215, 214, 213]"
KAB. KEPULAUAN MENTAWAI,1587.3518747471044,"[263, 124]"
KAB. LIMA PULUH KOTA,1578.4805361535123,"[263, 120, 61]"
KAB. PADANG PARIAMAN,1621.6799940466233,"[263, 120, 61]"
KAB. PASAMAN,1535.2928192655477,"[263, 120]"
KAB. PASAMAN BARAT,1594.9151115902362,"[263, 120, 61]"
KAB. PESISIR SELATAN,1442.5440410929464,"[263, 166, 165, 164, 144, 145]"
KAB. SIJUNJUNG,1444.4324661717405,"[263, 66, 65]"
KAB. SOLOK,1405.5081723874343,"[263, 66]"
KAB. SOLOK SELATAN,1341.1753133127822,[263]
KAB. TANAH DATAR,1469.6703219739359,"[263, 66]"
KOTA BUKITTINGGI,1485.685254916204,"[263, 120]"
KOTA PADANG,1515.483719224182,"[263, 166, 165, 164]"
KOTA PADANGPANJANG,1474.848407760795,[263]
KOTA PARIAMAN,1510.212109681697,"[263, 70]"
KOTA PAYAKUMBUH,1550.135079648762,"[263, 66, 67, 73]"
KOTA SAWAHLUNTO,1498.3762907291305,"[263, 66, 67]"
KOTA SOLOK,1512.8203625894073,"[263, 66, 67, 73]"
