city,distance,through
KAB. ACEH BARAT,2283.0969032902863,"[264, 194, 62]"
KAB. ACEH BARAT DAYA,2196.0746462793168,"[264, 251, 252, 142, 141, 140]"
KAB. ACEH BESAR,2402.5350581972893,"[264, 251, 78, 4, 3]"
KAB. ACEH JAYA,2326.2315848601907,"[264, 251, 78, 4]"
KAB. ACEH SELATAN,2075.7664031005525,"[264, 251, 78]"
KAB. ACEH SINGKIL,1979.0599290676225,"[264, 251, 108, 107, 72]"
KAB. ACEH TAMIANG,2082.5727429961,"[264, 251]"
KAB. ACEH TENGAH,2214.250268231877,"[264, 251, 6]"
KAB. ACEH TENGGARA,2064.2651662311782,"[264, 251, 252, 137]"
KAB. ACEH TIMUR,2192.8489140651336,"[264, 109]"
KAB. ACEH UTARA,2209.495871692955,"[264, 251, 252]"
KAB. BENER MERIAH,2222.9356549062913,"[264, 251, 252, 137]"
KAB. BIREUEN,2251.85376636032,"[264, 13]"
KAB. GAYO LUES,2102.646605660428,[264]
KAB. NAGAN RAYA,2199.741442745447,"[264, 13]"
KAB. PIDIE,2321.7668048296305,"[264, 13, 14]"
KAB. PIDIE JAYA,2307.6766767152835,"[264, 251, 76, 75]"
KAB. SIMEULUE,2170.2325654403803,"[264, 155]"
KOTA BANDA ACEH,2413.4660697262075,"[264, 251, 6]"
KOTA LANGSA,2140.870836176841,"[264, 263]"
KOTA LHOKSEUMAWE,2262.3420576572175,"[264, 263, 19]"
KOTA SABANG,2454.311821020343,"[264, 251, 78, 4, 3, 2]"
KOTA SUBULUSSALAM,2020.0666085685202,"[264, 251, 252, 201]"
KAB. ASAHAN,2005.1897426665705,"[264, 184, 185, 24]"
KAB. BATUBARA,1962.8571648662164,"[264, 184, 185]"
KAB. DAIRI,1987.6713110571409,"[264, 251, 252, 137, 86]"
KAB. DELI SERDANG,1995.2695493907559,"[264, 251, 108, 107]"
KAB. HUMBANG HASUNDUTAN,1932.489093729569,"[264, 194, 117]"
KAB. KARO,2004.5841326692025,"[264, 251, 252, 137, 29]"
KAB. LABUHANBATU,1776.6722844569408,"[264, 251, 252, 137]"
KAB. LABUHANBATU SELATAN,1770.4369097780987,"[264, 251, 209, 84]"
KAB. LABUHANBATU UTARA,1815.622481436604,"[264, 251, 198]"
KAB. LANGKAT,2053.0983834950184,"[264, 251, 198, 31]"
KAB. MANDAILING NATAL,1755.2635880640382,"[264, 251, 209, 226]"
KAB. NIAS,1905.307152256638,"[264, 194, 62]"
KAB. NIAS BARAT,1935.433272755484,"[264, 194, 62, 34]"
KAB. NIAS SELATAN,1915.7510808876427,"[264, 251, 58]"
KAB. NIAS UTARA,1925.7016536267192,"[264, 57]"
KAB. PADANG LAWAS,1733.453113964232,"[264, 194, 195]"
KAB. PADANG LAWAS UTARA,1788.0225989667078,"[264, 194, 195, 38]"
KAB. PAKPAK BHARAT,1968.305341142725,"[264, 194, 195]"
KAB. SAMOSIR,1935.3543498013846,"[264, 251, 198, 213, 214]"
KAB. SERDANG BEDAGAI,1972.006476164542,"[264, 251, 52, 43]"
KAB. SIMALUNGUN,1925.1204105517547,"[264, 251, 52]"
KAB. TAPANULI SELATAN,1800.5926011914628,"[264, 251, 108, 107]"
KAB. TAPANULI TENGAH,1871.2368129180863,"[264, 251, 108, 107, 44]"
KAB. TAPANULI UTARA,1836.352627090298,"[264, 251, 78]"
KAB. TOBA SAMOSIR,1873.2989938860683,"[264, 194, 195]"
KOTA BINJAI,1995.7846199232117,"[264, 251]"
KOTA GUNUNGSITOLI,1948.59069634772,"[264, 251, 209, 226]"
KOTA MEDAN,2047.157160002505,"[264, 194, 99, 64]"
KOTA PADANGSIDEMPUAN,1822.1385878008355,"[264, 194, 195, 73, 74]"
KOTA PEMATANGSIANTAR,1901.7387244108584,"[264, 251]"
KOTA SIBOLGA,1843.1328926351343,"[264, 251, 78]"
KOTA TANJUNGBALAI,1859.7752043252235,"[264, 251, 252, 137, 138]"
KOTA TEBING TINGGI,1922.4255199372865,"[264, 251, 76, 75]"
KAB. AGAM,1573.0547908966005,"[264, 57]"
KAB. DHARMASRAYA,1384.2399509094919,[264]
KAB. KEPULAUAN MENTAWAI,1648.9451633752299,"[264, 251]"
KAB. LIMA PULUH KOTA,1604.7996956003844,"[264, 109]"
KAB. PADANG PARIAMAN,1563.0630953033256,"[264, 133]"
KAB. PASAMAN,1647.987412488349,"[264, 109, 59]"
KAB. PASAMAN BARAT,1673.9280038259735,"[264, 194]"
KAB. PESISIR SELATAN,1498.370498263901,"[264, 251, 198, 166, 165, 164, 144, 145]"
KAB. SIJUNJUNG,1503.6023909911119,"[264, 194, 99]"
KAB. SOLOK,1519.4861095428025,"[264, 184, 129, 66]"
KAB. SOLOK SELATAN,1455.1532504681504,"[264, 184, 129]"
KAB. TANAH DATAR,1543.412139897616,"[264, 251, 252]"
KOTA BUKITTINGGI,1572.284971319537,"[264, 251, 252, 67]"
KOTA PADANG,1540.2916051926159,"[264, 194, 117, 116]"
KOTA PADANGPANJANG,1575.9210814273363,"[264, 251, 198, 125]"
KOTA PARIAMAN,1564.6427881276272,"[264, 133]"
KOTA PAYAKUMBUH,1558.4568277839085,"[264, 251, 108, 107]"
KOTA SAWAHLUNTO,1522.5001742893946,"[264, 194, 195]"
KOTA SOLOK,1536.9442461496715,"[264, 194, 195, 73]"
KAB. BENGKALIS,1576.2262291303452,"[264, 251, 76]"
KAB. INDRAGIRI HILIR,1345.1298135571717,"[264, 251]"
KAB. INDRAGIRI HULU,1449.9404815765736,"[264, 251, 76]"
KAB. KAMPAR,1525.2095663410485,"[264, 251]"
KAB. KEPULAUAN MERANTI,1490.3225496622517,"[264, 251, 108]"
KAB. KUANTAN SINGINGI,1540.9679252933,"[264, 265]"
KAB. PELALAWAN,1486.9678533494284,"[264, 251, 267]"
KAB. ROKAN HILIR,1699.5909225084847,"[264, 251, 252, 142]"
KAB. ROKAN HULU,1707.1581932407378,"[264, 251, 209, 84]"
KAB. SIAK,1554.0065400160163,"[264, 251, 209]"
KOTA DUMAI,1658.8298018535077,"[264, 251, 209, 84]"
KOTA PEKANBARU,1547.2029678824824,"[264, 251, 252, 137]"
KAB. BINTAN,1483.0467690010373,"[264, 251, 252, 142, 141, 140, 139]"
KAB. KARIMUN,1455.5387963200274,"[264, 251, 108]"
KAB. KEPULAUAN ANAMBAS,1432.7768694008907,"[264, 251]"
KAB. LINGGA,1239.1229970133068,"[264, 263, 143]"
KAB. NATUNA,1710.4092318888963,"[264, 251, 252, 142, 141, 140]"
KOTA BATAM,1441.0439548852546,"[264, 251, 235]"
KOTA TANJUNG PINANG,1459.9781135114024,"[264, 245, 247, 248]"
PULAU TAMBELAN KAB. BINTAN,1398.0188425006659,"[264, 251, 209, 210, 211]"
PEKAJANG KAB. LINGGA,1250.638343055067,"[264, 263]"
PULAU SERASAN KAB. NATUNA,1296.2615636681508,"[264, 251, 348, 322, 323]"
PULAU MIDAI KAB. NATUNA,1330.3059965737468,"[264, 263]"
PULAU LAUT KAB. NATUNA,1521.9474271096658,"[264, 263, 97]"
KAB. BATANGHARI,1251.751981460289,"[264, 194]"
KAB. BUNGO,1384.523814074969,"[264, 194, 99]"
KAB. KERINCI,1421.5944211558917,"[264, 251, 198, 169, 187, 149, 102]"
KAB. MERANGIN,1352.11857115198,"[264, 251, 198, 169, 187, 149]"
KAB. MUARO JAMBI,1220.022017582981,"[264, 251, 252, 137, 138]"
KAB. SAROLANGUN,1230.150740762947,"[264, 251]"
KAB. TANJUNG JABUNG BARAT,1329.8277227439442,"[264, 251, 198, 169]"
KAB. TANJUNG JABUNG TIMUR,1293.1773560820257,"[264, 251, 198, 213, 214, 215]"
KAB. TEBO,1336.0048718733744,"[264, 251, 108]"
KOTA JAMBI,1189.895473670819,"[264, 251]"
KOTA SUNGAI PENUH,1348.4718789495273,[264]
KAB. BENGKULU SELATAN,1141.4364919290174,"[264, 251, 235, 234, 233]"
KAB. BENGKULU TENGAH,1195.5525560365018,"[264, 251, 198]"
KAB. BENGKULU UTARA,1261.6817724942923,"[264, 251, 198, 111]"
KAB. KAUR,1065.4250547845436,"[264, 184]"
KAB. KEPAHIANG,1186.325432443161,"[264, 184, 113]"
KAB. LEBONG,1259.0828056140444,"[264, 184, 113, 114]"
KAB. MUKOMUKO,1320.2741688307524,"[264, 194, 117]"
