city,distance,through
KAB. ACEH BARAT,2173.9696446264256,"[223, 222, 221, 153, 123, 62]"
KAB. ACEH BARAT DAYA,2131.831245301046,"[223, 222, 213, 198, 166, 165]"
KAB. ACEH BESAR,2277.37676445717,"[223, 222]"
KAB. ACEH JAYA,2215.291030240836,"[223, 222, 4]"
KAB. ACEH SELATAN,1964.8258484811977,"[223, 222]"
KAB. ACEH SINGKIL,1859.009471218105,"[223, 222, 221, 153]"
KAB. ACEH TAMIANG,1989.3138226876981,"[223, 222, 213, 214, 86]"
KAB. ACEH TENGAH,2108.6355546368195,"[223, 222, 135, 84, 30, 26]"
KAB. ACEH TENGGARA,1951.81451580449,"[223, 222, 67]"
KAB. ACEH TIMUR,2062.05228273737,"[223, 224, 88]"
KAB. ACEH UTARA,2128.6424168258577,"[223, 224, 88, 9]"
KAB. BENER MERIAH,2108.6816799106605,"[223, 222, 43, 42]"
KAB. BIREUEN,2159.676853484282,"[223, 222, 43, 42, 11]"
KAB. GAYO LUES,2044.1913421146678,"[223, 125, 70]"
KAB. NAGAN RAYA,2096.8346824518862,"[223, 222, 25]"
KAB. PIDIE,2218.86004453607,"[223, 222, 25, 14]"
KAB. PIDIE JAYA,2205.153819483546,"[223, 222, 76, 75]"
KAB. SIMEULUE,2038.0347551917216,"[223, 222, 175]"
KOTA BANDA ACEH,2308.9437920462397,"[223, 222, 175, 38, 39]"
KOTA LANGSA,2044.5561081893852,"[223, 125]"
KOTA LHOKSEUMAWE,2120.9560798811244,"[223, 222]"
KOTA SABANG,2329.1535272802234,"[223, 222, 2]"
KOTA SUBULUSSALAM,1877.830740969974,"[223, 224, 27]"
KAB. ASAHAN,1825.8267638218606,"[223, 224, 24]"
KAB. BATUBARA,1783.4941860215065,"[223, 224]"
KAB. DAIRI,1855.536978677556,"[223, 222]"
KAB. DELI SERDANG,1871.8762450903444,"[223, 222, 135, 84, 30]"
KAB. HUMBANG HASUNDUTAN,1785.2352444303947,"[223, 224]"
KAB. KARO,1881.9680127409677,"[223, 222, 25]"
KAB. LABUHANBATU,1687.1424758093754,"[223, 222, 135, 84, 30]"
KAB. LABUHANBATU SELATAN,1635.5369103536357,"[223, 222, 135, 84]"
KAB. LABUHANBATU UTARA,1700.9111060404305,"[223, 222, 135, 84, 30]"
KAB. LANGKAT,1930.6856502155838,"[223, 222, 128]"
KAB. MANDAILING NATAL,1614.5329892667146,"[223, 224]"
KAB. NIAS,1796.1798935927773,"[223, 222, 221, 153, 123, 62]"
KAB. NIAS BARAT,1826.3060140916234,"[223, 222, 221, 153, 123, 62, 34]"
KAB. NIAS SELATAN,1796.9163184052504,"[223, 222, 221, 153, 58]"
KAB. NIAS UTARA,1830.449558563192,"[223, 222, 213, 57]"
KAB. PADANG LAWAS,1603.3434782354611,"[223, 222, 175]"
KAB. PADANG LAWAS UTARA,1657.912963237937,"[223, 222, 175, 38]"
KAB. PAKPAK BHARAT,1846.3715328842336,"[223, 222, 175, 38, 39]"
KAB. SAMOSIR,1794.7517447920382,"[223, 222, 135]"
KAB. SERDANG BEDAGAI,1827.2235987189429,"[223, 222, 43]"
KAB. SIMALUNGUN,1780.3375331061557,"[223, 222]"
KAB. TAPANULI SELATAN,1714.1643331423015,"[223, 125, 107]"
KAB. TAPANULI TENGAH,1770.6637126288153,"[223, 194]"
KAB. TAPANULI UTARA,1727.0702487376877,"[223, 222, 213]"
KAB. TOBA SAMOSIR,1731.6751256417044,[223]
KOTA BINJAI,1896.4764961605363,"[223, 47]"
KOTA GUNUNGSITOLI,1832.7795772014936,"[223, 185, 66, 65]"
KOTA MEDAN,1941.7741510518938,"[223, 222, 221, 168]"
