city,distance,through
KAB. ACEH BARAT,4947.097991661557,"[500, 452, 325, 324, 323]"
KAB. ACEH BARAT DAYA,4846.3799047502,"[500, 452, 412, 363, 357]"
KAB. ACEH BESAR,4999.334998525318,"[500, 491, 489]"
KAB. ACEH JAYA,4966.558624146846,"[500, 491, 489]"
KAB. ACEH SELATAN,4760.248470930336,"[500, 452, 325]"
KAB. ACEH SINGKIL,4684.261087698196,"[500, 491, 461]"
KAB. ACEH TAMIANG,4718.669755761999,"[500, 452, 325]"
KAB. ACEH TENGAH,4842.323781519155,"[500, 491, 424, 26]"
KAB. ACEH TENGGARA,4718.987413345409,"[500, 491, 489, 514]"
KAB. ACEH TIMUR,4777.76503694324,"[500, 491, 489, 514, 513, 375]"
KAB. ACEH UTARA,4821.710526195598,"[500, 491, 372, 373, 374]"
KAB. BENER MERIAH,4853.73575115307,"[500, 491, 489, 514, 513, 375]"
KAB. BIREUEN,4874.632824506375,"[500, 491, 489, 514, 430]"
KAB. GAYO LUES,4812.856868031078,"[500, 452, 412, 363, 357]"
KAB. NAGAN RAYA,4891.357510767951,"[500, 452, 412]"
KAB. PIDIE,4973.615335118403,"[500, 491, 424, 26, 16]"
KAB. PIDIE JAYA,4944.083938485823,"[500, 491, 424, 26]"
KAB. SIMEULUE,4922.712963783004,"[500, 452, 325, 55]"
KOTA BANDA ACEH,5036.405506094863,"[500, 491, 372, 373, 97, 19]"
KOTA LANGSA,4719.245850528757,"[500, 491, 372, 373, 97]"
KOTA LHOKSEUMAWE,4812.871319460912,"[500, 491, 489]"
KOTA SABANG,5029.01885922959,"[500, 491, 489, 20]"
KOTA SUBULUSSALAM,4677.500740139738,"[500, 491, 422]"
KAB. ASAHAN,4499.081425195389,"[500, 491, 489, 514, 430]"
KAB. BATUBARA,4517.9436420956445,"[500, 371]"
KAB. DAIRI,4659.303813508978,"[500, 371, 24]"
KAB. DELI SERDANG,4605.56447197268,"[500, 491, 424]"
KAB. HUMBANG HASUNDUTAN,4620.182746693245,"[500, 491, 489, 511]"
KAB. KARO,4668.833859532285,"[500, 452, 325, 55]"
KAB. LABUHANBATU,4460.104362130599,"[500, 491, 489, 514, 430, 96]"
KAB. LABUHANBATU SELATAN,4422.736558236689,"[500, 452, 345, 321]"
KAB. LABUHANBATU UTARA,4473.386551378537,"[500, 452, 319]"
KAB. LANGKAT,4710.862453436951,"[500, 452, 319, 31]"
KAB. MANDAILING NATAL,4496.139242897552,"[500, 452, 325, 88]"
KAB. NIAS,4666.172935581494,[500]
KAB. NIAS BARAT,4696.29905608034,"[500, 34]"
KAB. NIAS SELATAN,4654.7836515200925,"[500, 491, 424]"
KAB. NIAS UTARA,4710.106250259729,"[500, 491, 38]"
KAB. PADANG LAWAS,4440.442881431724,"[500, 491]"
KAB. PADANG LAWAS UTARA,4478.013305179475,"[500, 452, 345, 321, 84]"
KAB. PAKPAK BHARAT,4649.038179330012,"[500, 452, 319]"
KAB. SAMOSIR,4653.3057605871645,"[500, 491, 424, 51]"
KAB. SERDANG BEDAGAI,4578.202529015294,"[500, 491, 43]"
KAB. SIMALUNGUN,4531.316463402507,"[500, 491]"
KAB. TAPANULI SELATAN,4519.19025871631,"[500, 491, 489, 514, 430, 79]"
KAB. TAPANULI TENGAH,4589.834470442934,"[500, 491, 489, 514, 430, 79, 44]"
KAB. TAPANULI UTARA,4541.672773073566,"[500, 452, 319]"
KAB. TOBA SAMOSIR,4519.978895178585,"[500, 491, 424]"
KOTA BINJAI,4649.901413432608,"[500, 491, 43, 52]"
KOTA GUNUNGSITOLI,4721.827756972934,"[500, 406, 77]"
KOTA MEDAN,4636.494241038824,"[500, 491, 489, 514, 430, 23]"
KOTA PADANGSIDEMPUAN,4503.856928635083,"[500, 491, 424]"
KOTA PEMATANGSIANTAR,4554.698149543404,"[500, 491, 43]"
KOTA SIBOLGA,4593.96995987272,"[500, 491, 489, 418, 426]"
KOTA TANJUNGBALAI,4536.005092688147,"[500, 491, 489, 514, 515, 428]"
KOTA TEBING TINGGI,4566.84386740789,"[500, 452, 325]"
KAB. AGAM,4404.739214066624,"[500, 452, 412, 57]"
KAB. DHARMASRAYA,4215.9243740795155,"[500, 452, 412]"
KAB. KEPULAUAN MENTAWAI,4514.083182530437,"[500, 491, 489]"
KAB. LIMA PULUH KOTA,4376.16037799035,"[500, 452, 325, 88]"
KAB. PADANG PARIAMAN,4379.916467312526,"[500, 452, 412, 348]"
KAB. PASAMAN,4419.348094878314,"[500, 452, 325, 88, 59]"
KAB. PASAMAN BARAT,4454.816780107683,"[500, 452, 412]"
KAB. PESISIR SELATAN,4288.278401281662,"[500, 491]"
KAB. SIJUNJUNG,4321.470469170874,"[500, 491, 403]"
KAB. SOLOK,4302.469270482332,"[500, 452, 345]"
KAB. SOLOK SELATAN,4260.764042010322,"[500, 491, 424]"
KAB. TANAH DATAR,4360.763376240132,"[500, 491, 489, 514, 73]"
KOTA BUKITTINGGI,4362.821411297387,"[500, 491, 489]"
KOTA PADANG,4390.423268928572,"[500, 491, 489, 514, 410, 381, 339, 107]"
KOTA PADANGPANJANG,4357.269331124986,"[500, 491, 461]"
KOTA PARIAMAN,4392.633033045888,"[500, 491, 461, 70]"
KOTA PAYAKUMBUH,4383.816196404569,"[500, 491, 489, 514, 73]"
KOTA SAWAHLUNTO,4332.057407484937,"[500, 491, 489, 514]"
KOTA SOLOK,4329.230521205544,"[500, 491, 424]"
KAB. BENGKALIS,4319.400952366568,"[500, 452, 325, 76]"
KAB. INDRAGIRI HILIR,4088.3045367933946,"[500, 452, 325]"
KAB. INDRAGIRI HULU,4159.281486742821,"[500, 406]"
KAB. KAMPAR,4315.515233716024,"[500, 406, 77]"
KAB. KEPULAUAN MERANTI,4135.433088104655,"[500, 491, 489, 514, 430]"
KAB. KUANTAN SINGINGI,4234.709313198958,"[500, 491, 424]"
KAB. PELALAWAN,4191.514723199308,"[500, 491, 489, 407]"
