city,distance,through
KAB. ACEH BARAT,4677.193703343456,"[502, 430, 62]"
KAB. ACEH BARAT DAYA,4720.732189553006,"[502, 503, 504, 452, 412, 363, 357]"
KAB. ACEH BESAR,4694.174440481152,"[502, 430, 21]"
KAB. ACEH JAYA,4727.239200157821,"[502, 430, 79, 78, 4]"
KAB. ACEH SELATAN,4476.774018398182,"[502, 430, 79, 78]"
KAB. ACEH SINGKIL,4526.588689389689,"[502, 430, 79, 80, 74, 73, 72]"
KAB. ACEH TAMIANG,4514.656291415071,"[502, 430, 96, 38]"
KAB. ACEH TENGAH,4536.5982334013715,"[502, 430, 96, 97, 19, 20]"
KAB. ACEH TENGGARA,4564.8879268608,"[502, 394, 327, 328]"
KAB. ACEH TIMUR,4587.4979291637255,"[502, 503, 11, 10]"
KAB. ACEH UTARA,4520.907795075238,"[502, 503, 11]"
KAB. BENER MERIAH,4481.7865933757375,"[502, 503]"
KAB. BIREUEN,4477.142887839872,"[502, 430]"
KAB. GAYO LUES,4421.24473509079,"[502, 503]"
KAB. NAGAN RAYA,4518.339572175808,"[502, 503, 13]"
KAB. PIDIE,4632.695166307341,"[502, 430, 96, 29, 16]"
KAB. PIDIE JAYA,4603.163769674761,"[502, 430, 96, 29]"
KAB. SIMEULUE,4541.9970174532655,"[502, 503]"
KOTA BANDA ACEH,4644.011689338438,"[502, 430, 96, 97, 19]"
KOTA LANGSA,4326.852033772332,"[502, 430, 96, 97]"
KOTA LHOKSEUMAWE,4448.323255252709,"[502, 430, 96, 97, 19]"
KOTA SABANG,4642.3976776580985,"[502, 430]"
KOTA SUBULUSSALAM,4292.805893420541,"[502, 430, 23]"
KAB. ASAHAN,4101.591488528886,"[502, 430]"
KAB. BATUBARA,4143.924066329239,"[502, 430, 23]"
KAB. DAIRI,4282.105865885702,"[502, 430, 96, 29]"
KAB. DELI SERDANG,4350.559325656545,"[502, 430, 96, 29, 30]"
KAB. HUMBANG HASUNDUTAN,4240.9179537543405,"[502, 430, 96, 29]"
KAB. KARO,4290.526273676358,"[502, 430, 96, 29]"
KAB. LABUHANBATU,4062.6144254640963,"[502, 430, 96]"
KAB. LABUHANBATU SELATAN,4114.219990919836,"[502, 430, 96, 29]"
KAB. LABUHANBATU UTARA,4179.5941866066305,"[502, 430, 96, 29, 30]"
KAB. LANGKAT,4417.070088665045,"[502, 430, 96, 29, 30, 31]"
KAB. MANDAILING NATAL,4266.074321947489,"[502, 430, 96, 38, 39]"
KAB. NIAS,4299.403952309807,"[502, 430, 62]"
KAB. NIAS BARAT,4329.530072808653,"[502, 430, 62, 34]"
KAB. NIAS SELATAN,4380.7678209485175,"[502, 430, 62, 34, 35]"
KAB. NIAS UTARA,4378.043330298096,"[502, 430, 96]"
KAB. PADANG LAWAS,4114.278169862934,"[502, 430, 96]"
KAB. PADANG LAWAS UTARA,4168.84765486541,"[502, 430, 96, 38]"
