city,distance,through
KAB. ACEH BARAT,1419.1916447700019,"[92, 93, 71, 73, 74, 51]"
KAB. ACEH BARAT DAYA,1502.8614723736096,"[92, 24, 25, 28, 20, 21, 2]"
KAB. ACEH BESAR,1252.5666301700792,"[92, 24, 25, 28, 20, 21]"
KAB. ACEH JAYA,1328.8701035071779,"[92, 24, 25, 28, 20, 21, 2]"
KAB. ACEH SELATAN,1139.0951716990085,"[92, 93, 71, 70]"
KAB. ACEH SINGKIL,1056.3766230144506,"[92, 93, 71, 72]"
KAB. ACEH TAMIANG,1142.7538082084104,"[92, 24, 25, 26, 7]"
KAB. ACEH TENGAH,1011.0762829726333,"[92, 24, 25, 26]"
KAB. ACEH TENGGARA,1169.8843084542148,"[92, 24, 25, 26, 7]"
KAB. ACEH TIMUR,1305.1624801265068,"[92, 24, 25, 26, 7, 8]"
KAB. ACEH UTARA,1273.60265811096,"[92, 24, 25, 14, 13, 12, 11]"
KAB. BENER MERIAH,1234.4814564114592,"[92, 24, 25, 14, 13, 12]"
KAB. BIREUEN,1183.4862828378377,"[92, 24, 25, 14, 13]"
KAB. GAYO LUES,1034.2791221379457,"[92, 24, 25, 14]"
KAB. NAGAN RAYA,937.1842850529271,"[92, 24, 25]"
KAB. PIDIE,1059.2096471371106,"[92, 24, 25, 14]"
KAB. PIDIE JAYA,1088.741043769691,"[92, 24, 25, 14, 15]"
KAB. SIMEULUE,1180.1767038415173,"[92, 24, 25, 28, 55]"
KOTA BANDA ACEH,1423.2732046248304,"[92, 24, 25, 28, 20, 19]"
KOTA LANGSA,1106.1135490587242,"[92, 24, 25, 28, 20]"
KOTA LHOKSEUMAWE,984.6423275783475,"[92, 24, 25, 28]"
KOTA SABANG,1200.7898673470256,"[92, 24, 25, 28, 20]"
KOTA SUBULUSSALAM,788.0733925572728,"[92, 24, 23]"
KAB. ASAHAN,596.8589876656175,"[92, 24]"
KAB. BATUBARA,554.5264098652634,[92]
KAB. DAIRI,695.8865812785967,"[92, 24]"
KAB. DELI SERDANG,774.3169734261584,"[92, 24, 25]"
KAB. HUMBANG HASUNDUTAN,828.7170533011055,"[92, 24, 25, 28]"
KAB. KARO,722.3176153420084,"[92, 24, 25]"
KAB. LABUHANBATU,913.257147606533,"[92, 93, 71, 70, 30]"
KAB. LABUHANBATU SELATAN,861.6515821507933,"[92, 93, 71, 70]"
KAB. LABUHANBATU UTARA,927.0257778375881,"[92, 93, 71, 70, 30]"
KAB. LANGKAT,1164.5016798960023,"[92, 93, 71, 70, 30, 31]"
KAB. MANDAILING NATAL,907.5463413772877,"[92, 93, 65, 63]"
KAB. NIAS,950.0865102970741,"[92, 24, 25, 49, 35]"
KAB. NIAS BARAT,919.9603897982281,"[92, 24, 25, 49]"
KAB. NIAS SELATAN,971.1981379380929,"[92, 24, 25, 49, 35]"
KAB. NIAS UTARA,1054.2376857214367,"[92, 24, 25, 49, 35, 36]"
KAB. PADANG LAWAS,955.4741081628972,"[92, 24, 25]"
KAB. PADANG LAWAS UTARA,1004.7730084593666,"[92, 93, 65, 63, 33]"
KAB. PAKPAK BHARAT,1078.21516683569,"[92, 93, 71, 72, 41]"
KAB. SAMOSIR,1013.5455546657292,"[92, 93, 71, 72]"
KAB. SERDANG BEDAGAI,1097.7750474969666,"[92, 93, 71, 72, 41]"
KAB. SIMALUNGUN,1114.852303691592,"[92, 93, 108, 107, 44]"
KAB. TAPANULI SELATAN,959.1015699405584,"[92, 93, 108, 107]"
KAB. TAPANULI TENGAH,1029.7457816671822,"[92, 93, 108, 107, 44]"
KAB. TAPANULI UTARA,985.2995374726424,"[92, 93, 71, 73]"
KAB. TOBA SAMOSIR,1024.973409689347,"[92, 93, 71, 73, 46]"
KOTA BINJAI,1164.1208842701562,"[92, 24, 25, 49]"
KOTA GUNUNGSITOLI,886.5891344187845,"[92, 24, 25]"
KOTA MEDAN,734.2718035090522,"[92, 24, 23]"
