city,distance,through
KAB. ACEH BARAT,1726.875257658694,"[187, 113, 114, 115, 62]"
KAB. ACEH BARAT DAYA,1776.127818795419,"[187, 149, 139, 140]"
KAB. ACEH BESAR,1821.758339033245,[187]
KAB. ACEH JAYA,1761.4744205540383,"[187, 149, 4]"
KAB. ACEH SELATAN,1511.0092387943998,"[187, 149]"
KAB. ACEH SINGKIL,1445.9979680553515,"[187, 113, 74, 73, 72]"
KAB. ACEH TAMIANG,1608.9154392397268,"[187, 113, 114, 115, 116, 69, 70]"
KAB. ACEH TENGAH,1638.0066401311133,"[187, 8]"
KAB. ACEH TENGGARA,1479.1986146495317,[187]
KAB. ACEH TIMUR,1614.4767863218237,"[187, 8]"
KAB. ACEH UTARA,1681.0669204103115,"[187, 8, 9]"
KAB. BENER MERIAH,1662.8678223994002,"[187, 149, 42]"
KAB. BIREUEN,1713.8629959730217,"[187, 149, 42, 11]"
KAB. GAYO LUES,1605.9983947994524,"[187, 113, 112]"
KAB. NAGAN RAYA,1703.0932318844712,"[187, 113, 112, 13]"
KAB. PIDIE,1755.7836336053958,[187]
KAB. PIDIE JAYA,1785.084805586303,"[187, 113, 74]"
KAB. SIMEULUE,1585.110213196514,"[187, 113, 112]"
KOTA BANDA ACEH,1842.3544941526811,"[187, 39]"
KOTA LANGSA,1586.9170453877628,"[187, 169]"
KOTA LHOKSEUMAWE,1708.3882668681395,"[187, 169, 19]"
KOTA SABANG,1873.5351018562985,"[187, 2]"
KOTA SUBULUSSALAM,1502.4439580774247,"[187, 169, 170, 136]"
KAB. ASAHAN,1608.357892810678,"[187, 149, 102, 50]"
KAB. BATUBARA,1632.2129301032444,"[187, 113, 74, 63]"
KAB. DAIRI,1505.4806772311551,"[187, 39, 38]"
KAB. DELI SERDANG,1480.574765276825,"[187, 113, 51]"
KAB. HUMBANG HASUNDUTAN,1514.5333193735269,"[187, 113, 114, 115, 116, 69, 70, 30, 29]"
KAB. KARO,1521.135482973415,"[187, 56, 55]"
KAB. LABUHANBATU,1336.2297910832829,"[187, 113, 114, 115, 116, 69, 70, 30]"
KAB. LABUHANBATU SELATAN,1284.6242256275432,"[187, 113, 114, 115, 116, 69, 70]"
KAB. LABUHANBATU UTARA,1349.998421314338,"[187, 113, 114, 115, 116, 69, 70, 30]"
KAB. LANGKAT,1552.4627251640925,"[187, 113, 114, 45]"
KAB. MANDAILING NATAL,1229.2065266584582,"[187, 169, 170]"
KAB. NIAS,1342.7047846759597,"[187, 113, 114, 115, 116, 69]"
KAB. NIAS BARAT,1359.0679304979162,"[187, 58, 36]"
KAB. NIAS SELATAN,1307.8301823580514,"[187, 58]"
KAB. NIAS UTARA,1390.8697301413952,"[187, 58, 36]"
KAB. PADANG LAWAS,1245.8931503468546,"[187, 39]"
KAB. PADANG LAWAS UTARA,1191.3236653443787,[187]
KAB. PAKPAK BHARAT,1379.7822349906753,"[187, 39]"
KAB. SAMOSIR,1393.6892273027267,"[187, 113, 51]"
KAB. SERDANG BEDAGAI,1381.4097412076826,"[187, 149]"
KAB. SIMALUNGUN,1352.1770220225105,"[187, 39]"
KAB. TAPANULI SELATAN,1394.669231710418,"[187, 113, 114, 45]"
KAB. TAPANULI TENGAH,1324.0250199837942,"[187, 113, 114]"
KAB. TAPANULI UTARA,1326.7168634142622,"[187, 113, 74, 73]"
KAB. TOBA SAMOSIR,1317.4508362270885,"[187, 149, 102]"
KOTA BINJAI,1470.7619720526106,"[187, 39, 43, 52]"
KOTA GUNUNGSITOLI,1392.43918587736,"[187, 58, 36, 35]"
KOTA MEDAN,1470.9450769672435,"[187, 149, 102]"
KOTA PADANGSIDEMPUAN,1244.2403953506453,"[187, 113]"
KOTA PEMATANGSIANTAR,1375.558708163407,"[187, 39, 43]"
KOTA SIBOLGA,1368.391545316632,"[187, 169, 170, 77, 78]"
KOTA TANJUNGBALAI,1471.119602941226,"[187, 149, 139, 138]"
KOTA TEBING TINGGI,1419.1454908490205,"[187, 56]"
KAB. AGAM,1008.9442596229022,[187]
KAB. DHARMASRAYA,1073.6151195961734,"[187, 149, 148]"
KAB. KEPULAUAN MENTAWAI,1041.0242648456383,[187]
KAB. LIMA PULUH KOTA,1178.9073670322114,"[187, 149, 111, 61]"
KAB. PADANG PARIAMAN,1206.2483136496564,"[187, 188, 189]"
KAB. PASAMAN,1135.7196501442468,"[187, 149, 111]"
KAB. PASAMAN BARAT,1117.706358194381,"[187, 113, 114, 115]"
KAB. PESISIR SELATAN,1066.2699333408864,"[187, 113, 74]"
KAB. SIJUNJUNG,1115.0800732103344,"[187, 169, 170, 182, 194, 99]"
KAB. SOLOK,1100.5604298621274,"[187, 169, 168, 124, 66]"
KAB. SOLOK SELATAN,1036.2275707874753,"[187, 169, 168, 124]"
KAB. TANAH DATAR,1002.3420466072002,"[187, 113, 74, 73]"
KOTA BUKITTINGGI,1031.214878029121,"[187, 113, 74, 73, 67]"
KOTA PADANG,969.0055546025911,"[187, 113, 114, 115, 116]"
KOTA PADANGPANJANG,1022.5311454347496,"[187, 113, 114, 115, 116, 69]"
