city,distance,through
KAB. ACEH BARAT,2962.124953945217,"[291, 290, 141, 140, 1]"
KAB. ACEH BARAT DAYA,2842.433157312049,"[291, 290, 141, 140]"
KAB. ACEH BESAR,3092.7279995155795,"[291, 290, 141, 140, 1]"
KAB. ACEH JAYA,3024.3146188659375,"[291, 280, 4]"
KAB. ACEH SELATAN,2773.8494371062993,"[291, 280]"
KAB. ACEH SINGKIL,2664.685698309978,"[291, 292, 108, 107, 72]"
KAB. ACEH TAMIANG,2782.7029680352866,"[291, 290, 137, 86]"
KAB. ACEH TENGAH,2886.3157455731575,"[291, 135, 84, 30, 26]"
KAB. ACEH TENGGARA,2735.7928144362745,"[291, 290, 137]"
KAB. ACEH TIMUR,2831.206865094442,"[291, 292, 282, 258]"
KAB. ACEH UTARA,2897.7969991829295,"[291, 292, 282, 258, 9]"
KAB. BENER MERIAH,2894.463303111387,"[291, 290, 137]"
KAB. BIREUEN,2945.458476685009,"[291, 290, 137, 11]"
KAB. GAYO LUES,2807.26180712503,"[291, 290, 137]"
KAB. NAGAN RAYA,2874.945879207343,"[291, 135, 25]"
KAB. PIDIE,2965.937566836205,"[291, 27, 22]"
KAB. PIDIE JAYA,2988.075902539825,"[291, 135, 84, 30, 26]"
KAB. SIMEULUE,2859.279706725173,"[291, 280, 59]"
KOTA BANDA ACEH,3102.9379981623024,"[291, 135, 84, 39]"
KOTA LANGSA,2795.1112793360358,"[291, 292, 282]"
KOTA LHOKSEUMAWE,2900.0465804491955,"[291, 27, 28]"
KOTA SABANG,3079.5996555812317,"[291, 27, 22]"
KOTA SUBULUSSALAM,2623.9179267933387,"[291, 27]"
KAB. ASAHAN,2631.6982064243853,"[291, 280, 93, 92, 24]"
KAB. BATUBARA,2589.365628624031,"[291, 280, 93, 92]"
KAB. DAIRI,2633.6481754330125,"[291, 135]"
KAB. DELI SERDANG,2649.5564360266826,"[291, 135, 84, 30]"
KAB. HUMBANG HASUNDUTAN,2531.322430253759,[291]
KAB. KARO,2637.7218682128564,"[291, 27]"
KAB. LABUHANBATU,2448.199932662037,"[291, 290, 137]"
KAB. LABUHANBATU SELATAN,2413.217101289974,"[291, 135, 84]"
KAB. LABUHANBATU UTARA,2418.864646084123,[291]
KAB. LANGKAT,2656.340548142537,"[291, 31]"
KAB. MANDAILING NATAL,2446.6954012737638,"[291, 244, 227, 226]"
KAB. NIAS,2596.5955358875726,"[291, 292, 108, 107, 62]"
KAB. NIAS BARAT,2613.609761099949,"[291, 292]"
KAB. NIAS SELATAN,2602.203672324006,"[291, 280, 281, 242, 269, 268, 229]"
KAB. NIAS UTARA,2652.7624030356665,"[291, 292, 99, 100]"
KAB. PADANG LAWAS,2440.471130583147,"[291, 222, 175]"
KAB. PADANG LAWAS UTARA,2451.907169354,"[291, 135, 84]"
KAB. PAKPAK BHARAT,2637.101547898337,"[291, 135, 41]"
KAB. SAMOSIR,2572.431935728376,"[291, 135]"
KAB. SERDANG BEDAGAI,2623.923785427738,"[291, 292, 282, 258]"
KAB. SIMALUNGUN,2595.819190498233,"[291, 290, 245, 205]"
KAB. TAPANULI SELATAN,2486.218370433818,"[291, 292, 108, 107]"
KAB. TAPANULI TENGAH,2556.862582160442,"[291, 292, 108, 107, 44]"
KAB. TAPANULI UTARA,2534.288919984467,"[291, 290, 137, 138]"
KAB. TOBA SAMOSIR,2550.0275305681944,"[291, 244]"
KOTA BINJAI,2678.78543469694,"[291, 135, 84, 52]"
KOTA GUNUNGSITOLI,2636.1290439156237,"[291, 292, 282, 77]"
KOTA MEDAN,2717.221002639427,"[291, 292, 64]"
KOTA PADANGSIDEMPUAN,2489.794964358536,"[291, 280, 281, 242, 243]"
KOTA PEMATANGSIANTAR,2583.582170807736,"[291, 135, 84]"
KOTA SIBOLGA,2547.739846952799,"[291, 292, 282, 77, 78]"
KOTA TANJUNGBALAI,2507.879183353489,"[291, 292]"
KOTA TEBING TINGGI,2589.6159310250473,"[291, 292, 54]"
