city,distance,through
KAB. ACEH BARAT,2262.2114780897136,"[266, 51]"
KAB. ACEH BARAT DAYA,2195.438130685739,"[266, 267, 230, 165]"
KAB. ACEH BESAR,2390.093989100636,"[266, 267, 268]"
KAB. ACEH JAYA,2333.1486359357646,"[266, 267, 251, 78, 4]"
KAB. ACEH SELATAN,2082.6834541761264,"[266, 267, 251, 78]"
KAB. ACEH SINGKIL,1985.9769801431964,"[266, 267, 251, 108, 107, 72]"
KAB. ACEH TAMIANG,2088.8172965732897,"[266, 86]"
KAB. ACEH TENGAH,2201.1592090113877,"[266, 267, 81]"
KAB. ACEH TENGGARA,2071.182217306752,"[266, 267, 251, 252, 137]"
KAB. ACEH TIMUR,2206.460388979044,"[266, 267, 251, 252, 137, 8]"
KAB. ACEH UTARA,2208.53348492087,"[266, 267, 268]"
KAB. BENER MERIAH,2229.8527059818653,"[266, 267, 251, 252, 137]"
KAB. BIREUEN,2280.847879555487,"[266, 267, 251, 252, 137, 11]"
KAB. GAYO LUES,2142.651209995508,"[266, 267, 251, 252, 137]"
KAB. NAGAN RAYA,2206.6109915745706,"[266, 86, 25]"
KAB. PIDIE,2322.2706972841615,"[266, 267, 81, 30]"
KAB. PIDIE JAYA,2308.5240406948305,"[266, 267, 81, 30, 26]"
KAB. SIMEULUE,2155.5534130491656,"[266, 267, 268]"
KOTA BANDA ACEH,2419.7106233033974,"[266, 86, 6]"
KOTA LANGSA,2162.9195249600066,"[266, 125]"
KOTA LHOKSEUMAWE,2247.7031246409488,"[266, 267, 81, 30, 28]"
KOTA SABANG,2441.8707519236896,"[266, 267, 268, 2]"
KOTA SUBULUSSALAM,2013.7587164035763,"[266, 267, 173]"
KAB. ASAHAN,2037.0006037480628,"[266, 267, 251, 161, 24]"
KAB. BATUBARA,1994.6680259477087,"[266, 267, 251, 161]"
KAB. DAIRI,1965.3132878002402,"[266, 86]"
KAB. DELI SERDANG,1970.004574181688,"[266, 267, 81, 30]"
KAB. HUMBANG HASUNDUTAN,1956.126036902965,"[266, 267, 268, 229, 228, 85]"
KAB. KARO,1985.37841240461,"[266, 267, 81, 30]"
KAB. LABUHANBATU,1783.5893355325147,"[266, 267, 251, 252, 137]"
KAB. LABUHANBATU SELATAN,1733.6652394449793,"[266, 267, 81]"
KAB. LABUHANBATU UTARA,1799.039435131774,"[266, 267, 81, 30]"
KAB. LANGKAT,2036.5153371901883,"[266, 267, 81, 30, 31]"
KAB. MANDAILING NATAL,1744.0132281150582,"[266, 144]"
KAB. NIAS,1917.8868177207914,"[266, 267, 251, 108, 107, 62]"
KAB. NIAS BARAT,1924.3406740109485,"[266, 144]"
KAB. NIAS SELATAN,1879.0619503407358,"[266, 267, 268, 229]"
KAB. NIAS UTARA,1957.2592771511745,"[266, 215]"
KAB. PADANG LAWAS,1784.294314235778,"[266, 267, 213, 214, 134, 133]"
KAB. PADANG LAWAS UTARA,1790.754956262992,"[266, 267, 268, 135, 84]"
KAB. PAKPAK BHARAT,1975.9493348073295,"[266, 267, 268, 135, 41]"
KAB. SAMOSIR,1911.2797226373686,"[266, 267, 268, 135]"
KAB. SERDANG BEDAGAI,1968.3838281737687,"[266, 267, 268, 229, 149]"
KAB. SIMALUNGUN,1932.0374616273286,"[266, 267, 251, 52]"
KAB. TAPANULI SELATAN,1807.5096522670367,"[266, 267, 251, 108, 107]"
KAB. TAPANULI TENGAH,1878.1538639936603,"[266, 267, 251, 108, 107, 44]"
KAB. TAPANULI UTARA,1843.269678165872,"[266, 267, 251, 78]"
KAB. TOBA SAMOSIR,1882.9435503825764,"[266, 267, 251, 78, 46]"
KOTA BINJAI,2002.7016709987856,"[266, 267, 251]"
KOTA GUNUNGSITOLI,1950.52244553769,"[266, 144, 145, 66, 65]"
KOTA MEDAN,2030.9144262241912,"[266, 51]"
KOTA PADANGSIDEMPUAN,1774.876998741539,[266]
KOTA PEMATANGSIANTAR,1908.6557754864323,"[266, 267, 251]"
KOTA SIBOLGA,1850.0499437107082,"[266, 267, 251, 78]"
KOTA TANJUNGBALAI,1866.6922554007974,"[266, 267, 251, 252, 137, 138]"
KOTA TEBING TINGGI,1929.3425710128604,"[266, 267, 251, 76, 75]"
