city,distance,through
KAB. ACEH BARAT,844.5516930367312,"[68, 67, 73, 74, 51]"
KAB. ACEH BARAT DAYA,964.2434896698994,"[68, 67, 73, 74, 51, 0]"
KAB. ACEH BESAR,906.8903102243064,"[68, 67, 3]"
KAB. ACEH JAYA,830.5868368872076,"[68, 67]"
KAB. ACEH SELATAN,650.6114153210425,"[68, 67, 73, 72, 5]"
KAB. ACEH SINGKIL,529.9406903804611,"[68, 67, 73, 72]"
KAB. ACEH TAMIANG,711.5285491913412,"[68, 69, 70]"
KAB. ACEH TENGAH,716.5188884154563,"[68, 67, 8]"
KAB. ACEH TENGGARA,557.7108629338749,"[68, 67]"
KAB. ACEH TIMUR,692.9890346061669,"[68, 67, 8]"
KAB. ACEH UTARA,759.5791686946545,"[68, 67, 8, 9]"
KAB. BENER MERIAH,798.7003703941552,"[68, 67, 8, 9, 10]"
KAB. BIREUEN,849.6955439677769,"[68, 67, 8, 9, 10, 11]"
KAB. GAYO LUES,722.0555067533294,"[68, 69, 70]"
KAB. NAGAN RAYA,819.1503438383481,"[68, 69, 70, 13]"
KAB. PIDIE,927.4470682645469,"[68, 67, 73, 74, 16]"
KAB. PIDIE JAYA,897.9156716319665,"[68, 67, 73, 74]"
KAB. SIMEULUE,830.4079838192163,"[68, 67, 73, 58]"
KOTA BANDA ACEH,1042.4218759214489,"[68, 69, 70, 6]"
KOTA LANGSA,926.2650880444959,"[68, 67, 8, 7, 20]"
KOTA LHOKSEUMAWE,804.7938665641191,"[68, 67, 8, 7]"
KOTA SABANG,958.66707304736,"[68, 67, 3, 2]"
KOTA SUBULUSSALAM,629.165396618753,"[68, 69, 83]"
KAB. ASAHAN,750.6674570146433,"[68, 67, 73, 74, 51, 50]"
KAB. BATUBARA,745.0437961489079,"[68, 67, 73, 74, 63]"
KAB. DAIRI,658.3343414565034,"[68, 69, 70, 30, 29]"
KAB. DELI SERDANG,593.5515836147362,"[68, 67, 73, 74, 51]"
KAB. HUMBANG HASUNDUTAN,617.1464293251415,"[68, 69, 70, 30, 29]"
KAB. KARO,638.9505085387882,"[68, 69, 70, 30]"
KAB. LABUHANBATU,438.8429010348974,"[68, 69, 70, 30]"
KAB. LABUHANBATU SELATAN,387.23733557915773,"[68, 69, 70]"
KAB. LABUHANBATU UTARA,452.6115312659525,"[68, 69, 70, 30]"
KAB. LANGKAT,688.0916750711847,"[68, 67, 73, 46, 45]"
KAB. MANDAILING NATAL,501.3300354806036,"[68, 67, 73, 74, 63]"
KAB. NIAS,445.317894627574,"[68, 69]"
KAB. NIAS BARAT,475.44401512642,"[68, 69, 34]"
KAB. NIAS SELATAN,526.6817632662849,"[68, 69, 34, 35]"
KAB. NIAS UTARA,609.7213110496285,"[68, 69, 34, 35, 36]"
KAB. PADANG LAWAS,580.7748155443239,"[68, 69, 70, 30, 29]"
KAB. PADANG LAWAS UTARA,598.5567025626824,"[68, 67, 73, 74, 63, 33]"
KAB. PAKPAK BHARAT,551.7792342017004,"[68, 67, 73, 72, 41]"
KAB. SAMOSIR,487.1096220317397,"[68, 67, 73, 72]"
