city,distance,through
KAB. ACEH BARAT,1899.0392600361006,"[190, 158, 112]"
KAB. ACEH BARAT DAYA,2018.7310566692688,"[190, 158, 112, 0]"
KAB. ACEH BESAR,2033.2989309569073,"[190, 191, 125, 70, 4, 3]"
KAB. ACEH JAYA,1956.9954576198086,"[190, 191, 125, 70, 4]"
KAB. ACEH SELATAN,1706.5302758601701,"[190, 191, 125, 70]"
KAB. ACEH SINGKIL,1606.1943693128392,"[190, 189, 107, 72]"
KAB. ACEH TAMIANG,1753.3778999241385,"[190, 191, 125, 70]"
KAB. ACEH TENGAH,1855.2134066755632,"[190, 189, 107, 72]"
KAB. ACEH TENGGARA,1714.31530568183,"[190, 159, 102, 101]"
KAB. ACEH TIMUR,1814.2590094475486,"[190, 191, 125, 126, 109]"
KAB. ACEH UTARA,1880.8491435360363,"[190, 191, 125, 126, 109, 9]"
KAB. BENER MERIAH,1862.0437307407947,"[190, 191, 125, 70]"
KAB. BIREUEN,1913.0389043144162,"[190, 191, 125, 70, 11]"
KAB. GAYO LUES,1763.9048574861267,"[190, 191, 125, 70]"
KAB. NAGAN RAYA,1860.9996945711455,"[190, 191, 125, 70, 13]"
KAB. PIDIE,1983.0250566553289,"[190, 191, 125, 70, 13, 14]"
KAB. PIDIE JAYA,1960.923456149115,"[190, 189, 107, 26]"
KAB. SIMEULUE,1756.4569690250091,"[190, 158, 112]"
KOTA BANDA ACEH,2050.369293807723,"[190, 189, 39]"
KOTA LANGSA,1764.2696235608441,"[190, 191, 125]"
KOTA LHOKSEUMAWE,1881.8119292331867,"[190, 191, 125]"
KOTA SABANG,2052.7573305122446,"[190, 158]"
KOTA SUBULUSSALAM,1712.2962492379775,"[190, 159, 160, 131, 132]"
KAB. ASAHAN,1623.252972342141,"[190, 158, 157, 24]"
KAB. BATUBARA,1580.920394541787,"[190, 158, 157]"
KAB. DAIRI,1664.0395468803672,"[190, 158, 157, 152, 86]"
KAB. DELI SERDANG,1622.4039896359725,"[190, 189, 107]"
KAB. HUMBANG HASUNDUTAN,1641.0938973058696,"[190, 159, 30, 29]"
KAB. KARO,1653.348641002475,"[190, 138, 54, 55]"
KAB. LABUHANBATU,1462.7903690156254,"[190, 159, 30]"
KAB. LABUHANBATU SELATAN,1411.1848035598857,"[190, 159]"
KAB. LABUHANBATU UTARA,1476.5589992466805,"[190, 159, 30]"
KAB. LANGKAT,1687.67590438654,"[190, 191, 125]"
KAB. MANDAILING NATAL,1463.4670002207702,"[190, 159, 160, 161]"
KAB. NIAS,1530.9843074501377,"[190, 191, 125, 61, 62]"
KAB. NIAS BARAT,1561.110427948984,"[190, 191, 125, 61, 62, 34]"
KAB. NIAS SELATAN,1511.4532945143733,"[190, 189, 58]"
KAB. NIAS UTARA,1548.6541721760102,"[190, 191]"
KAB. PADANG LAWAS,1453.907950001896,"[190, 189, 39]"
KAB. PADANG LAWAS UTARA,1399.3384649994202,"[190, 189]"
KAB. PAKPAK BHARAT,1587.7970346457168,"[190, 189, 39]"
KAB. SAMOSIR,1563.3633009641178,"[190, 189, 107, 72]"
KAB. SERDANG BEDAGAI,1607.0778872903393,"[190, 189, 39, 43]"
KAB. SIMALUNGUN,1560.191821677552,"[190, 189, 39]"
KAB. TAPANULI SELATAN,1427.7270414366794,"[190, 189, 107]"
KAB. TAPANULI TENGAH,1498.3712531633032,"[190, 189, 107, 44]"
KAB. TAPANULI UTARA,1472.60796866067,"[190, 138]"
KAB. TOBA SAMOSIR,1512.2818408773744,"[190, 138, 46]"
KOTA BINJAI,1676.5715763574888,"[190, 159, 52]"
KOTA GUNUNGSITOLI,1557.3063622469058,"[190, 159, 65]"
KOTA MEDAN,1587.9055065736252,[190]
KOTA PADANGSIDEMPUAN,1488.4613679055783,"[190, 189, 188, 187, 113]"
KOTA PEMATANGSIANTAR,1581.368312468285,"[190, 159]"
KOTA SIBOLGA,1508.5406104393942,"[190, 159, 78]"
KOTA TANJUNGBALAI,1469.6219012065221,"[190, 138]"
KOTA TEBING TINGGI,1551.3586488780804,"[190, 138, 54]"
KAB. AGAM,1215.8525073378112,"[190, 191, 125, 126, 109]"
KAB. DHARMASRAYA,1092.746362934916,"[190, 159, 160]"
KAB. KEPULAUAN MENTAWAI,1244.6473770019604,"[190, 189]"
KAB. LIMA PULUH KOTA,1226.2097909827994,"[190, 191, 125, 126, 109]"
KAB. PADANG PARIAMAN,1187.8259931860728,"[190, 189]"
KAB. PASAMAN,1239.982866694785,"[190, 191, 125]"
KAB. PASAMAN BARAT,1299.6051590194734,"[190, 191, 125, 61]"
KAB. PESISIR SELATAN,1148.2659453048939,"[190, 159, 160, 131]"
KAB. SIJUNJUNG,1154.6919002513184,"[190, 159, 65]"
KAB. SOLOK,1115.7676064670122,"[190, 159]"
KAB. SOLOK SELATAN,1145.5689678879694,"[190, 159, 160, 161, 129]"
KAB. TANAH DATAR,1246.5630191621333,"[190, 189, 188, 187, 113, 74, 73]"
KOTA BUKITTINGGI,1248.259053406945,"[190, 158, 157, 115, 116, 69]"
KOTA PADANG,1176.6403888527395,"[190, 158, 157, 115, 116]"
KOTA PADANGPANJANG,1166.9936061191613,"[190, 191, 125]"
KOTA PARIAMAN,1202.3573080400633,"[190, 191, 125, 70]"
KOTA PAYAKUMBUH,1185.591268029125,"[190, 189, 107]"
KOTA SAWAHLUNTO,1217.8570504069387,"[190, 189, 188, 187, 113, 74]"
KOTA SOLOK,1203.4129785466619,"[190, 189, 188, 187, 113]"
KAB. BENGKALIS,1470.5947718874913,"[190, 189, 188, 187, 113, 74]"
KAB. INDRAGIRI HILIR,1243.2661126236776,"[190, 189, 188, 187, 169, 170, 77]"
KAB. INDRAGIRI HULU,1138.4554446042757,"[190, 189, 188, 187, 169, 170]"
KAB. KAMPAR,1190.6172841453085,"[190, 159]"
KAB. KEPULAUAN MERANTI,1225.1975581633333,"[190, 191, 125, 108]"
KAB. KUANTAN SINGINGI,1307.5498556793264,"[190, 189, 188, 187, 113, 74]"
KAB. PELALAWAN,1246.43695747124,"[190, 159, 102, 101]"
KAB. ROKAN HILIR,1408.9952632406512,"[190, 87, 88]"
KAB. ROKAN HULU,1397.7322967562502,"[190, 158, 157, 115, 116, 69]"
KAB. SIAK,1291.7280961093038,"[190, 159, 160, 131, 135]"
