city,distance,through
KAB. ACEH BARAT,2574.6806448333255,"[282, 77]"
KAB. ACEH BARAT DAYA,2520.687540142709,"[282, 281, 242, 241, 219, 218]"
KAB. ACEH BESAR,2717.9085295064465,"[282, 77, 78, 4, 3]"
KAB. ACEH JAYA,2641.605056169348,"[282, 77, 78, 4]"
KAB. ACEH SELATAN,2391.1398744097096,"[282, 77, 78]"
KAB. ACEH SINGKIL,2303.637549529316,"[282, 153]"
KAB. ACEH TAMIANG,2401.1306346365054,"[282, 258, 86]"
KAB. ACEH TENGAH,2528.0344360230783,"[282, 258, 80]"
KAB. ACEH TENGGARA,2370.370871623966,"[282, 281, 242, 241]"
KAB. ACEH TIMUR,2441.973382085934,"[282, 258]"
KAB. ACEH UTARA,2508.5635161744217,"[282, 258, 9]"
KAB. BENER MERIAH,2516.148383610948,"[282, 258, 42]"
KAB. BIREUEN,2567.1435571845695,"[282, 258, 42, 11]"
KAB. GAYO LUES,2443.5214853531434,"[282, 281, 242, 241]"
KAB. NAGAN RAYA,2518.9243296377863,"[282, 258, 86, 25]"
KAB. PIDIE,2640.94969172197,"[282, 258, 86, 25, 14]"
KAB. PIDIE JAYA,2622.2328800410087,"[282, 261]"
KAB. SIMEULUE,2492.985192036866,"[282, 281, 242, 269, 268]"
KOTA BANDA ACEH,2723.037451893634,"[282, 19]"
KOTA LANGSA,2405.877796327528,[282]
KOTA LHOKSEUMAWE,2527.3490178079046,"[282, 19]"
KOTA SABANG,2743.4965575765827,"[282, 19, 20]"
KOTA SUBULUSSALAM,2314.9401567970854,"[282, 261, 143]"
KAB. ASAHAN,2297.31545603318,"[282, 281, 242, 200, 224, 24]"
KAB. BATUBARA,2254.982878232826,"[282, 281, 242, 200, 224]"
KAB. DAIRI,2277.626625863456,"[282, 258, 86]"
KAB. DELI SERDANG,2291.338207991916,"[282, 281, 242, 241, 84, 30]"
KAB. HUMBANG HASUNDUTAN,2237.111923259195,"[282, 281, 242, 269, 270]"
KAB. KARO,2304.0576599268675,"[282, 258, 86, 25]"
KAB. LABUHANBATU,2084.6973646931037,"[282, 281, 242]"
KAB. LABUHANBATU SELATAN,2054.9988732552074,"[282, 281, 242, 241, 84]"
KAB. LABUHANBATU UTARA,2120.373068942002,"[282, 281, 242, 241, 84, 30]"
KAB. LANGKAT,2353.8608293919697,"[282, 281, 242, 241, 84]"
KAB. MANDAILING NATAL,2082.7648900639174,"[282, 281, 242, 269, 268, 229, 228]"
KAB. NIAS,2228.5803972464723,"[282, 61, 62]"
KAB. NIAS BARAT,2258.7065177453183,"[282, 61, 62, 34]"
KAB. NIAS SELATAN,2216.4937293284365,"[282, 281, 242, 269, 268, 229]"
KAB. NIAS UTARA,2266.0277655639866,"[282, 120]"
KAB. PADANG LAWAS,2099.9703984202783,"[282, 281, 257, 194, 195]"
KAB. PADANG LAWAS UTARA,2093.6889413192334,"[282, 281, 242, 241, 84]"
KAB. PAKPAK BHARAT,2282.14751096553,"[282, 281, 242, 241, 84, 39]"
KAB. SAMOSIR,2248.711501625069,"[282, 281, 242, 269, 268, 135]"
KAB. SERDANG BEDAGAI,2234.69030241923,"[282, 258]"
KAB. SIMALUNGUN,2221.8356810199602,"[282, 204, 205]"
KAB. TAPANULI SELATAN,2104.5630904044247,"[282, 258]"
KAB. TAPANULI TENGAH,2175.2073021310484,"[282, 258, 44]"
KAB. TAPANULI UTARA,2151.726098399455,"[282, 77, 78]"
KAB. TOBA SAMOSIR,2191.39997061616,"[282, 77, 78, 46]"
KOTA BINJAI,2320.5672066621737,"[282, 281, 242, 241, 84, 52]"
KOTA GUNUNGSITOLI,2246.895560907116,"[282, 77]"
KOTA MEDAN,2360.122448845619,"[282, 281, 242, 243, 51]"
KOTA PADANGSIDEMPUAN,2104.085021362967,"[282, 281, 242, 243]"
KOTA PEMATANGSIANTAR,2225.36394277297,"[282, 281, 242, 241, 84]"
KOTA SIBOLGA,2158.5063639442915,"[282, 77, 78]"
KOTA TANJUNGBALAI,2160.829511903121,"[282, 281, 242, 241]"
KOTA TEBING TINGGI,2242.566259574679,"[282, 281, 242, 241, 54]"
KAB. AGAM,1941.071862341623,"[282, 204, 213, 57]"
KAB. DHARMASRAYA,1752.2570223545144,"[282, 204, 213]"
KAB. KEPULAUAN MENTAWAI,1974.7384792040484,"[282, 153]"
KAB. LIMA PULUH KOTA,1965.2804417447614,"[282, 281, 242, 269, 125, 126, 109]"
KAB. PADANG PARIAMAN,1941.1671977064589,"[282, 281, 242, 269, 270, 133]"
KAB. PASAMAN,1937.5789564911195,[282]
KAB. PASAMAN BARAT,1997.201248815808,"[282, 61]"
KAB. PESISIR SELATAN,1781.2147460130293,"[282, 281, 247, 248]"
KAB. SIJUNJUNG,1821.8925259378575,"[282, 281, 242, 241, 212]"
KAB. SOLOK,1839.7722958080933,"[282, 281, 242, 200, 129, 66]"
KAB. SOLOK SELATAN,1775.4394367334412,"[282, 281, 242, 200, 129]"
KAB. TANAH DATAR,1870.7645694686385,"[282, 153]"
KOTA BUKITTINGGI,1888.0352889263859,"[282, 120]"
KOTA PADANG,1885.9352853151088,"[282, 115, 116]"
KOTA PADANGPANJANG,1906.0642568811236,"[282, 281, 242, 269, 125]"
KOTA PARIAMAN,1904.3342770041252,"[282, 281, 242]"
KOTA PAYAKUMBUH,1891.6186254771924,"[282, 281, 251, 108, 107]"
KOTA SAWAHLUNTO,1861.3025874176667,"[282, 281, 242, 269, 270]"
KOTA SOLOK,1875.7466592779435,"[282, 281, 242, 269, 270, 73]"
KAB. BENGKALIS,1898.4780604482987,"[282, 281, 242, 76]"
KAB. INDRAGIRI HILIR,1667.3816448751252,"[282, 281, 242]"
KAB. INDRAGIRI HULU,1684.349290677002,[282]
KAB. KAMPAR,1840.5830376502056,"[282, 77]"
KAB. KEPULAUAN MERANTI,1753.141172652078,"[282, 281]"
KAB. KUANTAN SINGINGI,1775.0204891064545,"[282, 258]"
KAB. PELALAWAN,1820.1296510427123,"[282, 281, 251, 267]"
KAB. ROKAN HILIR,1967.7384993215587,"[282, 258]"
KAB. ROKAN HULU,1991.7201567178465,"[282, 281, 242, 241, 84]"
KAB. SIAK,1838.568503493125,"[282, 281, 242, 241]"
KOTA DUMAI,1943.3917653306164,"[282, 281, 242, 241, 84]"
KOTA PEKANBARU,1837.1582826887973,"[282, 258]"
KAB. BINTAN,1816.208566694321,"[282, 281, 251, 252, 142, 141, 140, 139]"
KAB. KARIMUN,1714.0765634366628,"[282, 204]"
KAB. KEPULAUAN ANAMBAS,1765.9386670941747,"[282, 281, 251]"
KAB. LINGGA,1519.4588868338824,"[282, 261, 143]"
KAB. NATUNA,1784.9457680207454,"[282, 332, 333]"
KOTA BATAM,1714.3963260356463,"[282, 258, 259]"
KOTA TANJUNG PINANG,1668.7063307062342,"[282, 281, 247, 248]"
PULAU TAMBELAN KAB. BINTAN,1396.4754399783808,"[282, 261]"
PEKAJANG KAB. LINGGA,1586.397679060442,"[282, 281, 242, 269, 268, 229]"
PULAU SERASAN KAB. NATUNA,1469.6452909661277,"[282, 281, 257]"
PULAU MIDAI KAB. NATUNA,1621.0619035617437,"[282, 281, 257, 96]"
PULAU LAUT KAB. NATUNA,1798.5346850747846,"[282, 281, 242, 243]"
KAB. BATANGHARI,1612.8384991026546,"[282, 281, 251, 235]"
KAB. BUNGO,1675.347183979983,"[282, 204]"
KAB. KERINCI,1710.0724618467384,"[282, 281, 242, 149, 102]"
KAB. MERANGIN,1640.5966118428266,"[282, 281, 242, 149]"
KAB. MUARO JAMBI,1543.0293674250104,"[282, 258, 259]"
KAB. SAROLANGUN,1555.4279582248685,"[282, 281]"
KAB. TANJUNG JABUNG BARAT,1605.3646039690746,"[282, 281, 242, 269]"
KAB. TANJUNG JABUNG TIMUR,1590.2131562977002,"[282, 281, 215]"
KAB. TEBO,1669.1666695666584,"[282, 281, 251, 108]"
KOTA JAMBI,1523.057271364103,"[282, 281, 251]"
KOTA SUNGAI PENUH,1708.9526250939043,"[282, 281, 242, 269, 125, 126]"
KAB. BENGKULU SELATAN,1439.231241329371,"[282, 281, 247, 248]"
KAB. BENGKULU TENGAH,1528.7143537297857,"[282, 281, 251, 198]"
KAB. BENGKULU UTARA,1581.3923968507577,[282]
KAB. KAUR,1402.5276816225537,"[282, 204, 169, 187]"
KAB. KEPAHIANG,1520.393127767272,"[282, 281, 230, 165, 164]"
KAB. LEBONG,1563.4106116843998,[282]
KAB. MUKOMUKO,1665.9178489532453,"[282, 115]"
KAB. REJANG LEBONG,1503.0118930085926,[282]
KAB. SELUMA,1480.2628356876978,"[282, 281, 251, 198]"
KOTA BENGKULU,1538.0498558618976,"[282, 281, 251, 198, 118]"
KAB. BANYUASIN,1338.9304785829972,[282]
KAB. EMPAT LAWANG,1480.132851989375,"[282, 153, 123, 122]"
KAB. LAHAT,1428.3327609924456,"[282, 153, 123]"
KAB. MUARA ENIM,1355.6928033185263,"[282, 153]"
KAB. MUSI BANYUASIN,1489.1069513345856,"[282, 153, 123]"
KAB. MUSI RAWAS,1488.4209453392084,"[282, 281, 242, 269]"
KAB. MUSI RAWAS UTARA,1541.758557458188,"[282, 281, 242, 269, 125]"
KAB. OGAN ILIR,1448.5071497018992,"[282, 204, 213, 222, 175]"
KAB. OGAN KOMERING ILIR,1390.380393171627,"[282, 204, 213, 222]"
KAB. OGAN KOMERING ULU,1353.5405890257196,"[282, 281, 242, 200]"
KAB. OGAN KOMERING ULU SELATAN,1337.2998393220926,"[282, 281, 242, 185]"
KAB. OGAN KOMERING ULU TIMUR,1417.7569914475262,"[282, 281, 242, 269, 268, 160]"
KAB. PENUKAL ABAB LEMATANG ILIR,1440.1579372074718,"[282, 281, 242, 269, 171]"
KOTA LUBUKLINGGAU,1517.670599009897,"[282, 281, 242, 269, 270]"
KOTA PAGAR ALAM,1431.011156975782,"[282, 204, 213, 214]"
KOTA PALEMBANG,1337.3944963646427,"[282, 281, 242, 269, 268]"
KOTA PRABUMULIH,1406.8029527606905,"[282, 281, 242, 200, 168]"
KAB. BANGKA,1316.7398005938032,"[282, 281, 251, 252]"
KAB. BANGKA BARAT,1363.8451470871746,"[282, 281, 251, 252, 137]"
KAB. BANGKA SELATAN,1342.4400051125547,"[282, 281, 251, 252, 142, 141, 140]"
KAB. BANGKA TENGAH,1296.4380062099217,"[282, 281, 251, 252, 142, 141]"
KAB. BELITUNG,1119.675074344086,"[282, 281, 251, 252, 142]"
KAB. BELITUNG TIMUR,1074.5250604025337,"[282, 281, 251, 252]"
KOTA PANGKAL PINANG,1256.07888957684,"[282, 261]"
KAB. LAMPUNG TENGAH,1217.2078965683638,"[282, 281, 230, 165, 164]"
KAB. LAMPUNG UTARA,1253.7608605439802,"[282, 258]"
KAB. LAMPUNG SELATAN,1280.7565087131554,"[282, 281, 280, 279, 278]"
KAB. LAMPUNG BARAT,1340.0065277197252,"[282, 258, 259]"
KAB. LAMPUNG TIMUR,1348.4992031223637,"[282, 281, 242, 149]"
KAB. MESUJI,1218.3637172127787,"[282, 281, 242]"
KAB. PESAWARAN,1385.9181006156434,"[282, 281, 242, 149]"
KAB. PESISIR BARAT,1286.6389442451236,"[282, 281, 242, 200]"
KAB. PRINGSEWU,1195.355769840787,"[282, 204, 213, 214, 221]"
KAB. TULANG BAWANG,1176.8592378743065,[282]
KAB. TULANG BAWANG BARAT,1212.4075613550767,"[282, 204, 203]"
KAB. TANGGAMUS,1240.3725369831236,"[282, 281, 257, 194]"
KAB. WAY KANAN,1309.6047703526374,"[282, 281, 242, 241, 219]"
KOTA BANDAR LAMPUNG,1210.4377033461433,"[282, 281, 242, 269, 171, 172]"
KOTA METRO,1235.1003527951414,"[282, 281, 251, 235, 234, 159]"
KAB. LEBAK,1043.2708388683375,"[282, 281, 251, 235, 234]"
KAB. PANDEGLANG,1079.94793491869,"[282, 281, 242, 269, 268]"
KAB. SERANG,1056.0533950409722,"[282, 281, 251]"
KAB. TANGERANG,1006.8880914709077,"[282, 281, 251]"
KOTA CILEGON,1063.4447634359437,"[282, 281, 251, 162]"
KOTA SERANG,1043.7827996573121,"[282, 281, 230, 165]"
KOTA TANGERANG,988.7952659598216,"[282, 281, 230]"
KOTA TANGERANG SELATAN,980.3942270055413,"[282, 281, 251, 198]"
KAB. BANDUNG,873.8140551781778,"[282, 281, 230]"
KAB. BANDUNG BARAT,881.4358936124934,"[282, 281, 242, 200]"
KAB. BEKASI,930.5661898454059,"[282, 204]"
KAB. BOGOR,987.0266062952517,"[282, 281, 242, 269, 171]"
KAB. CIAMIS,778.2678099769842,"[282, 281, 242, 269]"
KAB. CIANJUR,905.5222430013803,"[282, 281, 242, 269, 171]"
KAB. CIREBON,780.9889069638616,"[282, 281, 242, 200]"
KAB. GARUT,849.7025768873602,"[282, 281, 242, 243]"
KAB. INDRAMAYU,925.0471120698453,"[282, 204, 213, 222]"
KAB. KARAWANG,922.4103715807382,"[282, 206, 207]"
KAB. KUNINGAN,939.6920751243792,"[282, 281, 242, 241, 179, 178]"
KAB. MAJALENGKA,898.8240905082797,"[282, 281, 242, 241, 179]"
KAB. PANGANDARAN,802.9250574624199,"[282, 281, 242, 241]"
KAB. PURWAKARTA,968.7207922060978,"[282, 281, 242, 241, 179]"
