city,distance,through
KAB. ACEH BARAT,1681.5171080192395,"[194, 62]"
KAB. ACEH BARAT DAYA,1801.2089046524077,"[194, 62, 0]"
KAB. ACEH BESAR,1812.8379506544713,"[194, 195, 38]"
KAB. ACEH JAYA,1749.1738195807873,"[194, 195, 153]"
KAB. ACEH SELATAN,1499.4361850068146,"[194, 62]"
KAB. ACEH SINGKIL,1384.8959413918092,"[194, 195, 153]"
KAB. ACEH TAMIANG,1522.4809950191993,"[194, 195, 86]"
KAB. ACEH TENGAH,1637.2724047670774,"[194, 195, 73, 67, 8]"
KAB. ACEH TENGGARA,1478.4643792854959,"[194, 195, 73, 67]"
KAB. ACEH TIMUR,1613.742550957788,"[194, 195, 73, 67, 8]"
KAB. ACEH UTARA,1676.528724591969,"[194, 155]"
KAB. BENER MERIAH,1666.3954740304775,"[194, 117]"
KAB. BIREUEN,1694.971580768312,"[194, 99, 13]"
KAB. GAYO LUES,1545.76442006842,"[194, 99]"
KAB. NAGAN RAYA,1632.7585493518159,"[194, 195, 38, 25]"
KAB. PIDIE,1754.7839114359992,"[194, 195, 38, 25, 14]"
KAB. PIDIE JAYA,1745.5271965371305,"[194, 99, 29]"
KAB. SIMEULUE,1568.6551891681065,"[194, 155]"
KOTA BANDA ACEH,1837.4736325039635,"[194, 195, 38, 39]"
KOTA LANGSA,1658.0144510129228,"[194, 155, 132, 133]"
KOTA LHOKSEUMAWE,1680.2165918772364,"[194, 195, 38, 25, 28]"
KOTA SABANG,1864.614713477525,"[194, 195, 38, 2]"
KOTA SUBULUSSALAM,1423.5047949981015,"[194, 117, 27]"
KAB. ASAHAN,1485.3151534069293,"[194, 195, 153, 120, 92, 24]"
KAB. BATUBARA,1442.9825756065752,"[194, 195, 153, 120, 92]"
KAB. DAIRI,1391.4608455774855,"[194, 195, 38]"
KAB. DELI SERDANG,1428.062528221692,"[194, 108, 107]"
KAB. HUMBANG HASUNDUTAN,1330.9092984585222,"[194, 117]"
KAB. KARO,1417.8918796408973,"[194, 195, 38, 25]"
KAB. LABUHANBATU,1204.9778523264658,"[194, 99]"
KAB. LABUHANBATU SELATAN,1236.8356440569194,"[194, 159]"
KAB. LABUHANBATU UTARA,1302.2098397437142,"[194, 159, 30]"
KAB. LANGKAT,1469.0446506122803,"[194, 195, 153]"
KAB. MANDAILING NATAL,1270.719415582285,"[194, 182]"
KAB. NIAS,1303.7273569855909,"[194, 62]"
KAB. NIAS BARAT,1333.853477484437,"[194, 62, 34]"
KAB. NIAS SELATAN,1322.8027885789547,"[194, 195, 153, 58]"
KAB. NIAS UTARA,1381.0875979001155,"[194, 99, 100]"
KAB. PADANG LAWAS,1131.873318693185,"[194, 195]"
KAB. PADANG LAWAS UTARA,1186.4428036956608,"[194, 195, 38]"
KAB. PAKPAK BHARAT,1366.725545871678,"[194, 195]"
KAB. SAMOSIR,1350.4512008729719,"[194, 195, 73, 72]"
KAB. SERDANG BEDAGAI,1394.1822259865799,"[194, 195, 38, 39, 43]"
KAB. SIMALUNGUN,1347.2961603737926,"[194, 195, 38, 39]"
KAB. TAPANULI SELATAN,1233.385580022399,"[194, 108, 107]"
KAB. TAPANULI TENGAH,1271.6490967325324,[194]
KAB. TAPANULI UTARA,1260.8357684814403,"[194, 195, 153]"
KAB. TOBA SAMOSIR,1271.7191986150212,"[194, 195]"
KOTA BINJAI,1436.520569133853,"[194, 195, 47]"
KOTA GUNUNGSITOLI,1367.2247328638807,"[194, 62, 34, 35]"
KOTA MEDAN,1445.577364731458,"[194, 99, 64]"
KOTA PADANGSIDEMPUAN,1220.5587925297887,"[194, 195, 73, 74]"
KOTA PEMATANGSIANTAR,1360.6467890762965,"[194, 195, 153, 123]"
KOTA SIBOLGA,1317.945224986922,"[194, 195, 153, 123, 124, 66]"
KOTA TANJUNGBALAI,1317.4100015391111,"[194, 108, 107]"
KOTA TEBING TINGGI,1399.1467492106694,"[194, 108, 107, 54]"
KAB. AGAM,1107.2120434190583,"[194, 159, 160, 57]"
KAB. DHARMASRAYA,918.3972034319497,"[194, 159, 160]"
KAB. KEPULAUAN MENTAWAI,1055.9968710665416,"[194, 195, 153]"
KAB. LIMA PULUH KOTA,1091.9832367208326,"[194, 117, 61]"
KAB. PADANG PARIAMAN,1061.201434274395,"[194, 155, 132, 133]"
KAB. PASAMAN,1048.795519832868,"[194, 117]"
KAB. PASAMAN BARAT,1072.3482085549265,[194]
KAB. PESISIR SELATAN,973.9167858019275,"[194, 159, 160, 131]"
KAB. SIJUNJUNG,902.0225957200649,"[194, 99]"
KAB. SOLOK,937.1615592345971,"[194, 195, 153, 123, 124, 66]"
KAB. SOLOK SELATAN,872.8287001599451,"[194, 195, 153, 123, 124]"
KAB. TANAH DATAR,949.6263477735421,"[194, 195, 73]"
KOTA BUKITTINGGI,978.4991791954631,"[194, 195, 73, 67]"
KOTA PADANG,938.7118099215688,"[194, 117, 116]"
KOTA PADANGPANJANG,992.2374007537273,"[194, 117, 116, 69]"
KOTA PARIAMAN,988.944330891636,"[194, 195, 73]"
KOTA PAYAKUMBUH,972.6791679379792,"[194, 195, 73]"
KOTA SAWAHLUNTO,920.9203790183476,"[194, 195]"
KOTA SOLOK,935.3644508786246,"[194, 195, 73]"
KAB. BENGKALIS,1202.546244219454,"[194, 195, 73, 74]"
KAB. INDRAGIRI HILIR,1040.561958269418,"[194, 182, 170, 77]"
KAB. INDRAGIRI HULU,935.7512902500162,"[194, 182, 170]"
KAB. KAMPAR,1016.2681246423421,"[194, 159]"
KAB. KEPULAUAN MERANTI,923.1155284931879,"[194, 108]"
KAB. KUANTAN SINGINGI,1039.501328011289,"[194, 195, 73, 74]"
KAB. PELALAWAN,1072.0877979682737,"[194, 159, 102, 101]"
KAB. ROKAN HILIR,1168.0273486254546,"[194, 88]"
KAB. ROKAN HULU,1159.8037178250795,"[194, 117, 116, 69]"
KAB. SIAK,1051.0400452863953,"[194, 195, 153, 123, 122]"
KOTA DUMAI,1087.5477141135527,"[194, 195, 86]"
KOTA PEKANBARU,958.5086430714913,"[194, 195]"
KAB. BINTAN,990.5214916816556,"[194, 88]"
KAB. KARIMUN,862.4782931555782,[194]
KAB. KEPULAUAN ANAMBAS,1222.8958841312474,"[194, 88]"
KAB. LINGGA,927.1500229164817,"[194, 182, 170, 169, 187, 149]"
KAB. NATUNA,1332.513156682186,"[194, 182, 139, 140]"
KOTA BATAM,888.4561657413117,"[194, 195, 153, 120]"
KOTA TANJUNG PINANG,919.4449948576814,"[194, 108]"
PULAU TAMBELAN KAB. BINTAN,1088.7421874175589,"[194, 195, 153, 123]"
PEKAJANG KAB. LINGGA,1176.3028218500956,"[194, 155, 132, 110]"
PULAU SERASAN KAB. NATUNA,1266.3756290267763,"[194, 195, 153, 120, 323]"
PULAU MIDAI KAB. NATUNA,1305.0219256275816,"[194, 159, 160, 161, 162]"
PULAU LAUT KAB. NATUNA,1496.6633561635006,"[194, 159, 160, 161, 162, 97]"
KAB. BATANGHARI,650.172186189242,[194]
KAB. BUNGO,782.9440188039221,"[194, 99]"
KAB. KERINCI,829.8363896206378,"[194, 159, 102]"
KAB. MERANGIN,760.360539616726,"[194, 159]"
KAB. MUARO JAMBI,843.8117914559573,"[194, 159, 104]"
KAB. SAROLANGUN,693.7707211988826,"[194, 159]"
KAB. TANJUNG JABUNG BARAT,835.1717709504022,"[194, 159, 104]"
KAB. TANJUNG JABUNG TIMUR,823.366193019831,"[194, 159, 158, 157, 152]"
KAB. TEBO,768.7978507043107,"[194, 108]"
KOTA JAMBI,622.6884525017553,[194]
KOTA SUNGAI PENUH,874.3355515260574,"[194, 108]"
KAB. BENGKULU SELATAN,671.6497042237485,"[194, 155, 132]"
KAB. BENGKULU TENGAH,745.7847405370004,"[194, 155, 156, 112]"
KAB. BENGKULU UTARA,679.6555240792098,"[194, 155, 156]"
KAB. KAUR,561.3921495108223,"[194, 182]"
KAB. KEPAHIANG,682.2925271694395,"[194, 182, 113]"
KAB. LEBONG,725.0487941756023,"[194, 159, 158, 157]"
KAB. MUKOMUKO,718.6943735597055,"[194, 117]"
KAB. REJANG LEBONG,554.757464049724,[194]
KAB. SELUMA,621.1252603274804,"[194, 117]"
KOTA BENGKULU,619.1812582141515,"[194, 159]"
KAB. BANYUASIN,465.41855475027,"[194, 195, 153]"
KAB. EMPAT LAWANG,561.3912438518679,"[194, 195, 153, 123, 122]"
KAB. LAHAT,509.5911528549386,"[194, 195, 153, 123]"
KAB. MUARA ENIM,436.95119518101944,"[194, 195, 153]"
KAB. MUSI BANYUASIN,570.3653431970786,"[194, 195, 153, 123]"
KAB. MUSI RAWAS,664.8400686688001,"[194, 195, 153, 123, 124]"
KAB. MUSI RAWAS UTARA,718.1776807877798,"[194, 195, 153, 123, 124, 125]"
KAB. OGAN ILIR,765.6258619513991,"[194, 159, 160, 161, 129, 128]"
KAB. OGAN KOMERING ILIR,698.1280945491421,"[194, 159, 160, 161, 129]"
KAB. OGAN KOMERING ULU,549.3209606772813,"[194, 159, 160, 161]"
KAB. OGAN KOMERING ULU SELATAN,606.0666927887223,"[194, 159, 160, 131]"
KAB. OGAN KOMERING ULU TIMUR,483.743620042476,"[194, 159, 160]"
KAB. PENUKAL ABAB LEMATANG ILIR,509.8657961993682,"[194, 155]"
KOTA LUBUKLINGGAU,637.7048355778331,"[194, 155, 132]"
KOTA PAGAR ALAM,729.9370576464726,"[194, 155, 132, 133]"
KOTA PALEMBANG,581.7071355463958,"[194, 159, 160, 131]"
KOTA PRABUMULIH,564.2860674875719,"[194, 182, 170]"
KAB. BANGKA,690.139738469423,"[194, 155, 156]"
KAB. BANGKA BARAT,684.0785002870806,"[194, 182, 139]"
KAB. BANGKA SELATAN,539.378134407295,"[194, 182]"
KAB. BANGKA TENGAH,585.3801333099278,"[194, 182, 139]"
KAB. BELITUNG,762.1430651757637,"[194, 182, 139, 140]"
KAB. BELITUNG TIMUR,807.293079117316,"[194, 182, 139, 140, 141]"
KOTA PANGKAL PINANG,678.7359245130574,"[194, 159, 158, 157]"
KAB. LAMPUNG TENGAH,524.4379685984087,"[194, 159, 160, 161, 162, 163, 164]"
KAB. LAMPUNG UTARA,586.614683899977,"[194, 159, 160, 161, 162, 163, 164, 144]"
KAB. LAMPUNG SELATAN,707.8208626093787,"[194, 159, 160, 161, 162, 163, 164, 144, 145]"
KAB. LAMPUNG BARAT,823.1115403743299,"[194, 182, 170, 169, 187, 149, 148]"
KAB. LAMPUNG TIMUR,652.3745979992182,"[194, 182, 170, 169, 187, 149]"
KAB. MESUJI,522.2391120896333,"[194, 182, 170, 169, 187]"
KAB. PESAWARAN,539.2004958794369,"[194, 159, 158, 157, 152, 151]"
KAB. PESISIR BARAT,431.0807487698596,"[194, 159, 158, 157, 152]"
KAB. PRINGSEWU,335.5152590417069,"[194, 159, 158, 157]"
KAB. TULANG BAWANG,258.1176297367997,"[194, 195]"
KAB. TULANG BAWANG BARAT,310.247330964113,"[194, 195, 153]"
KAB. TANGGAMUS,272.2754572560303,[194]
KAB. WAY KANAN,361.931926609538,"[194, 155]"
KOTA BANDAR LAMPUNG,303.58118291118376,"[194, 159, 158]"
KOTA METRO,272.2023440686681,"[194, 159]"
KAB. LEBAK,80.3728301418641,[194]
KAB. PANDEGLANG,145.93456351363974,"[194, 159]"
KAB. SERANG,224.0045435432791,"[194, 159, 160]"
KAB. TANGERANG,273.7248115630441,"[194, 159, 160, 161]"
KOTA CILEGON,330.28148352808006,"[194, 159, 160, 161, 162]"
KOTA SERANG,351.0128716873569,"[194, 159, 160, 161, 162, 163]"
KOTA TANGERANG,406.00040538484734,"[194, 159, 160, 161, 162, 163, 164]"
KOTA TANGERANG SELATAN,417.1035189436052,"[194, 159, 160, 161, 162, 163, 164, 165]"
KAB. BANDUNG,305.53924175342013,"[194, 182, 170, 169, 168]"
KAB. BANDUNG BARAT,272.3986055801985,"[194, 182, 170, 169]"
KAB. BEKASI,193.91911585550326,"[194, 182, 170]"
KAB. BOGOR,127.28714784547152,"[194, 182]"
KAB. CIAMIS,336.045944163739,"[194, 182, 170]"
KAB. CIANJUR,325.575537056505,"[194, 159, 160]"
KAB. CIREBON,431.348441298465,"[194, 182, 181, 174]"
KAB. GARUT,311.757954285069,"[194, 182, 181]"
KAB. INDRAMAYU,455.2870323813834,"[194, 182, 181, 174]"
KAB. KARAWANG,366.4806095936555,"[194, 177]"
KAB. KUNINGAN,210.1667656756279,[194]
KAB. MAJALENGKA,251.03475029172742,"[194, 177]"
KAB. PANGANDARAN,241.17469744703033,[194]
KAB. PURWAKARTA,227.41363145123935,"[194, 182, 181]"
KAB. SUBANG,183.61692081987948,"[194, 182]"
KAB. SUKABUMI,77.3242746785699,[194]
KAB. SUMEDANG,187.73889169389594,"[194, 182]"
KAB. TASIKMALAYA,281.1156308862125,"[194, 182, 183]"
KOTA BANDUNG,381.09304359163286,"[194, 182, 183, 184]"
KOTA BANJAR,426.29035040783083,"[194, 182, 170, 169, 187]"
KOTA BEKASI,213.0574774902695,"[194, 182, 170, 169]"
KOTA BOGOR,257.13643227107053,"[194, 182, 170, 169, 187]"
KOTA CIMAHI,344.3791239995279,"[194, 182, 170, 169, 187, 188]"
KOTA CIREBON,335.09481978669464,"[194, 159]"
KOTA DEPOK,324.4081645192988,"[194, 182, 183]"
KOTA SUKABUMI,348.0420169262925,"[194, 193]"
KOTA TASIKMALAYA,198.43924481412552,[194]
KOTA JAKARTA,0.0,[]
KAB. ADMINISTRASI KEPULAUAN SERIBU,68.33843589321376,[194]
KAB. BANJARNEGARA,453.57560314862815,"[194, 195]"
KAB. BANYUMAS,415.0852743188914,"[194, 159]"
KAB. BATANG,510.5345940122471,"[194, 182, 170, 169]"
KAB. BLORA,673.6521745968737,"[194, 182, 170, 169, 198]"
KAB. BOYOLALI,630.6407318185393,"[194, 182, 170, 169, 168]"
KAB. BREBES,487.49923564421414,"[194, 182, 170, 169, 187, 186]"
KAB. CILACAP,449.0841512000169,"[194, 182, 170, 169, 168]"
KAB. DEMAK,521.3561297844478,"[194, 182, 227]"
KAB. GROBOGAN,562.0087814369866,"[194, 182, 227, 203]"
KAB. JEPARA,574.6393935906366,"[194, 182, 170]"
KAB. KARANGANYAR,681.5596635837024,"[194, 182, 183, 208, 207]"
KAB. KEBUMEN,527.9551298052721,"[194, 182, 183, 208]"
KAB. KENDAL,435.34820441334625,"[194, 182, 183]"
KAB. KLATEN,523.0580418547503,"[194, 182, 183, 208]"
KAB. KUDUS,624.3028146075536,"[194, 182, 183, 208, 209]"
KAB. MAGELANG,535.5597803335426,"[194, 159]"
KAB. PATI,649.1152263452191,"[194, 159, 211]"
KAB. PEKALONGAN,513.387736193581,"[194, 182, 170, 169, 168, 221, 214]"
KAB. PEMALANG,492.35677951120414,"[194, 182, 170, 169, 168, 221]"
KAB. PURBALINGGA,511.5000353223074,"[194, 182, 170, 169, 168, 221]"
KAB. PURWOREJO,582.9716202731902,"[194, 159, 226, 225]"
KAB. REMBANG,589.8536838835704,"[194, 182, 227]"
KAB. SEMARANG,662.5564907015997,"[194, 182, 170, 169, 187, 186, 201]"
KAB. SRAGEN,609.6326280581736,"[194, 182, 183, 184, 220]"
KAB. SUKOHARJO,580.036172427607,"[194, 182, 183, 184]"
KAB. TEGAL,450.4505079359277,"[194, 182, 170, 169, 168]"
KAB. TEMANGGUNG,517.6033518067151,"[194, 182, 170]"
KAB. WONOGIRI,499.0146158962829,[194]
KAB. WONOSOBO,571.4875518204859,"[194, 182, 183, 208, 207]"
KOTA MAGELANG,548.8724972478693,"[194, 159, 226]"
KOTA PEKALONGAN,460.0331726667589,"[194, 159]"
KOTA SALATIGA,472.97083519471295,"[194, 182]"
KOTA SEMARANG,509.97558010345904,"[194, 182, 227]"
KOTA SURAKARTA,586.3773855808519,"[194, 182, 227, 228]"
KOTA TEGAL,473.9312562198335,"[194, 182, 170, 169, 168, 167]"
KAB. BANTUL,654.0472108631506,"[194, 182, 170, 169, 168, 167, 230]"
KAB. GUNUNGKIDUL,631.5809044041619,"[194, 182, 181, 174]"
KAB. KULON PROGO,584.5892832433432,"[194, 159, 234]"
KAB. SLEMAN,556.323015865156,"[194, 159]"
KOTA YOGYAKARTA,564.2204123428938,"[194, 159, 234]"
KAB. BANGKALAN,735.4633794811928,"[194, 182]"
KAB. BANYUWANGI,866.6696033674575,"[194, 264]"
KAB. BLITAR,667.4897687426674,"[194, 182]"
KAB. BOJONEGORO,650.055158888723,"[194, 182, 227, 203]"
KAB. BONDOWOSO,807.9089321302396,"[194, 177]"
KAB. GRESIK,693.2601743264281,"[194, 179]"
KAB. JEMBER,839.4470261668498,"[194, 182, 183, 243]"
KAB. JOMBANG,672.7807430257216,"[194, 182, 183]"
KAB. KEDIRI,666.3240873574009,"[194, 182, 227]"
KAB. LAMONGAN,716.2821023458293,"[194, 264]"
KAB. LUMAJANG,775.5715935124756,"[194, 182, 227, 244]"
KAB. MADIUN,763.3548165544382,"[194, 182, 170, 169, 168, 167, 230, 248]"
KAB. MAGETAN,734.189279179762,"[194, 182, 170, 169, 168, 167, 230]"
KAB. MALANG,730.6097374971007,"[194, 182]"
KAB. MOJOKERTO,717.3063550215795,"[194, 264, 251]"
KAB. NGANJUK,657.2101886928505,"[194, 264]"
KAB. NGAWI,717.9179445062091,"[194, 195, 196, 253]"
KAB. PACITAN,641.0116502662217,"[194, 195, 196]"
KAB. PAMEKASAN,857.1909413851006,"[194, 182, 238, 255]"
KAB. PASURUAN,751.641372478424,"[194, 182, 238]"
KAB. PONOROGO,724.90305285034,"[194, 182, 170, 169, 168]"
KAB. PROBOLINGGO,753.7301477686061,[194]
KAB. SAMPANG,767.9793950508044,"[194, 179, 241]"
KAB. SIDOARJO,767.9891639962011,"[194, 195]"
KAB. SITUBONDO,928.9297330186215,"[194, 193, 261]"
KAB. SUMENEP,827.8861401033062,"[194, 193]"
KAB. TRENGGALEK,772.6998700031429,"[194, 182, 183, 243]"
KAB. TUBAN,734.7321101525381,"[194, 264]"
KAB. TULUNGAGUNG,601.579795271047,[194]
KOTA BATU,668.3929079444841,"[194, 264]"
KOTA BLITAR,715.7245253490581,"[194, 264, 265]"
KOTA KEDIRI,688.0446586197803,"[194, 264, 251]"
KOTA MADIUN,664.4030381615494,"[194, 182, 227, 228, 229]"
KOTA MALANG,747.4633235897695,"[194, 264, 251]"
KOTA MOJOKERTO,806.5645291012421,"[194, 264, 251, 269]"
KOTA PASURUAN,767.0602182384695,"[194, 264, 251]"
KOTA PROBOLINGGO,803.501420410414,"[194, 264, 251, 271]"
KOTA SURABAYA,802.082158655398,"[194, 159, 226]"
KAB. BADUNG,1080.3477466572253,"[194, 179, 241, 258, 276, 275]"
KAB. BANGLI,1043.1749846111225,"[194, 179, 241, 258, 276]"
KAB. BULELENG,998.0558866072107,"[194, 179, 241, 258]"
KAB. GIANYAR,959.0497623462297,[194]
KAB. JEMBRANA,998.4812952076311,"[194, 182, 227, 228]"
KAB. KARANGASEM,1043.1765218429389,"[194, 257, 281, 280]"
KAB. KLUNGKUNG,1000.7089754030164,"[194, 257, 281]"
KAB. TABANAN,938.3800274198915,"[194, 257]"
KOTA DENPASAR,968.0970797270933,"[194, 257, 281]"
KAB. BIMA,1331.4908660803026,"[194, 277, 284]"
KAB. DOMPU,1298.6821085198412,"[194, 277]"
KAB. LOMBOK BARAT,1055.9478859014132,[194]
KAB. LOMBOK TENGAH,1074.888900204659,[194]
KAB. LOMBOK TIMUR,1111.9846917891264,"[194, 286]"
KAB. LOMBOK UTARA,1089.7777024401732,"[194, 257, 281, 282]"
KAB. SUMBAWA,1211.4877838668287,"[194, 264, 290]"
KAB. SUMBAWA BARAT,1151.3306154104741,"[194, 264]"
KOTA BIMA,1348.8151283285551,"[194, 177, 292]"
KOTA MATARAM,1057.7474870108085,"[194, 177]"
KAB. ALOR,1987.9518920853739,"[194, 177, 292]"
KAB. BELU,2019.1361655591913,"[194, 257, 295]"
KAB. ENDE,1665.0254385108346,"[194, 257]"
KAB. FLORES TIMUR,1807.96596159979,"[194, 257, 295]"
KAB. KUPANG,1974.779964444561,"[194, 182, 183]"
KAB. LEMBATA,1901.4977064091563,"[194, 257, 281, 282, 309]"
KAB. MALAKA,2078.025624974659,"[194, 182, 183, 300]"
KAB. MANGGARAI,1573.1548541526845,"[194, 182, 183]"
KAB. MANGGARAI BARAT,1608.7026521892421,"[194, 182, 183, 300]"
KAB. MANGGARAI TIMUR,1600.0788522746284,"[194, 182, 227, 244, 246]"
KAB. NGADA,1642.7127949910193,"[194, 182, 227, 244, 246, 302]"
KAB. NAGEKEO,1647.3146483248956,"[194, 193]"
KAB. ROTE NDAO,1884.5216957561013,"[194, 277, 284, 306]"
KAB. SABU RAIJUA,1742.0213511879467,"[194, 277, 284]"
KAB. SIKKA,1724.4895769394925,"[194, 257, 281, 280]"
KAB. SUMBA BARAT,1440.7190026702979,"[194, 257, 281, 282, 309]"
KAB. SUMBA BARAT DAYA,1409.8833075248567,"[194, 257, 281, 282]"
KAB. SUMBA TENGAH,1471.2536286560887,"[194, 257, 281, 282, 309]"
KAB. SUMBA TIMUR,1560.8588103822658,"[194, 257, 281, 282, 309, 310]"
KAB. TIMOR TENGAH SELATAN,2007.9640845271906,"[194, 257, 281, 282, 309, 310, 311]"
KAB. TIMOR TENGAH UTARA,1992.570681261022,"[194, 257, 295]"
KOTA KUPANG,1899.5774975144593,"[194, 257, 281, 280]"
KAB. BENGKAYANG,1276.5717918906244,"[194, 182, 139, 140, 141, 142]"
KAB. KAPUAS HULU,1251.8974950804168,"[194, 193]"
KAB. KAYONG UTARA,983.2086178565485,"[194, 182, 170, 169, 187, 188]"
KAB. KETAPANG,1072.5674426665487,"[194, 182, 170, 169, 187, 188, 317]"
KAB. KUBU RAYA,977.5957249797469,"[194, 177, 178]"
KAB. LANDAK,966.50942171601,"[194, 195, 153]"
KAB. MELAWI,991.6610819014927,"[194, 177]"
KAB. MEMPAWAH,1053.7961148025465,"[194, 177, 178]"
KAB. SAMBAS,1135.3417940501556,"[194, 195, 153, 120]"
KAB. SANGGAU,1182.69332087342,"[194, 179, 325]"
KAB. SEKADAU,1124.7643539716391,"[194, 179]"
KAB. SINTANG,1326.4136875749712,"[194, 179, 325]"
KOTA PONTIANAK,984.735880049572,"[194, 182, 181, 180]"
KOTA SINGKAWANG,1095.6753851807914,"[194, 182, 181, 180, 327]"
KAB. BALANGAN,1168.5287000909034,"[194, 177, 341, 330]"
KAB. BANJAR,1038.5183974265913,"[194, 177, 341]"
KAB. BARITO KUALA,1084.6116377861981,"[194, 177, 341, 330]"
KAB. HULU SUNGAI SELATAN,1156.3849693974837,"[194, 177, 341, 330, 331]"
KAB. HULU SUNGAI TENGAH,1192.1589974142505,"[194, 177, 341, 330, 331, 332]"
KAB. HULU SUNGAI UTARA,1233.745765631391,"[194, 177, 341, 330, 331, 332, 333]"
KAB. KOTABARU,1327.8885320720872,"[194, 344]"
KAB. TABALONG,1220.1368800178925,"[194, 177, 341, 330, 329]"
KAB. TANAH BUMBU,1166.302847281309,"[194, 339, 338]"
KAB. TANAH LAUT,1074.9642132199679,"[194, 339]"
KAB. TAPIN,976.4929797092716,[194]
KOTA BANJARBARU,1022.0858457691534,"[194, 177, 341]"
KOTA BANJARMASIN,993.5930355640785,"[194, 177]"
KAB. BARITO SELATAN,1155.7802043567833,"[194, 177, 341]"
KAB. BARITO TIMUR,1199.2503647439833,"[194, 344]"
KAB. BARITO UTARA,1081.6103682993275,[194]
KAB. GUNUNG MAS,1212.3659855055737,"[194, 177, 321]"
KAB. KAPUAS,1256.114991449539,"[194, 182, 170, 169, 168, 167]"
KAB. KATINGAN,1173.6384761048837,"[194, 182, 183, 208, 348]"
KAB. KOTAWARINGIN BARAT,967.3438804458334,"[194, 182, 183, 208]"
KAB. KOTAWARINGIN TIMUR,1091.4702056449169,"[194, 182, 183, 208, 348]"
KAB. LAMANDAU,1107.2592904112435,"[194, 182, 170, 169, 198]"
KAB. MURUNG RAYA,1274.7449213594523,"[194, 182, 170, 169, 187]"
KAB. PULANG PISAU,1183.6608424642382,"[194, 182, 170, 222]"
KAB. SUKAMARA,947.0546835528332,"[194, 182, 170, 169, 168, 167]"
KAB. SERUYAN,1086.2369878853672,"[194, 182, 170, 169, 168, 167, 353]"
KOTA PALANGKARAYA,1007.1581578758792,"[194, 177]"
KAB. BERAU,1616.5861476874315,"[194, 177, 355]"
KAB. KUTAI BARAT,1384.2960096204001,"[194, 361, 362, 363]"
KAB. KUTAI KARTANEGARA,1471.5166127215407,"[194, 182, 181, 180]"
KAB. KUTAI TIMUR,1479.6126257722576,"[194, 195, 360]"
KAB. MAHAKAM ULU,1227.1267683396663,"[194, 195]"
KAB. PASER,1122.550097016051,[194]
KAB. PENAJAM PASER UTARA,1201.3787136030764,"[194, 361]"
KOTA BALIKPAPAN,1239.547449878105,"[194, 361, 362]"
KOTA BONTANG,1405.9515418040762,"[194, 361, 362, 363]"
KOTA SAMARINDA,1483.9664250424619,"[194, 361, 362, 363, 364]"
KAB. BULUNGAN,1648.6003773317004,"[194, 344, 367]"
KAB. MALINAU,1542.1279095721052,"[194, 344]"
KAB. NUNUKAN,1670.646625939762,"[194, 344, 367]"
KAB. TANA TIDUNG,1749.3511930288066,"[194, 344, 367, 368]"
KOTA TARAKAN,1810.113299780041,"[194, 344, 367, 368, 369]"
KAB. BOALEMO,1954.9962951748096,"[194, 177]"
KAB. BONE BOLANGO,2076.3740247111427,"[194, 177, 371]"
KAB. GORONTALO,2023.3233197244717,"[194, 361, 362, 363, 364, 374]"
KAB. GORONTALO UTARA,1970.3651545575835,"[194, 361, 362, 363, 364]"
KAB. POHUWATO,1973.9422601195477,"[194, 177, 341, 330, 331, 332, 333]"
KOTA GORONTALO,2040.8319644881817,"[194, 177, 341, 340]"
KAB. BANTAENG,1568.2022415753625,"[194, 182, 227, 244]"
KAB. BARRU,1535.6552965295562,"[194, 257]"
KAB. BONE,1559.012819407027,"[194, 382, 380]"
KAB. BULUKUMBA,1480.9203635328852,"[194, 382]"
KAB. ENREKANG,1516.6601441035555,"[194, 339]"
KAB. GOWA,1427.9348084998542,[194]
KAB. JENEPONTO,1456.1681265992543,"[194, 382]"
KAB. KEPULAUAN SELAYAR,1579.0336933878793,"[194, 382, 383]"
KAB. LUWU,1662.4778080834908,"[194, 264, 265]"
KAB. LUWU TIMUR,1748.6824372496412,"[194, 182, 181, 387]"
KAB. LUWU UTARA,1611.2163399880817,"[194, 182, 181]"
KAB. MAROS,1519.6222217903614,"[194, 182, 227]"
KAB. PANGKAJENE DAN KEPULAUAN,1516.6374857038236,"[194, 264, 265]"
KAB. PINRANG,1604.3844798484513,"[194, 182, 227, 203, 239]"
KAB. SIDENRENG RAPPANG,1614.1107451419334,"[194, 264, 265]"
KAB. SINJAI,1634.8357191037749,"[194, 382, 393]"
KAB. SOPPENG,1536.461598790253,"[194, 382]"
KAB. TAKALAR,1472.3072019507072,"[194, 182]"
KAB. TANA TORAJA,1599.4725501487821,"[194, 182, 227]"
KAB. TORAJA UTARA,1625.3031482812025,"[194, 182, 227, 395]"
KAB. WAJO,1650.4965689688618,"[194, 264, 237]"
KOTA MAKASSAR,1510.78171809273,"[194, 182, 227, 203]"
KOTA PALOPO,1643.1454652462007,"[194, 193, 400]"
KOTA PAREPARE,1514.473199754301,"[194, 193]"
KAB. BOMBANA,1776.4611555101785,"[194, 193, 400]"
