city,distance,through
KAB. ACEH BARAT,5017.513500433788,"[501, 509, 359, 323]"
KAB. ACEH BARAT DAYA,5023.842843575546,"[501, 509, 359, 358, 357]"
KAB. ACEH BESAR,5158.009545335885,"[501, 421, 429, 370]"
KAB. ACEH JAYA,5138.315901281119,"[501, 419, 418, 347, 4]"
KAB. ACEH SELATAN,4887.850719521481,"[501, 419, 418, 347]"
KAB. ACEH SINGKIL,4874.09216720739,"[501, 500, 491, 461]"
KAB. ACEH TAMIANG,4845.7727996972135,"[501, 419, 418, 426]"
KAB. ACEH TENGAH,4933.451430942116,"[501, 509, 359]"
KAB. ACEH TENGGARA,4908.8184928546025,"[501, 500, 491, 489, 514]"
KAB. ACEH TIMUR,4941.2044067453035,"[501, 441, 442, 443, 376, 375]"
KAB. ACEH UTARA,4987.193692938607,"[501, 421, 429, 370, 369, 368]"
KAB. BENER MERIAH,4990.338396694343,"[501, 502, 503]"
KAB. BIREUEN,4985.694691158476,"[501, 502, 430]"
KAB. GAYO LUES,4929.796538409395,"[501, 502, 503]"
KAB. NAGAN RAYA,5005.302656067086,"[501, 421, 429, 29, 25]"
KAB. PIDIE,5052.859475264448,"[501, 441, 16]"
KAB. PIDIE JAYA,5023.328078631867,"[501, 441]"
KAB. SIMEULUE,5050.548820771871,"[501, 502, 503]"
KOTA BANDA ACEH,5152.563492657043,"[501, 502, 430, 96, 97, 19]"
KOTA LANGSA,4835.403837090937,"[501, 502, 430, 96, 97]"
KOTA LHOKSEUMAWE,4956.875058571313,"[501, 502, 430, 96, 97, 19]"
KOTA SABANG,5150.949480976703,"[501, 502, 430]"
KOTA SUBULUSSALAM,4791.519760453995,"[501, 509, 359, 360]"
KAB. ASAHAN,4601.000419509289,"[501, 509]"
KAB. BATUBARA,4643.01177196637,"[501, 421, 425]"
KAB. DAIRI,4764.004952292756,"[501, 421, 429, 29]"
KAB. DELI SERDANG,4795.395551481874,"[501, 500, 491, 424]"
KAB. HUMBANG HASUNDUTAN,4722.817040161393,"[501, 421, 429, 29]"
KAB. KARO,4772.425360083411,"[501, 421, 429, 29]"
KAB. LABUHANBATU,4544.51351187115,"[501, 421, 429]"
KAB. LABUHANBATU SELATAN,4559.271768260432,"[501, 419, 418, 426, 321]"
KAB. LABUHANBATU UTARA,4624.645963947226,"[501, 419, 418, 426, 321, 30]"
KAB. LANGKAT,4862.12186600564,"[501, 419, 418, 426, 321, 30, 31]"
KAB. MANDAILING NATAL,4624.105376738806,"[501, 509, 359, 323]"
KAB. NIAS,4807.955755628413,"[501, 502, 430, 62]"
KAB. NIAS BARAT,4838.0818761272585,"[501, 502, 430, 62, 34]"
KAB. NIAS SELATAN,4844.614731029287,"[501, 500, 491, 424]"
KAB. NIAS UTARA,4841.116783990516,"[501, 509, 359, 323]"
KAB. PADANG LAWAS,4592.83084351859,"[501, 421, 425]"
KAB. PADANG LAWAS UTARA,4614.548515203216,"[501, 419, 418, 426, 321, 84]"
KAB. PAKPAK BHARAT,4755.6579407745085,"[501, 509, 359, 360]"
KAB. SAMOSIR,4772.344270088402,"[501, 419, 51]"
