city,distance,through
KAB. ACEH BARAT,2250.1141390541557,"[267, 230]"
KAB. ACEH BARAT DAYA,2163.7251561152916,"[267, 230, 165]"
KAB. ACEH BESAR,2358.3810145301886,"[267, 268]"
KAB. ACEH JAYA,2301.435661365317,"[267, 251, 78, 4]"
KAB. ACEH SELATAN,2050.970479605679,"[267, 251, 78]"
KAB. ACEH SINGKIL,1954.264005572749,"[267, 251, 108, 107, 72]"
KAB. ACEH TAMIANG,2057.7768195012263,"[267, 251]"
KAB. ACEH TENGAH,2169.4462344409403,"[267, 81]"
KAB. ACEH TENGGARA,2039.469242736305,"[267, 251, 252, 137]"
KAB. ACEH TIMUR,2174.747414408597,"[267, 251, 252, 137, 8]"
KAB. ACEH UTARA,2176.8205103504224,"[267, 268]"
KAB. BENER MERIAH,2198.139731411418,"[267, 251, 252, 137]"
KAB. BIREUEN,2249.1349049850396,"[267, 251, 252, 137, 11]"
KAB. GAYO LUES,2110.9382354250606,"[267, 251, 252, 137]"
KAB. NAGAN RAYA,2178.620256613991,"[267, 81]"
KAB. PIDIE,2290.557722713714,"[267, 81, 30]"
KAB. PIDIE JAYA,2276.811066124383,"[267, 81, 30, 26]"
KAB. SIMEULUE,2123.840438478718,"[267, 268]"
KOTA BANDA ACEH,2388.670146231334,"[267, 251, 6]"
KOTA LANGSA,2136.187940428302,"[267, 268, 125]"
KOTA LHOKSEUMAWE,2215.990150070502,"[267, 81, 30, 28]"
KOTA SABANG,2410.157777353242,"[267, 268, 2]"
KOTA SUBULUSSALAM,1982.045741833129,"[267, 173]"
KAB. ASAHAN,2005.2876291776154,"[267, 251, 161, 24]"
KAB. BATUBARA,1962.9550513772613,"[267, 251, 161]"
KAB. DAIRI,1940.7829877715574,"[267, 268, 135]"
KAB. DELI SERDANG,1938.2915996112406,"[267, 81, 30]"
KAB. HUMBANG HASUNDUTAN,1924.413062332518,"[267, 268, 229, 228, 85]"
KAB. KARO,1953.6654378341625,"[267, 81, 30]"
KAB. LABUHANBATU,1751.8763609620673,"[267, 251, 252, 137]"
KAB. LABUHANBATU SELATAN,1701.952264874532,"[267, 81]"
KAB. LABUHANBATU UTARA,1767.3264605613267,"[267, 81, 30]"
KAB. LANGKAT,2004.802362619741,"[267, 81, 30, 31]"
KAB. MANDAILING NATAL,1713.6201365057696,"[267, 268, 229, 228]"
KAB. NIAS,1886.173843150344,"[267, 251, 108, 107, 62]"
KAB. NIAS BARAT,1898.5867239101535,"[267, 268, 229, 36]"
KAB. NIAS SELATAN,1847.3489757702887,"[267, 268, 229]"
KAB. NIAS UTARA,1926.4918421578222,"[267, 213, 57]"
KAB. PADANG LAWAS,1752.5813396653307,"[267, 213, 214, 134, 133]"
KAB. PADANG LAWAS UTARA,1759.041981692545,"[267, 268, 135, 84]"
KAB. PAKPAK BHARAT,1944.236360236882,"[267, 268, 135, 41]"
KAB. SAMOSIR,1879.5667480669213,"[267, 268, 135]"
KAB. SERDANG BEDAGAI,1936.6708536033213,"[267, 268, 229, 149]"
KAB. SIMALUNGUN,1900.3244870568813,"[267, 251, 52]"
KAB. TAPANULI SELATAN,1775.7966776965893,"[267, 251, 108, 107]"
KAB. TAPANULI TENGAH,1846.4408894232129,"[267, 251, 108, 107, 44]"
KAB. TAPANULI UTARA,1811.5567035954246,"[267, 251, 78]"
KAB. TOBA SAMOSIR,1851.230575812129,"[267, 251, 78, 46]"
KOTA BINJAI,1970.9886964283382,"[267, 251]"
KOTA GUNUNGSITOLI,1923.7947728528463,"[267, 251, 209, 226]"
KOTA MEDAN,2026.206189362882,"[267, 268, 229, 149, 102]"
KOTA PADANGSIDEMPUAN,1806.5899733119863,"[267, 266]"
KOTA PEMATANGSIANTAR,1876.942800915985,"[267, 251]"
KOTA SIBOLGA,1818.3369691402609,"[267, 251, 78]"
KOTA TANJUNGBALAI,1834.97928083035,"[267, 251, 252, 137, 138]"
KOTA TEBING TINGGI,1897.629596442413,"[267, 251, 76, 75]"
KAB. AGAM,1573.8449794277033,"[267, 213, 57]"
KAB. DHARMASRAYA,1385.0301394405947,"[267, 213]"
KAB. KEPULAUAN MENTAWAI,1624.1492398803564,"[267, 251]"
KAB. LIMA PULUH KOTA,1598.1281078502575,"[267, 268, 125, 126, 109]"
KAB. PADANG PARIAMAN,1579.5130948270635,"[267, 213, 214, 134, 133]"
KAB. PASAMAN,1611.901183562243,"[267, 268, 125]"
KAB. PASAMAN BARAT,1654.7946947196797,"[267, 251, 108, 107]"
KAB. PESISIR SELATAN,1460.0328579716868,"[267, 230, 165, 164, 144, 145]"
KAB. SIJUNJUNG,1506.7311874453203,"[267, 251, 235, 99]"
