city,distance,through
KAB. ACEH BARAT,3018.0996825742304,"[398, 397, 335, 51]"
KAB. ACEH BARAT DAYA,2905.7937442840985,"[398, 390, 139, 140]"
KAB. ACEH BESAR,3156.088586487629,"[398, 390, 139, 140, 1]"
KAB. ACEH JAYA,3095.8260365863525,"[398, 117, 116, 69, 70, 4]"
KAB. ACEH SELATAN,2845.3608548267143,"[398, 117, 116, 69, 70]"
KAB. ACEH SINGKIL,2784.810850968227,"[398, 397, 106, 107, 72]"
KAB. ACEH TAMIANG,2772.670796062429,"[398, 397, 315]"
KAB. ACEH TENGAH,2904.348321298206,"[398, 397, 315, 6]"
KAB. ACEH TENGGARA,2857.6782481254436,"[398, 399, 362]"
KAB. ACEH TIMUR,2823.021048017181,"[398, 397, 315]"
KAB. ACEH UTARA,2889.6111821056684,"[398, 397, 315, 9]"
KAB. BENER MERIAH,2905.44501964366,"[398, 397, 335, 334, 42]"
KAB. BIREUEN,2942.9742892117356,"[398, 397, 335, 334, 94]"
KAB. GAYO LUES,2902.735436452671,"[398, 117, 116, 69, 70]"
KAB. NAGAN RAYA,2927.0171451720134,"[398, 397, 335, 29, 25]"
KAB. PIDIE,2852.8050676866656,"[398, 16]"
KAB. PIDIE JAYA,2823.273671054085,[398]
KAB. SIMEULUE,2922.0879365029778,"[398, 397, 81]"
KOTA BANDA ACEH,3103.5641227925366,"[398, 397, 315, 6]"
KOTA LANGSA,2818.3692302528098,"[398, 397, 96, 97]"
KOTA LHOKSEUMAWE,2939.8404517331865,"[398, 397, 96, 97, 19]"
KOTA SABANG,3155.9879915018646,"[398, 397, 96, 97, 19, 20]"
KOTA SUBULUSSALAM,2737.09157933008,"[398, 117, 27]"
KAB. ASAHAN,2643.6779602384536,"[398, 390, 385]"
KAB. BATUBARA,2603.9697748240706,"[398, 397, 335, 334, 94, 93, 92]"
KAB. DAIRI,2685.719441397683,"[398, 397, 335, 29]"
KAB. DELI SERDANG,2702.429781238777,"[398, 397, 335, 334, 321, 30]"
KAB. HUMBANG HASUNDUTAN,2644.4960827905006,"[398, 117]"
KAB. KARO,2694.1398491883388,"[398, 397, 335, 29]"
KAB. LABUHANBATU,2466.228000976077,"[398, 397, 335]"
KAB. LABUHANBATU SELATAN,2466.0904465020685,"[398, 397, 335, 334, 321]"
