city,distance,through
KAB. ACEH BARAT,2321.3130430072783,"[269, 268, 229, 230]"
KAB. ACEH BARAT DAYA,2230.6973877544324,"[269, 251, 252, 142, 141, 140]"
KAB. ACEH BESAR,2426.5398813630077,"[269, 268]"
KAB. ACEH JAYA,2360.8543263353067,"[269, 251, 78, 4]"
KAB. ACEH SELATAN,2110.3891445756685,"[269, 251, 78]"
KAB. ACEH SINGKIL,2012.8330907115787,"[269, 108, 107, 72]"
KAB. ACEH TAMIANG,2117.1954844712154,"[269, 251]"
KAB. ACEH TENGAH,2248.8730097069924,"[269, 251, 6]"
KAB. ACEH TENGGARA,2098.887907706294,"[269, 251, 252, 137]"
KAB. ACEH TIMUR,2234.166079378586,"[269, 251, 252, 137, 8]"
KAB. ACEH UTARA,2244.118613168071,"[269, 251, 252]"
KAB. BENER MERIAH,2242.9295840124355,"[269, 42]"
KAB. BIREUEN,2293.9247575860572,"[269, 42, 11]"
KAB. GAYO LUES,2170.3569003950497,"[269, 251, 252, 137]"
KAB. NAGAN RAYA,2250.239558378707,"[269, 268, 135, 25]"
KAB. PIDIE,2370.7411731163115,"[269, 270, 27, 22]"
KAB. PIDIE JAYA,2342.299418190399,"[269, 251, 76, 75]"
KAB. SIMEULUE,2191.9993053115372,"[269, 268]"
KOTA BANDA ACEH,2448.088811201323,"[269, 251, 6]"
KOTA LANGSA,2202.354387597478,"[269, 125]"
KOTA LHOKSEUMAWE,2284.394853169102,"[269, 268, 28]"
KOTA SABANG,2478.3166441860612,"[269, 268, 2]"
KOTA SUBULUSSALAM,2028.7215330734455,"[269, 270, 27]"
KAB. ASAHAN,2016.9693236406079,"[269, 247, 248, 93, 92, 24]"
KAB. BATUBARA,1974.6367458402538,"[269, 247, 248, 93, 92]"
KAB. DAIRI,2008.9418546043767,"[269, 268, 135]"
KAB. DELI SERDANG,2023.2659508083443,"[269, 268, 229, 30]"
KAB. HUMBANG HASUNDUTAN,1936.1260365338662,"[269, 270]"
KAB. KARO,2022.0701409327628,"[269, 268]"
KAB. LABUHANBATU,1803.1748485953876,"[269, 247]"
KAB. LABUHANBATU SELATAN,1786.9266160716356,"[269, 268, 229]"
KAB. LABUHANBATU UTARA,1850.2452229117196,"[269, 251, 198]"
KAB. LANGKAT,2087.3727365981003,"[269, 268, 135, 84]"
KAB. MANDAILING NATAL,1781.7790033385888,"[269, 268, 229, 228]"
KAB. NIAS,1944.7429282891735,"[269, 108, 107, 62]"
