city,distance,through
KAB. ACEH BARAT,2672.8464865240867,"[292, 282, 77]"
KAB. ACEH BARAT DAYA,2618.8533818334704,"[292, 282, 281, 242, 241, 219, 218]"
KAB. ACEH BESAR,2816.0743711972077,"[292, 282, 77, 78, 4, 3]"
KAB. ACEH JAYA,2739.770897860109,"[292, 282, 77, 78, 4]"
KAB. ACEH SELATAN,2489.305716100471,"[292, 282, 77, 78]"
KAB. ACEH SINGKIL,2373.6180569922312,"[292, 108, 107, 72]"
KAB. ACEH TAMIANG,2499.2964763272666,"[292, 282, 258, 86]"
KAB. ACEH TENGAH,2622.6370943549555,"[292, 108, 107, 72]"
KAB. ACEH TENGGARA,2468.536713314727,"[292, 282, 281, 242, 241]"
KAB. ACEH TIMUR,2540.1392237766954,"[292, 282, 258]"
KAB. ACEH UTARA,2606.729357865183,"[292, 282, 258, 9]"
KAB. BENER MERIAH,2614.314225301709,"[292, 282, 258, 42]"
KAB. BIREUEN,2665.3093988753308,"[292, 282, 258, 42, 11]"
KAB. GAYO LUES,2526.371583886224,"[292, 99]"
KAB. NAGAN RAYA,2592.583818736233,[292]
KAB. PIDIE,2714.6091808204164,"[292, 14]"
KAB. PIDIE JAYA,2720.39872173177,"[292, 282, 261]"
KAB. SIMEULUE,2591.1510337276272,"[292, 282, 281, 242, 269, 268]"
KOTA BANDA ACEH,2821.2032935843954,"[292, 282, 19]"
KOTA LANGSA,2504.043638018289,"[292, 282]"
KOTA LHOKSEUMAWE,2625.514859498666,"[292, 282, 19]"
KOTA SABANG,2841.662399267344,"[292, 282, 19, 20]"
KOTA SUBULUSSALAM,2413.1059984878466,"[292, 282, 261, 143]"
KAB. ASAHAN,2395.481297723941,"[292, 282, 281, 242, 200, 224, 24]"
KAB. BATUBARA,2353.148719923587,"[292, 282, 281, 242, 200, 224]"
KAB. DAIRI,2375.792467554217,"[292, 282, 258, 86]"
KAB. DELI SERDANG,2389.5040496826773,"[292, 282, 281, 242, 241, 84, 30]"
KAB. HUMBANG HASUNDUTAN,2335.2777649499562,"[292, 282, 281, 242, 269, 270]"
KAB. KARO,2400.5382818316953,"[292, 54, 55]"
KAB. LABUHANBATU,2182.863206383865,"[292, 282, 281, 242]"
KAB. LABUHANBATU SELATAN,2153.1647149459686,"[292, 282, 281, 242, 241, 84]"
KAB. LABUHANBATU UTARA,2218.5389106327634,"[292, 282, 281, 242, 241, 84, 30]"
KAB. LANGKAT,2452.026671082731,"[292, 282, 281, 242, 241, 84]"
KAB. MANDAILING NATAL,2156.588166108255,"[292, 226]"
KAB. NIAS,2305.527894569826,"[292, 108, 107, 62]"
KAB. NIAS BARAT,2322.5421197822025,[292]
