city,distance,through
KAB. ACEH BARAT,2899.616842452317,"[399, 362, 363, 357, 1]"
KAB. ACEH BARAT DAYA,2779.925045819149,"[399, 362, 363, 357]"
KAB. ACEH BESAR,3023.170421961836,"[399, 351, 96, 97, 19, 20, 21]"
KAB. ACEH JAYA,2991.343766207317,"[399, 400, 347, 4]"
KAB. ACEH SELATAN,2740.878584447679,"[399, 400, 347]"
KAB. ACEH SINGKIL,2701.8802666117863,"[399, 449, 329, 106, 107, 72]"
KAB. ACEH TAMIANG,2679.8421482239955,"[399, 449, 329, 315]"
KAB. ACEH TENGAH,2763.1871453735225,"[399, 362, 8]"
KAB. ACEH TENGGARA,2604.379119891941,"[399, 362]"
KAB. ACEH TIMUR,2730.192400178748,"[399, 449, 329, 315]"
KAB. ACEH UTARA,2777.114308978898,"[399, 362, 363]"
KAB. BENER MERIAH,2797.206570004828,"[399, 449, 321, 320, 43, 42]"
KAB. BIREUEN,2848.2017435784496,"[399, 449, 321, 320, 43, 42, 11]"
KAB. GAYO LUES,2746.4020091000275,"[399, 362, 363, 357]"
KAB. NAGAN RAYA,2756.1901936715803,"[399, 362]"
KAB. PIDIE,2878.215555755764,"[399, 362, 14]"
KAB. PIDIE JAYA,2890.9026498364137,"[399, 351, 30, 26]"
KAB. SIMEULUE,2840.3399791635675,"[399, 449, 321, 55]"
KOTA BANDA ACEH,2950.934553455834,"[399, 351, 96, 97, 19]"
KOTA LANGSA,2633.7748978897275,"[399, 351, 96, 97]"
KOTA LHOKSEUMAWE,2755.246119370104,"[399, 351, 96, 97, 19]"
KOTA SABANG,2971.3936591387824,"[399, 351, 96, 97, 19, 20]"
KOTA SUBULUSSALAM,2623.4962119972647,"[399, 449, 321, 84, 83]"
KAB. ASAHAN,2472.3301788552358,"[399, 362, 363, 357]"
KAB. BATUBARA,2514.66275665559,"[399, 362, 363, 357, 23]"
KAB. DAIRI,2587.140854463908,"[399, 351, 30, 29]"
KAB. DELI SERDANG,2552.383183323271,"[399, 351, 30]"
KAB. HUMBANG HASUNDUTAN,2537.3635159609294,"[399, 449, 329, 85]"
KAB. KARO,2567.757021546193,"[399, 351, 30]"
KAB. LABUHANBATU,2367.649414042302,"[399, 351, 30]"
KAB. LABUHANBATU SELATAN,2316.0438485865625,"[399, 351]"
KAB. LABUHANBATU UTARA,2381.4180442733573,"[399, 351, 30]"
KAB. LANGKAT,2618.8939463317715,"[399, 351, 30, 31]"
KAB. MANDAILING NATAL,2452.2685293866048,"[399, 362, 39]"
KAB. NIAS,2595.562747480834,"[399, 449, 61, 62]"
KAB. NIAS BARAT,2603.6778041370035,"[399, 351]"
KAB. NIAS SELATAN,2610.018952258342,"[399, 449, 450]"
KAB. NIAS UTARA,2679.274716135006,"[399, 362, 39, 38]"
KAB. PADANG LAWAS,2409.611347307002,"[399, 362, 39]"
KAB. PADANG LAWAS UTARA,2355.041862304526,"[399, 362]"
KAB. PAKPAK BHARAT,2543.5004319508225,"[399, 362, 39]"
KAB. SAMOSIR,2599.9779816443474,"[399, 449, 321, 320, 43, 42]"
KAB. SERDANG BEDAGAI,2515.7484888131103,"[399, 449, 321, 320, 43]"
KAB. SIMALUNGUN,2468.862423200323,"[399, 449, 321, 320]"
KAB. TAPANULI SELATAN,2477.761332606898,"[399, 449, 329, 328]"
KAB. TAPANULI TENGAH,2548.405544333522,"[399, 449, 329, 328, 44]"
KAB. TAPANULI UTARA,2538.9739237399076,"[399, 449, 329, 77, 78]"
KAB. TOBA SAMOSIR,2561.741333613219,"[399, 449, 387]"
KOTA BINJAI,2542.880332717849,"[399, 362, 52]"
KOTA GUNUNGSITOLI,2601.537126366352,"[399, 449]"
KOTA MEDAN,2538.9685930959467,"[399, 362, 361]"
KOTA PADANGSIDEMPUAN,2541.2344906476974,"[399, 449, 387]"
KOTA PEMATANGSIANTAR,2447.677068828645,"[399, 362]"
KOTA SIBOLGA,2545.754189284744,"[399, 449, 329, 77, 78]"
KOTA TANJUNGBALAI,2566.207630460011,"[399, 449, 321, 55]"
KOTA TEBING TINGGI,2484.470882788453,"[399, 449, 321]"
KAB. AGAM,2374.7064818709882,"[399, 360]"
KAB. DHARMASRAYA,2230.9792261109856,"[399, 449, 448, 447]"
KAB. KEPULAUAN MENTAWAI,2422.685437370685,"[399, 362, 361, 66]"
KAB. LIMA PULUH KOTA,2287.8161469601714,"[399, 449, 321, 322]"
KAB. PADANG PARIAMAN,2365.918551286323,"[399, 449, 321, 322, 59]"
KAB. PASAMAN,2304.561306725481,"[399, 449]"
KAB. PASAMAN BARAT,2364.1835990501695,"[399, 449, 61]"
KAB. PESISIR SELATAN,2312.5193265015455,"[399, 362, 361, 66, 65]"
KAB. SIJUNJUNG,2267.1689853819403,"[399, 362, 361, 66, 65]"
KAB. SOLOK,2228.2446915976343,"[399, 362, 361, 66]"
KAB. SOLOK SELATAN,2163.9118325229824,"[399, 362, 361]"
KAB. TANAH DATAR,2292.406841184136,"[399, 362, 361, 66]"
KOTA BUKITTINGGI,2306.123429790996,"[399, 400]"
KOTA PADANG,2276.093736693115,"[399, 449, 329, 106, 107]"
KOTA PADANGPANJANG,2310.5529155727895,"[399, 362, 71]"
KOTA PARIAMAN,2275.1892136518877,"[399, 362]"
KOTA PAYAKUMBUH,2281.277165328072,"[399, 449, 329, 106, 107]"
KOTA SAWAHLUNTO,2291.3650709685326,"[399, 400, 332, 355, 74]"
KOTA SOLOK,2276.9209991082557,"[399, 400, 332, 355]"
KAB. BENGKALIS,2319.10875071964,"[399, 449, 329, 330, 341, 76]"
KAB. INDRAGIRI HILIR,2088.0123351464663,"[399, 449, 329, 330, 341]"
KAB. INDRAGIRI HULU,2071.597116017455,"[399, 449, 329]"
KAB. KAMPAR,2227.8308629906583,"[399, 449, 329, 77]"
KAB. KEPULAUAN MERANTI,2107.739107528574,"[399, 362, 363, 357]"
KAB. KUANTAN SINGINGI,2196.8430000255858,"[399, 449, 329, 336]"
KAB. PELALAWAN,2301.0233948566697,"[399, 449, 329, 336, 80]"
KAB. ROKAN HILIR,2362.816680662802,"[399, 362, 352, 353, 87, 88]"
KAB. ROKAN HULU,2287.041387836228,"[399, 449, 321, 84]"
KAB. SIAK,2133.8897346115064,"[399, 449, 321]"
KOTA DUMAI,2217.5483548349175,"[399, 449, 329]"
KOTA PEKANBARU,2167.935988895941,"[399, 449, 321]"
KAB. BINTAN,1929.2244266668483,"[399, 362, 352, 353]"
KAB. KARIMUN,2057.2676251929256,"[399, 362, 352, 353, 87]"
KAB. KEPULAUAN ANAMBAS,1913.2322930178009,"[399, 449, 448, 447]"
KAB. LINGGA,1798.4473800644946,"[399, 362]"
KAB. NATUNA,1763.9092092403653,"[399, 400, 332, 333]"
KOTA BATAM,2042.9467799853744,"[399, 400, 332, 333, 334, 94, 93]"
