city,distance,through
KAB. ACEH BARAT,1792.3432216939134,"[328, 52, 51]"
KAB. ACEH BARAT DAYA,1912.0350183270816,"[328, 52, 51, 0]"
KAB. ACEH BESAR,1754.1683167090937,"[328, 22, 21]"
KAB. ACEH JAYA,1830.4717900461924,"[328, 22, 21, 2]"
KAB. ACEH SELATAN,1668.712127256631,"[328, 327, 137, 78]"
KAB. ACEH SINGKIL,1628.072303591944,"[328, 327, 137, 66]"
KAB. ACEH TAMIANG,1572.962777181327,"[328, 8, 7]"
KAB. ACEH TENGAH,1441.2852519455498,"[328, 8]"
KAB. ACEH TENGGARA,1282.4772264639682,[328]
KAB. ACEH TIMUR,1417.7553981362603,"[328, 8]"
KAB. ACEH UTARA,1442.1720578074996,"[328, 11]"
KAB. BENER MERIAH,1403.050856107999,[328]
KAB. BIREUEN,1454.0460296816204,"[328, 11]"
KAB. GAYO LUES,1603.2531903815125,"[328, 11, 12]"
KAB. NAGAN RAYA,1700.3480274665312,"[328, 11, 12, 13]"
KAB. PIDIE,1588.7294651410132,"[328, 22]"
KAB. PIDIE JAYA,1618.2608617735937,"[328, 22, 15]"
KAB. SIMEULUE,1856.8869038728462,"[328, 327, 137, 138, 54, 55]"
KOTA BANDA ACEH,1786.2079562620163,"[328, 327]"
KOTA LANGSA,1651.0314515745893,"[328, 8, 7, 20]"
KOTA LHOKSEUMAWE,1529.5602300942126,"[328, 8, 7]"
KOTA SABANG,1702.3915538860401,"[328, 22]"
KOTA SUBULUSSALAM,1246.7098250981471,[328]
KAB. ASAHAN,1437.9242299898024,"[328, 22]"
KAB. BATUBARA,1480.2568077901565,"[328, 22, 23]"
KAB. DAIRI,1472.135793660235,"[328, 22, 27, 28]"
KAB. DELI SERDANG,1475.8966537568876,"[328, 22, 27]"
KAB. HUMBANG HASUNDUTAN,1339.3053216377264,"[328, 22]"
KAB. KARO,1445.7047595968234,"[328, 22, 27]"
KAB. LABUHANBATU,1336.1781399578908,"[328, 327, 137]"
KAB. LABUHANBATU SELATAN,1387.7837054136305,"[328, 327, 137, 29]"
KAB. LABUHANBATU UTARA,1453.1579011004253,"[328, 327, 137, 29, 30]"
KAB. LANGKAT,1380.9484046021746,"[328, 44, 45]"
KAB. MANDAILING NATAL,1407.3518549300095,"[328, 52, 43, 39]"
KAB. NIAS,1420.183632528119,"[328, 52, 43]"
KAB. NIAS BARAT,1442.743900399502,"[328, 22, 49]"
KAB. NIAS SELATAN,1493.981648539367,"[328, 22, 49, 35]"
KAB. NIAS UTARA,1577.0211963227107,"[328, 22, 49, 35, 36]"
KAB. PADANG LAWAS,1364.6946728504065,"[328, 52, 43, 39]"
KAB. PADANG LAWAS UTARA,1310.1251878479306,"[328, 52, 43]"
KAB. PAKPAK BHARAT,1345.0570017837842,"[328, 52, 43, 42, 41]"
KAB. SAMOSIR,1280.3873896138234,"[328, 52, 43, 42]"
KAB. SERDANG BEDAGAI,1196.157896782586,"[328, 52, 43]"
KAB. SIMALUNGUN,1149.2718311697988,"[328, 52]"
KAB. TAPANULI SELATAN,1081.8664876952525,[328]
KAB. TAPANULI TENGAH,1152.5106994218763,"[328, 44]"
KAB. TAPANULI UTARA,1201.5050835733907,"[328, 44, 45]"
KAB. TOBA SAMOSIR,1241.1789557900952,"[328, 44, 45, 46]"
KOTA BINJAI,1221.0934089181062,"[328, 52]"
KOTA GUNUNGSITOLI,1409.3726450200584,"[328, 22]"
KOTA MEDAN,1561.0461698283907,"[328, 52, 51]"
KOTA PADANGSIDEMPUAN,1305.0087423457385,"[328, 52]"
KOTA PEMATANGSIANTAR,1125.8901450289025,[328]
KOTA SIBOLGA,1266.576539795613,"[328, 52]"
KOTA TANJUNGBALAI,1419.2810598261735,"[328, 327, 137, 138]"
