city,distance,through
KAB. ACEH BARAT,966.4203648692638,"[109, 59, 62]"
KAB. ACEH BARAT DAYA,1086.112161502432,"[109, 59, 62, 0]"
KAB. ACEH BESAR,1111.1080969535763,"[109, 59, 62, 4, 3]"
KAB. ACEH JAYA,1034.8046236164776,"[109, 59, 62, 4]"
KAB. ACEH SELATAN,784.3394418568391,"[109, 59, 62]"
KAB. ACEH SINGKIL,905.0101667974205,"[109, 59, 62, 4]"
KAB. ACEH TAMIANG,797.3551604005542,"[109, 59]"
KAB. ACEH TENGAH,929.0326856363314,"[109, 59, 6]"
KAB. ACEH TENGGARA,979.6552067878985,"[109, 9]"
KAB. ACEH TIMUR,844.3770351156064,[109]
KAB. ACEH UTARA,910.967169204094,"[109, 9]"
KAB. BENER MERIAH,950.0883709035948,"[109, 9, 10]"
KAB. BIREUEN,1001.0835444772164,"[109, 9, 10, 11]"
KAB. GAYO LUES,1122.9853312791424,"[109, 56, 55, 28, 25, 14]"
KAB. NAGAN RAYA,1025.8904941941237,"[109, 56, 55, 28, 25]"
KAB. PIDIE,1142.1714723019888,"[109, 59, 17, 16]"
KAB. PIDIE JAYA,1112.6400756694084,"[109, 59, 17]"
KAB. SIMEULUE,832.8194317261799,"[109, 59]"
KOTA BANDA ACEH,1128.2484871306617,"[109, 59, 6]"
KOTA LANGSA,1109.8289340411884,"[109, 59, 62, 34, 35, 36, 37]"
KOTA LHOKSEUMAWE,1017.307663784994,"[109, 59, 6, 7]"
KOTA SABANG,1162.8848597766298,"[109, 59, 62, 4, 3, 2]"
KOTA SUBULUSSALAM,814.7908096358161,"[109, 59, 62, 34, 35, 49]"
KAB. ASAHAN,968.2855396334807,"[109, 56, 55, 28, 25, 24]"
KAB. BATUBARA,925.9529618331266,"[109, 56, 55, 28, 25]"
KAB. DAIRI,784.5927904197932,"[109, 56, 55, 28]"
KAB. DELI SERDANG,863.0231825673549,"[109, 56, 55, 28, 25]"
KAB. HUMBANG HASUNDUTAN,864.5611943154787,"[109, 56, 55, 28]"
KAB. KARO,758.1617563563816,"[109, 56, 55]"
KAB. LABUHANBATU,944.75287455686,"[109, 56, 57, 81, 30]"
KAB. LABUHANBATU SELATAN,893.1473091011203,"[109, 56, 57, 81]"
KAB. LABUHANBATU UTARA,958.5215047879151,"[109, 56, 57, 81, 30]"
KAB. LANGKAT,1139.9088164635837,"[109, 59, 62, 34, 33]"
KAB. MANDAILING NATAL,773.3622736229348,"[109, 59, 62, 34]"
KAB. NIAS,588.6306138356153,"[109, 59, 62]"
KAB. NIAS BARAT,618.7567343344614,"[109, 59, 62, 34]"
KAB. NIAS SELATAN,669.9944824743262,"[109, 59, 62, 34, 35]"
KAB. NIAS UTARA,753.0340302576699,"[109, 59, 62, 34, 35, 36]"
