city,distance,through
KAB. ACEH BARAT,2636.7022443238475,"[370, 369, 368, 324, 323]"
KAB. ACEH BARAT DAYA,2711.7095819423294,"[370, 2]"
KAB. ACEH BESAR,2461.4147397387987,[370]
KAB. ACEH JAYA,2537.7182130758974,"[370, 2]"
KAB. ACEH SELATAN,2343.099359081218,"[370, 369, 368, 367]"
KAB. ACEH SINGKIL,2463.7700840217994,"[370, 369, 368, 367, 4]"
KAB. ACEH TAMIANG,2524.131942227851,"[370, 369, 368, 324, 325]"
KAB. ACEH TENGAH,2610.7951871256373,"[370, 369, 368, 367, 31, 30, 26]"
KAB. ACEH TENGGARA,2492.4671931022995,"[370, 369, 368, 10, 9]"
KAB. ACEH TIMUR,2357.1890214300074,"[370, 369, 368, 10]"
KAB. ACEH UTARA,2290.59888734152,"[370, 369, 368]"
KAB. BENER MERIAH,2329.720089041021,"[370, 369, 368, 10]"
KAB. BIREUEN,2380.7152626146426,"[370, 369, 368, 10, 11]"
KAB. GAYO LUES,2529.9224233145346,"[370, 369, 368, 10, 11, 12]"
KAB. NAGAN RAYA,2627.0172603995534,"[370, 369, 368, 10, 11, 12, 13]"
KAB. PIDIE,2708.0160285917805,"[370, 369, 52, 53, 16]"
KAB. PIDIE JAYA,2678.4846319591998,"[370, 369, 52, 53]"
KAB. SIMEULUE,2595.51480383979,"[370, 369, 61, 59]"
KOTA BANDA ACEH,2837.9914733629066,"[370, 369, 368, 324, 323, 96, 97, 19]"
KOTA LANGSA,2520.8318177968004,"[370, 369, 368, 324, 323, 96, 97]"
KOTA LHOKSEUMAWE,2642.303039277177,"[370, 369, 368, 324, 323, 96, 97, 19]"
KOTA SABANG,2513.1915025618523,"[370, 2]"
KOTA SUBULUSSALAM,2460.201133128017,"[370, 369, 368, 367, 31, 30, 29, 27]"
KAB. ASAHAN,2545.0679909574806,"[370, 369, 368, 359, 358, 357]"
KAB. BATUBARA,2534.644583395856,"[370, 369, 368, 367, 344, 93, 92]"
KAB. DAIRI,2408.793548719799,"[370, 369, 368, 367, 31, 30, 29]"
KAB. DELI SERDANG,2374.0358775791624,"[370, 369, 368, 367, 31, 30]"
KAB. HUMBANG HASUNDUTAN,2367.6056365884374,"[370, 369, 368, 367, 31, 30, 29]"
KAB. KARO,2389.409715802084,"[370, 369, 368, 367, 31, 30]"
KAB. LABUHANBATU,2189.302108298193,"[370, 369, 368, 367, 31, 30]"
KAB. LABUHANBATU SELATAN,2137.6965428424537,"[370, 369, 368, 367, 31]"
KAB. LABUHANBATU UTARA,2072.322347155659,"[370, 369, 368, 367]"
KAB. LANGKAT,2309.798249214073,"[370, 369, 368, 367, 31]"
KAB. MANDAILING NATAL,2243.294120628865,"[370, 369, 368, 324, 323]"
KAB. NIAS,2266.8369126318557,"[370, 369, 61, 62]"
KAB. NIAS BARAT,2296.9630331307017,"[370, 369, 61, 62, 34]"
KAB. NIAS SELATAN,2348.2007812705665,"[370, 369, 61, 62, 34, 35]"
KAB. NIAS UTARA,2397.3743444941483,"[370, 369, 57]"
KAB. PADANG LAWAS,2282.045116570488,"[370, 369, 368, 43, 39]"
KAB. PADANG LAWAS UTARA,2227.4756315680124,"[370, 369, 368, 43]"
KAB. PAKPAK BHARAT,2188.3045563797723,"[370, 369, 368, 41]"
KAB. SAMOSIR,2123.6349442098117,"[370, 369, 368]"
KAB. SERDANG BEDAGAI,2113.5083405026676,"[370, 369, 368, 43]"
KAB. SIMALUNGUN,2066.6222748898804,"[370, 369, 368]"
KAB. TAPANULI SELATAN,2222.3730086409137,"[370, 369, 368, 43]"
KAB. TAPANULI TENGAH,2293.0172203675374,"[370, 369, 368, 43, 44]"
KAB. TAPANULI UTARA,2342.011604519052,"[370, 369, 368, 43, 44, 45]"
KAB. TOBA SAMOSIR,2321.2890465004048,"[370, 369, 52, 48]"
KOTA BINJAI,2156.487675981573,"[370, 369, 52]"
KOTA GUNUNGSITOLI,2330.334288510145,"[370, 369, 61, 62, 34, 35]"
KOTA MEDAN,2496.4404368918576,"[370, 369, 52, 51]"
KOTA PADANGSIDEMPUAN,2240.4030094092054,"[370, 369, 52]"
KOTA PEMATANGSIANTAR,2061.284412092369,"[370, 369]"
KOTA SIBOLGA,2201.97080685908,"[370, 369, 52]"
KOTA TANJUNGBALAI,2379.068948092394,"[370, 369, 52, 53]"
KOTA TEBING TINGGI,2372.3060538737413,"[370, 369, 368, 324, 325]"
KAB. AGAM,2044.7274817640296,"[370, 369, 57]"
KAB. DHARMASRAYA,1855.912641776921,"[370, 369]"
KAB. KEPULAUAN MENTAWAI,2157.1268985791626,"[370, 369, 57]"
KAB. LIMA PULUH KOTA,2019.0231887644675,"[370, 369, 61]"
KAB. PADANG PARIAMAN,2062.2226466575785,"[370, 369, 61]"
KAB. PASAMAN,1975.8354718765029,"[370, 369]"
KAB. PASAMAN BARAT,2035.4577642011914,"[370, 369, 61]"
KAB. PESISIR SELATAN,2178.0977445624926,"[370, 369, 368, 317, 138, 103, 65]"
KAB. SIJUNJUNG,2132.7474034428874,"[370, 369, 368, 317, 138, 103, 65]"
KAB. SOLOK,2093.8231096585814,"[370, 369, 368, 317, 138, 103]"
KAB. SOLOK SELATAN,2140.8661672979006,"[370, 369, 368, 317, 138, 137]"
KAB. TANAH DATAR,2243.7822634567274,"[370, 369, 368, 324, 323, 322, 74, 73]"
KOTA BUKITTINGGI,2222.0006633625144,"[370, 369, 368, 367, 120]"
KOTA PADANG,2180.5362824523727,"[370, 369, 368, 324, 323, 107]"
KOTA PADANGPANJANG,2179.9663939836005,"[370, 125]"
KOTA PARIAMAN,2185.330762593975,"[370, 369, 368, 317, 138, 103]"
KOTA PAYAKUMBUH,2185.71971108733,"[370, 369, 368, 324, 323, 107]"
KOTA SAWAHLUNTO,2215.076294701533,"[370, 369, 368, 324, 323, 322, 74]"
KOTA SOLOK,2200.632222841256,"[370, 369, 368, 324, 323, 322]"
KAB. BENGKALIS,2124.86313883242,"[370, 369, 368, 324, 325, 76]"
KAB. INDRAGIRI HILIR,1893.7667232592466,"[370, 369, 368, 324, 325]"
KAB. INDRAGIRI HULU,1998.5773912786485,"[370, 369, 368, 324, 325, 76]"
KAB. KAMPAR,2154.811138251852,"[370, 369, 368, 324, 325, 76, 77]"
