city,distance,through
KAB. ACEH BARAT,1913.489461723412,[230]
KAB. ACEH BARAT DAYA,1827.1004787845482,"[230, 165]"
KAB. ACEH BESAR,2074.8182661713563,"[230, 123, 62, 4, 3]"
KAB. ACEH JAYA,1998.5147928342574,"[230, 123, 62, 4]"
KAB. ACEH SELATAN,1748.049611074619,"[230, 123, 62]"
KAB. ACEH SINGKIL,1666.4615399352133,"[230, 123, 124, 66]"
KAB. ACEH TAMIANG,1788.189974110911,"[230, 123, 124, 86]"
KAB. ACEH TENGAH,1919.2441851015483,"[230, 123, 124, 66, 67, 8]"
KAB. ACEH TENGGARA,1760.4361596199667,"[230, 123, 124, 66, 67]"
KAB. ACEH TIMUR,1895.7143312922587,"[230, 123, 124, 66, 67, 8]"
KAB. ACEH UTARA,1866.5076592290136,[230]
KAB. BENER MERIAH,1905.6288609285143,"[230, 10]"
KAB. BIREUEN,1956.6240345021358,"[230, 10, 11]"
KAB. GAYO LUES,1825.5504268354302,"[230, 165, 164, 163]"
KAB. NAGAN RAYA,1905.9836691121918,"[230, 123, 124, 86, 25]"
KAB. PIDIE,2003.9648811050658,"[230, 76, 75, 16]"
KAB. PIDIE JAYA,1974.4334844724854,"[230, 76, 75]"
KAB. SIMEULUE,1829.341811303545,"[230, 165, 164, 114]"
KOTA BANDA ACEH,2062.8701146488384,[230]
KOTA LANGSA,1812.0922172432245,"[230, 165]"
KOTA LHOKSEUMAWE,1933.5634387236012,"[230, 165, 19]"
KOTA SABANG,2126.59502899441,"[230, 123, 62, 4, 3, 2]"
KOTA SUBULUSSALAM,1706.5744185783585,"[230, 167, 168, 136]"
KAB. ASAHAN,1731.6837552036552,"[230, 165, 164, 144, 145, 63, 24]"
KAB. BATUBARA,1689.351177403301,"[230, 165, 164, 144, 145, 63]"
KAB. DAIRI,1664.6859653378615,"[230, 123, 124, 86]"
KAB. DELI SERDANG,1706.3574521828548,"[230, 165, 166, 84, 30]"
KAB. HUMBANG HASUNDUTAN,1671.8591887890407,"[230, 165, 164, 85]"
