city,distance,through
KAB. ACEH BARAT,2083.9251231644657,[235]
KAB. ACEH BARAT DAYA,2127.188333345077,"[235, 234, 233, 232, 231, 230, 165]"
KAB. ACEH BESAR,2234.827434645761,"[235, 234, 233]"
KAB. ACEH JAYA,2170.7574587244476,"[235, 124, 66, 65]"
KAB. ACEH SELATAN,1925.3157494662732,"[235, 124, 66, 5]"
KAB. ACEH SINGKIL,1804.645024525692,"[235, 124, 66]"
KAB. ACEH TAMIANG,1926.3734587013896,"[235, 124, 86]"
KAB. ACEH TENGAH,2033.9952588050774,"[235, 26]"
KAB. ACEH TENGGARA,1898.6196442104454,"[235, 124, 66, 67]"
KAB. ACEH TIMUR,2033.8978158827374,"[235, 124, 66, 67, 8]"
KAB. ACEH UTARA,2041.5096125795953,"[235, 234]"
KAB. BENER MERIAH,2080.6308142790963,"[235, 234, 10]"
KAB. BIREUEN,2098.214637014417,"[235, 99, 13]"
KAB. GAYO LUES,1949.0074763145249,"[235, 99]"
KAB. NAGAN RAYA,2044.1671537026705,"[235, 124, 86, 25]"
KAB. PIDIE,2165.2868124043257,"[235, 26, 16]"
KAB. PIDIE JAYA,2135.755415771745,"[235, 26]"
KAB. SIMEULUE,1994.8478785584093,"[235, 155]"
KOTA BANDA ACEH,2257.2667854314973,"[235, 124, 86, 6]"
KOTA LANGSA,2048.217301529791,"[235, 124, 125]"
KOTA LHOKSEUMAWE,2091.625196228091,"[235, 124, 86, 25, 28]"
KOTA SABANG,2286.6041974688146,"[235, 234, 233, 2]"
KOTA SUBULUSSALAM,1879.1199334023943,"[235, 99, 29, 27]"
KAB. ASAHAN,1811.6414835768483,"[235, 92, 24]"
KAB. BATUBARA,1769.3089057764942,"[235, 92]"
KAB. DAIRI,1802.8694499283401,"[235, 124, 86]"
KAB. DELI SERDANG,1797.2359492586024,[235]
KAB. HUMBANG HASUNDUTAN,1786.524436862815,"[235, 99, 29]"
KAB. KARO,1829.300483991752,"[235, 124, 86, 25]"
KAB. LABUHANBATU,1608.2209085725708,"[235, 99]"
KAB. LABUHANBATU SELATAN,1640.310396116085,"[235, 234, 159]"
KAB. LABUHANBATU UTARA,1705.6845918028798,"[235, 234, 159, 30]"
KAB. LANGKAT,1893.665938636494,"[235, 234, 233, 153]"
KAB. MANDAILING NATAL,1692.5925927769695,"[235, 234, 159, 160, 161]"
KAB. NIAS,1746.6876517906949,"[235, 234, 233, 153, 123, 62]"
KAB. NIAS BARAT,1770.2928221547468,"[235, 58, 36]"
KAB. NIAS SELATAN,1719.055074014882,"[235, 58]"
KAB. NIAS UTARA,1784.3306541462205,"[235, 99, 100]"
KAB. PADANG LAWAS,1660.462368502965,"[235, 155, 132, 133]"
KAB. PADANG LAWAS UTARA,1715.031853505441,"[235, 155, 132, 133, 38]"
KAB. PAKPAK BHARAT,1887.256076312378,"[235, 234, 159, 104, 107, 72, 41]"
KAB. SAMOSIR,1822.586464142417,"[235, 234, 159, 104, 107, 72]"
